aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A21N,3f8b85eb,1,1777964577,2026-05-05 15:02:57.000 PHT,0,0,0.0,0.0,14.523845,121.00383,0,16.7,0.0,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A21N,3f8b85eb,1,1777964585,2026-05-05 15:03:05.000 PHT,1,8,8.0,0.0020817069997397866,14.52364,121.004036,0,13.0,0.0,135,1,22.174191935209077,-22.7949914478219,0.0,-3.6999999999999993,0.0,0.0,-0.4624999999999999,31.801044370980993,5.0741633132477124e-05
A21N,3f8b85eb,1,1777964901,2026-05-05 15:08:21.000 PHT,2,324,316.0,0.08430913348946135,14.523391,121.004295,0,33.3,0.0,135,1,50.053422587246686,-50.48256642616679,0.0,20.299999999999997,0.0,0.0,0.06424050632911392,39.291899093338195,0.00011343564737975119
A21N,3f8b85eb,1,1777964908,2026-05-05 15:08:28.000 PHT,3,331,7.0,0.08613062711423367,14.522427,121.005302,0,105.6,0.0,135,1,158.44902927922277,-157.6746237710895,0.0,72.3,0.0,0.0,10.328571428571427,152.44587622331625,0.0003566777445148118
A21N,3f8b85eb,1,1777964916,2026-05-05 15:08:36.000 PHT,4,339,8.0,0.08821233411397346,14.520401,121.007393,61,174.1,0.3,135,2,383.5302152851105,-382.9558563244689,61.0,68.5,0.0,0.0,8.5625,318.454348567066,0.0008648023688487637
A21N,3f8b85eb,1,1777964922,2026-05-05 15:08:42.000 PHT,5,345,6.0,0.0897736143637783,14.518204,121.009666,69,235.2,0.3,134,2,628.2047296699025,-627.2514475972816,8.0,61.099999999999994,-1.0,-0.16666666666666666,10.183333333333332,345.7541812368007,0.0014164865089566613
A21N,3f8b85eb,1,1777964930,2026-05-05 15:08:50.000 PHT,6,353,8.0,0.09185532136351808,14.514084,121.013931,61,290.8,4.2,135,2,1087.3123820777341,-1085.375178159403,-8.0,55.60000000000002,1.0,0.125,6.950000000000003,648.5809057116551,0.0024513598920579264
A21N,3f8b85eb,1,1777964939,2026-05-05 15:08:59.000 PHT,7,362,9.0,0.09419724173822534,14.509644,121.018433,168,290.8,15.3,135,2,1571.941592535503,-1579.0813343965442,107.0,0.0,0.0,0.0,0.0,691.8171900650982,0.0035552209364787617
A21N,3f8b85eb,1,1777964945,2026-05-05 15:09:05.000 PHT,8,368,6.0,0.09575852198803018,14.506375,121.021729,251,288.9,15.9,136,2,1926.754117892549,-1942.578051679948,83.0,-1.900000000000034,1.0,0.16666666666666666,-0.31666666666667237,507.95829412310565,0.004365717381385249
A21N,3f8b85eb,1,1777964954,2026-05-05 15:09:14.000 PHT,9,377,9.0,0.09810044236273745,14.501724,121.0261,381,290.8,14.6,138,2,2397.2995731636515,-2459.746369846121,130.0,1.900000000000034,2.0,0.2222222222222222,0.2111111111111149,699.1956178236181,0.005481351418857814
A21N,3f8b85eb,1,1777964960,2026-05-05 15:09:20.000 PHT,10,383,6.0,0.09966172261254229,14.498062,121.02932,472,288.9,13.3,139,2,2743.9457378616626,-2866.942753661151,91.0,-1.900000000000034,1.0,0.16666666666666666,-0.31666666666667237,534.7622957857113,0.006334616233349274
A21N,3f8b85eb,1,1777964969,2026-05-05 15:09:29.000 PHT,11,392,9.0,0.10200364298724955,14.493527,121.033295,579,281.5,11.7,140,2,3171.87874653024,-3371.2124425201605,107.0,-7.399999999999977,1.0,0.1111111111111111,-0.8222222222222197,661.3711818301075,0.007389897735469982
A21N,3f8b85eb,1,1777964978,2026-05-05 15:09:38.000 PHT,12,401,9.0,0.1043455633619568,14.488453,121.037682,693,277.8,11.1,140,3,3644.1768054053086,-3935.4162796250703,114.0,-3.6999999999999886,0.0,0.0,-0.4111111111111099,735.7904723076397,0.008563922392417267
A21N,3f8b85eb,1,1777964987,2026-05-05 15:09:47.000 PHT,13,410,9.0,0.10668748373666406,14.483826,121.041588,785,275.9,10.1,140,3,4064.701205210961,-4449.915915865696,92.0,-1.900000000000034,0.0,0.0,-0.2111111111111149,664.4899305856314,0.009624180158944234
A21N,3f8b85eb,1,1777964993,2026-05-05 15:09:53.000 PHT,14,416,6.0,0.1082487639864689,14.480301,121.044525,861,275.9,9.4,140,3,4380.908198675686,-4841.878573688974,76.0,0.0,0.0,0.0,0.0,503.60617857228436,0.010427732383778771
A21N,3f8b85eb,1,1777965000,2026-05-05 15:10:00.000 PHT,15,423,7.0,0.11007025761124122,14.47673,121.047646,922,279.7,8.8,139,3,4716.928880142962,-5238.956205203061,61.0,3.8000000000000114,-1.0,-0.14285714285714285,0.5428571428571445,520.1720751556805,0.011257717094198979
A21N,3f8b85eb,1,1777965004,2026-05-05 15:10:04.000 PHT,16,427,4.0,0.1111111111111111,14.474716,121.049545,953,281.5,8.5,135,3,4921.384514128506,-5462.903096793313,31.0,1.8000000000000114,-4.0,-1.0,0.45000000000000284,303.23989009295616,0.011741565582781017
A21N,3f8b85eb,1,1777965007,2026-05-05 15:10:07.000 PHT,17,430,3.0,0.11189175123601353,14.47348,121.050819,975,281.5,8.8,134,3,5058.5493155053055,-5600.340215961808,22.0,0.0,-1.0,-0.3333333333333333,0.0,194.17401104982125,0.012051388943222047
A21N,3f8b85eb,1,1777965009,2026-05-05 15:10:09.000 PHT,18,432,2.0,0.11241217798594848,14.472565,121.051865,998,279.7,8.5,132,3,5171.165976944564,-5702.083714375671,23.0,-1.8000000000000114,-2.0,-1.0,-0.9000000000000057,151.77213000439636,0.012293556013289882
A21N,3f8b85eb,1,1777965011,2026-05-05 15:10:11.000 PHT,19,434,2.0,0.11293260473588343,14.471415,121.053192,1013,283.4,7.2,130,3,5314.036793033437,-5829.958056644113,15.0,3.6999999999999886,-2.0,-1.0,1.8499999999999943,191.74149890412536,0.012599498066015123
A21N,3f8b85eb,1,1777965013,2026-05-05 15:10:13.000 PHT,20,436,2.0,0.11345303148581837,14.470459,121.05442,1029,287.1,6.2,129,3,5446.248152100841,-5936.26055334754,16.0,3.7000000000000455,-1.0,-0.5,1.8500000000000227,169.6501251827389,0.012870191201513422
A21N,3f8b85eb,1,1777965015,2026-05-05 15:10:15.000 PHT,21,438,2.0,0.11397345823575332,14.469498,121.055603,1044,290.8,6.2,129,3,5573.615674839497,-6043.119025451858,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,166.2591800406384,0.01313547375702052
A21N,3f8b85eb,1,1777965017,2026-05-05 15:10:17.000 PHT,22,440,2.0,0.11449388498568827,14.468353,121.057068,1059,294.5,6.2,129,3,5731.344868493395,-6170.437392319056,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,202.70672854059313,0.013458911891098825
A21N,3f8b85eb,1,1777965019,2026-05-05 15:10:19.000 PHT,23,442,2.0,0.11501431173562321,14.467392,121.058258,1067,300.0,6.2,128,3,5859.4672013138415,-6277.295864423727,8.0,5.5,-1.0,-0.5,2.75,166.83820623510823,0.013725118338739503
