aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A21N,3f94fca3,1,1778167647,2026-05-07 23:27:27.000 PHT,0,0,0.0,0.0,14.498096,121.000031,0,16.7,0.0,149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A21N,3f94fca3,1,1778167654,2026-05-07 23:27:34.000 PHT,1,7,7.0,0.0019444444444444444,14.497938,121.000252,0,13.0,0.0,123,1,23.791582192148123,-17.568822677047624,0.0,-3.6999999999999993,-26.0,-3.7142857142857144,-0.5285714285714285,29.575376810157596,4.636888282862719e-05
A21N,3f94fca3,1,1778167661,2026-05-07 23:27:41.000 PHT,2,14,7.0,0.0038888888888888888,14.497996,121.000481,0,13.0,0.0,84,1,48.44439178631975,-11.119508023465771,0.0,0.0,-39.0,-5.571428571428571,0.0,25.482450182255036,8.632079127841227e-05
A21N,3f94fca3,1,1778167670,2026-05-07 23:27:50.000 PHT,3,23,9.0,0.006388888888888889,14.498136,121.00071,0,13.0,0.0,61,1,73.09718140165327,4.447803209244843,0.0,0.0,-23.0,-2.5555555555555554,0.0,29.156512886766425,0.00013203297065032495
A21N,3f94fca3,1,1778167677,2026-05-07 23:27:57.000 PHT,4,30,7.0,0.008333333333333333,14.498252,121.000923,0,13.0,0.0,61,1,96.0274944671678,17.34643251640855,0.0,0.0,0.0,0.0,0.0,26.309212794447966,0.00017328109449367684
A21N,3f94fca3,1,1778167684,2026-05-07 23:28:04.000 PHT,5,37,7.0,0.010277777777777778,14.498417,121.001213,0,25.9,0.0,59,1,127.24714820789423,35.69362075498561,0.0,12.899999999999999,-2.0,-0.2857142857142857,1.8428571428571427,36.21170587269021,0.00023005455024416454
A21N,3f94fca3,1,1778167687,2026-05-07 23:28:07.000 PHT,6,40,3.0,0.011111111111111112,14.4986,121.001549,0,46.3,0.0,59,1,163.4188588912261,56.04232043754602,0.0,20.4,0.0,0.0,6.8,41.50257990128273,0.0002951231468974243
A21N,3f94fca3,1,1778167689,2026-05-07 23:28:09.000 PHT,7,42,2.0,0.011666666666666667,14.498737,121.001793,0,64.8,0.0,61,1,189.68639021810344,71.27604642965169,0.0,18.5,2.0,1.0,9.25,30.365287653430475,0.00034273046815988414
A21N,3f94fca3,1,1778167690,2026-05-07 23:28:10.000 PHT,8,43,1.0,0.011944444444444445,14.498869,121.002045,0,75.9,0.0,61,1,216.81513967014357,85.95379702015967,0.0,11.100000000000009,0.0,0.0,11.100000000000009,30.84487551821326,0.0003910896971207949
A21N,3f94fca3,1,1778167692,2026-05-07 23:28:12.000 PHT,9,45,2.0,0.0125,14.499046,121.00235,0,94.5,0.0,61,1,249.64950748257712,105.63532622186383,0.0,18.599999999999994,0.0,0.0,9.299999999999997,38.281330006399024,0.0004511079520693197
A21N,3f94fca3,1,1778167697,2026-05-07 23:28:17.000 PHT,10,50,5.0,0.013888888888888888,14.499846,121.003792,0,137.0,0.0,59,1,404.8857708319797,194.591390408529,0.0,42.5,-2.0,-0.4,8.5,178.91762186773383,0.0007316186721055987
A21N,3f94fca3,1,1778167698,2026-05-07 23:28:18.000 PHT,11,51,1.0,0.014166666666666666,14.500042,121.00415,0,144.5,0.0,61,1,443.42561882336895,216.38562613453607,0.0,7.5,2.0,2.0,7.5,44.27539571627034,0.000801034546308552
A21N,3f94fca3,1,1778167700,2026-05-07 23:28:20.000 PHT,12,53,2.0,0.014722222222222222,14.500336,121.004669,0,163.0,0.0,61,1,499.29756144650173,249.07697972301617,0.0,18.5,0.0,0.0,9.25,64.73333011576659,0.0009025247899836192
A21N,3f94fca3,1,1778167701,2026-05-07 23:28:21.000 PHT,13,54,1.0,0.015,14.500534,121.005043,0,170.4,0.3,60,1,539.5597800262196,271.0936056093086,0.0,7.400000000000006,-1.0,-1.0,7.400000000000006,45.88877461631954,0.0009744701527423656
A21N,3f94fca3,1,1778167703,2026-05-07 23:28:23.000 PHT,14,56,2.0,0.015555555555555555,14.500992,121.005836,46,187.1,0.3,60,2,624.9284289043502,322.0209523560462,46.0,16.69999999999999,0.0,0.0,8.349999999999994,99.40531110884362,0.001130319839897193
A21N,3f94fca3,1,1778167705,2026-05-07 23:28:25.000 PHT,15,58,2.0,0.01611111111111111,14.501587,121.00692,46,194.5,0.3,60,2,741.623801165636,388.1820250952432,0.0,7.400000000000006,0.0,0.0,3.700000000000003,134.1458731666997,0.0013406364933328402
A21N,3f94fca3,1,1778167707,2026-05-07 23:28:27.000 PHT,16,60,2.0,0.016666666666666666,14.50209,121.007866,46,216.7,0.7,60,2,843.4628953314027,444.11315045282333,0.0,22.19999999999999,0.0,0.0,11.099999999999994,116.18734837959181,0.0015227974029896822
A21N,3f94fca3,1,1778167709,2026-05-07 23:28:29.000 PHT,17,62,2.0,0.017222222222222222,14.502686,121.008911,46,229.6,0.7,60,2,955.9592132347259,510.38541827198617,0.0,12.900000000000006,0.0,0.0,6.450000000000003,130.56593014954362,0.0017275013482809427
A21N,3f94fca3,1,1778167712,2026-05-07 23:28:32.000 PHT,18,65,3.0,0.018055555555555554,14.503443,121.010262,53,244.5,0.7,60,2,1101.3966216892481,594.5600940088016,7.0,14.900000000000006,0.0,0.0,4.966666666666669,168.04003272786542,0.0019909579607897978
A21N,3f94fca3,1,1778167714,2026-05-07 23:28:34.000 PHT,19,67,2.0,0.01861111111111111,14.504094,121.011467,53,257.4,0.7,60,2,1231.1165339428392,666.9480912405876,0.0,12.899999999999977,0.0,0.0,6.449999999999989,148.55063591760305,0.0022238586969391913
A21N,3f94fca3,1,1778167716,2026-05-07 23:28:36.000 PHT,20,69,2.0,0.019166666666666665,14.504791,121.012703,53,268.5,0.7,60,2,1364.1731528027017,744.4510621635358,0.0,11.100000000000023,0.0,0.0,5.550000000000011,153.98314943225702,0.0024652766392849025
A21N,3f94fca3,1,1778167718,2026-05-07 23:28:38.000 PHT,21,71,2.0,0.01972222222222222,14.50563,121.014214,53,287.1,1.0,60,2,1526.8332691071248,837.7437344794798,0.0,18.600000000000023,0.0,0.0,9.300000000000011,187.51500421027782,0.0027592665118281214
A21N,3f94fca3,1,1778167722,2026-05-07 23:28:42.000 PHT,22,75,4.0,0.020833333333333332,14.506989,121.016678,46,298.2,1.6,60,2,1792.0831602659994,988.857848516668,-7.0,11.099999999999966,0.0,0.0,2.7749999999999915,305.2754027126382,0.0032378835542991647
A21N,3f94fca3,1,1778167724,2026-05-07 23:28:44.000 PHT,23,77,2.0,0.021388888888888888,14.507812,121.018097,61,309.3,7.8,59,2,1944.837762167821,1080.3713995489143,15.0,11.100000000000023,-1.0,-0.5,5.550000000000011,178.069589058149,0.0035170647110898128
