aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A21N,3f9befbb,1,1778309690,2026-05-09 14:54:50.000 PHT,0,0,0.0,0.0,14.52388,121.003807,0,9.3,0.0,216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A21N,3f9befbb,1,1778309705,2026-05-09 14:55:05.000 PHT,1,15,15.0,0.0036540803897685747,14.52367,121.004005,0,5.6,0.0,143,1,21.31305513537111,-23.350966849419585,0.0,-3.700000000000001,-73.0,-4.866666666666666,-0.24666666666666673,31.615090890355226,4.8878179035452454e-05
A21N,3f9befbb,1,1778310155,2026-05-09 15:02:35.000 PHT,2,465,450.0,0.11327649208282582,14.523445,121.00425,0,27.8,0.0,135,1,47.6852940736098,-48.369859901863904,0.0,22.200000000000003,-8.0,-0.017777777777777778,0.04933333333333334,36.35161736075048,0.0001050792150454128
A21N,3f9befbb,1,1778310162,2026-05-09 15:02:42.000 PHT,3,472,7.0,0.11498172959805116,14.522517,121.005211,0,100.0,0.0,135,1,151.12933032795974,-151.55889435846623,0.0,72.2,0.0,0.0,10.314285714285715,146.111757969154,0.0003309737629993998
A21N,3f9befbb,1,1778310171,2026-05-09 15:02:51.000 PHT,4,481,9.0,0.11717417783191231,14.520434,121.007324,69,174.1,0.3,135,2,378.5786022505661,-383.178246485108,69.0,74.1,0.0,0.0,8.233333333333333,324.6239218307776,0.0008328551659491539
A21N,3f9befbb,1,1778310177,2026-05-09 15:02:57.000 PHT,5,487,6.0,0.11863580998781974,14.517929,121.009956,69,222.2,0.3,134,2,661.8973574683172,-661.7219224698133,0.0,48.099999999999994,-1.0,-0.16666666666666666,8.016666666666666,397.3111276623593,0.0014471138596220128
A21N,3f9befbb,1,1778310185,2026-05-09 15:03:05.000 PHT,6,495,8.0,0.12058465286236297,14.514496,121.01355,84,268.5,12.0,133,2,1048.7747586168928,-1043.4546329118284,15.0,46.30000000000001,-1.0,-0.125,5.787500000000001,543.5016443862227,0.0022873888653939197
A21N,3f9befbb,1,1778310192,2026-05-09 15:03:12.000 PHT,7,502,7.0,0.1222898903775883,14.51117,121.017006,175,264.8,15.0,134,2,1420.8028415462377,-1413.2894697684944,91.0,-3.6999999999999886,1.0,0.14285714285714285,-0.5285714285714269,524.5785969898088,0.0030984080925964717
A21N,3f9befbb,1,1778310198,2026-05-09 15:03:18.000 PHT,8,508,6.0,0.12375152253349574,14.507996,121.02018,267,264.8,15.6,136,2,1762.4798669708691,-1766.2226544296766,92.0,0.0,2.0,0.3333333333333333,0.0,491.22781143454586,0.003857865688266899
A21N,3f9befbb,1,1778310200,2026-05-09 15:03:20.000 PHT,9,510,2.0,0.12423873325213154,14.507309,121.020844,290,263.0,16.3,136,2,1833.9593295600248,-1842.6136745501367,23.0,-1.8000000000000114,0.0,0.0,-0.9000000000000057,104.6177663746955,0.004019608886566907
A21N,3f9befbb,1,1778310203,2026-05-09 15:03:23.000 PHT,10,513,3.0,0.12496954933008526,14.505936,121.022171,335,263.0,15.6,137,2,1976.811269739102,-1995.2845197107372,45.0,0.0,1.0,0.3333333333333333,0.0,209.0812423126045,0.004342856744058531
A21N,3f9befbb,1,1778310205,2026-05-09 15:03:25.000 PHT,11,515,2.0,0.12545676004872108,14.504932,121.023079,366,263.0,15.3,137,2,2074.5585496342414,-2106.9243802652586,31.0,0.0,0.0,0.0,0.0,148.38425453906112,0.004572264661453289
A21N,3f9befbb,1,1778310207,2026-05-09 15:03:27.000 PHT,12,517,2.0,0.1259439707673569,14.503955,121.023994,396,261.1,15.3,137,2,2173.0596656992743,-2215.561973653274,30.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,146.64421173711423,0.0047989824039598
A21N,3f9befbb,1,1778310209,2026-05-09 15:03:29.000 PHT,13,519,2.0,0.1264311814859927,14.503006,121.024872,427,261.1,14.6,137,3,2267.5781441019294,-2321.086104795172,31.0,0.0,0.0,0.0,0.0,141.66512720596438,0.005018002285150958
A21N,3f9befbb,1,1778310211,2026-05-09 15:03:31.000 PHT,14,521,2.0,0.1269183922046285,14.501906,121.025917,457,261.1,14.3,137,3,2380.074880124317,-2443.400693051881,30.0,0.0,0.0,0.0,0.0,166.1815253405145,0.005274925486040955
A21N,3f9befbb,1,1778310213,2026-05-09 15:03:33.000 PHT,15,523,2.0,0.1274056029232643,14.500882,121.026833,488,261.1,14.3,137,3,2478.685253632092,-2557.2644552110246,31.0,0.0,0.0,0.0,0.0,150.62815550693136,0.0055078025629464586
A21N,3f9befbb,1,1778310215,2026-05-09 15:03:35.000 PHT,16,525,2.0,0.1278928136419001,14.499893,121.027756,518,261.1,14.0,138,3,2578.049411687883,-2667.2363895618137,30.0,0.0,1.0,0.5,0.0,148.21264167070268,0.005736945160069531
A21N,3f9befbb,1,1778310217,2026-05-09 15:03:37.000 PHT,17,527,2.0,0.12838002436053594,14.49888,121.028664,549,261.1,13.7,138,3,2675.799442774984,-2779.8770058385035,31.0,0.0,0.0,0.0,0.0,149.14039922531308,0.005967522107010321
A21N,3f9befbb,1,1778310219,2026-05-09 15:03:39.000 PHT,18,529,2.0,0.12886723507917175,14.497879,121.029556,579,261.1,13.3,139,3,2771.8274783135626,-2891.1832811524196,30.0,0.0,1.0,0.5,0.0,147.00459010846518,0.006194797008710727
A21N,3f9befbb,1,1778310226,2026-05-09 15:03:46.000 PHT,19,536,7.0,0.13057247259439708,14.494629,121.032448,663,263.0,12.0,139,3,3083.1680269430417,-3252.567291911167,84.0,1.8999999999999773,0.0,0.0,0.2714285714285682,477.0011002278608,0.006932259547025232
A21N,3f9befbb,1,1778310235,2026-05-09 15:03:55.000 PHT,20,545,9.0,0.13276492082825822,14.490129,121.036476,770,263.0,11.1,138,3,3516.8129540867553,-3752.945152962175,107.0,0.0,-1.0,-0.1111111111111111,0.0,662.1356207849158,0.007955947365311682
A21N,3f9befbb,1,1778310241,2026-05-09 15:04:01.000 PHT,21,551,6.0,0.13422655298416566,14.487167,121.039124,838,263.0,11.1,138,3,3801.8951836549722,-4082.304980614006,68.0,0.0,0.0,0.0,0.0,435.6015856825471,0.008629404619221202
A21N,3f9befbb,1,1778310250,2026-05-09 15:04:10.000 PHT,22,560,9.0,0.1364190012180268,14.482361,121.04348,945,264.8,11.1,138,3,4270.867405021957,-4616.708536216268,107.0,1.8000000000000114,0.0,0.0,0.20000000000000126,710.9991859457981,0.00972863743892888
A21N,3f9befbb,1,1778310257,2026-05-09 15:04:17.000 PHT,23,567,7.0,0.13812423873325214,14.479294,121.046227,1013,266.7,9.8,138,3,4566.618344016837,-4957.743847292455,68.0,1.8999999999999773,0.0,0.0,0.2714285714285682,451.41177774177334,0.010426537874125962
A21N,3f9befbb,1,1778310266,2026-05-09 15:04:26.000 PHT,24,576,9.0,0.14031668696711327,14.474534,121.050591,1090,285.2,7.2,136,3,5036.467887774461,-5487.032429203909,77.0,18.5,-2.0,-0.2222222222222222,2.0555555555555554,707.7452100842484,0.011520739918648161
A21N,3f9befbb,1,1778310268,2026-05-09 15:04:28.000 PHT,25,578,2.0,0.14080389768574908,14.47323,121.051987,1105,290.8,6.5,133,3,5186.767632185777,-5632.030813828827,15.0,5.600000000000023,-3.0,-1.5,2.8000000000000114,208.84232311796177,0.011843618397629653
A21N,3f9befbb,1,1778310270,2026-05-09 15:04:30.000 PHT,26,580,2.0,0.14129110840438489,14.472253,121.053047,1120,294.5,6.5,132,3,5300.892513055965,-5740.668407216843,15.0,3.6999999999999886,-1.0,-0.5,1.8499999999999943,157.5657940447828,0.012087221337690584
A21N,3f9befbb,1,1778310272,2026-05-09 15:04:32.000 PHT,27,582,2.0,0.14177831912302072,14.471008,121.054512,1135,300.0,7.2,131,3,5458.621242390863,-5879.106282107507,15.0,5.5,-1.0,-0.5,2.75,209.8677922231955,0.01241168523240581
A21N,3f9befbb,1,1778310275,2026-05-09 15:04:35.000 PHT,28,585,3.0,0.1425091352009744,14.469818,121.055984,1158,303.7,7.2,130,3,5617.103743719672,-6011.428427585546,23.0,3.6999999999999886,-1.0,-0.3333333333333333,1.2333333333333296,206.46354276576523,0.012730886023021833
A21N,3f9befbb,1,1778310277,2026-05-09 15:04:37.000 PHT,29,587,2.0,0.14299634591961022,14.468855,121.057144,1166,311.1,7.2,129,3,5741.99577127963,-6118.509289850504,8.0,7.400000000000034,-1.0,-0.5,3.700000000000017,164.5146875153073,0.012985232226808578
A21N,3f9befbb,1,1778310279,2026-05-09 15:04:39.000 PHT,30,589,2.0,0.14348355663824605,14.467804,121.058441,1181,316.7,7.2,129,3,5881.6382785842015,-6235.375319175799,15.0,5.599999999999966,0.0,0.0,2.799999999999983,182.095394469195,0.01326675889782985
A21N,3f9befbb,1,1778310281,2026-05-09 15:04:41.000 PHT,31,591,2.0,0.14397076735688186,14.466843,121.059677,1196,322.2,7.5,129,3,6014.713238972216,-6342.233791280117,15.0,5.5,0.0,0.0,2.75,170.6714982059258,0.013530623774084344
A21N,3f9befbb,1,1778310283,2026-05-09 15:04:43.000 PHT,32,593,2.0,0.14445797807551766,14.465515,121.061333,1219,326.0,7.2,129,3,6193.009314923666,-6489.900857830228,23.0,3.8000000000000114,0.0,0.0,1.9000000000000057,231.50982637151859,0.013888547108263519
A21N,3f9befbb,1,1778310285,2026-05-09 15:04:45.000 PHT,33,595,2.0,0.14494518879415347,14.464645,121.062378,1227,329.7,7.2,129,3,6305.5220337507635,-6586.6405776332485,8.0,3.6999999999999886,0.0,0.0,1.8499999999999943,148.38557899990604,0.014117957073327046
A21N,3f9befbb,1,1778310287,2026-05-09 15:04:47.000 PHT,34,597,2.0,0.14543239951278927,14.463408,121.063988,1250,335.2,7.2,129,3,6478.866340726987,-6724.188891882417,23.0,5.5,0.0,0.0,2.75,221.2910047865435,0.014460081705781974
A21N,3f9befbb,1,1778310289,2026-05-09 15:04:49.000 PHT,35,599,2.0,0.14591961023142508,14.462337,121.065338,1265,340.8,7.2,129,3,6624.218406691712,-6843.278822812688,15.0,5.600000000000023,0.0,0.0,2.8000000000000114,187.91179276578654,0.014750600758266523
A21N,3f9befbb,1,1778310292,2026-05-09 15:04:52.000 PHT,36,602,3.0,0.1466504263093788,14.46122,121.066689,1280,344.5,7.2,129,3,6769.679533600848,-6967.483727433415,15.0,3.6999999999999886,0.0,0.0,1.2333333333333296,191.27678877284941,0.01504632222746584
A21N,3f9befbb,1,1778310294,2026-05-09 15:04:54.000 PHT,37,604,2.0,0.1471376370280146,14.460103,121.06813,1288,350.0,7.2,129,3,6924.830535830096,-7091.688632054141,8.0,5.5,0.0,0.0,2.75,198.7465612430117,0.015353592259894562
A21N,3f9befbb,1,1778310296,2026-05-09 15:04:56.000 PHT,38,606,2.0,0.14762484774665044,14.458969,121.069572,1303,355.6,7.2,128,3,7080.090247993213,-7217.783853038884,15.0,5.600000000000023,-1.0,-0.5,2.8000000000000114,200.0175238347297,0.015662827250681962
A21N,3f9befbb,1,1778310298,2026-05-09 15:04:58.000 PHT,39,608,2.0,0.14811205846528624,14.457728,121.071121,1318,361.1,7.2,128,3,7246.8718758828345,-7355.776947608977,15.0,5.5,0.0,0.0,2.75,216.47108330358594,0.015997500094179586
A21N,3f9befbb,1,1778310300,2026-05-09 15:05:00.000 PHT,40,610,2.0,0.14859926918392205,14.456314,121.072937,1341,368.5,7.5,129,3,7442.402032287356,-7513.006791059142,23.0,7.399999999999977,1.0,0.5,3.6999999999999886,250.9095888354254,0.016385416227248525
A21N,3f9befbb,1,1778310307,2026-05-09 15:05:07.000 PHT,41,617,7.0,0.15030450669914738,14.452194,121.078094,1387,387.1,6.5,128,3,7997.668979094702,-7971.130521621264,46.0,18.600000000000023,-1.0,-0.14285714285714285,2.6571428571428606,719.8720543085101,0.01749836685184548
A21N,3f9befbb,1,1778310315,2026-05-09 15:05:15.000 PHT,42,625,8.0,0.15225334957369063,14.446882,121.084801,1440,413.0,6.8,129,3,8719.842766475316,-8561.79878782171,53.0,25.899999999999977,1.0,0.125,3.237499999999997,932.9812310120503,0.018940792679570547
A21N,3f9befbb,1,1778310322,2026-05-09 15:05:22.000 PHT,43,632,7.0,0.15395858708891597,14.442215,121.090691,1494,431.5,9.4,129,3,9354.060667326674,-9080.746227271582,54.0,18.5,0.0,0.0,2.642857142857143,819.4887715250746,0.020207754682971434
A21N,3f9befbb,1,1778310330,2026-05-09 15:05:30.000 PHT,44,640,8.0,0.1559074299634592,14.436584,121.097794,1562,453.7,8.8,129,3,10118.90863636986,-9706.88572406673,68.0,22.19999999999999,0.0,0.0,2.7749999999999986,988.4717902907886,0.02173597110673211
A21N,3f9befbb,1,1778310343,2026-05-09 15:05:43.000 PHT,45,653,13.0,0.15907429963459196,14.426605,121.11039,1676,487.1,9.1,129,3,11475.287963017297,-10816.501429717047,114.0,33.400000000000034,0.0,0.0,2.5692307692307716,1752.4602996608887,0.024445343936828224
A21N,3f9befbb,1,1778310357,2026-05-09 15:05:57.000 PHT,46,667,14.0,0.16248477466504263,14.416397,121.123222,1821,511.2,13.7,129,3,12857.144384757616,-11951.580808741088,145.0,24.099999999999966,0.0,0.0,1.721428571428569,1788.3059679812636,0.027210135585737327
A21N,3f9befbb,1,1778310369,2026-05-09 15:06:09.000 PHT,47,679,12.0,0.1654080389768575,14.405914,121.136391,2027,514.9,16.9,129,3,14275.357929323587,-13117.238834829304,206.0,3.6999999999999886,0.0,0.0,0.3083333333333324,1835.8101346837643,0.03004837055236667
A21N,3f9befbb,1,1778310382,2026-05-09 15:06:22.000 PHT,48,692,13.0,0.16857490864799027,14.395255,121.149803,2233,520.4,16.3,129,3,15719.809000761234,-14302.4671950382,206.0,5.5,0.0,0.0,0.4230769230769231,1868.5077002607798,0.03293715724664531
A21N,3f9befbb,1,1778310395,2026-05-09 15:06:35.000 PHT,49,705,13.0,0.17174177831912302,14.384628,121.163239,2431,524.1,15.6,129,3,17166.91218792496,-15484.137312680052,198.0,3.7000000000000455,0.0,0.0,0.2846153846153881,1868.3075048754938,0.03582563443095233
A21N,3f9befbb,1,1778310408,2026-05-09 15:06:48.000 PHT,50,718,13.0,0.1749086479902558,14.373505,121.177116,2667,522.3,19.2,129,3,18661.59121547634,-16720.960190117603,236.0,-1.8000000000000682,0.0,0.0,-0.13846153846154372,1940.0793245034731,0.03882507368276196
A21N,3f9befbb,1,1778310421,2026-05-09 15:07:01.000 PHT,51,731,13.0,0.17807551766138854,14.362716,121.190666,2896,518.6,15.9,129,3,20121.1180724645,-17920.643910757073,229.0,-3.699999999999932,0.0,0.0,-0.2846153846153794,1889.3317006542031,0.04174605510401431
