aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A339,3ecf631a,1,1773917488,2026-03-19 18:51:28.000 PHT,0,0,0.0,0.0,14.498108,121.000671,0,13.0,0.0,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A339,3ecf631a,1,1773917511,2026-03-19 18:51:51.000 PHT,1,23,23.0,0.006548974943052392,14.498245,121.000885,0,7.4,0.0,61,1,23.037986081796014,15.233725992105667,0.0,-5.6,-12.0,-0.5217391304347826,-0.2434782608695652,27.619109513292432,4.3501910857772266e-05
A339,3ecf631a,1,1773917514,2026-03-19 18:51:54.000 PHT,2,26,3.0,0.007403189066059226,14.498345,121.001091,0,31.5,0.0,61,1,45.21472883536897,26.353234015217776,0.0,24.1,0.0,0.0,8.033333333333333,24.808291040041283,8.25765980716431e-05
A339,3ecf631a,1,1773917517,2026-03-19 18:51:57.000 PHT,3,29,3.0,0.00825740318906606,14.498508,121.001373,0,57.4,0.0,61,1,75.57316182904226,44.47803209315576,0.0,25.9,0.0,0.0,8.633333333333333,35.35735826066917,0.0001382667587729391
A339,3ecf631a,1,1773917519,2026-03-19 18:51:59.000 PHT,4,31,2.0,0.008826879271070615,14.498694,121.001709,0,74.1,0.0,59,1,111.74488469017196,65.16031701667477,0.0,16.699999999999996,-2.0,-1.0,8.349999999999998,41.6671378558661,0.00020389523661477654
A339,3ecf631a,1,1773917520,2026-03-19 18:52:00.000 PHT,5,32,1.0,0.009111617312072893,14.49884,121.001953,0,83.3,0.0,59,1,138.01242290047728,81.39479873094895,0.0,9.200000000000003,0.0,0.0,9.200000000000003,30.879476508452285,0.00025253243955424345
A339,3ecf631a,1,1773917522,2026-03-19 18:52:02.000 PHT,6,34,2.0,0.00968109339407745,14.499012,121.002266,0,98.2,0.0,59,1,171.7080570103956,100.52035253105544,0.0,14.900000000000006,0.0,0.0,7.450000000000003,38.74509549838661,0.0003135585088319478
A339,3ecf631a,1,1773917523,2026-03-19 18:52:03.000 PHT,7,35,1.0,0.009965831435079727,14.499195,121.002602,0,107.4,0.0,61,1,207.87969978488698,120.8690522139695,0.0,9.200000000000003,2.0,2.0,9.200000000000003,41.50249524151562,0.00037892766374632384
A339,3ecf631a,1,1773917525,2026-03-19 18:52:05.000 PHT,8,37,2.0,0.010535307517084282,14.499413,121.002991,0,114.8,0.0,61,1,249.75694782234098,145.1095797048844,0.0,7.3999999999999915,0.0,0.0,3.6999999999999957,48.38705444312072,0.00045514045141935717
A339,3ecf631a,1,1773917532,2026-03-19 18:52:12.000 PHT,9,44,7.0,0.012528473804100227,14.500731,121.005356,0,170.4,0.0,59,1,504.35681906454374,291.6646954525081,0.0,55.60000000000001,-2.0,-0.2857142857142857,7.942857142857144,293.76775322310374,0.000917843950511138
A339,3ecf631a,1,1773917533,2026-03-19 18:52:13.000 PHT,10,45,1.0,0.012813211845102505,14.500871,121.0056,0,170.4,0.0,59,1,530.6241143494811,307.2320066852187,0.0,0.0,0.0,0.0,0.0,30.533787564004072,0.0009659366706663694
