aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A21N,3f8b85eb,1,1777964577,2026-05-05 15:02:57.000 PHT,0,0,0.0,0.0,14.523845,121.00383,0.0,16.7,0.0,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f8b85eb,1,1777964585,2026-05-05 15:03:05.000 PHT,1,8,8.0,0.0020817069997397,14.52364,121.004036,0.0,13.0,0.0,135,1,22.174191935209077,-22.7949914478219,0.0,-3.6999999999999993,0.0,0.0,-0.4624999999999999,31.801044370980993,5.074163313247712e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f8b85eb,1,1777964901,2026-05-05 15:08:21.000 PHT,2,324,316.0,0.0843091334894613,14.523391,121.004295,0.0,33.3,0.0,135,1,50.053422587246686,-50.48256642616679,0.0,20.299999999999997,0.0,0.0,0.0642405063291139,39.291899093338195,0.0001134356473797,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f8b85eb,1,1777964908,2026-05-05 15:08:28.000 PHT,3,331,7.0,0.0861306271142336,14.522427,121.005302,0.0,105.6,0.0,135,1,158.44902927922277,-157.6746237710895,0.0,72.3,0.0,0.0,10.328571428571427,152.44587622331625,0.0003566777445148,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f8b85eb,1,1777964916,2026-05-05 15:08:36.000 PHT,4,339,8.0,0.0882123341139734,14.520401,121.007393,61.0,174.1,0.3,135,2,383.5302152851105,-382.9558563244689,61.0,68.5,0.0,0.0,8.5625,318.454348567066,0.0008648023688487,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A21N,3f8b85eb,1,1777964922,2026-05-05 15:08:42.000 PHT,5,345,6.0,0.0897736143637783,14.518204,121.009666,69.0,235.2,0.3,134,2,628.2047296699025,-627.2514475972816,8.0,61.099999999999994,-1.0,-0.1666666666666666,10.183333333333332,345.7541812368007,0.0014164865089566,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
A21N,3f8b85eb,1,1777964930,2026-05-05 15:08:50.000 PHT,6,353,8.0,0.091855321363518,14.514084,121.013931,61.0,290.8,4.2,135,2,1087.312382077734,-1085.375178159403,-8.0,55.60000000000002,1.0,0.125,6.950000000000003,648.5809057116551,0.0024513598920579,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,4
A21N,3f8b85eb,1,1777964939,2026-05-05 15:08:59.000 PHT,7,362,9.0,0.0941972417382253,14.509644,121.018433,168.0,290.8,15.3,135,2,1571.941592535503,-1579.0813343965442,107.0,0.0,0.0,0.0,0.0,691.8171900650982,0.0035552209364787,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,7
A21N,3f8b85eb,1,1777964945,2026-05-05 15:09:05.000 PHT,8,368,6.0,0.0957585219880301,14.506375,121.021729,251.0,288.9,15.9,136,2,1926.754117892549,-1942.578051679948,83.0,-1.900000000000034,1.0,0.1666666666666666,-0.3166666666666723,507.9582941231057,0.0043657173813852,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,8
A21N,3f8b85eb,1,1777964954,2026-05-05 15:09:14.000 PHT,9,377,9.0,0.0981004423627374,14.501724,121.0261,381.0,290.8,14.6,138,2,2397.2995731636515,-2459.746369846121,130.0,1.900000000000034,2.0,0.2222222222222222,0.2111111111111149,699.1956178236181,0.0054813514188578,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,10
A21N,3f8b85eb,1,1777964960,2026-05-05 15:09:20.000 PHT,10,383,6.0,0.0996617226125422,14.498062,121.02932,472.0,288.9,13.3,139,2,2743.9457378616626,-2866.942753661151,91.0,-1.900000000000034,1.0,0.1666666666666666,-0.3166666666666723,534.7622957857113,0.0063346162333492,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,12
A21N,3f8b85eb,1,1777964969,2026-05-05 15:09:29.000 PHT,11,392,9.0,0.1020036429872495,14.493527,121.033295,579.0,281.5,11.7,140,2,3171.87874653024,-3371.2124425201605,107.0,-7.399999999999977,1.0,0.1111111111111111,-0.8222222222222197,661.3711818301075,0.0073898977354699,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,14
A21N,3f8b85eb,1,1777964978,2026-05-05 15:09:38.000 PHT,12,401,9.0,0.1043455633619568,14.488453,121.037682,693.0,277.8,11.1,140,3,3644.1768054053086,-3935.4162796250703,114.0,-3.6999999999999886,0.0,0.0,-0.4111111111111099,735.7904723076397,0.0085639223924172,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,17
