aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A21N,3f94fca3,1,1778167647,2026-05-07 23:27:27.000 PHT,0,0,0.0,0.0,14.498096,121.000031,0.0,16.7,0.0,149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f94fca3,1,1778167654,2026-05-07 23:27:34.000 PHT,1,7,7.0,0.0019444444444444,14.497938,121.000252,0.0,13.0,0.0,123,1,23.791582192148123,-17.568822677047624,0.0,-3.6999999999999993,-26.0,-3.7142857142857144,-0.5285714285714285,29.575376810157596,4.636888282862719e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f94fca3,1,1778167661,2026-05-07 23:27:41.000 PHT,2,14,7.0,0.0038888888888888,14.497996,121.000481,0.0,13.0,0.0,84,1,48.44439178631975,-11.119508023465771,0.0,0.0,-39.0,-5.571428571428571,0.0,25.482450182255036,8.632079127841227e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f94fca3,1,1778167670,2026-05-07 23:27:50.000 PHT,3,23,9.0,0.0063888888888888,14.498136,121.00071,0.0,13.0,0.0,61,1,73.09718140165327,4.447803209244843,0.0,0.0,-23.0,-2.5555555555555554,0.0,29.156512886766425,0.0001320329706503,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f94fca3,1,1778167677,2026-05-07 23:27:57.000 PHT,4,30,7.0,0.0083333333333333,14.498252,121.000923,0.0,13.0,0.0,61,1,96.0274944671678,17.34643251640855,0.0,0.0,0.0,0.0,0.0,26.30921279444797,0.0001732810944936,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f94fca3,1,1778167684,2026-05-07 23:28:04.000 PHT,5,37,7.0,0.0102777777777777,14.498417,121.001213,0.0,25.9,0.0,59,1,127.24714820789424,35.69362075498561,0.0,12.9,-2.0,-0.2857142857142857,1.8428571428571427,36.21170587269021,0.0002300545502441,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f94fca3,1,1778167687,2026-05-07 23:28:07.000 PHT,6,40,3.0,0.0111111111111111,14.4986,121.001549,0.0,46.3,0.0,59,1,163.4188588912261,56.04232043754602,0.0,20.4,0.0,0.0,6.8,41.50257990128273,0.0002951231468974,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f94fca3,1,1778167689,2026-05-07 23:28:09.000 PHT,7,42,2.0,0.0116666666666666,14.498737,121.001793,0.0,64.8,0.0,61,1,189.68639021810344,71.27604642965169,0.0,18.5,2.0,1.0,9.25,30.365287653430475,0.0003427304681598,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f94fca3,1,1778167690,2026-05-07 23:28:10.000 PHT,8,43,1.0,0.0119444444444444,14.498869,121.002045,0.0,75.9,0.0,61,1,216.81513967014357,85.95379702015967,0.0,11.100000000000009,0.0,0.0,11.100000000000009,30.84487551821326,0.0003910896971207,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f94fca3,1,1778167692,2026-05-07 23:28:12.000 PHT,9,45,2.0,0.0125,14.499046,121.00235,0.0,94.5,0.0,61,1,249.64950748257712,105.63532622186383,0.0,18.59999999999999,0.0,0.0,9.299999999999995,38.281330006399024,0.0004511079520693,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
