aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A339,3fddefa6,1,1779739459,2026-05-26 04:04:19.000 PHT,0,0,0.0,0.0,14.498955,120.99955,0.0,9.3,0.0,216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739469,2026-05-26 04:04:29.000 PHT,1,10,10.0,0.0022925263640531,14.498741,120.999596,0.0,5.6,0.0,185,1,4.952075458436353,-23.79574716999041,0.0,-3.700000000000001,-31.0,-3.1,-0.3700000000000001,24.30556797781364,3.5020511469444434e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739575,2026-05-26 04:06:15.000 PHT,2,116,106.0,0.0265933058230169,14.49852,120.999786,0.0,5.6,0.0,154,1,25.40631284581276,-48.369859901863904,0.0,0.0,-31.0,-0.2924528301886792,0.0,31.97285014996021,8.108837404355043e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739588,2026-05-26 04:06:28.000 PHT,3,129,13.0,0.0295735900962861,14.49831,120.999916,0.0,7.4,0.0,149,1,39.40133435780665,-71.72082675057617,0.0,1.8000000000000007,-5.0,-0.3846153846153846,0.1384615384615385,27.22367218832065,0.0001203134160167,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739602,2026-05-26 04:06:42.000 PHT,4,143,14.0,0.0327831270059605,14.498101,121.000046,0.0,7.4,0.0,149,1,53.39636901349741,-94.9605985196762,0.0,0.0,0.0,0.0,0.0,27.128362223041737,0.0001594011312779,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739617,2026-05-26 04:06:57.000 PHT,5,158,15.0,0.0362219165520403,14.497902,121.000259,0.0,9.3,0.0,135,1,76.32669885371955,-117.08841948593457,0.0,1.9000000000000004,-14.0,-0.9333333333333332,0.1266666666666666,31.865991498423107,0.0002053150272944,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739627,2026-05-26 04:07:07.000 PHT,6,168,10.0,0.0385144429160935,14.497948,121.000481,0.0,9.3,0.0,98,1,100.22588047305544,-111.97344579547982,0.0,0.0,-37.0,-3.7,0.0,24.440477307936003,0.0002405299219499,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739637,2026-05-26 04:07:17.000 PHT,7,178,10.0,0.0408069692801467,14.498108,121.000687,0.0,11.1,0.0,67,1,122.402561711001,-94.18223295779312,0.0,1.799999999999999,-31.0,-3.1,0.1799999999999998,28.431255426926732,0.0002814949019775,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739643,2026-05-26 04:07:23.000 PHT,8,184,6.0,0.0421824850985786,14.498257,121.000893,0.0,22.2,0.0,59,1,144.5792305233458,-77.614166002914,0.0,11.1,-8.0,-1.3333333333333333,1.85,27.682290145217507,0.0003213807404988,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739649,2026-05-26 04:07:29.000 PHT,9,190,6.0,0.0435580009170105,14.498497,121.00132,0.0,48.2,0.0,59,1,190.5473562404488,-50.92734674709128,0.0,26.000000000000004,0.0,0.0,4.333333333333334,53.15325728115566,0.0003979662478999,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739651,2026-05-26 04:07:31.000 PHT,10,192,2.0,0.0440165061898211,14.498669,121.001617,0.0,64.8,0.0,59,1,222.520470321511,-31.801792946984783,0.0,16.599999999999994,0.0,0.0,8.299999999999997,37.25686077548309,0.0004516475410626,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A339,3fddefa6,1,1779739653,2026-05-26 04:07:33.000 PHT,11,194,2.0,0.0444750114626318,14.498904,121.00206,0.0,81.5,0.0,59,1,270.2109745114217,-5.670949092052422,0.0,16.700000000000003,0.0,0.0,8.350000000000001,54.38032164242558,0.0005300010557605,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A339,3fddefa6,1,1779739655,2026-05-26 04:07:35.000 PHT,12,196,2.0,0.0449335167354424,14.499092,121.002365,0.0,98.2,0.0,59,1,303.04524722524354,15.233725991752005,0.0,16.700000000000003,0.0,0.0,8.350000000000001,38.92431992192502,0.0005860848960357,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A339,3fddefa6,1,1779739656,2026-05-26 04:07:36.000 PHT,13,197,1.0,0.0451627693718477,14.499265,121.002693,0.0,107.4,0.0,59,1,338.3555382500148,34.47047487217803,0.0,9.200000000000005,0.0,0.0,9.200000000000005,40.21040591775649,0.0006440217845264,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A339,3fddefa6,1,1779739657,2026-05-26 04:07:37.000 PHT,14,198,1.0,0.0453920220082531,14.499416,121.002945,0.0,114.8,0.0,59,1,365.4841428308681,51.260931987696225,0.0,7.399999999999992,0.0,0.0,7.399999999999992,31.904323574785025,0.0006899909110531,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A339,3fddefa6,1,1779739659,2026-05-26 04:07:39.000 PHT,15,200,2.0,0.0458505272810637,14.499649,121.00338,0.0,129.6,0.0,61,1,412.31326391823205,77.16938568198951,0.0,14.799999999999995,2.0,1.0,7.399999999999999,53.51848270273586,0.0007671026510063,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A339,3fddefa6,1,1779739660,2026-05-26 04:07:40.000 PHT,16,201,1.0,0.046079779917469,14.499905,121.003838,0.0,137.0,0.0,61,1,461.6183431476578,105.63532622186383,0.0,7.400000000000006,0.0,0.0,7.400000000000006,56.93256083503345,0.0008491335420979,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A339,3fddefa6,1,1779739665,2026-05-26 04:07:45.000 PHT,17,206,5.0,0.0472260430994956,14.500824,121.005493,0.0,174.1,0.0,61,1,639.7836108894584,207.8236049562977,0.0,37.099999999999994,0.0,0.0,7.419999999999999,205.39111950977477,0.0011450699326023,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
