aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_direction_x,attack_direction_y,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_center_bin,attack_envelope_type,attack_envelope_params,attack_envelope,attack_var_x,attack_var_y,attack_cov_xy,attack_mean_delta_x,attack_mean_delta_y,attack_delta_x,attack_delta_y,x_wrt0_offset,y_wrt0_offset,bin_id
A21N,3f8f694c,1,1778050557,2026-05-06 14:55:57.000 PHT,0,0,0.0,0.0,14.510274,121.018166,0,16.7,0.0,239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f8f694c,1,1778050565,2026-05-06 14:56:05.000 PHT,1,8,8.0,0.0022707919386886,14.510147,121.017929,0,9.3,0.0,241,1,-25.512645056414996,-14.121775189617624,0.0,-7.399999999999999,2.0,0.25,-0.9249999999999998,29.16023992151537,4.424904915322515e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f8f694c,1,1778050579,2026-05-06 14:56:19.000 PHT,2,22,14.0,0.0062446778313936,14.510356,121.017731,0,9.3,0.0,306,1,-46.82698464771736,9.11799657912876,0.0,0.0,65.0,4.642857142857143,0.0,31.533931535154135,9.210004387237148e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f8f694c,1,1778050594,2026-05-06 14:56:34.000 PHT,3,37,15.0,0.0105024127164348,14.510582,121.017517,0,9.3,0.0,315,1,-69.86367246605937,34.248084711892616,0.0,0.0,9.0,0.6,0.0,34.091219102222354,0.000143831580849,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f8f694c,1,1778050603,2026-05-06 14:56:43.000 PHT,4,46,9.0,0.0130570536474595,14.510834,121.017273,0,24.1,0.0,315,1,-96.12977504358744,62.269244930842454,0.0,14.8,0.0,0.0,1.6444444444444446,38.406961525618605,0.0002021120179423,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f8f694c,1,1778050606,2026-05-06 14:56:46.000 PHT,5,49,3.0,0.0139086006244677,14.511089,121.016991,0,37.0,0.0,315,1,-126.4864732610109,90.62399039039724,0.0,12.9,0.0,0.0,4.3,41.539399935237654,0.0002651457568442,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f8f694c,1,1778050608,2026-05-06 14:56:48.000 PHT,6,51,2.0,0.0144762986091399,14.51138,121.016708,0,64.8,0.0,315,1,-156.95077175207518,122.98175873862606,0.0,27.799999999999997,0.0,0.0,13.9,44.44210057426903,0.000332584183211,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f8f694c,1,1778050615,2026-05-06 14:56:55.000 PHT,7,58,7.0,0.0164632415554924,14.512718,121.015305,0,129.6,0.0,315,1,-307.97997321363295,271.7607760908722,0.0,64.8,0.0,0.0,9.257142857142856,212.00246461419565,0.0006542861823223,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A21N,3f8f694c,1,1778050623,2026-05-06 14:57:03.000 PHT,8,66,8.0,0.018734033494181,14.515407,121.012527,69,214.8,-0.3,314,2,-607.0215030490303,570.7643468388111,69.0,85.20000000000002,-1.0,-0.125,10.650000000000002,422.8819022118008,0.0012959860492419,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A21N,3f8f694c,1,1778050630,2026-05-06 14:57:10.000 PHT,9,73,7.0,0.0207209764405336,14.518799,121.009003,69,272.2,0.3,314,2,-986.3620164714132,947.938058990908,0.0,57.39999999999998,0.0,0.0,8.199999999999998,534.9387118031683,0.0021077259188812,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
A21N,3f8f694c,1,1778050638,2026-05-06 14:57:18.000 PHT,10,81,8.0,0.0229917683792222,14.523514,121.004128,91,331.5,11.4,314,2,-1511.121082458855,1472.2228622922264,22.0,59.30000000000001,0.0,0.0,7.412500000000001,741.7863907053394,0.0032333456857918,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
A21N,3f8f694c,1,1778050645,2026-05-06 14:57:25.000 PHT,11,88,7.0,0.0249787113255747,14.527417,121.000191,175,337.1,15.3,315,2,-1934.902542331674,1906.2172604433988,84.0,5.600000000000023,1.0,0.1428571428571428,0.8000000000000033,606.5825660998336,0.0041538011366071,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
A21N,3f8f694c,1,1778050653,2026-05-06 14:57:33.000 PHT,12,96,8.0,0.0272495032642634,14.532349,120.995087,290,338.9,14.0,314,2,-2484.290292265149,2454.6313961553124,115.0,1.7999999999999543,-1.0,-0.125,0.2249999999999943,776.2636561103652,0.0053317382443792,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
A21N,3f8f694c,1,1778050662,2026-05-06 14:57:42.000 PHT,13,105,9.0,0.0298041441952881,14.537659,120.989586,411,342.6,14.3,314,2,-3076.3969105424403,3045.077272195474,121.0,3.7000000000000455,0.0,0.0,0.4111111111111161,836.1918946923757,0.0066006131353046,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
A21N,3f8f694c,1,1778050670,2026-05-06 14:57:50.000 PHT,14,113,8.0,0.0320749361339767,14.542966,120.984093,526,338.9,12.4,314,2,-3667.6282078779273,3635.189562994677,115.0,-3.7000000000000455,0.0,0.0,-0.4625000000000057,835.3366373946054,0.0078681902206458,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
A21N,3f8f694c,1,1778050677,2026-05-06 14:57:57.000 PHT,15,120,7.0,0.0340618790803292,14.546814,120.980118,587,340.8,5.5,315,3,-4095.4627939182615,4063.068231733226,61.0,1.900000000000034,1.0,0.1428571428571428,0.2714285714285763,605.0808322009835,0.0087863668734373,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
A21N,3f8f694c,1,1778050685,2026-05-06 14:58:05.000 PHT,16,128,8.0,0.0363326710190178,14.551987,120.974861,640,357.4,6.5,315,3,-4661.268431683251,4638.280381781636,53.0,16.599999999999966,0.0,0.0,2.0749999999999957,806.8496163066552,0.0100107164819216,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
A21N,3f8f694c,1,1778050692,2026-05-06 14:58:12.000 PHT,17,135,7.0,0.0383196139653704,14.55614,120.970604,686,372.3,5.2,315,3,-5119.43577902907,5100.073549991119,46.0,14.900000000000034,0.0,0.0,2.1285714285714334,650.5157376346456,0.0109978380874713,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
A21N,3f8f694c,1,1778050700,2026-05-06 14:58:20.000 PHT,18,143,8.0,0.040590405904059,14.562012,120.964584,739,390.8,6.2,315,3,-5767.33450283563,5753.011061122409,53.0,18.5,0.0,0.0,2.3125,919.8375258642905,0.0123936405913087,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
A21N,3f8f694c,1,1778050707,2026-05-06 14:58:27.000 PHT,19,150,7.0,0.0425773488504115,14.566987,120.959473,785,405.6,6.5,315,3,-6317.389292963987,6306.206585284172,46.0,14.800000000000011,0.0,0.0,2.114285714285716,780.1192633210875,0.0135774283694951,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
A21N,3f8f694c,1,1778050711,2026-05-06 14:58:31.000 PHT,20,154,4.0,0.0437127448197558,14.570292,120.956055,815,414.8,6.8,314,3,-6685.23386668944,6673.70632545625,30.0,9.199999999999989,-1.0,-0.25,2.299999999999997,519.9669975821786,0.0143664494919548,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
A21N,3f8f694c,1,1778050714,2026-05-06 14:58:34.000 PHT,21,157,3.0,0.0445642917967641,14.571762,120.954544,831,422.3,6.2,314,3,-6847.845532581946,6837.163093399357,16.0,7.5,0.0,0.0,2.5,230.56606480987375,0.0147163207262896,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
A21N,3f8f694c,1,1778050716,2026-05-06 14:58:36.000 PHT,22,159,2.0,0.0451319897814362,14.573547,120.952652,846,427.8,6.5,314,3,-7051.459236152627,7035.646311616241,15.0,5.5,0.0,0.0,2.75,284.3480984207383,0.0151478032181178,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
A21N,3f8f694c,1,1778050718,2026-05-06 14:58:38.000 PHT,23,161,2.0,0.0456996877661084,14.574875,120.951279,861,431.5,6.8,314,3,-7199.217511341893,7183.313378166707,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,208.8972783544784,0.0154647932690488,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
