aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_direction_x,attack_direction_y,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_center_bin,attack_envelope_type,attack_envelope_params,attack_envelope,attack_var_x,attack_var_y,attack_cov_xy,attack_mean_delta_x,attack_mean_delta_y,attack_delta_x,attack_delta_y,x_wrt0_offset,y_wrt0_offset,bin_id
A21N,3f936b43,1,1778137277,2026-05-07 15:01:17.000 PHT,0,0,0.0,0.0,14.523857,121.003784,0,7.4,0.0,213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f936b43,1,1778137297,2026-05-07 15:01:37.000 PHT,1,20,20.0,0.0053064473335102,14.523682,121.004005,0,3.7,0.0,140,1,23.788814655406796,-19.45913904071144,0.0,-3.7,-73.0,-3.65,-0.185,30.733789140203076,4.972135961033917e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f936b43,1,1778137549,2026-05-07 15:05:49.000 PHT,2,272,252.0,0.0721676837357389,14.52346,121.004211,0,24.1,0.0,137,1,45.96302694602247,-44.144446852550814,0.0,20.4,-3.0,-0.0119047619047619,0.0809523809523809,33.18222373567837,0.0001034038154736,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f936b43,1,1778137556,2026-05-07 15:05:56.000 PHT,3,279,7.0,0.0740249403024674,14.522667,121.005051,0,94.5,0.0,135,1,136.3823408476504,-132.32214547768655,0.0,70.4,-2.0,-0.2857142857142857,10.05714285714286,126.297104618483,0.0003077282392482,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A21N,3f936b43,1,1778137563,2026-05-07 15:06:03.000 PHT,4,286,7.0,0.075882196869196,14.521156,121.006607,0,151.9,0.0,135,1,303.87424096320154,-300.3379117107124,0.0,57.400000000000006,0.0,0.0,8.200000000000001,237.240024404594,0.0006915369689032,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A21N,3f936b43,1,1778137570,2026-05-07 15:06:10.000 PHT,5,293,7.0,0.0777394534359246,14.518759,121.009102,76,220.4,0.7,134,2,572.4449058996395,-566.8725190304566,76.0,68.5,-1.0,-0.1428571428571428,9.785714285714286,378.37930076777747,0.0013036819015296,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A21N,3f936b43,1,1778137577,2026-05-07 15:06:17.000 PHT,6,300,7.0,0.0795967100026532,14.515594,121.012367,69,268.5,3.3,135,2,923.9055612754644,-918.8049479694702,-7.0,48.099999999999994,1.0,0.1428571428571428,6.871428571428571,497.3740991299144,0.0021083375309052,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
A21N,3f936b43,1,1778137586,2026-05-07 15:06:26.000 PHT,7,309,9.0,0.0819846113027328,14.511264,121.016861,160,275.9,13.7,134,2,1407.669958175387,-1400.2796453806577,91.0,7.399999999999977,-1.0,-0.1111111111111111,0.8222222222222197,682.5290226710043,0.0032125382145861,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
A21N,3f936b43,1,1778137592,2026-05-07 15:06:32.000 PHT,8,315,6.0,0.0835765455027858,14.508424,121.019753,236,275.9,14.3,136,2,1718.9895095897275,-1716.0736732441146,76.0,0.0,2.0,0.3333333333333333,0.0,443.447427173757,0.0039299508607848,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
A21N,3f936b43,1,1778137600,2026-05-07 15:06:40.000 PHT,9,323,8.0,0.0856991244361899,14.504013,121.024109,366,275.9,15.0,135,2,2187.914708129588,-2206.555172154111,130.0,0.0,-1.0,-0.125,0.0,678.5736544066274,0.0050277525193743,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
