aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_direction_x,attack_direction_y,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_center_bin,attack_envelope_type,attack_envelope_params,attack_envelope,attack_var_x,attack_var_y,attack_cov_xy,attack_mean_delta_x,attack_mean_delta_y,attack_delta_x,attack_delta_y,x_wrt0_offset,y_wrt0_offset,bin_id
A321,3f4dcb98,1,1776646230,2026-04-20 08:50:30.000 PHT,0,0,0.0,0.0,14.498005,121.000435,0,14.8,0.0,92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f4dcb98,1,1776646250,2026-04-20 08:50:50.000 PHT,1,20,20.0,0.0057142857142857,14.498171,121.000671,0,9.3,0.0,61,1,25.40638732024773,18.458383318542932,0.0,-5.5,-31.0,-1.55,-0.275,31.40376460553908,4.9484133649779384e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f4dcb98,1,1776646254,2026-04-20 08:50:54.000 PHT,2,24,4.0,0.0068571428571428,14.498291,121.000893,0,33.3,0.0,61,1,49.305602721537326,31.801792946631124,0.0,23.999999999999996,0.0,0.0,5.999999999999999,27.371864719596587,9.261504578855184e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f4dcb98,1,1776646256,2026-04-20 08:50:56.000 PHT,3,26,2.0,0.0074285714285714,14.49852,121.001297,0,59.3,0.0,59,1,92.79783314994374,57.26546631999993,0.0,26.0,-2.0,-1.0,13.0,50.39814028294032,0.0001720293561678,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f4dcb98,1,1776646258,2026-04-20 08:50:58.000 PHT,4,28,2.0,0.008,14.498726,121.001663,0,77.8,0.0,59,1,132.19917185000838,80.17165284814136,0.0,18.5,0.0,0.0,9.25,45.57585614733867,0.000243845005824,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f4dcb98,1,1776646259,2026-04-20 08:50:59.000 PHT,5,29,1.0,0.0082857142857142,14.498893,121.001961,0,85.2,0.0,61,1,164.2800164653851,98.7412312473575,0.0,7.400000000000006,2.0,2.0,7.400000000000006,37.06763656665539,0.0003022539228754,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f4dcb98,1,1776646261,2026-04-20 08:51:01.000 PHT,6,31,2.0,0.0088571428571428,14.49909,121.002335,0,101.9,0.0,61,1,204.5425245904474,120.64666205333045,0.0,16.700000000000003,0.0,0.0,8.350000000000001,45.83575943713303,0.0003744791122568,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f4dcb98,1,1776646262,2026-04-20 08:51:02.000 PHT,7,32,1.0,0.0091428571428571,14.499242,121.002602,0,111.1,0.0,61,1,233.2860519728354,137.5483142488145,0.0,9.199999999999989,0.0,0.0,9.199999999999989,33.34450780465684,0.0004270213504699,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f4dcb98,1,1776646263,2026-04-20 08:51:03.000 PHT,8,33,1.0,0.0094285714285714,14.499458,121.002991,0,118.5,0.0,61,1,275.16329404592005,161.56645157944396,0.0,7.400000000000006,0.0,0.0,7.400000000000006,48.276019484458836,0.0005030917525461,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A321,3f4dcb98,1,1776646265,2026-04-20 08:51:05.000 PHT,9,35,2.0,0.01,14.499619,121.003273,0,125.9,0.0,61,1,305.5215746389541,179.46885949674288,0.0,7.400000000000006,0.0,0.0,3.700000000000003,35.243743214158165,0.0005586266898835,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
