aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_direction_x,attack_direction_y,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_center_bin,attack_envelope_type,attack_envelope_params,attack_envelope,attack_var_x,attack_var_y,attack_cov_xy,attack_mean_delta_x,attack_mean_delta_y,attack_delta_x,attack_delta_y,x_wrt0_offset,y_wrt0_offset,bin_id
A321,3f9bbb4a,1,1778306195,2026-05-09 13:56:35.000 PHT,0,0,0.0,0.0,14.497993,121.000435,0,14.8,0.0,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f9bbb4a,1,1778306236,2026-05-09 13:57:16.000 PHT,1,41,41.0,0.011970802919708,14.498159,121.000694,0,7.4,0.0,64,1,27.882435053832303,18.45838331889659,0.0,-7.4,-26.0,-0.6341463414634146,-0.1804878048780488,33.438631839203,5.270657233571571e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f9bbb4a,1,1778306243,2026-05-09 13:57:23.000 PHT,2,48,7.0,0.0140145985401459,14.498566,121.001442,0,64.8,0.0,61,1,108.40766915733911,63.71478097393545,0.0,57.4,-3.0,-0.4285714285714285,8.2,92.37128407834886,0.0001983038500422,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A321,3f9bbb4a,1,1778306250,2026-05-09 13:57:30.000 PHT,3,55,7.0,0.0160583941605839,14.499544,121.003204,0,127.8,0.0,61,1,298.09351877046424,172.46356944262433,0.0,63.0,0.0,0.0,9.0,218.6481608644633,0.0005429410099024,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A321,3f9bbb4a,1,1778306259,2026-05-09 13:57:39.000 PHT,4,64,9.0,0.0186861313868613,14.501488,121.006744,61,194.5,0.7,60,2,679.1851784856686,388.62680541652134,61.0,66.7,-1.0,-0.1111111111111111,7.411111111111111,438.12940746611207,0.0012335284543308,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A321,3f9bbb4a,1,1778306268,2026-05-09 13:57:48.000 PHT,5,73,9.0,0.0213138686131386,14.504094,121.011414,69,259.3,0.7,60,2,1181.9195145495682,678.401184505012,8.0,64.80000000000001,0.0,0.0,7.200000000000001,580.2680692410632,0.0021481574114194,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
A321,3f9bbb4a,1,1778306270,2026-05-09 13:57:50.000 PHT,6,75,2.0,0.0218978102189781,14.504793,121.012672,61,272.2,1.3,60,2,1317.3445925158244,756.1265455882456,-8.0,12.899999999999975,0.0,0.0,6.449999999999989,156.14475140368893,0.0023942755742161,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
A321,3f9bbb4a,1,1778306272,2026-05-09 13:57:52.000 PHT,7,77,2.0,0.0224817518248175,14.505295,121.01355,61,283.4,1.6,59,2,1411.861955941484,811.9464758655062,0.0,11.199999999999989,-1.0,-0.5,5.599999999999994,109.76977952955568,0.0025672966730718,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
A321,3f9bbb4a,1,1778306274,2026-05-09 13:57:54.000 PHT,8,79,2.0,0.0230656934306569,14.50605,121.014885,53,294.5,2.6,59,2,1555.5753332974853,895.8987614416824,-8.0,11.100000000000025,0.0,0.0,5.550000000000011,166.4377713233217,0.0028296388788125,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
A321,3f9bbb4a,1,1778306276,2026-05-09 13:57:56.000 PHT,9,81,2.0,0.0236496350364963,14.507307,121.017052,84,303.7,9.8,59,2,1788.852731537011,1035.670977295473,31.0,9.199999999999989,0.0,0.0,4.599999999999994,271.9461276952432,0.0032582852516579,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
A321,3f9bbb4a,1,1778306278,2026-05-09 13:57:58.000 PHT,10,83,2.0,0.0242335766423357,14.508098,121.018402,107,303.7,12.7,59,2,1934.1794330844596,1123.6262857603233,23.0,0.0,0.0,0.0,0.0,169.87061719931256,0.0035260383707503,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
A321,3f9bbb4a,1,1778306281,2026-05-09 13:58:01.000 PHT,11,86,3.0,0.0251094890510948,14.508911,121.019806,130,301.9,13.3,59,2,2085.31869742816,1214.0278859900816,23.0,-1.8000000000000114,0.0,0.0,-0.6000000000000038,176.1123425311013,0.003803629809463,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
