sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.498669,120.999702,0,0.0,0.0,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,13,13.0,0.0036363636363636,14.498462,120.999825,0,9.3,0.0,151,13.241436042773769,-23.01738160810731,0.0,9.3,-3.0,-0.2307692307692307,0.7153846153846154,26.554387294152953,4.149625989978873e-05,0
2,22,9.0,0.0061538461538461,14.49824,120.999947,0,11.1,0.0,151,26.375231346756035,-47.702689420300345,0.0,1.799999999999999,0.0,0.0,0.1999999999999998,27.961777264218536,8.519183320610659e-05,0
3,30,8.0,0.0083916083916083,14.498016,121.000114,0,13.0,0.0,143,44.353472684236486,-72.61038739242514,0.0,1.9000000000000004,-8.0,-1.0,0.2375,30.71824744800192,0.0001331949132865,0
4,39,9.0,0.0109090909090909,14.497959,121.000351,0,13.0,0.0,104,69.86749386991839,-78.94850696568746,0.0,0.0,-39.0,-4.333333333333333,0.0,26.289516239690276,0.0001742772619936,0
5,47,8.0,0.0131468531468531,14.498089,121.000603,0,14.8,0.0,61,96.99629200332308,-64.49314653546487,0.0,1.8000000000000007,-43.0,-5.375,0.2250000000000001,30.73975607754934,0.0002223139533817,0
6,52,5.0,0.0145454545454545,14.498222,121.000839,0,24.1,0.0,59,122.40260922014384,-49.7042008642837,0.0,9.3,-2.0,-0.4,1.86,29.39722839752689,0.0002682526909773,0
7,55,3.0,0.0153846153846153,14.498357,121.001083,0,38.9,0.0,59,148.6701423365712,-34.6928650328171,0.0,14.799999999999995,0.0,0.0,4.933333333333333,30.254369113173595,0.0003155308732949,0
8,58,3.0,0.0162237762237762,14.498566,121.001442,0,68.5,0.0,59,187.31783176206255,-11.453093264070718,0.0,29.6,0.0,0.0,9.866666666666667,45.096988955654815,0.0003860034605051,0
9,60,2.0,0.0167832167832167,14.49876,121.001793,0,88.9,0.0,61,225.1042613463249,10.118752301297263,0.0,20.40000000000001,2.0,1.0,10.200000000000005,43.510523359180766,0.0004539968947233,0
10,61,1.0,0.017062937062937,14.498875,121.001999,0,98.2,0.0,61,247.28089627923688,22.906186528141436,0.0,9.299999999999995,0.0,0.0,9.299999999999995,25.599296867303664,0.0004940006449243,0
11,62,1.0,0.0173426573426573,14.499079,121.002373,0,109.3,0.0,61,287.5433042664116,45.589982895997466,0.0,11.099999999999994,0.0,0.0,11.099999999999994,46.21280963348861,0.0005662169132949,0
12,63,1.0,0.0176223776223776,14.499242,121.00267,0,118.5,0.0,61,319.5163658324915,63.71478097393545,0.0,9.200000000000005,0.0,0.0,9.200000000000005,36.7530929735914,0.0006236505825888,0
13,64,1.0,0.0179020979020979,14.499428,121.003006,0,127.8,0.0,61,355.6878805907165,84.39706589745447,0.0,9.299999999999995,0.0,0.0,9.299999999999995,41.667033829600506,0.0006887632152356,0
14,65,1.0,0.0181818181818181,14.499625,121.003357,0,137.0,0.0,61,393.4741602880936,106.3024967034274,0.0,9.200000000000005,0.0,0.0,9.200000000000005,43.67674313735968,0.0007570163993414,0
15,68,3.0,0.019020979020979,14.500231,121.00444,0,163.0,0.0,59,510.0623862864972,173.6867153247246,0.0,26.0,-2.0,-0.6666666666666666,8.666666666666666,134.66073734331238,0.0009674493079676,0
16,70,2.0,0.0195804195804195,14.500557,121.005005,46,181.5,0.7,60,570.8862060941294,209.93631148095423,46.0,18.5,1.0,0.5,9.25,70.80670761592397,0.0010780982003458,0
17,72,2.0,0.0201398601398601,14.501129,121.006073,46,198.2,0.7,60,685.8591974093404,273.5398973745701,0.0,16.69999999999999,0.0,0.0,8.349999999999994,131.3935374290874,0.001283425490255,0
18,75,3.0,0.0209790209790209,14.501816,121.007347,46,214.8,0.7,60,823.0082301768863,349.9309174950302,0.0,16.600000000000023,0.0,0.0,5.533333333333341,156.98894215750698,0.0015287504481612,0
19,77,2.0,0.0215384615384615,14.502419,121.008331,46,231.5,0.7,60,928.937652485224,416.98155087572246,0.0,16.69999999999999,0.0,0.0,8.349999999999994,125.3670923036629,0.0017246602760734,0
20,79,2.0,0.0220979020979021,14.503006,121.00943,46,253.7,0.7,60,1047.2469012798415,482.25306297271675,0.0,22.19999999999999,0.0,0.0,11.099999999999994,135.12032746584237,0.0019358113813186,0
21,81,2.0,0.0226573426573426,14.503675,121.010643,46,264.8,1.3,60,1177.8280269341635,556.6425716491935,0.0,11.100000000000025,0.0,0.0,5.550000000000011,150.28409262266172,0.0021706587418392,0
22,83,2.0,0.0232167832167832,14.50456,121.012238,38,275.9,2.0,60,1349.5313638340551,655.0502176559461,-8.0,11.099999999999966,0.0,0.0,5.549999999999983,197.90462937967197,0.002479922211003,0
