sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.510193,121.018066,0,11.1,0.0,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,11,11.0,0.0030311380545604,14.510204,121.017853,0,9.3,0.0,281,-22.929087306914305,1.2231458824539163,0.0,-1.799999999999999,45.0,4.090909090909091,-0.1636363636363635,22.96168832158957,3.394804275082103e-05,0
2,36,25.0,0.0099200881785615,14.510414,121.017715,0,13.0,0.0,317,-37.78453440282306,24.574112731519836,0.0,3.6999999999999993,36.0,1.44,0.1479999999999999,27.675842775746947,7.48657958601454e-05,0
3,40,4.0,0.0110223201984017,14.510674,121.017456,0,37.0,0.0,315,-65.66539159810692,53.48483359231864,0.0,24.0,-2.0,-0.5,6.0,40.164317993202175,0.0001342473171661,0
4,42,2.0,0.0115734362083218,14.51096,121.017166,0,61.1,0.0,315,-96.8833020701682,85.28662653930343,0.0,24.1,0.0,0.0,12.05,44.56357817435908,0.0002001329888034,0
5,44,2.0,0.0121245522182419,14.511322,121.0168,0,83.3,0.0,315,-136.28240015119042,125.53924558349976,0.0,22.199999999999996,0.0,0.0,11.099999999999998,56.325510499533415,0.0002834082607093,0
6,52,8.0,0.0143290162579222,14.513546,121.014488,0,177.8,0.0,315,-385.1627000498452,372.837104022818,0.0,94.5,0.0,0.0,11.812500000000002,350.8527601286982,0.0008021316373738,0
7,60,8.0,0.0165334802976026,14.516876,121.01104,30,251.9,0.7,315,-756.3255378159943,743.1167212007623,30.0,74.1,0.0,0.0,9.2625,524.2794203276568,0.0015772601873909,0
8,67,7.0,0.0184623863323229,14.520447,121.007347,76,285.2,9.4,315,-1153.8553992828026,1140.1943527148487,46.0,33.29999999999998,0.0,0.0,4.7571428571428545,561.8725073369201,0.0024079687847918,0
9,74,7.0,0.0203912923670432,14.523788,121.003937,145,287.1,13.7,315,-1520.9161178891056,1511.6971157748933,69.0,1.900000000000034,0.0,0.0,0.2714285714285763,522.2528350247683,0.0031801011002317,0
10,82,8.0,0.0225957564067236,14.528162,120.99942,259,288.9,14.0,314,-2007.1287157217912,1998.06439671625,114.0,1.7999999999999543,-1.0,-0.125,0.2249999999999943,687.7179002739209,0.0041968676529356,0
11,91,9.0,0.025075778451364,14.53244,120.994987,373,288.9,13.3,315,-2484.2902361120423,2473.7569499554193,114.0,0.0,1.0,0.1111111111111111,0.0,673.7703914960881,0.005193013308011,0
12,97,6.0,0.0267291264811242,14.53575,120.991615,457,288.9,12.7,315,-2847.240754437766,2841.8126655283872,84.0,0.0,0.0,0.0,0.0,516.9122996812483,0.0059572498311374,0
13,105,8.0,0.0289335905208046,14.540219,120.987038,556,294.5,8.8,315,-3339.884826838821,3338.7434790919656,99.0,5.600000000000023,0.0,0.0,0.7000000000000028,699.7418790902889,0.0069917934105641,0
14,112,7.0,0.0308624965555249,14.543518,120.983673,610,307.4,7.8,315,-3702.069163562324,3705.57604878248,54.0,12.899999999999975,0.0,0.0,1.8428571428571396,515.5034930171933,0.0077539470629456,0
15,121,9.0,0.0333425186001653,14.548598,120.978508,686,326.0,8.5,315,-4257.981844904732,4270.447056368953,76.0,18.600000000000023,0.0,0.0,2.066666666666669,792.5394853450653,0.0089256886158048,0
16,127,6.0,0.0349958666299256,14.55249,120.974487,739,338.9,7.8,315,-4690.756796809817,4703.218308637672,53.0,12.899999999999975,0.0,0.0,2.1499999999999964,612.0334910484936,0.009830558450638,0
17,134,7.0,0.0369247726646459,14.556559,120.97036,792,355.6,7.2,315,-5134.931595096335,5155.671090108094,53.0,16.700000000000045,0.0,0.0,2.3857142857142923,634.0389097036967,0.0107679625173968,0
18,142,8.0,0.0391292367043262,14.562331,120.964439,853,379.7,6.8,315,-5772.174999502669,5797.489093215918,61.0,24.09999999999997,0.0,0.0,3.0124999999999957,904.4388794862316,0.0121051433603853,0
19,149,7.0,0.0410581427390465,14.566894,120.959808,907,394.5,7.5,315,-6270.570772630264,6304.872244321398,54.0,14.800000000000011,0.0,0.0,2.114285714285716,711.2220057137755,0.0131566599003339,0
20,157,8.0,0.0432626067787269,14.573273,120.953506,968,420.4,8.5,316,-6948.783071081389,7014.185661131193,61.0,25.899999999999977,1.0,0.125,3.237499999999997,981.3776255437866,0.0146075919537637,0
21,164,7.0,0.0451915128134472,14.578671,120.948151,1036,437.1,10.7,316,-7525.065543828287,7614.416704231693,68.0,16.700000000000045,0.0,0.0,2.3857142857142923,832.0947598299433,0.0158378145786777,0
22,171,7.0,0.0471204188481675,14.584122,120.942848,1113,451.9,12.0,316,-8095.736163589419,8220.541086584884,77.0,14.799999999999956,0.0,0.0,2.1142857142857077,832.500207289405,0.0170686366432972,0
23,180,9.0,0.0496004408928079,14.591985,120.93557,1219,472.3,12.7,320,-8878.911390453273,9094.868002460846,106.0,20.40000000000003,4.0,0.4444444444444444,2.2666666666666706,1173.8105005920268,0.0188040738854268,0
24,182,2.0,0.050151556902728,14.594173,120.934082,1242,477.8,14.0,323,-9039.01762894996,9338.162838012197,23.0,5.5,3.0,1.5,2.75,291.2575517945404,0.0192346878577681,0
25,184,2.0,0.0507026729126481,14.5965,120.932587,1280,479.7,15.6,328,-9199.872770679742,9596.913789715589,38.0,1.8999999999999773,5.0,2.5,0.9499999999999886,304.683276717516,0.0196851512887929,0
26,186,2.0,0.0512537889225682,14.598642,120.93148,1311,479.7,16.3,332,-9318.970951441352,9835.093651575777,31.0,0.0,4.0,2.0,0.0,266.3064039949064,0.0200788758730229,0
27,188,2.0,0.0518049049324882,14.60083,120.930565,1341,479.7,16.6,335,-9417.402752606651,10078.388487126773,30.0,0.0,3.0,1.5,0.0,262.4621895980521,0.0204669169224509,0
