aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A20N,3f996ccc,1,1778254583,2026-05-08 23:36:23.000 PHT,14.510193,121.018066,0,11.1,0.0,236,0,0
A20N,3f996ccc,1,1778254594,2026-05-08 23:36:34.000 PHT,14.510204,121.017853,0,9.3,0.0,281,1,0
A20N,3f996ccc,1,1778254619,2026-05-08 23:36:59.000 PHT,14.510414,121.017715,0,13.0,0.0,317,1,0
A20N,3f996ccc,1,1778254623,2026-05-08 23:37:03.000 PHT,14.510674,121.017456,0,37.0,0.0,315,1,0
A20N,3f996ccc,1,1778254625,2026-05-08 23:37:05.000 PHT,14.51096,121.017166,0,61.1,0.0,315,1,0
A20N,3f996ccc,1,1778254627,2026-05-08 23:37:07.000 PHT,14.511322,121.0168,0,83.3,0.0,315,1,0
A20N,3f996ccc,1,1778254635,2026-05-08 23:37:15.000 PHT,14.513546,121.014488,0,177.8,0.0,315,1,0
A20N,3f996ccc,1,1778254643,2026-05-08 23:37:23.000 PHT,14.516876,121.01104,30,251.9,0.7,315,2,0
A20N,3f996ccc,1,1778254650,2026-05-08 23:37:30.000 PHT,14.520447,121.007347,76,285.2,9.4,315,2,0
A20N,3f996ccc,1,1778254657,2026-05-08 23:37:37.000 PHT,14.523788,121.003937,145,287.1,13.7,315,2,0
A20N,3f996ccc,1,1778254665,2026-05-08 23:37:45.000 PHT,14.528162,120.99942,259,288.9,14.0,314,2,0
A20N,3f996ccc,1,1778254674,2026-05-08 23:37:54.000 PHT,14.53244,120.994987,373,288.9,13.3,315,2,0
A20N,3f996ccc,1,1778254680,2026-05-08 23:38:00.000 PHT,14.53575,120.991615,457,288.9,12.7,315,2,0
A20N,3f996ccc,1,1778254688,2026-05-08 23:38:08.000 PHT,14.540219,120.987038,556,294.5,8.8,315,2,0
A20N,3f996ccc,1,1778254695,2026-05-08 23:38:15.000 PHT,14.543518,120.983673,610,307.4,7.8,315,2,0
A20N,3f996ccc,1,1778254704,2026-05-08 23:38:24.000 PHT,14.548598,120.978508,686,326.0,8.5,315,2,0
A20N,3f996ccc,1,1778254710,2026-05-08 23:38:30.000 PHT,14.55249,120.974487,739,338.9,7.8,315,2,0
A20N,3f996ccc,1,1778254717,2026-05-08 23:38:37.000 PHT,14.556559,120.97036,792,355.6,7.2,315,2,0
A20N,3f996ccc,1,1778254725,2026-05-08 23:38:45.000 PHT,14.562331,120.964439,853,379.7,6.8,315,2,0
A20N,3f996ccc,1,1778254732,2026-05-08 23:38:52.000 PHT,14.566894,120.959808,907,394.5,7.5,315,2,0
A20N,3f996ccc,1,1778254740,2026-05-08 23:39:00.000 PHT,14.573273,120.953506,968,420.4,8.5,316,2,0
A20N,3f996ccc,1,1778254747,2026-05-08 23:39:07.000 PHT,14.578671,120.948151,1036,437.1,10.7,316,2,0
A20N,3f996ccc,1,1778254754,2026-05-08 23:39:14.000 PHT,14.584122,120.942848,1113,451.9,12.0,316,2,0
A20N,3f996ccc,1,1778254763,2026-05-08 23:39:23.000 PHT,14.591985,120.93557,1219,472.3,12.7,320,2,0
A20N,3f996ccc,1,1778254765,2026-05-08 23:39:25.000 PHT,14.594173,120.934082,1242,477.8,14.0,323,2,0
A20N,3f996ccc,1,1778254767,2026-05-08 23:39:27.000 PHT,14.5965,120.932587,1280,479.7,15.6,328,2,0
A20N,3f996ccc,1,1778254769,2026-05-08 23:39:29.000 PHT,14.598642,120.93148,1311,479.7,16.3,332,2,0
A20N,3f996ccc,1,1778254771,2026-05-08 23:39:31.000 PHT,14.60083,120.930565,1341,479.7,16.6,335,2,0
