aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A20N,3fa4ac6f,1,1778514661,2026-05-11 23:51:01.000 PHT,14.498669,120.999702,0,0.0,0.0,154,0,0
A20N,3fa4ac6f,1,1778514674,2026-05-11 23:51:14.000 PHT,14.498462,120.999825,0,9.3,0.0,151,1,0
A20N,3fa4ac6f,1,1778514683,2026-05-11 23:51:23.000 PHT,14.49824,120.999947,0,11.1,0.0,151,1,0
A20N,3fa4ac6f,1,1778514691,2026-05-11 23:51:31.000 PHT,14.498016,121.000114,0,13.0,0.0,143,1,0
A20N,3fa4ac6f,1,1778514700,2026-05-11 23:51:40.000 PHT,14.497959,121.000351,0,13.0,0.0,104,1,0
A20N,3fa4ac6f,1,1778514708,2026-05-11 23:51:48.000 PHT,14.498089,121.000603,0,14.8,0.0,61,1,0
A20N,3fa4ac6f,1,1778514713,2026-05-11 23:51:53.000 PHT,14.498222,121.000839,0,24.1,0.0,59,1,0
A20N,3fa4ac6f,1,1778514716,2026-05-11 23:51:56.000 PHT,14.498357,121.001083,0,38.9,0.0,59,1,0
A20N,3fa4ac6f,1,1778514719,2026-05-11 23:51:59.000 PHT,14.498566,121.001442,0,68.5,0.0,59,1,0
A20N,3fa4ac6f,1,1778514721,2026-05-11 23:52:01.000 PHT,14.49876,121.001793,0,88.9,0.0,61,1,0
A20N,3fa4ac6f,1,1778514722,2026-05-11 23:52:02.000 PHT,14.498875,121.001999,0,98.2,0.0,61,1,0
A20N,3fa4ac6f,1,1778514723,2026-05-11 23:52:03.000 PHT,14.499079,121.002373,0,109.3,0.0,61,1,0
A20N,3fa4ac6f,1,1778514724,2026-05-11 23:52:04.000 PHT,14.499242,121.00267,0,118.5,0.0,61,1,0
A20N,3fa4ac6f,1,1778514725,2026-05-11 23:52:05.000 PHT,14.499428,121.003006,0,127.8,0.0,61,1,0
A20N,3fa4ac6f,1,1778514726,2026-05-11 23:52:06.000 PHT,14.499625,121.003357,0,137.0,0.0,61,1,0
A20N,3fa4ac6f,1,1778514729,2026-05-11 23:52:09.000 PHT,14.500231,121.00444,0,163.0,0.0,59,1,0
A20N,3fa4ac6f,1,1778514731,2026-05-11 23:52:11.000 PHT,14.500557,121.005005,46,181.5,0.7,60,2,0
A20N,3fa4ac6f,1,1778514733,2026-05-11 23:52:13.000 PHT,14.501129,121.006073,46,198.2,0.7,60,2,0
A20N,3fa4ac6f,1,1778514736,2026-05-11 23:52:16.000 PHT,14.501816,121.007347,46,214.8,0.7,60,2,0
A20N,3fa4ac6f,1,1778514738,2026-05-11 23:52:18.000 PHT,14.502419,121.008331,46,231.5,0.7,60,2,0
A20N,3fa4ac6f,1,1778514740,2026-05-11 23:52:20.000 PHT,14.503006,121.00943,46,253.7,0.7,60,2,0
A20N,3fa4ac6f,1,1778514742,2026-05-11 23:52:22.000 PHT,14.503675,121.010643,46,264.8,1.3,60,2,0
A20N,3fa4ac6f,1,1778514744,2026-05-11 23:52:24.000 PHT,14.50456,121.012238,38,275.9,2.0,60,2,0
A20N,3fa4ac6f,1,1778514751,2026-05-11 23:52:31.000 PHT,14.506805,121.016396,99,287.1,12.4,60,2,0
A20N,3fa4ac6f,1,1778514755,2026-05-11 23:52:35.000 PHT,14.508179,121.018951,152,283.4,14.0,60,2,0
A20N,3fa4ac6f,1,1778514757,2026-05-11 23:52:37.000 PHT,14.508865,121.02018,175,283.4,13.7,60,2,0
A20N,3fa4ac6f,1,1778514765,2026-05-11 23:52:45.000 PHT,14.511962,121.025536,290,283.4,14.0,58,2,0
A20N,3fa4ac6f,1,1778514770,2026-05-11 23:52:50.000 PHT,14.513498,121.027992,343,281.5,14.0,57,2,0
A20N,3fa4ac6f,1,1778514772,2026-05-11 23:52:52.000 PHT,14.514359,121.029465,373,281.5,14.3,57,2,0
A20N,3fa4ac6f,1,1778514774,2026-05-11 23:52:54.000 PHT,14.515182,121.030792,411,279.7,14.3,57,2,0
A20N,3fa4ac6f,1,1778514776,2026-05-11 23:52:56.000 PHT,14.516006,121.032112,442,277.8,14.0,57,2,0
A20N,3fa4ac6f,1,1778514778,2026-05-11 23:52:58.000 PHT,14.51671,121.033241,465,277.8,13.7,58,3,0
A20N,3fa4ac6f,1,1778514780,2026-05-11 23:53:00.000 PHT,14.517455,121.034546,495,277.8,13.7,59,3,0
A20N,3fa4ac6f,1,1778514782,2026-05-11 23:53:02.000 PHT,14.51825,121.03595,526,275.9,13.7,59,3,0
A20N,3fa4ac6f,1,1778514784,2026-05-11 23:53:04.000 PHT,14.518982,121.037231,556,275.9,13.3,60,3,0
A20N,3fa4ac6f,1,1778514787,2026-05-11 23:53:07.000 PHT,14.51976,121.038742,587,275.9,13.3,61,3,0
A20N,3fa4ac6f,1,1778514789,2026-05-11 23:53:09.000 PHT,14.520447,121.04007,617,274.1,13.3,62,3,0
A20N,3fa4ac6f,1,1778514791,2026-05-11 23:53:11.000 PHT,14.521086,121.041344,640,274.1,13.3,63,3,0
A20N,3fa4ac6f,1,1778514793,2026-05-11 23:53:13.000 PHT,14.521877,121.042931,678,272.2,13.0,63,3,0
A20N,3fa4ac6f,1,1778514795,2026-05-11 23:53:15.000 PHT,14.522436,121.044037,701,274.1,12.7,63,3,0
A20N,3fa4ac6f,1,1778514798,2026-05-11 23:53:18.000 PHT,14.523193,121.045662,732,272.2,12.7,63,3,0
A20N,3fa4ac6f,1,1778514800,2026-05-11 23:53:20.000 PHT,14.523787,121.046974,762,274.1,12.7,63,3,0
A20N,3fa4ac6f,1,1778514802,2026-05-11 23:53:22.000 PHT,14.524429,121.048264,785,274.1,12.4,63,3,0
A20N,3fa4ac6f,1,1778514804,2026-05-11 23:53:24.000 PHT,14.525043,121.049629,815,274.1,12.0,64,3,0
A20N,3fa4ac6f,1,1778514806,2026-05-11 23:53:26.000 PHT,14.525834,121.05127,846,274.1,11.7,64,3,0
