aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A21N,3f8b85eb,1,1777964577,2026-05-05 15:02:57.000 PHT,14.523845,121.00383,0,16.7,0.0,135,0,0
A21N,3f8b85eb,1,1777964585,2026-05-05 15:03:05.000 PHT,14.52364,121.004036,0,13.0,0.0,135,1,0
A21N,3f8b85eb,1,1777964901,2026-05-05 15:08:21.000 PHT,14.523391,121.004295,0,33.3,0.0,135,1,0
A21N,3f8b85eb,1,1777964908,2026-05-05 15:08:28.000 PHT,14.522427,121.005302,0,105.6,0.0,135,1,0
A21N,3f8b85eb,1,1777964916,2026-05-05 15:08:36.000 PHT,14.520401,121.007393,61,174.1,0.3,135,2,0
A21N,3f8b85eb,1,1777964922,2026-05-05 15:08:42.000 PHT,14.518204,121.009666,69,235.2,0.3,134,2,0
A21N,3f8b85eb,1,1777964930,2026-05-05 15:08:50.000 PHT,14.514084,121.013931,61,290.8,4.2,135,2,0
A21N,3f8b85eb,1,1777964939,2026-05-05 15:08:59.000 PHT,14.509644,121.018433,168,290.8,15.3,135,2,0
A21N,3f8b85eb,1,1777964945,2026-05-05 15:09:05.000 PHT,14.506375,121.021729,251,288.9,15.9,136,2,0
A21N,3f8b85eb,1,1777964954,2026-05-05 15:09:14.000 PHT,14.501724,121.0261,381,290.8,14.6,138,2,0
A21N,3f8b85eb,1,1777964960,2026-05-05 15:09:20.000 PHT,14.498062,121.02932,472,288.9,13.3,139,2,0
A21N,3f8b85eb,1,1777964969,2026-05-05 15:09:29.000 PHT,14.493527,121.033295,579,281.5,11.7,140,2,0
A21N,3f8b85eb,1,1777964978,2026-05-05 15:09:38.000 PHT,14.488453,121.037682,693,277.8,11.1,140,3,0
A21N,3f8b85eb,1,1777964987,2026-05-05 15:09:47.000 PHT,14.483826,121.041588,785,275.9,10.1,140,3,0
A21N,3f8b85eb,1,1777964993,2026-05-05 15:09:53.000 PHT,14.480301,121.044525,861,275.9,9.4,140,3,0
A21N,3f8b85eb,1,1777965000,2026-05-05 15:10:00.000 PHT,14.47673,121.047646,922,279.7,8.8,139,3,0
A21N,3f8b85eb,1,1777965004,2026-05-05 15:10:04.000 PHT,14.474716,121.049545,953,281.5,8.5,135,3,0
