aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A21N,3f8f694c,1,1778050557,2026-05-06 14:55:57.000 PHT,14.510274,121.018166,0,16.7,0.0,239,0,0
A21N,3f8f694c,1,1778050565,2026-05-06 14:56:05.000 PHT,14.510147,121.017929,0,9.3,0.0,241,1,0
A21N,3f8f694c,1,1778050579,2026-05-06 14:56:19.000 PHT,14.510356,121.017731,0,9.3,0.0,306,1,0
A21N,3f8f694c,1,1778050594,2026-05-06 14:56:34.000 PHT,14.510582,121.017517,0,9.3,0.0,315,1,0
A21N,3f8f694c,1,1778050603,2026-05-06 14:56:43.000 PHT,14.510834,121.017273,0,24.1,0.0,315,1,0
A21N,3f8f694c,1,1778050606,2026-05-06 14:56:46.000 PHT,14.511089,121.016991,0,37.0,0.0,315,1,0
A21N,3f8f694c,1,1778050608,2026-05-06 14:56:48.000 PHT,14.51138,121.016708,0,64.8,0.0,315,1,0
A21N,3f8f694c,1,1778050615,2026-05-06 14:56:55.000 PHT,14.512718,121.015305,0,129.6,0.0,315,1,0
A21N,3f8f694c,1,1778050623,2026-05-06 14:57:03.000 PHT,14.515407,121.012527,69,214.8,-0.3,314,2,0
A21N,3f8f694c,1,1778050630,2026-05-06 14:57:10.000 PHT,14.518799,121.009003,69,272.2,0.3,314,2,0
A21N,3f8f694c,1,1778050638,2026-05-06 14:57:18.000 PHT,14.523514,121.004128,91,331.5,11.4,314,2,0
A21N,3f8f694c,1,1778050645,2026-05-06 14:57:25.000 PHT,14.527417,121.000191,175,337.1,15.3,315,2,0
A21N,3f8f694c,1,1778050653,2026-05-06 14:57:33.000 PHT,14.532349,120.995087,290,338.9,14.0,314,2,0
A21N,3f8f694c,1,1778050662,2026-05-06 14:57:42.000 PHT,14.537659,120.989586,411,342.6,14.3,314,2,0
A21N,3f8f694c,1,1778050670,2026-05-06 14:57:50.000 PHT,14.542966,120.984093,526,338.9,12.4,314,2,0
A21N,3f8f694c,1,1778050677,2026-05-06 14:57:57.000 PHT,14.546814,120.980118,587,340.8,5.5,315,3,0
A21N,3f8f694c,1,1778050685,2026-05-06 14:58:05.000 PHT,14.551987,120.974861,640,357.4,6.5,315,3,0
A21N,3f8f694c,1,1778050692,2026-05-06 14:58:12.000 PHT,14.55614,120.970604,686,372.3,5.2,315,3,0
A21N,3f8f694c,1,1778050700,2026-05-06 14:58:20.000 PHT,14.562012,120.964584,739,390.8,6.2,315,3,0
A21N,3f8f694c,1,1778050707,2026-05-06 14:58:27.000 PHT,14.566987,120.959473,785,405.6,6.5,315,3,1
A21N,3f8f694c,1,1778050711,2026-05-06 14:58:31.000 PHT,14.570292,120.956055,815,414.8,6.8,314,3,1
A21N,3f8f694c,1,1778050714,2026-05-06 14:58:34.000 PHT,14.571762,120.954544,831,422.3,6.2,314,3,1
A21N,3f8f694c,1,1778050716,2026-05-06 14:58:36.000 PHT,14.573547,120.952652,846,427.8,6.5,314,3,1
A21N,3f8f694c,1,1778050718,2026-05-06 14:58:38.000 PHT,14.574875,120.951279,861,431.5,6.8,314,3,1
A21N,3f8f694c,1,1778050720,2026-05-06 14:58:40.000 PHT,14.57653,120.949593,869,435.2,7.2,314,3,1
A21N,3f8f694c,1,1778050722,2026-05-06 14:58:42.000 PHT,14.578491,120.947495,892,438.9,6.8,314,3,1
A21N,3f8f694c,1,1778050725,2026-05-06 14:58:45.000 PHT,14.580533,120.945404,907,446.3,7.2,314,3,1
A21N,3f8f694c,1,1778050731,2026-05-06 14:58:51.000 PHT,14.585815,120.94001,960,463.0,8.5,315,3,1
A21N,3f8f694c,1,1778050733,2026-05-06 14:58:53.000 PHT,14.587609,120.93837,975,472.3,7.8,318,3,1
A21N,3f8f694c,1,1778050736,2026-05-06 14:58:56.000 PHT,14.589937,120.93644,991,477.8,8.1,320,3,1
A21N,3f8f694c,1,1778050738,2026-05-06 14:58:58.000 PHT,14.591949,120.934944,1013,483.4,8.1,323,3,1
A21N,3f8f694c,1,1778050740,2026-05-06 14:59:00.000 PHT,14.594101,120.933571,1029,485.2,8.1,326,3,1
A21N,3f8f694c,1,1778050742,2026-05-06 14:59:02.000 PHT,14.596082,120.932442,1044,488.9,8.1,330,3,1
A21N,3f8f694c,1,1778050744,2026-05-06 14:59:04.000 PHT,14.598735,120.931137,1059,494.5,8.8,333,3,1
A21N,3f8f694c,1,1778050746,2026-05-06 14:59:06.000 PHT,14.600924,120.930321,1082,496.3,10.1,337,3,1
A21N,3f8f694c,1,1778050748,2026-05-06 14:59:08.000 PHT,14.603851,120.929451,1105,498.2,11.4,341,3,1
A21N,3f8f694c,1,1778050751,2026-05-06 14:59:11.000 PHT,14.606556,120.928825,1135,498.2,12.4,344,3,1
A21N,3f8f694c,1,1778050753,2026-05-06 14:59:13.000 PHT,14.608932,120.928406,1158,498.2,13.0,349,3,1
A21N,3f8f694c,1,1778050755,2026-05-06 14:59:15.000 PHT,14.611267,120.928078,1181,496.3,14.0,351,3,1
A21N,3f8f694c,1,1778050757,2026-05-06 14:59:17.000 PHT,14.61419,120.927719,1219,496.3,15.6,353,3,1
A21N,3f8f694c,1,1778050759,2026-05-06 14:59:19.000 PHT,14.617355,120.92746,1257,498.2,15.6,354,3,1
A21N,3f8f694c,1,1778050762,2026-05-06 14:59:22.000 PHT,14.620056,120.92733,1288,500.0,14.6,356,3,1
A21N,3f8f694c,1,1778050764,2026-05-06 14:59:24.000 PHT,14.622523,120.927284,1311,503.7,13.7,358,3,1
A21N,3f8f694c,1,1778050766,2026-05-06 14:59:26.000 PHT,14.625595,120.927414,1349,503.7,13.3,1,3,1
A21N,3f8f694c,1,1778050768,2026-05-06 14:59:28.000 PHT,14.628529,120.927818,1379,503.7,13.7,4,3,1
A21N,3f8f694c,1,1778050771,2026-05-06 14:59:31.000 PHT,14.630996,120.928299,1402,501.9,13.7,9,3,1
A21N,3f8f694c,1,1778050773,2026-05-06 14:59:33.000 PHT,14.633514,120.928932,1433,503.7,14.0,11,3,1
A21N,3f8f694c,1,1778050775,2026-05-06 14:59:35.000 PHT,14.636124,120.929825,1463,503.7,15.0,17,3,1
A21N,3f8f694c,1,1778050777,2026-05-06 14:59:37.000 PHT,14.638258,120.930702,1494,501.9,14.6,20,3,1
A21N,3f8f694c,1,1778050779,2026-05-06 14:59:39.000 PHT,14.640701,120.931915,1524,501.9,15.0,24,3,1
A21N,3f8f694c,1,1778050781,2026-05-06 14:59:41.000 PHT,14.642853,120.933189,1554,501.9,15.0,28,3,1
A21N,3f8f694c,1,1778050783,2026-05-06 14:59:43.000 PHT,14.645599,120.93499,1593,500.0,14.6,31,3,1
A21N,3f8f694c,1,1778050785,2026-05-06 14:59:45.000 PHT,14.647615,120.93663,1623,501.9,14.0,35,3,1
A21N,3f8f694c,1,1778050788,2026-05-06 14:59:48.000 PHT,14.649399,120.93821,1646,500.0,14.3,39,3,1
A21N,3f8f694c,1,1778050790,2026-05-06 14:59:50.000 PHT,14.651367,120.940338,1684,501.9,15.3,42,3,1
A21N,3f8f694c,1,1778050792,2026-05-06 14:59:52.000 PHT,14.653154,120.942467,1715,500.0,15.6,46,3,1
A21N,3f8f694c,1,1778050794,2026-05-06 14:59:54.000 PHT,14.654552,120.944435,1745,498.2,15.3,50,3,1
A21N,3f8f694c,1,1778050796,2026-05-06 14:59:56.000 PHT,14.656036,120.946732,1775,498.2,14.6,55,3,1
A21N,3f8f694c,1,1778050798,2026-05-06 14:59:58.000 PHT,14.657624,120.949593,1814,498.2,15.0,59,3,1
A21N,3f8f694c,1,1778050800,2026-05-06 15:00:00.000 PHT,14.658691,120.951851,1844,500.0,15.0,62,3,1
A21N,3f8f694c,1,1778050803,2026-05-06 15:00:03.000 PHT,14.659744,120.954498,1875,500.0,15.0,65,3,1
A21N,3f8f694c,1,1778050805,2026-05-06 15:00:05.000 PHT,14.660371,120.956535,1905,500.0,15.0,69,3,1
A21N,3f8f694c,1,1778050807,2026-05-06 15:00:07.000 PHT,14.661301,120.959946,1943,501.9,15.0,74,3,1
A21N,3f8f694c,1,1778050809,2026-05-06 15:00:09.000 PHT,14.661767,120.962555,1974,501.9,15.0,78,3,1
A21N,3f8f694c,1,1778050811,2026-05-06 15:00:11.000 PHT,14.662139,120.965256,2004,501.9,15.0,81,3,1
A21N,3f8f694c,1,1778050813,2026-05-06 15:00:13.000 PHT,14.662262,120.967804,2035,501.9,14.6,85,3,1
A21N,3f8f694c,1,1778050815,2026-05-06 15:00:15.000 PHT,14.662279,120.970314,2065,505.6,13.7,88,3,1
A21N,3f8f694c,1,1778050817,2026-05-06 15:00:17.000 PHT,14.662093,120.973595,2096,505.6,13.3,92,3,1
A21N,3f8f694c,1,1778050819,2026-05-06 15:00:19.000 PHT,14.661767,120.976051,2126,507.4,13.0,98,3,1
A21N,3f8f694c,1,1778050822,2026-05-06 15:00:22.000 PHT,14.661209,120.978699,2149,511.2,13.3,102,3,1
A21N,3f8f694c,1,1778050824,2026-05-06 15:00:24.000 PHT,14.660324,120.981781,2187,511.2,13.7,105,3,1
A21N,3f8f694c,1,1778050826,2026-05-06 15:00:26.000 PHT,14.659378,120.984337,2210,513.0,13.7,109,3,1
A21N,3f8f694c,1,1778050828,2026-05-06 15:00:28.000 PHT,14.6586,120.986275,2233,514.9,13.7,113,3,1
A21N,3f8f694c,1,1778050830,2026-05-06 15:00:30.000 PHT,14.657065,120.989105,2271,516.7,13.7,117,3,1
A21N,3f8f694c,1,1778050832,2026-05-06 15:00:32.000 PHT,14.655716,120.991295,2294,516.7,13.7,121,3,1
A21N,3f8f694c,1,1778050834,2026-05-06 15:00:34.000 PHT,14.653839,120.993996,2332,518.6,14.6,124,3,1
A21N,3f8f694c,1,1778050836,2026-05-06 15:00:36.000 PHT,14.652038,120.99614,2362,518.6,15.6,128,3,1
A21N,3f8f694c,1,1778050839,2026-05-06 15:00:39.000 PHT,14.650362,120.998024,2393,516.7,16.9,131,3,1
A21N,3f8f694c,1,1778050841,2026-05-06 15:00:41.000 PHT,14.64822,121.000237,2431,513.0,16.3,134,3,1
A21N,3f8f694c,1,1778050843,2026-05-06 15:00:43.000 PHT,14.646404,121.002113,2469,513.0,15.6,135,3,1
A21N,3f8f694c,1,1778050845,2026-05-06 15:00:45.000 PHT,14.644501,121.004036,2499,511.2,15.3,135,3,1
A21N,3f8f694c,1,1778050847,2026-05-06 15:00:47.000 PHT,14.642541,121.00602,2530,513.0,15.3,135,3,1
A21N,3f8f694c,1,1778050849,2026-05-06 15:00:49.000 PHT,14.640539,121.008041,2560,513.0,15.6,135,3,1
A21N,3f8f694c,1,1778050852,2026-05-06 15:00:52.000 PHT,14.638733,121.009811,2598,511.2,15.9,135,3,1
A21N,3f8f694c,1,1778050854,2026-05-06 15:00:54.000 PHT,14.636902,121.011658,2629,511.2,15.6,135,3,1
A21N,3f8f694c,1,1778050856,2026-05-06 15:00:56.000 PHT,14.634953,121.01368,2659,509.3,14.6,135,3,1
A21N,3f8f694c,1,1778050858,2026-05-06 15:00:58.000 PHT,14.632462,121.016251,2697,509.3,14.0,135,3,1
A21N,3f8f694c,1,1778050860,2026-05-06 15:01:00.000 PHT,14.630585,121.018196,2728,509.3,12.4,134,3,1
A21N,3f8f694c,1,1778050862,2026-05-06 15:01:02.000 PHT,14.628715,121.020142,2751,511.2,11.1,134,3,1
A21N,3f8f694c,1,1778050865,2026-05-06 15:01:05.000 PHT,14.6269,121.022018,2774,513.0,10.1,134,3,1
A21N,3f8f694c,1,1778050878,2026-05-06 15:01:18.000 PHT,14.614792,121.034859,2903,527.8,10.1,133,3,0
A21N,3f8f694c,1,1778050893,2026-05-06 15:01:33.000 PHT,14.600597,121.049919,3056,542.6,10.4,134,3,0
A21N,3f8f694c,1,1778050906,2026-05-06 15:01:46.000 PHT,14.588104,121.062988,3216,548.2,13.0,134,3,0
A21N,3f8f694c,1,1778050919,2026-05-06 15:01:59.000 PHT,14.575607,121.076012,3383,551.9,12.7,134,3,0
A21N,3f8f694c,1,1778050932,2026-05-06 15:02:12.000 PHT,14.562239,121.089958,3551,557.5,11.7,134,3,0
A21N,3f8f694c,1,1778050945,2026-05-06 15:02:25.000 PHT,14.549698,121.103004,3696,564.9,11.7,134,3,0
A21N,3f8f694c,1,1778050977,2026-05-06 15:02:57.000 PHT,14.516922,121.137291,4092,572.3,9.4,134,3,0
A21N,3f8f694c,1,1778051008,2026-05-06 15:03:28.000 PHT,14.486451,121.169029,4321,577.8,9.4,134,3,0
A21N,3f8f694c,1,1778051041,2026-05-06 15:04:01.000 PHT,14.452148,121.204773,4663,594.5,8.5,134,3,0
A21N,3f8f694c,1,1778051072,2026-05-06 15:04:32.000 PHT,14.418274,121.240097,4816,642.6,4.6,134,3,0
A21N,3f8f694c,1,1778051104,2026-05-06 15:05:04.000 PHT,14.380371,121.279594,4968,687.1,7.8,134,3,0
A21N,3f8f694c,1,1778051136,2026-05-06 15:05:36.000 PHT,14.340775,121.320793,5243,709.3,8.8,134,3,0
A21N,3f8f694c,1,1778051167,2026-05-06 15:06:07.000 PHT,14.301315,121.361755,5494,729.7,8.1,134,3,0
A21N,3f8f694c,1,1778051200,2026-05-06 15:06:40.000 PHT,14.259183,121.405579,5768,740.8,10.7,134,3,0
A21N,3f8f694c,1,1778051231,2026-05-06 15:07:11.000 PHT,14.218264,121.448074,5966,759.3,5.9,134,3,0
A21N,3f8f694c,1,1778051263,2026-05-06 15:07:43.000 PHT,14.174057,121.493965,6203,774.1,8.8,134,3,0
A21N,3f8f694c,1,1778051296,2026-05-06 15:08:16.000 PHT,14.130187,121.539482,6568,759.3,8.5,134,3,0
A21N,3f8f694c,1,1778051326,2026-05-06 15:08:46.000 PHT,14.089462,121.581718,6789,766.7,7.8,134,3,0
A21N,3f8f694c,1,1778051358,2026-05-06 15:09:18.000 PHT,14.045229,121.627563,6972,781.5,6.8,134,3,0
A21N,3f8f694c,1,1778051389,2026-05-06 15:09:49.000 PHT,14.002773,121.671562,7186,787.1,8.1,134,3,0
A21N,3f8f694c,1,1778051421,2026-05-06 15:10:21.000 PHT,13.957123,121.718903,7376,800.1,3.9,134,3,0
A21N,3f8f694c,1,1778051454,2026-05-06 15:10:54.000 PHT,13.91195,121.765572,7605,801.9,6.2,134,3,0
A21N,3f8f694c,1,1778051484,2026-05-06 15:11:24.000 PHT,13.868005,121.809128,7757,814.9,5.9,138,3,0
A21N,3f8f694c,1,1778051516,2026-05-06 15:11:56.000 PHT,13.815168,121.851341,7932,822.3,5.9,143,3,0
A21N,3f8f694c,1,1778051547,2026-05-06 15:12:27.000 PHT,13.764542,121.889618,8108,826.0,6.2,143,3,0
A21N,3f8f694c,1,1778051578,2026-05-06 15:12:58.000 PHT,13.712265,121.929161,8298,827.8,6.8,143,3,0
A21N,3f8f694c,1,1778051609,2026-05-06 15:13:29.000 PHT,13.661453,121.96756,8519,824.1,6.5,143,3,0
A21N,3f8f694c,1,1778051642,2026-05-06 15:14:02.000 PHT,13.606476,122.008904,8664,833.4,4.9,143,3,0
A21N,3f8f694c,1,1778051672,2026-05-06 15:14:32.000 PHT,13.554199,122.048256,8786,842.7,6.2,143,3,0
A21N,3f8f694c,1,1778051703,2026-05-06 15:15:03.000 PHT,13.50238,122.087372,8961,842.7,2.6,143,3,0
A21N,3f8f694c,1,1778051735,2026-05-06 15:15:35.000 PHT,13.447723,122.128426,9083,853.8,5.5,143,3,0
A21N,3f8f694c,1,1778051767,2026-05-06 15:16:07.000 PHT,13.391556,122.170624,9220,861.2,2.3,143,3,0
A21N,3f8f694c,1,1778051798,2026-05-06 15:16:38.000 PHT,13.337029,122.211578,9327,872.3,4.9,143,3,0
A21N,3f8f694c,1,1778051831,2026-05-06 15:17:11.000 PHT,13.279445,122.254753,9533,868.6,6.8,143,3,0
A21N,3f8f694c,1,1778051861,2026-05-06 15:17:41.000 PHT,13.226028,122.294876,9815,851.9,13.3,143,3,0
A21N,3f8f694c,1,1778051894,2026-05-06 15:18:14.000 PHT,13.171956,122.335411,10089,837.1,6.5,143,3,0
