aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A21N,3f936b43,1,1778137277,2026-05-07 15:01:17.000 PHT,14.523857,121.003784,0,7.4,0.0,213,0,0
A21N,3f936b43,1,1778137297,2026-05-07 15:01:37.000 PHT,14.523682,121.004005,0,3.7,0.0,140,1,0
A21N,3f936b43,1,1778137549,2026-05-07 15:05:49.000 PHT,14.52346,121.004211,0,24.1,0.0,137,1,0
A21N,3f936b43,1,1778137556,2026-05-07 15:05:56.000 PHT,14.522667,121.005051,0,94.5,0.0,135,1,0
A21N,3f936b43,1,1778137563,2026-05-07 15:06:03.000 PHT,14.521156,121.006607,0,151.9,0.0,135,1,0
A21N,3f936b43,1,1778137570,2026-05-07 15:06:10.000 PHT,14.518759,121.009102,76,220.4,0.7,134,2,0
A21N,3f936b43,1,1778137577,2026-05-07 15:06:17.000 PHT,14.515594,121.012367,69,268.5,3.3,135,2,0
A21N,3f936b43,1,1778137586,2026-05-07 15:06:26.000 PHT,14.511264,121.016861,160,275.9,13.7,134,2,0
A21N,3f936b43,1,1778137592,2026-05-07 15:06:32.000 PHT,14.508424,121.019753,236,275.9,14.3,136,2,0
A21N,3f936b43,1,1778137600,2026-05-07 15:06:40.000 PHT,14.504013,121.024109,366,275.9,15.0,135,2,0
A21N,3f936b43,1,1778137607,2026-05-07 15:06:47.000 PHT,14.500809,121.027382,465,277.8,15.6,135,2,0
A21N,3f936b43,1,1778137616,2026-05-07 15:06:56.000 PHT,14.49646,121.031639,594,264.8,13.0,136,2,0
A21N,3f936b43,1,1778137625,2026-05-07 15:07:05.000 PHT,14.49213,121.035896,701,263.0,10.4,136,3,0
A21N,3f936b43,1,1778137631,2026-05-07 15:07:11.000 PHT,14.489136,121.038742,762,264.8,8.5,136,3,0
A21N,3f936b43,1,1778137639,2026-05-07 15:07:19.000 PHT,14.484879,121.042862,838,272.2,7.8,136,3,0
A21N,3f936b43,1,1778137648,2026-05-07 15:07:28.000 PHT,14.481005,121.046783,907,275.9,8.8,133,3,0
A21N,3f936b43,1,1778137652,2026-05-07 15:07:32.000 PHT,14.478836,121.049255,945,277.8,9.8,131,3,0
A21N,3f936b43,1,1778137654,2026-05-07 15:07:34.000 PHT,14.477932,121.050301,968,279.7,10.1,130,3,0
A21N,3f936b43,1,1778137656,2026-05-07 15:07:36.000 PHT,14.477188,121.051247,983,279.7,9.8,129,3,0
A21N,3f936b43,1,1778137658,2026-05-07 15:07:38.000 PHT,14.476181,121.052475,1006,279.7,8.8,129,3,0
A21N,3f936b43,1,1778137660,2026-05-07 15:07:40.000 PHT,14.475174,121.053711,1021,285.2,6.8,129,3,0
A21N,3f936b43,1,1778137662,2026-05-07 15:07:42.000 PHT,14.474258,121.054848,1036,288.9,6.2,129,3,1
A21N,3f936b43,1,1778137664,2026-05-07 15:07:44.000 PHT,14.473297,121.056076,1052,292.6,6.2,129,3,1
A21N,3f936b43,1,1778137666,2026-05-07 15:07:46.000 PHT,14.4723,121.057289,1067,298.2,5.9,129,3,1
A21N,3f936b43,1,1778137669,2026-05-07 15:07:49.000 PHT,14.471089,121.05883,1082,301.9,5.9,129,3,1
A21N,3f936b43,1,1778137671,2026-05-07 15:07:51.000 PHT,14.470112,121.05999,1090,307.4,5.9,129,3,1
A21N,3f936b43,1,1778137673,2026-05-07 15:07:53.000 PHT,14.469177,121.061188,1105,313.0,5.2,129,3,1
A21N,3f936b43,1,1778137675,2026-05-07 15:07:55.000 PHT,14.467941,121.062706,1120,318.5,5.9,129,3,1
A21N,3f936b43,1,1778137684,2026-05-07 15:08:04.000 PHT,14.463454,121.068321,1173,337.1,6.8,129,3,0
A21N,3f936b43,1,1778137692,2026-05-07 15:08:12.000 PHT,14.458659,121.074203,1234,357.4,6.5,129,3,0
A21N,3f936b43,1,1778137699,2026-05-07 15:08:19.000 PHT,14.454575,121.079277,1273,372.3,5.9,129,3,0
A21N,3f936b43,1,1778137707,2026-05-07 15:08:27.000 PHT,14.449442,121.085716,1318,394.5,5.9,129,3,0
A21N,3f936b43,1,1778137714,2026-05-07 15:08:34.000 PHT,14.445346,121.090919,1356,413.0,5.5,129,3,0
A21N,3f936b43,1,1778137722,2026-05-07 15:08:42.000 PHT,14.439341,121.098297,1417,435.2,8.1,130,3,0
A21N,3f936b43,1,1778137729,2026-05-07 15:08:49.000 PHT,14.434825,121.103836,1463,450.0,7.5,130,3,0
A21N,3f936b43,1,1778137736,2026-05-07 15:08:56.000 PHT,14.429518,121.110291,1516,468.6,7.2,130,3,0
A21N,3f936b43,1,1778137738,2026-05-07 15:08:58.000 PHT,14.428024,121.112144,1524,474.1,7.5,129,3,0
A21N,3f936b43,1,1778137751,2026-05-07 15:09:11.000 PHT,14.417953,121.124649,1646,498.2,12.0,129,3,0
A21N,3f936b43,1,1778137764,2026-05-07 15:09:24.000 PHT,14.407425,121.13781,1814,509.3,13.7,129,3,0
A21N,3f936b43,1,1778137777,2026-05-07 15:09:37.000 PHT,14.39642,121.151588,2012,514.9,15.3,129,3,0
A21N,3f936b43,1,1778137790,2026-05-07 15:09:50.000 PHT,14.385619,121.165222,2195,522.3,13.0,129,3,0
A21N,3f936b43,1,1778137803,2026-05-07 15:10:03.000 PHT,14.374726,121.178864,2370,526.0,16.6,129,3,0
A21N,3f936b43,1,1778137816,2026-05-07 15:10:16.000 PHT,14.363832,121.192451,2591,524.1,15.3,129,3,0
A21N,3f936b43,1,1778137829,2026-05-07 15:10:29.000 PHT,14.353043,121.206047,2774,527.8,14.0,129,3,0
A21N,3f936b43,1,1778137842,2026-05-07 15:10:42.000 PHT,14.342331,121.219589,2941,531.5,12.4,129,3,0
A21N,3f936b43,1,1778137855,2026-05-07 15:10:55.000 PHT,14.331528,121.233086,3117,533.4,13.7,129,3,0
A21N,3f936b43,1,1778137868,2026-05-07 15:11:08.000 PHT,14.320073,121.247383,3239,553.7,5.5,129,3,0
A21N,3f936b43,1,1778137882,2026-05-07 15:11:22.000 PHT,14.307541,121.263016,3315,577.8,4.6,129,3,0
A21N,3f936b43,1,1778137895,2026-05-07 15:11:35.000 PHT,14.294888,121.278748,3383,605.6,5.5,129,3,0
A21N,3f936b43,1,1778137908,2026-05-07 15:11:48.000 PHT,14.28218,121.294655,3459,627.8,5.9,129,3,0
A21N,3f936b43,1,1778137921,2026-05-07 15:12:01.000 PHT,14.268677,121.311363,3528,650.1,4.9,130,3,0
A21N,3f936b43,1,1778137934,2026-05-07 15:12:14.000 PHT,14.253387,121.327087,3581,674.1,4.2,138,3,1
A21N,3f936b43,1,1778137936,2026-05-07 15:12:16.000 PHT,14.250851,121.329247,3589,677.8,4.2,140,3,1
A21N,3f936b43,1,1778137938,2026-05-07 15:12:18.000 PHT,14.248197,121.331467,3604,681.5,4.6,141,3,1
A21N,3f936b43,1,1778137940,2026-05-07 15:12:20.000 PHT,14.245422,121.333672,3612,685.2,4.9,142,3,1
A21N,3f936b43,1,1778137943,2026-05-07 15:12:23.000 PHT,14.242611,121.335899,3620,687.1,5.2,142,3,1
A21N,3f936b43,1,1778137945,2026-05-07 15:12:25.000 PHT,14.239334,121.338356,3635,690.8,5.5,143,3,1
A21N,3f936b43,1,1778137947,2026-05-07 15:12:27.000 PHT,14.235809,121.341011,3642,694.5,5.9,143,3,1
A21N,3f936b43,1,1778137949,2026-05-07 15:12:29.000 PHT,14.232788,121.343323,3658,696.4,6.2,143,3,1
A21N,3f936b43,1,1778137951,2026-05-07 15:12:31.000 PHT,14.230135,121.345345,3673,700.1,7.2,143,3,1
A21N,3f936b43,1,1778137954,2026-05-07 15:12:34.000 PHT,14.226597,121.348091,3688,701.9,7.5,143,3,1
A21N,3f936b43,1,1778137956,2026-05-07 15:12:36.000 PHT,14.223862,121.350243,3703,705.6,7.8,142,3,1
A21N,3f936b43,1,1778137958,2026-05-07 15:12:38.000 PHT,14.221104,121.352425,3719,705.6,8.1,141,3,1
A21N,3f936b43,1,1778137990,2026-05-07 15:13:10.000 PHT,14.177536,121.389359,4214,687.1,14.6,140,3,0
A21N,3f936b43,1,1778138022,2026-05-07 15:13:42.000 PHT,14.134889,121.426147,4587,694.5,9.8,139,3,0
A21N,3f936b43,1,1778138054,2026-05-07 15:14:14.000 PHT,14.091176,121.463829,4839,718.6,3.6,139,3,0
A21N,3f936b43,1,1778138087,2026-05-07 15:14:47.000 PHT,14.045105,121.503578,4991,761.2,6.5,139,3,0
A21N,3f936b43,1,1778138119,2026-05-07 15:15:19.000 PHT,13.9977,121.544159,5265,772.3,9.4,140,3,0
A21N,3f936b43,1,1778138152,2026-05-07 15:15:52.000 PHT,13.947935,121.586998,5540,783.4,7.8,139,3,0
A21N,3f936b43,1,1778138184,2026-05-07 15:16:24.000 PHT,13.899902,121.62822,5784,792.7,6.8,140,3,0
A21N,3f936b43,1,1778138214,2026-05-07 15:16:54.000 PHT,13.853348,121.668137,6005,803.8,7.2,139,3,0
A21N,3f936b43,1,1778138246,2026-05-07 15:17:26.000 PHT,13.803158,121.711121,6218,814.9,9.4,140,3,0
A21N,3f936b43,1,1778138278,2026-05-07 15:17:58.000 PHT,13.753393,121.753761,6439,820.4,8.5,140,3,0
A21N,3f936b43,1,1778138308,2026-05-07 15:18:28.000 PHT,13.704514,121.795593,6683,820.4,15.9,140,3,0
