aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A21N,3f94fca3,1,1778167647,2026-05-07 23:27:27.000 PHT,14.498096,121.000031,0,16.7,0.0,149,0,0
A21N,3f94fca3,1,1778167654,2026-05-07 23:27:34.000 PHT,14.497938,121.000252,0,13.0,0.0,123,1,0
A21N,3f94fca3,1,1778167661,2026-05-07 23:27:41.000 PHT,14.497996,121.000481,0,13.0,0.0,84,1,0
A21N,3f94fca3,1,1778167670,2026-05-07 23:27:50.000 PHT,14.498136,121.00071,0,13.0,0.0,61,1,0
A21N,3f94fca3,1,1778167677,2026-05-07 23:27:57.000 PHT,14.498252,121.000923,0,13.0,0.0,61,1,0
A21N,3f94fca3,1,1778167684,2026-05-07 23:28:04.000 PHT,14.498417,121.001213,0,25.9,0.0,59,1,0
A21N,3f94fca3,1,1778167687,2026-05-07 23:28:07.000 PHT,14.4986,121.001549,0,46.3,0.0,59,1,0
A21N,3f94fca3,1,1778167689,2026-05-07 23:28:09.000 PHT,14.498737,121.001793,0,64.8,0.0,61,1,0
A21N,3f94fca3,1,1778167690,2026-05-07 23:28:10.000 PHT,14.498869,121.002045,0,75.9,0.0,61,1,0
A21N,3f94fca3,1,1778167692,2026-05-07 23:28:12.000 PHT,14.499046,121.00235,0,94.5,0.0,61,1,0
A21N,3f94fca3,1,1778167697,2026-05-07 23:28:17.000 PHT,14.499846,121.003792,0,137.0,0.0,59,1,0
A21N,3f94fca3,1,1778167698,2026-05-07 23:28:18.000 PHT,14.500042,121.00415,0,144.5,0.0,61,1,0
A21N,3f94fca3,1,1778167700,2026-05-07 23:28:20.000 PHT,14.500336,121.004669,0,163.0,0.0,61,1,0
A21N,3f94fca3,1,1778167701,2026-05-07 23:28:21.000 PHT,14.500534,121.005043,0,170.4,0.3,60,1,0
A21N,3f94fca3,1,1778167703,2026-05-07 23:28:23.000 PHT,14.500992,121.005836,46,187.1,0.3,60,2,0
A21N,3f94fca3,1,1778167705,2026-05-07 23:28:25.000 PHT,14.501587,121.00692,46,194.5,0.3,60,2,0
A21N,3f94fca3,1,1778167707,2026-05-07 23:28:27.000 PHT,14.50209,121.007866,46,216.7,0.7,60,2,0
A21N,3f94fca3,1,1778167709,2026-05-07 23:28:29.000 PHT,14.502686,121.008911,46,229.6,0.7,60,2,0
A21N,3f94fca3,1,1778167712,2026-05-07 23:28:32.000 PHT,14.503443,121.010262,53,244.5,0.7,60,2,0
A21N,3f94fca3,1,1778167714,2026-05-07 23:28:34.000 PHT,14.504094,121.011467,53,257.4,0.7,60,2,0
A21N,3f94fca3,1,1778167716,2026-05-07 23:28:36.000 PHT,14.504791,121.012703,53,268.5,0.7,60,2,0
A21N,3f94fca3,1,1778167718,2026-05-07 23:28:38.000 PHT,14.50563,121.014214,53,287.1,1.0,60,2,0
A21N,3f94fca3,1,1778167722,2026-05-07 23:28:42.000 PHT,14.506989,121.016678,46,298.2,1.6,60,2,0
A21N,3f94fca3,1,1778167724,2026-05-07 23:28:44.000 PHT,14.507812,121.018097,61,309.3,7.8,59,2,0
A21N,3f94fca3,1,1778167727,2026-05-07 23:28:47.000 PHT,14.509048,121.020226,99,307.4,12.7,58,2,0
A21N,3f94fca3,1,1778167735,2026-05-07 23:28:55.000 PHT,14.512253,121.025627,198,298.2,13.7,58,2,0
A21N,3f94fca3,1,1778167742,2026-05-07 23:29:02.000 PHT,14.514816,121.029747,282,296.3,13.3,57,2,0
A21N,3f94fca3,1,1778167750,2026-05-07 23:29:10.000 PHT,14.51825,121.035194,396,294.5,12.0,57,2,0
A21N,3f94fca3,1,1778167757,2026-05-07 23:29:17.000 PHT,14.520993,121.039604,472,294.5,10.7,57,2,0
A21N,3f94fca3,1,1778167765,2026-05-07 23:29:25.000 PHT,14.524344,121.045143,564,300.0,10.1,58,3,0
A21N,3f94fca3,1,1778167774,2026-05-07 23:29:34.000 PHT,14.527679,121.050819,663,301.9,11.4,59,3,0
A21N,3f94fca3,1,1778167780,2026-05-07 23:29:40.000 PHT,14.530117,121.055077,739,300.0,11.7,59,3,0
A21N,3f94fca3,1,1778167788,2026-05-07 23:29:48.000 PHT,14.533237,121.060661,838,300.0,12.0,60,3,0
A21N,3f94fca3,1,1778167795,2026-05-07 23:29:55.000 PHT,14.53575,121.065239,922,298.2,11.7,61,3,0
A21N,3f94fca3,1,1778167797,2026-05-07 23:29:57.000 PHT,14.536423,121.066635,945,296.3,11.4,63,3,0
A21N,3f94fca3,1,1778167799,2026-05-07 23:29:59.000 PHT,14.536926,121.06768,960,298.2,12.0,65,3,0
A21N,3f94fca3,1,1778167802,2026-05-07 23:30:02.000 PHT,14.537659,121.069527,991,298.2,11.1,67,3,0
A21N,3f94fca3,1,1778167804,2026-05-07 23:30:04.000 PHT,14.538218,121.071167,1013,300.0,7.5,71,3,1
A21N,3f94fca3,1,1778167806,2026-05-07 23:30:06.000 PHT,14.538757,121.073074,1029,305.6,6.2,74,3,1
A21N,3f94fca3,1,1778167808,2026-05-07 23:30:08.000 PHT,14.539148,121.074684,1044,309.3,6.2,76,3,1
A21N,3f94fca3,1,1778167810,2026-05-07 23:30:10.000 PHT,14.539444,121.076294,1059,313.0,5.9,80,3,1
A21N,3f94fca3,1,1778167813,2026-05-07 23:30:13.000 PHT,14.539627,121.078094,1074,318.5,5.5,84,3,1
A21N,3f94fca3,1,1778167815,2026-05-07 23:30:15.000 PHT,14.539754,121.079796,1082,324.1,4.9,88,3,1
A21N,3f94fca3,1,1778167817,2026-05-07 23:30:17.000 PHT,14.539719,121.081841,1097,327.8,4.2,91,3,1
A21N,3f94fca3,1,1778167819,2026-05-07 23:30:19.000 PHT,14.539521,121.083839,1105,331.5,3.9,95,3,1
A21N,3f94fca3,1,1778167821,2026-05-07 23:30:21.000 PHT,14.539215,121.08577,1120,337.1,3.9,100,3,1
A21N,3f94fca3,1,1778167824,2026-05-07 23:30:24.000 PHT,14.538776,121.087547,1128,342.6,3.9,104,3,1
A21N,3f94fca3,1,1778167826,2026-05-07 23:30:26.000 PHT,14.538218,121.089188,1135,351.9,3.6,110,3,1
A21N,3f94fca3,1,1778167828,2026-05-07 23:30:28.000 PHT,14.53724,121.091354,1143,361.1,3.9,115,3,1
A21N,3f94fca3,1,1778167830,2026-05-07 23:30:30.000 PHT,14.536377,121.092964,1151,366.7,4.9,120,3,1
A21N,3f94fca3,1,1778167832,2026-05-07 23:30:32.000 PHT,14.535098,121.094826,1166,374.1,7.5,125,3,1
A21N,3f94fca3,1,1778167835,2026-05-07 23:30:35.000 PHT,14.533608,121.096703,1189,377.8,8.8,129,3,1
A21N,3f94fca3,1,1778167837,2026-05-07 23:30:37.000 PHT,14.532305,121.098198,1204,385.2,8.5,131,3,1
A21N,3f94fca3,1,1778167839,2026-05-07 23:30:39.000 PHT,14.530975,121.099693,1219,388.9,7.5,132,3,1
A21N,3f94fca3,1,1778167841,2026-05-07 23:30:41.000 PHT,14.52928,121.101524,1234,392.6,6.2,133,3,1
A21N,3f94fca3,1,1778167844,2026-05-07 23:30:44.000 PHT,14.527863,121.103004,1250,401.9,5.2,134,3,1
A21N,3f94fca3,1,1778167846,2026-05-07 23:30:46.000 PHT,14.526207,121.104797,1257,405.6,5.5,134,3,1
A21N,3f94fca3,1,1778167848,2026-05-07 23:30:48.000 PHT,14.524658,121.106415,1273,413.0,5.5,134,3,1
A21N,3f94fca3,1,1778167850,2026-05-07 23:30:50.000 PHT,14.523134,121.107979,1280,416.7,5.9,134,3,1
A21N,3f94fca3,1,1778167852,2026-05-07 23:30:52.000 PHT,14.521552,121.109573,1295,422.3,6.5,134,3,1
A21N,3f94fca3,1,1778167855,2026-05-07 23:30:55.000 PHT,14.519969,121.111206,1311,427.8,8.1,134,3,1
A21N,3f94fca3,1,1778167857,2026-05-07 23:30:57.000 PHT,14.518153,121.113136,1334,433.4,8.8,134,3,1
A21N,3f94fca3,1,1778167859,2026-05-07 23:30:59.000 PHT,14.516292,121.115067,1349,437.1,8.8,134,3,0
A21N,3f94fca3,1,1778167861,2026-05-07 23:31:01.000 PHT,14.514848,121.116608,1364,442.6,8.5,134,3,0
A21N,3f94fca3,1,1778167863,2026-05-07 23:31:03.000 PHT,14.512894,121.118629,1387,448.2,7.8,134,3,0
A21N,3f94fca3,1,1778167865,2026-05-07 23:31:05.000 PHT,14.511429,121.120239,1402,451.9,7.2,134,3,0
A21N,3f94fca3,1,1778167872,2026-05-07 23:31:12.000 PHT,14.506189,121.125809,1440,470.4,6.5,133,3,0
A21N,3f94fca3,1,1778167881,2026-05-07 23:31:21.000 PHT,14.498657,121.133881,1524,485.2,11.7,133,3,0
A21N,3f94fca3,1,1778167894,2026-05-07 23:31:34.000 PHT,14.487717,121.145676,1676,496.3,13.7,133,3,0
A21N,3f94fca3,1,1778167907,2026-05-07 23:31:47.000 PHT,14.476303,121.157898,1844,509.3,12.0,133,3,0
A21N,3f94fca3,1,1778167920,2026-05-07 23:32:00.000 PHT,14.464279,121.170769,2019,516.7,14.0,133,3,0
A21N,3f94fca3,1,1778167933,2026-05-07 23:32:13.000 PHT,14.452515,121.183342,2202,518.6,13.7,133,3,0
A21N,3f94fca3,1,1778167946,2026-05-07 23:32:26.000 PHT,14.440598,121.196114,2377,526.0,14.6,133,3,0
A21N,3f94fca3,1,1778167959,2026-05-07 23:32:39.000 PHT,14.429146,121.208496,2568,524.1,15.9,133,3,0
A21N,3f94fca3,1,1778167972,2026-05-07 23:32:52.000 PHT,14.416995,121.221649,2789,518.6,15.0,133,3,0
A21N,3f94fca3,1,1778167985,2026-05-07 23:33:05.000 PHT,14.405182,121.234322,2949,522.3,11.7,133,3,0
A21N,3f94fca3,1,1778167998,2026-05-07 23:33:18.000 PHT,14.393692,121.246681,3078,529.7,11.7,133,3,0
A21N,3f94fca3,1,1778168011,2026-05-07 23:33:31.000 PHT,14.382034,121.259285,3223,540.8,8.5,133,3,0
A21N,3f94fca3,1,1778168026,2026-05-07 23:33:46.000 PHT,14.367417,121.274994,3330,564.9,7.2,133,3,0
A21N,3f94fca3,1,1778168039,2026-05-07 23:33:59.000 PHT,14.354279,121.289154,3437,577.8,10.4,133,3,0
A21N,3f94fca3,1,1778168053,2026-05-07 23:34:13.000 PHT,14.340789,121.303566,3589,585.2,11.7,133,3,0
A21N,3f94fca3,1,1778168066,2026-05-07 23:34:26.000 PHT,14.327545,121.317757,3726,590.8,9.8,133,3,0
A21N,3f94fca3,1,1778168098,2026-05-07 23:34:58.000 PHT,14.293442,121.354553,4061,609.3,10.1,133,3,0
A21N,3f94fca3,1,1778168129,2026-05-07 23:35:29.000 PHT,14.260673,121.389816,4404,618.6,10.1,133,3,0
A21N,3f94fca3,1,1778168162,2026-05-07 23:36:02.000 PHT,14.224921,121.428123,4717,637.1,8.5,133,3,0
A21N,3f94fca3,1,1778168192,2026-05-07 23:36:32.000 PHT,14.190891,121.464798,5014,648.2,10.7,133,3,0
A21N,3f94fca3,1,1778168225,2026-05-07 23:37:05.000 PHT,14.154208,121.504211,5296,666.7,7.5,133,3,0
A21N,3f94fca3,1,1778168257,2026-05-07 23:37:37.000 PHT,14.116653,121.544449,5585,674.1,9.8,133,3,0
A21N,3f94fca3,1,1778168288,2026-05-07 23:38:08.000 PHT,14.079208,121.584602,5860,683.4,8.5,133,3,0
A21N,3f94fca3,1,1778168320,2026-05-07 23:38:40.000 PHT,14.041992,121.624428,6104,696.4,8.5,133,3,0
