aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A21N,3f97ce6c,1,1778225274,2026-05-08 15:27:54.000 PHT,14.524189,121.004066,0,13.0,0.0,225,0,0
A21N,3f97ce6c,1,1778225283,2026-05-08 15:28:03.000 PHT,14.523973,121.003876,0,11.1,0.0,219,1,0
A21N,3f97ce6c,1,1778225291,2026-05-08 15:28:11.000 PHT,14.523743,121.003937,0,11.1,0.0,171,1,0
A21N,3f97ce6c,1,1778225300,2026-05-08 15:28:20.000 PHT,14.523582,121.004143,0,13.0,0.0,137,1,0
A21N,3f97ce6c,1,1778225476,2026-05-08 15:31:16.000 PHT,14.523333,121.004379,0,37.0,0.0,135,1,0
A21N,3f97ce6c,1,1778225484,2026-05-08 15:31:24.000 PHT,14.522168,121.005585,0,120.4,0.0,135,1,0
A21N,3f97ce6c,1,1778225491,2026-05-08 15:31:31.000 PHT,14.520309,121.007538,69,177.8,0.3,135,2,0
A21N,3f97ce6c,1,1778225498,2026-05-08 15:31:38.000 PHT,14.517641,121.010262,76,242.6,0.7,135,2,0
A21N,3f97ce6c,1,1778225507,2026-05-08 15:31:47.000 PHT,14.513405,121.014694,107,275.9,12.0,134,2,0
A21N,3f97ce6c,1,1778225515,2026-05-08 15:31:55.000 PHT,14.50914,121.019089,221,274.1,15.6,135,2,0
A21N,3f97ce6c,1,1778225522,2026-05-08 15:32:02.000 PHT,14.505981,121.022217,312,275.9,14.6,136,2,0
A21N,3f97ce6c,1,1778225531,2026-05-08 15:32:11.000 PHT,14.50158,121.026352,442,274.1,13.7,138,2,0
A21N,3f97ce6c,1,1778225535,2026-05-08 15:32:15.000 PHT,14.4993,121.028381,495,270.4,12.0,139,2,0
A21N,3f97ce6c,1,1778225537,2026-05-08 15:32:17.000 PHT,14.497996,121.029533,526,270.4,11.4,139,3,0
A21N,3f97ce6c,1,1778225539,2026-05-08 15:32:19.000 PHT,14.496918,121.030502,549,270.4,11.1,139,3,0
A21N,3f97ce6c,1,1778225541,2026-05-08 15:32:21.000 PHT,14.495911,121.031357,572,268.5,10.7,139,3,0
A21N,3f97ce6c,1,1778225544,2026-05-08 15:32:24.000 PHT,14.494675,121.032448,602,266.7,10.4,140,3,0
A21N,3f97ce6c,1,1778225546,2026-05-08 15:32:26.000 PHT,14.49362,121.03334,625,266.7,9.8,140,3,0
A21N,3f97ce6c,1,1778225554,2026-05-08 15:32:34.000 PHT,14.489338,121.037003,693,268.5,6.8,140,3,0
A21N,3f97ce6c,1,1778225561,2026-05-08 15:32:41.000 PHT,14.485753,121.040138,747,272.2,6.5,139,3,0
A21N,3f97ce6c,1,1778225569,2026-05-08 15:32:49.000 PHT,14.481377,121.043892,808,277.8,7.2,139,3,0
A21N,3f97ce6c,1,1778225576,2026-05-08 15:32:56.000 PHT,14.477979,121.046837,853,283.4,7.5,139,3,0
A21N,3f97ce6c,1,1778225585,2026-05-08 15:33:05.000 PHT,14.473068,121.051102,922,287.1,8.1,139,3,0
A21N,3f97ce6c,1,1778225594,2026-05-08 15:33:14.000 PHT,14.467831,121.055702,998,290.8,7.5,139,3,0
A21N,3f97ce6c,1,1778225603,2026-05-08 15:33:23.000 PHT,14.463043,121.059914,1044,305.6,4.6,139,3,0
A21N,3f97ce6c,1,1778225609,2026-05-08 15:33:29.000 PHT,14.459061,121.063461,1074,318.5,4.6,138,3,0
A21N,3f97ce6c,1,1778225617,2026-05-08 15:33:37.000 PHT,14.454025,121.068008,1120,338.9,4.9,138,3,0
A21N,3f97ce6c,1,1778225626,2026-05-08 15:33:46.000 PHT,14.448511,121.072998,1158,357.4,5.5,138,3,0
A21N,3f97ce6c,1,1778225634,2026-05-08 15:33:54.000 PHT,14.442506,121.078445,1204,376.0,5.2,138,3,0
A21N,3f97ce6c,1,1778225641,2026-05-08 15:34:01.000 PHT,14.437775,121.082741,1242,390.8,5.5,138,3,0
A21N,3f97ce6c,1,1778225649,2026-05-08 15:34:09.000 PHT,14.431054,121.088806,1288,409.3,4.6,138,3,0
A21N,3f97ce6c,1,1778225656,2026-05-08 15:34:16.000 PHT,14.426285,121.093109,1311,426.0,3.6,138,3,0
A21N,3f97ce6c,1,1778225664,2026-05-08 15:34:24.000 PHT,14.418915,121.099876,1356,444.5,7.2,138,3,0
A21N,3f97ce6c,1,1778225671,2026-05-08 15:34:31.000 PHT,14.413411,121.104942,1425,451.9,12.4,137,3,0
A21N,3f97ce6c,1,1778225678,2026-05-08 15:34:38.000 PHT,14.407452,121.110535,1509,453.7,13.0,137,3,0
A21N,3f97ce6c,1,1778225686,2026-05-08 15:34:46.000 PHT,14.400423,121.117088,1623,455.6,14.0,137,3,0
A21N,3f97ce6c,1,1778225699,2026-05-08 15:34:59.000 PHT,14.389435,121.127396,1821,451.9,15.0,137,3,0
A21N,3f97ce6c,1,1778225713,2026-05-08 15:35:13.000 PHT,14.379102,121.138527,1996,457.4,11.4,129,3,0
A21N,3f97ce6c,1,1778225719,2026-05-08 15:35:19.000 PHT,14.374493,121.144455,2073,461.1,11.4,127,3,0
