aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A21N,3f9befbb,1,1778309690,2026-05-09 14:54:50.000 PHT,14.52388,121.003807,0,9.3,0.0,216,0,0
A21N,3f9befbb,1,1778309705,2026-05-09 14:55:05.000 PHT,14.52367,121.004005,0,5.6,0.0,143,1,0
A21N,3f9befbb,1,1778310155,2026-05-09 15:02:35.000 PHT,14.523445,121.00425,0,27.8,0.0,135,1,0
A21N,3f9befbb,1,1778310162,2026-05-09 15:02:42.000 PHT,14.522517,121.005211,0,100.0,0.0,135,1,0
A21N,3f9befbb,1,1778310171,2026-05-09 15:02:51.000 PHT,14.520434,121.007324,69,174.1,0.3,135,2,0
A21N,3f9befbb,1,1778310177,2026-05-09 15:02:57.000 PHT,14.517929,121.009956,69,222.2,0.3,134,2,0
A21N,3f9befbb,1,1778310185,2026-05-09 15:03:05.000 PHT,14.514496,121.01355,84,268.5,12.0,133,2,0
A21N,3f9befbb,1,1778310192,2026-05-09 15:03:12.000 PHT,14.51117,121.017006,175,264.8,15.0,134,2,0
A21N,3f9befbb,1,1778310198,2026-05-09 15:03:18.000 PHT,14.507996,121.02018,267,264.8,15.6,136,2,0
A21N,3f9befbb,1,1778310200,2026-05-09 15:03:20.000 PHT,14.507309,121.020844,290,263.0,16.3,136,2,0
A21N,3f9befbb,1,1778310203,2026-05-09 15:03:23.000 PHT,14.505936,121.022171,335,263.0,15.6,137,2,0
A21N,3f9befbb,1,1778310205,2026-05-09 15:03:25.000 PHT,14.504932,121.023079,366,263.0,15.3,137,2,0
A21N,3f9befbb,1,1778310207,2026-05-09 15:03:27.000 PHT,14.503955,121.023994,396,261.1,15.3,137,2,0
A21N,3f9befbb,1,1778310209,2026-05-09 15:03:29.000 PHT,14.503006,121.024872,427,261.1,14.6,137,3,0
A21N,3f9befbb,1,1778310211,2026-05-09 15:03:31.000 PHT,14.501906,121.025917,457,261.1,14.3,137,3,0
A21N,3f9befbb,1,1778310213,2026-05-09 15:03:33.000 PHT,14.500882,121.026833,488,261.1,14.3,137,3,0
A21N,3f9befbb,1,1778310215,2026-05-09 15:03:35.000 PHT,14.499893,121.027756,518,261.1,14.0,138,3,0
A21N,3f9befbb,1,1778310217,2026-05-09 15:03:37.000 PHT,14.49888,121.028664,549,261.1,13.7,138,3,0
A21N,3f9befbb,1,1778310219,2026-05-09 15:03:39.000 PHT,14.497879,121.029556,579,261.1,13.3,139,3,0
A21N,3f9befbb,1,1778310226,2026-05-09 15:03:46.000 PHT,14.494629,121.032448,663,263.0,12.0,139,3,0
A21N,3f9befbb,1,1778310235,2026-05-09 15:03:55.000 PHT,14.490129,121.036476,770,263.0,11.1,138,3,0
A21N,3f9befbb,1,1778310241,2026-05-09 15:04:01.000 PHT,14.487167,121.039124,838,263.0,11.1,138,3,0
A21N,3f9befbb,1,1778310250,2026-05-09 15:04:10.000 PHT,14.482361,121.04348,945,264.8,11.1,138,3,0
A21N,3f9befbb,1,1778310257,2026-05-09 15:04:17.000 PHT,14.479294,121.046227,1013,266.7,9.8,138,3,0
A21N,3f9befbb,1,1778310266,2026-05-09 15:04:26.000 PHT,14.474534,121.050591,1090,285.2,7.2,136,3,0
A21N,3f9befbb,1,1778310268,2026-05-09 15:04:28.000 PHT,14.47323,121.051987,1105,290.8,6.5,133,3,0
A21N,3f9befbb,1,1778310270,2026-05-09 15:04:30.000 PHT,14.472253,121.053047,1120,294.5,6.5,132,3,0
A21N,3f9befbb,1,1778310272,2026-05-09 15:04:32.000 PHT,14.471008,121.054512,1135,300.0,7.2,131,3,0
A21N,3f9befbb,1,1778310275,2026-05-09 15:04:35.000 PHT,14.469818,121.055984,1158,303.7,7.2,130,3,0
A21N,3f9befbb,1,1778310277,2026-05-09 15:04:37.000 PHT,14.468855,121.057144,1166,311.1,7.2,129,3,0
A21N,3f9befbb,1,1778310279,2026-05-09 15:04:39.000 PHT,14.467804,121.058441,1181,316.7,7.2,129,3,0
A21N,3f9befbb,1,1778310281,2026-05-09 15:04:41.000 PHT,14.466843,121.059677,1196,322.2,7.5,129,3,0
A21N,3f9befbb,1,1778310283,2026-05-09 15:04:43.000 PHT,14.465515,121.061333,1219,326.0,7.2,129,3,0
A21N,3f9befbb,1,1778310285,2026-05-09 15:04:45.000 PHT,14.464645,121.062378,1227,329.7,7.2,129,3,0
A21N,3f9befbb,1,1778310287,2026-05-09 15:04:47.000 PHT,14.463408,121.063988,1250,335.2,7.2,129,3,0
A21N,3f9befbb,1,1778310289,2026-05-09 15:04:49.000 PHT,14.462337,121.065338,1265,340.8,7.2,129,3,0
A21N,3f9befbb,1,1778310292,2026-05-09 15:04:52.000 PHT,14.46122,121.066689,1280,344.5,7.2,129,3,0
A21N,3f9befbb,1,1778310294,2026-05-09 15:04:54.000 PHT,14.460103,121.06813,1288,350.0,7.2,129,3,0
A21N,3f9befbb,1,1778310296,2026-05-09 15:04:56.000 PHT,14.458969,121.069572,1303,355.6,7.2,128,3,0
A21N,3f9befbb,1,1778310298,2026-05-09 15:04:58.000 PHT,14.457728,121.071121,1318,361.1,7.2,128,3,0
A21N,3f9befbb,1,1778310300,2026-05-09 15:05:00.000 PHT,14.456314,121.072937,1341,368.5,7.5,129,3,0
A21N,3f9befbb,1,1778310307,2026-05-09 15:05:07.000 PHT,14.452194,121.078094,1387,387.1,6.5,128,3,0
A21N,3f9befbb,1,1778310315,2026-05-09 15:05:15.000 PHT,14.446882,121.084801,1440,413.0,6.8,129,3,0
A21N,3f9befbb,1,1778310322,2026-05-09 15:05:22.000 PHT,14.442215,121.090691,1494,431.5,9.4,129,3,0
A21N,3f9befbb,1,1778310330,2026-05-09 15:05:30.000 PHT,14.436584,121.097794,1562,453.7,8.8,129,3,0
A21N,3f9befbb,1,1778310343,2026-05-09 15:05:43.000 PHT,14.426605,121.11039,1676,487.1,9.1,129,3,0
A21N,3f9befbb,1,1778310357,2026-05-09 15:05:57.000 PHT,14.416397,121.123222,1821,511.2,13.7,129,3,0
A21N,3f9befbb,1,1778310369,2026-05-09 15:06:09.000 PHT,14.405914,121.136391,2027,514.9,16.9,129,3,0
A21N,3f9befbb,1,1778310382,2026-05-09 15:06:22.000 PHT,14.395255,121.149803,2233,520.4,16.3,129,3,0
A21N,3f9befbb,1,1778310395,2026-05-09 15:06:35.000 PHT,14.384628,121.163239,2431,524.1,15.6,129,3,0
A21N,3f9befbb,1,1778310408,2026-05-09 15:06:48.000 PHT,14.373505,121.177116,2667,522.3,19.2,129,3,0
A21N,3f9befbb,1,1778310421,2026-05-09 15:07:01.000 PHT,14.362716,121.190666,2896,518.6,15.9,129,3,0
A21N,3f9befbb,1,1778310435,2026-05-09 15:07:15.000 PHT,14.351217,121.205078,3117,520.4,14.6,129,3,0
A21N,3f9befbb,1,1778310448,2026-05-09 15:07:28.000 PHT,14.340134,121.218979,3315,522.3,15.0,129,3,0
A21N,3f9befbb,1,1778310461,2026-05-09 15:07:41.000 PHT,14.32971,121.232056,3482,531.5,12.7,129,3,0
A21N,3f9befbb,1,1778310474,2026-05-09 15:07:54.000 PHT,14.319142,121.245361,3642,540.8,13.0,129,3,0
A21N,3f9befbb,1,1778310487,2026-05-09 15:08:07.000 PHT,14.307266,121.260269,3818,546.3,13.3,129,3,0
A21N,3f9befbb,1,1778310519,2026-05-09 15:08:39.000 PHT,14.279297,121.295502,4237,557.5,12.7,129,3,0
A21N,3f9befbb,1,1778310551,2026-05-09 15:09:11.000 PHT,14.250732,121.331444,4656,568.6,10.1,129,3,0
A21N,3f9befbb,1,1778310583,2026-05-09 15:09:43.000 PHT,14.221663,121.367989,4892,609.3,4.2,129,3,0
A21N,3f9befbb,1,1778310614,2026-05-09 15:10:14.000 PHT,14.189588,121.408226,5029,666.7,6.2,129,3,0
A21N,3f9befbb,1,1778310646,2026-05-09 15:10:46.000 PHT,14.154648,121.452057,5326,690.8,6.2,129,3,0
A21N,3f9befbb,1,1778310677,2026-05-09 15:11:17.000 PHT,14.120911,121.494301,5578,713.0,14.0,129,3,0
A21N,3f9befbb,1,1778310708,2026-05-09 15:11:48.000 PHT,14.084839,121.539383,5997,709.3,10.1,129,3,0
A21N,3f9befbb,1,1778310740,2026-05-09 15:12:20.000 PHT,14.048309,121.585075,6264,726.0,8.1,129,3,0
A21N,3f9befbb,1,1778310771,2026-05-09 15:12:51.000 PHT,14.012192,121.630302,6515,740.8,4.6,129,3,0
A21N,3f9befbb,1,1778310804,2026-05-09 15:13:24.000 PHT,13.973328,121.678932,6767,757.5,9.8,129,3,0
A21N,3f9befbb,1,1778310834,2026-05-09 15:13:54.000 PHT,13.93634,121.725105,7064,759.3,3.6,129,3,0
A21N,3f9befbb,1,1778310865,2026-05-09 15:14:25.000 PHT,13.899101,121.771591,7262,776.0,8.5,129,3,0
A21N,3f9befbb,1,1778310896,2026-05-09 15:14:56.000 PHT,13.858415,121.817078,7468,789.0,7.8,138,3,0
A21N,3f9befbb,1,1778310898,2026-05-09 15:14:58.000 PHT,13.855362,121.819817,7483,789.0,7.2,139,3,0
A21N,3f9befbb,1,1778310900,2026-05-09 15:15:00.000 PHT,13.851563,121.823082,7498,789.0,6.8,139,3,0
A21N,3f9befbb,1,1778310902,2026-05-09 15:15:02.000 PHT,13.848546,121.825607,7513,790.8,7.2,140,3,0
A21N,3f9befbb,1,1778310904,2026-05-09 15:15:04.000 PHT,13.845287,121.828262,7529,792.7,7.2,141,3,0
A21N,3f9befbb,1,1778310906,2026-05-09 15:15:06.000 PHT,13.841982,121.830864,7544,792.7,6.8,142,3,1
A21N,3f9befbb,1,1778310909,2026-05-09 15:15:09.000 PHT,13.838119,121.8339,7559,792.7,6.8,143,3,1
A21N,3f9befbb,1,1778310911,2026-05-09 15:15:11.000 PHT,13.834813,121.836357,7574,794.5,6.8,143,3,1
A21N,3f9befbb,1,1778310913,2026-05-09 15:15:13.000 PHT,13.831787,121.838669,7590,794.5,6.8,143,3,1
