aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A321,3f9bbb4a,1,1778306195,2026-05-09 13:56:35.000 PHT,14.497993,121.000435,0,14.8,0.0,90,0,0
A321,3f9bbb4a,1,1778306236,2026-05-09 13:57:16.000 PHT,14.498159,121.000694,0,7.4,0.0,64,1,0
A321,3f9bbb4a,1,1778306243,2026-05-09 13:57:23.000 PHT,14.498566,121.001442,0,64.8,0.0,61,1,0
A321,3f9bbb4a,1,1778306250,2026-05-09 13:57:30.000 PHT,14.499544,121.003204,0,127.8,0.0,61,1,0
A321,3f9bbb4a,1,1778306259,2026-05-09 13:57:39.000 PHT,14.501488,121.006744,61,194.5,0.7,60,2,0
A321,3f9bbb4a,1,1778306268,2026-05-09 13:57:48.000 PHT,14.504094,121.011414,69,259.3,0.7,60,2,0
A321,3f9bbb4a,1,1778306270,2026-05-09 13:57:50.000 PHT,14.504793,121.012672,61,272.2,1.3,60,2,0
A321,3f9bbb4a,1,1778306272,2026-05-09 13:57:52.000 PHT,14.505295,121.01355,61,283.4,1.6,59,2,0
A321,3f9bbb4a,1,1778306274,2026-05-09 13:57:54.000 PHT,14.50605,121.014885,53,294.5,2.6,59,2,0
A321,3f9bbb4a,1,1778306276,2026-05-09 13:57:56.000 PHT,14.507307,121.017052,84,303.7,9.8,59,2,0
A321,3f9bbb4a,1,1778306278,2026-05-09 13:57:58.000 PHT,14.508098,121.018402,107,303.7,12.7,59,2,0
A321,3f9bbb4a,1,1778306281,2026-05-09 13:58:01.000 PHT,14.508911,121.019806,130,301.9,13.3,59,2,0
A321,3f9bbb4a,1,1778306283,2026-05-09 13:58:03.000 PHT,14.509634,121.021103,152,300.0,13.7,59,2,0
A321,3f9bbb4a,1,1778306285,2026-05-09 13:58:05.000 PHT,14.510605,121.022789,191,296.3,12.7,59,2,0
A321,3f9bbb4a,1,1778306291,2026-05-09 13:58:11.000 PHT,14.512848,121.026672,259,296.3,13.0,59,2,0
A321,3f9bbb4a,1,1778306299,2026-05-09 13:58:19.000 PHT,14.516235,121.032257,373,296.3,13.0,57,2,0
A321,3f9bbb4a,1,1778306308,2026-05-09 13:58:28.000 PHT,14.519504,121.037292,465,288.9,8.5,55,3,0
A321,3f9bbb4a,1,1778306314,2026-05-09 13:58:34.000 PHT,14.522297,121.041435,518,292.6,7.2,55,3,0
A321,3f9bbb4a,1,1778306323,2026-05-09 13:58:43.000 PHT,14.526114,121.047073,572,301.9,4.2,55,3,0
A321,3f9bbb4a,1,1778306331,2026-05-09 13:58:51.000 PHT,14.529694,121.052528,617,324.1,6.2,55,3,0
A321,3f9bbb4a,1,1778306340,2026-05-09 13:59:00.000 PHT,14.53363,121.058632,671,338.9,6.2,56,3,0
A321,3f9bbb4a,1,1778306346,2026-05-09 13:59:06.000 PHT,14.536926,121.063751,716,351.9,5.5,56,3,0
A321,3f9bbb4a,1,1778306353,2026-05-09 13:59:13.000 PHT,14.540079,121.06871,754,364.8,6.2,57,3,0
A321,3f9bbb4a,1,1778306362,2026-05-09 13:59:22.000 PHT,14.544342,121.075729,800,385.2,5.2,58,3,0
A321,3f9bbb4a,1,1778306368,2026-05-09 13:59:28.000 PHT,14.547821,121.081604,831,401.9,4.2,59,3,0
A321,3f9bbb4a,1,1778306375,2026-05-09 13:59:35.000 PHT,14.551437,121.087898,869,422.3,6.5,59,3,0
A321,3f9bbb4a,1,1778306384,2026-05-09 13:59:44.000 PHT,14.556279,121.096611,930,440.8,6.8,60,3,1
A321,3f9bbb4a,1,1778306388,2026-05-09 13:59:48.000 PHT,14.558487,121.101112,953,448.2,5.5,63,3,1
A321,3f9bbb4a,1,1778306390,2026-05-09 13:59:50.000 PHT,14.559399,121.103355,968,453.7,6.5,68,3,1
A321,3f9bbb4a,1,1778306392,2026-05-09 13:59:52.000 PHT,14.560135,121.105797,983,457.4,7.5,69,3,1
A321,3f9bbb4a,1,1778306394,2026-05-09 13:59:54.000 PHT,14.560684,121.108116,998,461.1,7.8,75,3,1
A321,3f9bbb4a,1,1778306396,2026-05-09 13:59:56.000 PHT,14.561096,121.110344,1013,463.0,10.1,79,3,1
A321,3f9bbb4a,1,1778306398,2026-05-09 13:59:58.000 PHT,14.561354,121.113281,1036,468.6,10.7,84,3,1
A321,3f9bbb4a,1,1778306401,2026-05-09 14:00:01.000 PHT,14.561417,121.115646,1059,470.4,10.7,88,3,1
A321,3f9bbb4a,1,1778306403,2026-05-09 14:00:03.000 PHT,14.56126,121.118149,1082,474.1,11.7,92,3,1
A321,3f9bbb4a,1,1778306405,2026-05-09 14:00:05.000 PHT,14.560913,121.120766,1105,476.0,13.7,96,3,0
A321,3f9bbb4a,1,1778306407,2026-05-09 14:00:07.000 PHT,14.560226,121.12365,1143,476.0,15.9,103,3,0
A321,3f9bbb4a,1,1778306409,2026-05-09 14:00:09.000 PHT,14.559445,121.126144,1173,477.8,15.6,105,3,0
A321,3f9bbb4a,1,1778306411,2026-05-09 14:00:11.000 PHT,14.55856,121.128456,1196,479.7,12.0,110,3,0
A321,3f9bbb4a,1,1778306413,2026-05-09 14:00:13.000 PHT,14.557583,121.130722,1219,481.5,10.1,114,3,0
A321,3f9bbb4a,1,1778306416,2026-05-09 14:00:16.000 PHT,14.556015,121.133644,1242,485.2,9.4,117,3,0
A321,3f9bbb4a,1,1778306418,2026-05-09 14:00:18.000 PHT,14.554883,121.135643,1265,490.8,12.4,122,3,0
A321,3f9bbb4a,1,1778306420,2026-05-09 14:00:20.000 PHT,14.553207,121.138,1295,492.6,13.3,125,3,0
A321,3f9bbb4a,1,1778306422,2026-05-09 14:00:22.000 PHT,14.551575,121.140182,1326,494.5,13.3,127,3,0
A321,3f9bbb4a,1,1778306424,2026-05-09 14:00:24.000 PHT,14.550064,121.142075,1349,496.3,12.7,128,3,0
A321,3f9bbb4a,1,1778306426,2026-05-09 14:00:26.000 PHT,14.548366,121.144218,1372,498.2,12.4,129,3,0
A321,3f9bbb4a,1,1778306429,2026-05-09 14:00:29.000 PHT,14.546265,121.146667,1410,500.0,12.4,130,3,0
A321,3f9bbb4a,1,1778306431,2026-05-09 14:00:31.000 PHT,14.544641,121.148552,1433,498.2,13.7,131,3,0
A321,3f9bbb4a,1,1778306433,2026-05-09 14:00:33.000 PHT,14.542779,121.150673,1463,501.9,13.3,131,3,0
A321,3f9bbb4a,1,1778306435,2026-05-09 14:00:35.000 PHT,14.541367,121.152298,1486,503.7,12.7,132,3,0
A321,3f9bbb4a,1,1778306437,2026-05-09 14:00:37.000 PHT,14.53949,121.154434,1509,505.6,13.3,132,3,0
A321,3f9bbb4a,1,1778306439,2026-05-09 14:00:39.000 PHT,14.537704,121.156418,1539,505.6,13.7,132,3,0
A321,3f9bbb4a,1,1778306441,2026-05-09 14:00:41.000 PHT,14.535843,121.158531,1570,507.4,12.7,132,3,0
A321,3f9bbb4a,1,1778306444,2026-05-09 14:00:44.000 PHT,14.533813,121.160782,1600,511.2,10.1,132,3,0
A321,3f9bbb4a,1,1778306446,2026-05-09 14:00:46.000 PHT,14.532074,121.16272,1615,513.0,9.8,132,3,0
A321,3f9bbb4a,1,1778306448,2026-05-09 14:00:48.000 PHT,14.529877,121.165184,1646,514.9,10.7,132,3,0
A321,3f9bbb4a,1,1778306463,2026-05-09 14:01:03.000 PHT,14.516693,121.180008,1829,522.3,13.7,132,3,0
A321,3f9bbb4a,1,1778306476,2026-05-09 14:01:16.000 PHT,14.505157,121.193024,2012,524.1,15.0,132,3,0
