sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.498108,121.000671,0.0,13.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,23,23.0,0.0065489749430523,14.498245,121.000885,0.0,7.4,0.0,61,23.037986081796017,15.233725992105668,0.0,-5.6,-12.0,-0.5217391304347826,-0.2434782608695652,27.619109513292432,4.3501910857772266e-05,0
2,26,3.0,0.0074031890660592,14.498345,121.001091,0.0,31.5,0.0,61,45.21472883536897,26.353234015217776,0.0,24.1,0.0,0.0,8.033333333333333,24.808291040041283,8.25765980716431e-05,0
3,29,3.0,0.008257403189066,14.498508,121.001373,0.0,57.4,0.0,61,75.57316182904226,44.47803209315576,0.0,25.9,0.0,0.0,8.633333333333333,35.35735826066917,0.0001382667587729,0
4,31,2.0,0.0088268792710706,14.498694,121.001709,0.0,74.1,0.0,59,111.74488469017196,65.16031701667477,0.0,16.699999999999996,-2.0,-1.0,8.349999999999998,41.6671378558661,0.0002038952366147,0
5,32,1.0,0.0091116173120728,14.49884,121.001953,0.0,83.3,0.0,59,138.01242290047728,81.39479873094895,0.0,9.200000000000005,0.0,0.0,9.200000000000005,30.879476508452285,0.0002525324395542,0
6,34,2.0,0.0096810933940774,14.499012,121.002266,0.0,98.2,0.0,59,171.7080570103956,100.52035253105544,0.0,14.900000000000006,0.0,0.0,7.450000000000003,38.74509549838661,0.0003135585088319,0
7,35,1.0,0.0099658314350797,14.499195,121.002602,0.0,107.4,0.0,61,207.87969978488695,120.8690522139695,0.0,9.200000000000005,2.0,2.0,9.200000000000005,41.50249524151562,0.0003789276637463,0
8,37,2.0,0.0105353075170842,14.499413,121.002991,0.0,114.8,0.0,61,249.75694782234095,145.1095797048844,0.0,7.399999999999992,0.0,0.0,3.699999999999996,48.38705444312072,0.0004551404514193,0
9,44,7.0,0.0125284738041002,14.500731,121.005356,0.0,170.4,0.0,59,504.35681906454374,291.6646954525081,0.0,55.60000000000001,-2.0,-0.2857142857142857,7.942857142857144,293.76775322310374,0.0009178439505111,0
10,45,1.0,0.0128132118451025,14.500871,121.0056,0.0,170.4,0.0,59,530.6241143494811,307.2320066852187,0.0,0.0,0.0,0.0,0.0,30.533787564004072,0.0009659366706663,0
11,47,2.0,0.013382687927107,14.501394,121.006554,30.0,194.5,0.3,60,633.3248083153319,365.38703364706765,30.0,24.09999999999999,1.0,0.5,12.049999999999995,118.02303503340576,0.0011518306998245,0
12,50,3.0,0.0142369020501138,14.502045,121.007729,30.0,207.4,0.3,60,759.8164082487706,437.77503087956103,0.0,12.900000000000006,0.0,0.0,4.300000000000002,145.73999129381576,0.0013813807548914,0
13,52,2.0,0.0148063781321184,14.50264,121.008766,30.0,220.4,0.3,60,871.4516244315475,503.9361036184043,0.0,13.0,0.0,0.0,6.5,129.7679288546945,0.0015857737629469,0
14,54,2.0,0.015375854214123,14.503326,121.010048,30.0,233.4,0.3,60,1009.461300860586,580.2159286585448,0.0,13.0,0.0,0.0,6.5,157.6872386592479,0.0018341415170289,0
15,56,2.0,0.0159453302961275,14.503967,121.011139,30.0,250.0,0.7,60,1126.9089911121282,651.4919750881966,0.0,16.599999999999994,0.0,0.0,8.299999999999997,137.38359744425767,0.0020505297031312,0
16,58,2.0,0.0165148063781321,14.504562,121.012222,30.0,261.1,0.7,60,1243.4952498337618,717.6530478270398,0.0,11.100000000000025,0.0,0.0,5.550000000000011,134.05087321554404,0.0022616686297581,0
17,61,3.0,0.0173690205011389,14.505569,121.014076,23.0,272.2,1.3,60,1443.079901016593,829.626493622166,-7.0,11.099999999999966,0.0,0.0,3.6999999999999886,228.84941123326576,0.0026221214779042,0
18,63,2.0,0.0179384965831435,14.506236,121.015274,15.0,285.2,2.6,60,1572.0450628691428,903.7936121380036,-8.0,13.0,0.0,0.0,6.5,148.77087935003922,0.0028564453806572,0
19,69,6.0,0.0196469248291571,14.508453,121.019188,76.0,288.9,10.7,59,1993.3857941612937,1150.3131050157924,61.0,3.6999999999999886,-1.0,-0.1666666666666666,0.6166666666666648,488.1597956624732,0.003625329109694,0
20,71,2.0,0.0202164009111617,14.509355,121.020767,107.0,287.1,10.7,58,2163.3633607522484,1250.6110673862088,31.0,-1.7999999999999543,-1.0,-0.5,-0.8999999999999773,197.36282454000855,0.0039361885164988,0
21,80,9.0,0.0227790432801822,14.512573,121.026009,198.0,281.5,10.4,57,2727.652398742812,1608.4368355779138,91.0,-5.600000000000023,-1.0,-0.1111111111111111,-0.6222222222222248,668.1788394292001,0.0049886140588903,0
22,86,6.0,0.0244874715261959,14.514999,121.029747,267.0,283.4,11.4,55,3130.0334174364943,1878.196100224449,69.0,1.8999999999999773,-2.0,-0.3333333333333333,0.3166666666666629,484.4398718604183,0.0057516386637017,0
23,88,2.0,0.0250569476082004,14.515825,121.031029,290.0,283.4,11.4,55,3268.034711245923,1970.0432364973,23.0,0.0,0.0,0.0,0.0,165.77216773758454,0.0060127407119104,0
