sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.498005,121.000435,0.0,14.8,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,20,20.0,0.0057142857142857,14.498171,121.000671,0.0,9.3,0.0,61,25.40638732024773,18.458383318542932,0.0,-5.5,-31.0,-1.55,-0.275,31.40376460553908,4.9484133649779384e-05,0
2,24,4.0,0.0068571428571428,14.498291,121.000893,0.0,33.3,0.0,61,49.305602721537326,31.801792946631124,0.0,23.999999999999996,0.0,0.0,5.999999999999999,27.371864719596587,9.261504578855184e-05,0
3,26,2.0,0.0074285714285714,14.49852,121.001297,0.0,59.3,0.0,59,92.79783314994374,57.26546631999993,0.0,26.0,-2.0,-1.0,13.0,50.39814028294032,0.0001720293561678,0
4,28,2.0,0.008,14.498726,121.001663,0.0,77.8,0.0,59,132.19917185000838,80.17165284814136,0.0,18.5,0.0,0.0,9.25,45.57585614733867,0.000243845005824,0
5,29,1.0,0.0082857142857142,14.498893,121.001961,0.0,85.2,0.0,61,164.2800164653851,98.7412312473575,0.0,7.400000000000006,2.0,2.0,7.400000000000006,37.06763656665539,0.0003022539228754,0
6,31,2.0,0.0088571428571428,14.49909,121.002335,0.0,101.9,0.0,61,204.5425245904474,120.64666205333045,0.0,16.700000000000003,0.0,0.0,8.350000000000001,45.83575943713303,0.0003744791122568,0
7,32,1.0,0.0091428571428571,14.499242,121.002602,0.0,111.1,0.0,61,233.2860519728354,137.5483142488145,0.0,9.199999999999989,0.0,0.0,9.199999999999989,33.34450780465684,0.0004270213504699,0
8,33,1.0,0.0094285714285714,14.499458,121.002991,0.0,118.5,0.0,61,275.16329404592005,161.56645157944396,0.0,7.400000000000006,0.0,0.0,7.400000000000006,48.276019484458836,0.0005030917525461,0
9,35,2.0,0.01,14.499619,121.003273,0.0,125.9,0.0,61,305.5215746389541,179.46885949674288,0.0,7.400000000000006,0.0,0.0,3.700000000000003,35.243743214158165,0.0005586266898835,0
10,36,1.0,0.0102857142857142,14.499916,121.003807,0.0,140.8,0.0,61,363.00847751728327,212.4937983261816,0.0,14.900000000000006,0.0,0.0,14.900000000000006,66.29773794043972,0.0006630946148642,0
11,42,6.0,0.012,14.501129,121.00602,0.0,179.6,0.7,59,601.2446017424666,347.3734306494492,0.0,38.79999999999998,-2.0,-0.3333333333333333,6.466666666666664,273.76805877379945,0.0010944815959975,0
12,45,3.0,0.0128571428571428,14.501814,121.007271,23.0,200.0,0.3,59,735.9179487187612,423.5420606092702,23.0,20.40000000000001,0.0,0.0,6.800000000000002,154.72092672585342,0.0013382813796441,0
13,47,2.0,0.0134285714285714,14.502502,121.008438,23.0,220.4,0.7,59,861.5480103446563,500.0442758100498,0.0,20.40000000000001,0.0,0.0,10.200000000000005,147.09016638711998,0.0015700570773509,0
14,51,4.0,0.0145714285714285,14.503816,121.010841,30.0,244.5,0.7,60,1120.2351627984224,646.1546112371027,7.0,24.09999999999999,1.0,0.25,6.024999999999999,297.0980247787801,0.0020382059935686,0
15,54,3.0,0.0154285714285714,14.504471,121.011986,30.0,250.0,0.7,59,1243.4957943258894,718.987388790167,0.0,5.5,-1.0,-0.3333333333333333,1.8333333333333333,143.17055022112598,0.0022638053995902,0
16,56,2.0,0.016,14.505295,121.013504,30.0,266.7,1.0,59,1406.9099048738829,810.612134902379,0.0,16.69999999999999,0.0,0.0,8.349999999999994,187.34791676207763,0.0025590168007873,0
17,60,4.0,0.0171428571428571,14.50676,121.016106,23.0,294.5,1.6,60,1687.0160082971724,973.5129274445964,-7.0,27.80000000000001,1.0,0.25,6.950000000000003,324.03104968775915,0.0030696051321811,0
18,62,2.0,0.0177142857142857,14.507538,121.017532,23.0,301.9,3.6,59,1840.5246660059888,1060.0226998663538,0.0,7.399999999999977,-1.0,-0.5,3.6999999999999886,176.20677267563298,0.0033472609991958,0
19,64,2.0,0.0182857142857142,14.508545,121.019279,38.0,305.6,5.9,59,2028.5879374582892,1171.99614566148,15.0,3.7000000000000455,0.0,0.0,1.8500000000000227,218.8741596827223,0.0036921495278888,0
20,66,2.0,0.0188571428571428,14.509232,121.020515,61.0,307.4,11.1,59,2161.642040532795,1248.38716578194,23.0,1.7999999999999543,0.0,0.0,0.8999999999999773,153.42417300561394,0.0039339059662483,0
21,68,2.0,0.0194285714285714,14.51024,121.022255,84.0,305.6,11.7,59,2348.950298480529,1360.471806657032,23.0,-1.7999999999999543,0.0,0.0,-0.8999999999999773,218.282876311126,0.0042778627867288,0
22,75,7.0,0.0214285714285714,14.512474,121.026207,152.0,298.2,12.0,60,2774.37405004572,1608.8816158988384,68.0,-7.400000000000034,1.0,0.1428571428571428,-1.057142857142862,492.63869169135575,0.0050541327392939,0
23,77,2.0,0.022,14.513306,121.027809,175.0,298.2,11.1,60,2946.82494901887,1701.3959226532531,23.0,0.0,0.0,0.0,0.0,195.6989100565228,0.0053625031255196,0
24,79,2.0,0.0225714285714285,14.514057,121.029152,206.0,296.3,11.4,60,3091.3943366381563,1784.903427908505,31.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,166.9545192133821,0.0056255798567957,0
25,88,9.0,0.0251428571428571,14.517334,121.034912,297.0,296.3,10.4,59,3711.4327368875024,2149.2897058337576,91.0,0.0,-1.0,-0.1111111111111111,0.0,719.1838876596111,0.0067588258883699,0
26,94,6.0,0.0268571428571428,14.519736,121.038979,358.0,296.3,10.1,58,4149.220856218268,2416.380288554746,61.0,0.0,-1.0,-0.1666666666666666,0.0,512.8320438251792,0.0075669152915129,0
27,102,8.0,0.0291428571428571,14.523193,121.044762,442.0,298.2,7.5,58,4771.71743808794,2800.7816809219544,84.0,1.8999999999999773,0.0,0.0,0.2374999999999971,731.6205996018997,0.0087197583339438,0
28,109,7.0,0.0311428571428571,14.525528,121.048691,488.0,300.0,7.2,58,5194.639435974926,3060.422193267546,46.0,1.8000000000000114,0.0,0.0,0.2571428571428588,496.26317226584086,0.0095017395215602,0
29,111,2.0,0.0317142857142857,14.526489,121.050392,511.0,301.9,7.2,59,5377.736218969845,3167.2806653718635,23.0,1.8999999999999773,1.0,0.5,0.9499999999999886,211.99793298585448,0.0098357929123279,0
30,113,2.0,0.0322857142857142,14.527176,121.051575,526.0,300.0,7.8,59,5505.0744330532625,3243.6716854923234,15.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,148.49460034146085,0.0100697816312559,0
31,122,9.0,0.0348571428571428,14.530563,121.057495,594.0,301.9,8.1,59,6142.29846903607,3620.28942224353,68.0,1.8999999999999773,0.0,0.0,0.2111111111111085,740.1996507290193,0.011236143018315,0
32,131,9.0,0.0374285714285714,14.533794,121.063316,671.0,301.9,8.8,59,6768.858229787369,3979.560726477974,77.0,0.0,0.0,0.0,0.0,722.254384886663,0.0123742273518273,0
33,139,8.0,0.0397142857142857,14.537201,121.069382,754.0,298.2,9.1,59,7421.7788456379885,4358.40236483345,83.0,-3.6999999999999886,0.0,0.0,-0.4624999999999986,754.8677786664327,0.0135637018787397,0
34,146,7.0,0.0417142857142857,14.539614,121.073624,808.0,300.0,7.5,59,7878.364685021699,4626.716093436892,54.0,1.8000000000000114,0.0,0.0,0.2571428571428588,529.5874638700213,0.0143981934491156,0
35,154,8.0,0.044,14.542969,121.07933,869.0,303.7,7.2,59,8492.517575615653,4999.775587620349,61.0,3.6999999999999886,0.0,0.0,0.4624999999999986,718.5816127722405,0.0155304904527183,0
36,163,9.0,0.0465714285714285,14.546402,121.085297,937.0,303.7,8.5,59,9134.754219569946,5381.508298062364,68.0,0.0,0.0,0.0,0.0,747.1201351332331,0.016707756716294,0
37,171,8.0,0.0488571428571428,14.549561,121.090927,991.0,309.3,3.9,59,9740.711693720928,5732.773556520167,54.0,5.600000000000023,0.0,0.0,0.7000000000000028,700.4072929143804,0.0178114157370262,0
38,178,7.0,0.0508571428571428,14.552276,121.095741,1013.0,322.2,4.2,60,10258.83581234913,6034.668199353939,22.0,12.899999999999975,1.0,0.1428571428571428,1.8428571428571396,599.6601443612257,0.0187563235562239,0
39,186,8.0,0.0531428571428571,14.555328,121.102295,1052.0,337.1,3.6,67,10964.239447450273,6374.035584226747,39.0,14.900000000000034,7.0,0.875,1.8625000000000045,782.7784718939635,0.0199897780483181,0
40,189,3.0,0.054,14.555786,121.104095,1059.0,338.9,3.9,72,11157.980405133778,6424.9629309734855,7.0,1.7999999999999543,5.0,1.6666666666666667,0.5999999999999849,200.30929240797477,0.0203054131933816,0
41,191,2.0,0.0545714285714285,14.556061,121.10585,1067.0,344.5,3.9,79,11346.881853988049,6455.541578038016,8.0,5.600000000000023,7.0,3.5,2.8000000000000114,191.3428823010924,0.0206069196172022,0
42,193,2.0,0.0551428571428571,14.556187,121.107979,1074.0,348.2,3.6,84,11576.044343040843,6469.552158147314,7.0,3.6999999999999886,5.0,2.5,1.8499999999999943,229.56354906357564,0.0209686518326123,0
43,195,2.0,0.0557142857142857,14.556152,121.109871,1082.0,351.9,3.6,87,11779.700299299797,6465.660330339313,8.0,3.6999999999999886,3.0,1.5,1.8499999999999943,203.66540769917884,0.0212895753391096,0
44,197,2.0,0.0562857142857142,14.555923,121.111626,1090.0,357.4,3.6,95,11968.614845467571,6440.196656965591,8.0,5.5,8.0,4.0,2.75,190.5922525954507,0.0215898989664998,0
45,199,2.0,0.0568571428571428,14.555511,121.114037,1097.0,361.1,3.3,99,12228.14661590713,6394.384283909308,7.0,3.7000000000000455,4.0,2.0,1.8500000000000227,263.4996556700413,0.0220051056253711,0
46,201,2.0,0.0574285714285714,14.554976,121.115837,1105.0,366.7,3.6,104,12421.914076280478,6334.894915984685,8.0,5.599999999999966,5.0,2.5,2.799999999999983,202.6556426841682,0.0223244380058494,0
47,204,3.0,0.0582857142857142,14.554185,121.117905,1113.0,370.4,4.2,109,12644.53697867286,6246.939607519836,8.0,3.6999999999999886,5.0,1.6666666666666667,1.2333333333333296,239.32075497738853,0.0227015450302212,0
48,206,2.0,0.0588571428571428,14.552948,121.120102,1128.0,377.8,4.6,114,12881.059323693064,6109.391293271021,15.0,7.400000000000034,5.0,2.5,3.700000000000017,273.55330320656526,0.0231325936126521,0
49,208,2.0,0.0594285714285714,14.551857,121.121765,1135.0,383.4,4.9,122,13060.098296643451,5988.077460736126,7.0,5.599999999999966,8.0,4.0,2.799999999999983,216.2236236433148,0.0234733055885889,0
50,210,2.0,0.06,14.550888,121.122986,1143.0,387.1,5.2,126,13191.557016199622,5880.32942798996,8.0,3.7000000000000455,4.0,2.0,1.8500000000000227,169.93911255884467,0.0237410852597148,0
51,212,2.0,0.0605714285714285,14.549716,121.124512,1158.0,390.8,5.9,130,13355.853128587103,5750.008793956257,15.0,3.6999999999999886,4.0,2.0,1.8499999999999943,209.66339496652063,0.0240714600281003,0
52,214,2.0,0.0611428571428571,14.547853,121.126389,1166.0,396.3,6.2,133,13557.953608316451,5542.852359481169,8.0,5.5,3.0,1.5,2.75,289.3546395845039,0.0245274073910117,0
53,216,2.0,0.0617142857142857,14.546448,121.127823,1181.0,400.0,6.2,135,13712.355936972474,5386.623271752819,15.0,3.6999999999999886,2.0,1.0,1.8499999999999943,219.61087770108833,0.0248734567949481,0
54,219,3.0,0.0625714285714285,14.544983,121.129242,1189.0,401.9,5.2,136,13865.14648263595,5223.7224792109555,8.0,1.8999999999999773,1.0,0.3333333333333333,0.6333333333333258,223.2994217529432,0.0252253183812495,0
55,221,2.0,0.0631428571428571,14.543335,121.130852,1204.0,407.4,4.9,136,14038.503687667677,5040.472986986178,15.0,5.5,0.0,0.0,2.75,252.2078702756268,0.0256227321345688,0
56,223,2.0,0.0637142857142857,14.541824,121.132271,1212.0,413.0,4.6,137,14191.297858299517,4872.457220753152,8.0,5.600000000000023,1.0,0.5,2.8000000000000114,227.05929559597945,0.0259805183003623,0
57,225,2.0,0.0642857142857142,14.53981,121.134209,1227.0,416.7,4.9,137,14399.976643269034,4648.5103291625455,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,306.04487489097613,0.0264627651163782,0
58,227,2.0,0.0648571428571428,14.538071,121.135818,1234.0,422.3,5.9,137,14573.233209086027,4455.142084636824,7.0,5.600000000000023,0.0,0.0,2.8000000000000114,259.5839704969104,0.0268718016777828,0
59,230,3.0,0.0657142857142857,14.536402,121.137329,1250.0,427.8,6.5,137,14735.939601041571,4269.557495727105,16.0,5.5,0.0,0.0,1.8333333333333333,246.7637203702508,0.0272606368722921,0
60,232,2.0,0.0662857142857142,14.534493,121.13916,1265.0,431.5,6.8,137,14933.101809458693,4057.2860875608544,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,289.65545298465435,0.0277170582385812,0
61,234,2.0,0.0668571428571428,14.532771,121.140747,1280.0,437.1,7.2,137,15103.993752822662,3865.8081593987968,15.0,5.600000000000023,0.0,0.0,2.8000000000000114,256.59926738574006,0.0281213916871739,0
62,236,2.0,0.0674285714285714,14.531095,121.142288,1295.0,440.8,7.2,137,15269.93371031784,3679.4452049275474,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,249.4873092894338,0.0285145185467041,0
63,238,2.0,0.068,14.529327,121.143967,1311.0,444.5,7.2,137,15450.733361212624,3482.8523030746815,16.0,3.6999999999999886,0.0,0.0,1.8499999999999943,267.03997043354565,0.0289353038172839,0
64,240,2.0,0.0685714285714285,14.527405,121.145767,1326.0,448.2,6.8,137,15644.565186502476,3269.1353588656925,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,288.46904785058837,0.0293898557188463,0
65,243,3.0,0.0694285714285714,14.525695,121.1474,1341.0,451.9,6.5,137,15820.413973994768,3078.991771666408,15.0,3.6999999999999886,0.0,0.0,1.2333333333333296,258.94405647044965,0.0297978839428236,0
66,249,6.0,0.0711428571428571,14.520061,121.15284,1387.0,466.7,8.5,136,16406.2251055287,2452.518689630656,46.0,14.800000000000011,-1.0,-0.1666666666666666,2.466666666666669,857.5339493557984,0.03114913354911,0
67,258,9.0,0.0737142857142857,14.512613,121.160118,1471.0,477.8,10.4,136,17189.982632447798,1624.3377320512293,84.0,11.100000000000025,0.0,0.0,1.2333333333333358,1140.0289346054117,0.0329455214940979,0
68,267,9.0,0.0762857142857142,14.504653,121.167969,1577.0,485.2,13.0,135,18035.47215203987,739.2248933924078,106.0,7.399999999999977,-1.0,-0.1111111111111111,0.8222222222222197,1223.808775600565,0.0348739245939896,0
69,279,12.0,0.0797142857142857,14.493896,121.178818,1737.0,485.2,15.0,135,19203.861466736187,-456.9005846796675,160.0,0.0,0.0,0.0,0.0,1671.7613296224226,0.0375081839608102,0
70,293,14.0,0.0837142857142857,14.482452,121.190422,1920.0,487.1,12.7,135,20453.620660204317,-1729.4170828722029,183.0,1.900000000000034,0.0,0.0,0.1357142857142881,1783.2516115234494,0.0403181229023423,0
71,305,12.0,0.0871428571428571,14.4711,121.201981,2073.0,490.8,9.8,135,21698.59489975786,-2991.7036336831216,153.0,3.6999999999999886,0.0,0.0,0.3083333333333324,1772.6063909338022,0.0431112877556398,0
72,318,13.0,0.0908571428571428,14.459916,121.213364,2217.0,496.3,10.1,135,22924.67516410682,-4235.3094110152115,144.0,5.5,0.0,0.0,0.4230769230769231,1746.043872933209,0.0458625970159113,0
73,331,13.0,0.0945714285714285,14.447534,121.225937,2309.0,516.7,5.5,135,24279.005258056743,-5612.126894466837,92.0,20.40000000000003,0.0,0.0,1.569230769230772,1930.9113906764371,0.0489052092161461,0
74,345,14.0,0.0985714285714285,14.435058,121.238564,2385.0,540.8,5.2,135,25639.23015447737,-6999.396715460365,76.0,24.09999999999991,0.0,0.0,1.7214285714285649,1942.496797148712,0.0519660769920885,0
75,358,13.0,0.1022857142857142,14.422582,121.251236,2477.0,557.5,9.4,135,27004.37638635665,-8386.666536453893,92.0,16.700000000000045,0.0,0.0,1.284615384615388,1945.945357549899,0.055032378798821,0
76,371,13.0,0.106,14.409393,121.264534,2614.0,566.7,11.1,135,28437.049412444943,-9853.218449654069,137.0,9.200000000000044,0.0,0.0,0.7076923076923112,2049.81118358411,0.0582623460285269,0
77,383,12.0,0.1094285714285714,14.396072,121.27803,2758.0,568.6,12.0,135,29891.136314582684,-11334.448113444749,144.0,1.8999999999999773,0.0,0.0,0.1583333333333314,2075.276759016266,0.0615324403561773,0
78,396,13.0,0.1131428571428571,14.383163,121.2911,2911.0,574.1,11.4,135,31299.408277064605,-12769.865404179502,153.0,5.5,0.0,0.0,0.4230769230769231,2010.5015715899128,0.0647004659009267,0
79,409,13.0,0.1168571428571428,14.369751,121.304642,3056.0,576.0,11.4,135,32758.62591903928,-14261.21382027148,145.0,1.8999999999999773,0.0,0.0,0.1461538461538444,2086.091971308808,0.0679876021793514,0
80,424,15.0,0.1211428571428571,14.354599,121.319984,3223.0,581.5,12.4,135,34411.90479481689,-15946.04167597021,167.0,5.5,0.0,0.0,0.3666666666666666,2360.055151033672,0.0717064328985832,0
81,437,13.0,0.1248571428571428,14.340912,121.333817,3376.0,585.2,9.1,135,35902.66925845893,-17467.968739126365,153.0,3.7000000000000455,0.0,0.0,0.2846153846153881,2130.0035106757573,0.0750627622979631,0
82,450,13.0,0.1285714285714285,14.327225,121.347687,3482.0,598.2,10.4,135,37397.50944649746,-18989.895802282874,106.0,13.0,0.0,0.0,1.0,2132.8579406356935,0.0784235895336823,0
83,463,13.0,0.1322857142857142,14.312851,121.362228,3635.0,600.0,9.8,135,38964.76676525675,-20588.213885559668,153.0,1.7999999999999543,0.0,0.0,0.1384615384615349,2238.0822853468853,0.0819502228631072,0
84,477,14.0,0.1362857142857143,14.297263,121.378014,3757.0,613.0,5.5,135,40666.32463710846,-22321.52279624005,122.0,13.0,0.0,0.0,0.9285714285714286,2428.4603839739575,0.0857768423691828,0
85,508,31.0,0.1451428571428571,14.261856,121.413841,3886.0,661.2,4.6,135,44528.52331916777,-26258.607002068675,129.0,48.200000000000045,0.0,0.0,1.5548387096774208,5514.132135702297,0.0944656749022578,0
86,541,33.0,0.1545714285714285,14.222214,121.453857,4115.0,692.6,8.8,135,48843.029937828454,-30666.602372686444,229.0,31.399999999999977,0.0,0.0,0.9515151515151508,6166.918298383763,0.1041831279884609,0
87,573,32.0,0.1637142857142857,14.181627,121.494766,4404.0,703.8,9.4,135,53254.609806006214,-35179.67709412465,289.0,11.199999999999932,0.0,0.0,0.3499999999999978,6309.884574094771,0.1141258585973928,0
88,605,32.0,0.1728571428571428,14.140941,121.53582,4694.0,713.0,10.1,135,57682.6161542942,-39703.760128506365,290.0,9.200000000000044,0.0,0.0,0.2875000000000014,6329.237664498291,0.1240990846238039,0
89,636,31.0,0.1817142857142857,14.101868,121.575134,4991.0,714.9,7.8,135,61923.70945967708,-44048.48549847112,297.0,1.8999999999999773,0.0,0.0,0.0612903225806444,6070.364076381485,0.1336643934659642,0
90,668,32.0,0.1908571428571428,14.060637,121.616867,5227.0,726.0,7.8,135,66426.51973790869,-48633.16985157994,236.0,11.100000000000025,0.0,0.0,0.3468750000000007,6424.866909545689,0.1437883062142443,0
91,700,32.0,0.2,14.017685,121.660233,5448.0,737.1,7.8,135,71106.40412597457,-53409.2209377705,221.0,11.100000000000025,0.0,0.0,0.3468750000000007,6685.4186536372,0.1543227804824331,0
92,731,31.0,0.2088571428571428,13.977448,121.700722,5662.0,744.5,7.2,135,75476.63140610117,-57883.37738112711,214.0,7.399999999999977,0.0,0.0,0.2387096774193541,6253.14155381634,0.1641760989067299,0
93,762,31.0,0.2177142857142857,13.935699,121.742676,5890.0,748.2,6.2,135,80005.80558157693,-62525.66078579707,228.0,3.7000000000000455,0.0,0.0,0.1193548387096788,6484.425969659131,0.174393861183171,0
94,795,33.0,0.2271428571428571,13.891068,121.787613,6050.0,764.9,5.5,135,84857.90962417873,-67488.40841169984,160.0,16.699999999999932,0.0,0.0,0.506060606060604,6939.23688882838,0.1853282867193277,0
95,827,32.0,0.2362857142857143,13.844742,121.828857,6248.0,776.0,6.8,143,89313.14367587105,-72639.6316985985,198.0,11.100000000000025,8.0,0.25,0.3468750000000007,6808.773458271221,0.1960571359522868,0
96,859,32.0,0.2454285714285714,13.794891,121.866364,6515.0,768.6,8.5,143,93367.06346470711,-78182.81764332028,267.0,-7.399999999999977,0.0,0.0,-0.2312499999999993,6865.005048849677,0.2068745914902056,0
97,892,33.0,0.2548571428571428,13.743073,121.905579,6698.0,779.7,6.2,143,97606.45579509846,-83944.72431086154,183.0,11.100000000000025,0.0,0.0,0.336363636363637,7150.982792600501,0.2181426732848927,0
98,925,33.0,0.2642857142857143,13.691071,121.944832,6866.0,787.1,3.9,143,101850.92953324722,-89727.09087316567,168.0,7.399999999999977,0.0,0.0,0.2242424242424235,7170.459885695532,0.2294414458929244,0
99,955,30.0,0.2728571428571428,13.642227,121.98172,7003.0,800.1,5.9,143,105840.52744360131,-95158.30337209233,137.0,13.0,0.0,0.0,0.4333333333333333,6736.7139952822345,0.2400567482265843,0
100,986,31.0,0.2817142857142857,13.592422,122.019226,7201.0,800.1,7.2,143,109897.85081749145,-100696.37434312364,198.0,0.0,0.0,0.0,0.0,6862.875699669556,0.2508708484661579,0
101,1018,32.0,0.2908571428571428,13.540192,122.058578,7361.0,807.5,4.6,143,114155.7876545608,-106504.093383721,160.0,7.399999999999977,0.0,0.0,0.2312499999999993,7198.835680188679,0.2622143339175303,0
102,1050,32.0,0.3,13.487823,122.098022,7506.0,818.6,3.9,143,118424.62923518778,-112327.26854047074,145.0,11.100000000000025,0.0,0.0,0.3468750000000007,7217.734924491913,0.2735875996434249,0
103,1083,33.0,0.3094285714285714,13.434045,122.138382,7650.0,824.1,4.2,143,122793.63439846672,-118307.11756526976,144.0,5.5,0.0,0.0,0.1666666666666666,7403.233621954869,0.2852531628837231,0
104,1115,32.0,0.3185714285714285,13.378555,122.180046,7803.0,833.4,4.9,143,127304.82968074188,-124477.33256742836,153.0,9.299999999999956,0.0,0.0,0.2906249999999986,7640.739189157417,0.2972929728863965,0
105,1146,31.0,0.3274285714285714,13.327673,122.218178,7940.0,839.0,4.6,143,131434.5439212796,-130135.16063987098,137.0,5.600000000000023,0.0,0.0,0.1806451612903233,7002.174215453849,0.3083265712166885,0
106,1179,33.0,0.3368571428571428,13.271622,122.260361,8115.0,840.8,5.9,143,136003.9385349826,-136367.75608204072,175.0,1.7999999999999543,0.0,0.0,0.0545454545454531,7725.420594681055,0.3204998170045685,0
107,1209,30.0,0.3454285714285714,13.219253,122.299706,8275.0,842.7,4.2,143,140266.9022291794,-142190.93123879065,160.0,1.900000000000091,0.0,0.0,0.0633333333333363,7214.21625974497,0.331867538233528,0
108,1241,32.0,0.3545714285714286,13.164647,122.340668,8412.0,850.1,3.6,143,144706.0779684262,-148262.849790023,137.0,7.399999999999977,0.0,0.0,0.2312499999999993,7518.887225328359,0.3437153413561555,0
109,1274,33.0,0.364,13.108226,122.382973,8534.0,857.5,2.6,143,149291.8614027493,-154536.58741187915,122.0,7.399999999999977,0.0,0.0,0.2242424242424235,7768.231824938049,0.3559560464651189,0
110,1304,30.0,0.3725714285714285,13.054916,122.422974,8626.0,864.9,4.2,143,153628.86627155417,-160464.39713912876,92.0,7.399999999999977,0.0,0.0,0.2466666666666659,7342.299333490133,0.3675255931764399,0
111,1336,32.0,0.3817142857142857,12.999107,122.464699,8702.0,876.0,3.3,143,158153.87405876466,-166670.08337188206,76.0,11.100000000000025,0.0,0.0,0.3468750000000007,7677.42343199398,0.3796232079677483,0
112,1367,31.0,0.3905714285714285,12.944408,122.505699,8900.0,868.6,7.5,143,162601.2178736972,-172752.34306557616,198.0,-7.399999999999977,0.0,0.0,-0.2387096774193541,7532.003547083365,0.3914916789888547,0
113,1398,31.0,0.3994285714285714,12.889942,122.546471,9075.0,866.7,6.2,143,167024.84244051413,-178808.6943055758,175.0,-1.8999999999999773,0.0,0.0,-0.0612903225806444,7497.081331781698,0.4033051217166643,0
114,1429,31.0,0.4082857142857143,12.835648,122.587013,9281.0,859.3,8.8,143,171424.53622363872,-184845.91999177495,206.0,-7.400000000000091,0.0,0.0,-0.2387096774193577,7467.505319477868,0.4150719603712345,0
115,1461,32.0,0.4174285714285714,12.781615,122.627319,9449.0,853.8,0.3,143,175799.60174400522,-190854.12376203353,168.0,-5.5,0.0,0.0,-0.171875,7429.539591872158,0.4267789749517629,0
116,1491,30.0,0.426,12.728897,122.666618,9449.0,863.0,0.0,143,180066.2965377184,-196716.10600178508,0.0,9.200000000000044,0.0,0.0,0.3066666666666682,7247.593993598843,0.4381992907745138,0
117,1523,32.0,0.4351428571428571,12.671814,122.709236,9449.0,866.7,0.0,143,184694.327817381,-203063.45476675584,0.0,3.7000000000000455,0.0,0.0,0.1156250000000014,7852.42938619311,0.4505726692564458,0
118,1555,32.0,0.4442857142857143,12.616287,122.750717,9449.0,866.7,0.0,143,189199.89628899985,-209237.78398688327,0.0,0.0,0.0,0.0,0.0,7640.547231909408,0.4626121767846155,0
119,1588,33.0,0.4537142857142857,12.558746,122.793671,9449.0,866.7,0.0,143,193866.53321002817,-215636.06009860092,0.0,0.0,0.0,0.0,0.0,7916.265441419874,0.4750861442223047,0
120,1618,30.0,0.4622857142857143,12.505737,122.833206,9449.0,863.0,0.0,143,198162.68937751828,-221530.40010670017,0.0,-3.7000000000000455,0.0,0.0,-0.1233333333333348,7291.020624692409,0.4865748890771792,0
121,1650,32.0,0.4714285714285714,12.449936,122.874832,9441.0,863.0,0.0,143,202687.04402310803,-227735.19677881163,-8.0,0.0,0.0,0.0,0.0,7676.155663548676,0.498670506196426,0
122,1683,33.0,0.4808571428571428,12.392904,122.917206,9449.0,859.3,0.0,143,207293.827400778,-234076.87459469048,8.0,-3.7000000000000455,0.0,0.0,-0.1121212121212135,7835.212497863286,0.511016755357595,1
123,1715,32.0,0.49,12.336868,122.958839,8795.14323235046,857.5,0.3,143,211821.0640145496,-240307.8021106565,-8.0,-1.7999999999999543,0.0,0.0,-0.0562499999999985,7698.892209953761,0.5231481993375757,1
124,1746,31.0,0.4988571428571428,12.283366,122.998543,7897.579858932435,855.6,0.0,143,216139.49775901352,-246256.9612933112,0.0,-1.8999999999999773,0.0,0.0,-0.0612903225806444,7348.316701380718,0.534727227849587,1
125,1779,33.0,0.5082857142857143,12.227051,123.040482,7844.660826963977,855.6,0.0,143,220701.91759969303,-252518.9122366627,8.0,0.0,0.0,0.0,0.0,7744.646594893755,0.5469307687939882,1
126,1809,30.0,0.5168571428571429,12.173876,123.080025,7844.660826963977,853.8,0.0,143,225004.64117180952,-258431.71062808068,0.0,-1.8000000000000682,0.0,0.0,-0.0600000000000022,7309.665884349285,0.5584488937098963,1
