aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A20N,3f9c05dd,2,1778312393,2026-05-09 15:39:53.000 PHT,0,0,0.0,0.0,14.524123,121.003525,0,14.8,0.0,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A20N,3f9c05dd,2,1778312401,2026-05-09 15:40:01.000 PHT,1,8,8.0,0.001392515230635335,14.523903,121.003754,0,13.0,0.0,135,1,24.649921079049268,-24.4629176512003,0.0,-1.8000000000000007,0.0,0.0,-0.2250000000000001,34.72827305254059,3.3537208273817024e-05
A20N,3f9c05dd,2,1778312409,2026-05-09 15:40:09.000 PHT,2,16,8.0,0.00278503046127067,14.523705,121.00396,0,14.8,0.0,135,1,46.82410685098525,-46.479543537492766,0.0,1.8000000000000007,0.0,0.0,0.2250000000000001,31.24782120122614,6.37133326708766e-05
A20N,3f9c05dd,2,1778312830,2026-05-09 15:47:10.000 PHT,3,437,421.0,0.07606614447345518,14.523468,121.004211,0,22.2,0.0,135,1,73.84219427276915,-72.83277755271054,0.0,7.399999999999999,0.0,0.0,0.017577197149643703,37.74215170002027,0.00010016105353366157
A20N,3f9c05dd,2,1778312837,2026-05-09 15:47:17.000 PHT,4,444,7.0,0.07728459530026109,14.522622,121.005081,0,92.6,0.0,135,1,167.49077848242243,-166.90381543053778,0.0,70.39999999999999,0.0,0.0,10.057142857142855,132.73815205954898,0.00022834672647995918
A20N,3f9c05dd,2,1778312844,2026-05-09 15:47:24.000 PHT,5,451,7.0,0.07850304612706702,14.520853,121.006889,69,168.5,0.3,134,2,362.108760928096,-363.6079123633697,69.0,75.9,-1.0,-0.14285714285714285,10.842857142857143,276.7104211132205,0.000495566896350479
A20N,3f9c05dd,2,1778312851,2026-05-09 15:47:31.000 PHT,6,458,7.0,0.07972149695387293,14.518526,121.009346,69,218.5,0.7,134,2,626.5892344289813,-622.3588640671123,0.0,50.0,0.0,0.0,7.142857142857143,370.0027058294201,0.0008528797344666643
A20N,3f9c05dd,2,1778312853,2026-05-09 15:47:33.000 PHT,7,460,2.0,0.08006962576153177,14.517471,121.010376,61,231.5,0.7,135,2,737.4631646831399,-739.6696737133323,-8.0,13.0,1.0,0.5,6.5,161.415098845621,0.0010087588298750185
A20N,3f9c05dd,2,1778312856,2026-05-09 15:47:36.000 PHT,8,463,3.0,0.08059181897302002,14.516617,121.011269,53,253.7,1.3,135,2,833.5900993499478,-834.6302722326548,-8.0,22.19999999999999,0.0,0.0,7.399999999999996,135.12182277382797,0.0011392464215225437
A20N,3f9c05dd,2,1778312858,2026-05-09 15:47:38.000 PHT,9,465,2.0,0.08093994778067885,14.515779,121.012138,61,263.0,5.5,134,2,927.133926142803,-927.8117494682795,8.0,9.300000000000011,-1.0,-0.5,4.650000000000006,132.03498287192298,0.0012667530416561237
