aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A21N,3f9b32a6,2,1778288099,2026-05-09 08:54:59.000 PHT,0,0,0.0,0.0,14.498055,121.000504,0,11.1,0.0,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A21N,3f9b32a6,2,1778288119,2026-05-09 08:55:19.000 PHT,1,20,20.0,0.003718854592785422,14.498188,121.00071,0,7.4,0.0,61,1,22.17675845862177,14.788945671181182,0.0,-3.6999999999999993,-14.0,-0.7,-0.18499999999999997,26.65560972472591,2.543526076918404e-05
A21N,3f9b32a6,2,1778288124,2026-05-09 08:55:24.000 PHT,2,25,5.0,0.0046485682409817776,14.498322,121.000969,0,37.0,0.0,61,1,50.05917265001729,29.689086422328238,0.0,29.6,0.0,0.0,5.92,31.613970374514903,5.560187818027062e-05
A21N,3f9b32a6,2,1778288126,2026-05-09 08:55:26.000 PHT,3,27,2.0,0.00502045370026032,14.498497,121.001259,0,57.4,0.0,61,1,81.27883962641602,49.14822546303967,0.0,20.4,0.0,0.0,10.2,36.78757613858813,9.07052429809354e-05
A21N,3f9b32a6,2,1778288129,2026-05-09 08:55:29.000 PHT,4,30,3.0,0.005578281889178133,14.498741,121.001709,0,85.2,0.0,61,1,129.7231097025292,76.27982504014055,0.0,27.800000000000004,0.0,0.0,9.266666666666667,55.52450497963116,0.00014368772125929706
A21N,3f9b32a6,2,1778288130,2026-05-09 08:55:30.000 PHT,5,31,1.0,0.0057642246188174045,14.498904,121.002007,0,92.6,0.0,61,1,161.80395200305816,94.40462311807853,0.0,7.3999999999999915,0.0,0.0,7.3999999999999915,36.84682650015016,0.0001788476238174006
A21N,3f9b32a6,2,1778288131,2026-05-09 08:55:31.000 PHT,6,32,1.0,0.005950167348456675,14.499043,121.002251,0,101.9,0.0,61,1,188.07146738760986,109.86073927046961,0.0,9.300000000000011,0.0,0.0,9.300000000000011,30.477432854887844,0.00020792973674765887
A21N,3f9b32a6,2,1778288132,2026-05-09 08:55:32.000 PHT,7,33,1.0,0.0061361100780959466,14.499184,121.002518,0,111.1,0.0,61,1,216.81500560711746,125.53924558349976,0.0,9.199999999999989,0.0,0.0,9.199999999999989,32.74150738049843,0.00023917227018806418
A21N,3f9b32a6,2,1778288133,2026-05-09 08:55:33.000 PHT,8,34,1.0,0.006322052807735217,14.499358,121.002815,0,118.5,0.0,59,1,248.78812374154714,144.88718954424533,0.0,7.400000000000006,-2.0,-2.0,7.400000000000006,37.37142562928257,0.0002748327546419325
A21N,3f9b32a6,2,1778288137,2026-05-09 08:55:37.000 PHT,9,38,4.0,0.007065823726292302,14.499963,121.003914,0,151.9,0.0,59,1,367.0992400227631,212.16021308522298,0.0,33.400000000000006,0.0,0.0,8.350000000000001,136.0998823798584,0.0004047017028572062
A21N,3f9b32a6,2,1778288139,2026-05-09 08:55:39.000 PHT,10,40,2.0,0.007437709185570844,14.500385,121.004662,0,166.7,0.0,59,1,447.6238083212566,259.0845369439939,0.0,14.799999999999983,0.0,0.0,7.3999999999999915,93.19924211129745,0.0004936340908637815
A21N,3f9b32a6,2,1778288141,2026-05-09 08:55:41.000 PHT,11,42,2.0,0.007809594644849386,14.500649,121.005104,0,175.9,0.7,60,1,495.206419319731,288.4400381257172,0.0,9.200000000000017,1.0,0.5,4.6000000000000085,55.90931842511342,0.0005469837650320294
A21N,3f9b32a6,2,1778288143,2026-05-09 08:55:43.000 PHT,12,44,2.0,0.008181480104127928,14.501221,121.006165,30,198.2,0.7,60,2,609.4260697752431,352.0436240189794,30.0,22.299999999999983,0.0,0.0,11.149999999999991,130.73460889538632,0.0006717330730820679
A21N,3f9b32a6,2,1778288145,2026-05-09 08:55:45.000 PHT,13,46,2.0,0.008553365563406471,14.501724,121.007065,30,203.7,0.7,60,2,706.3133553840007,407.9747493765596,0.0,5.5,0.0,0.0,2.75,111.87241303270582,0.0007784837356161621
A21N,3f9b32a6,2,1778288147,2026-05-09 08:55:47.000 PHT,14,48,2.0,0.008925251022685012,14.502279,121.008095,30,218.5,0.3,60,2,817.1952392864256,469.688018906158,0.0,14.800000000000011,0.0,0.0,7.400000000000006,126.89882733545983,0.0008995728721211524
A21N,3f9b32a6,2,1778288149,2026-05-09 08:55:49.000 PHT,15,50,2.0,0.009297136481963555,14.502914,121.009239,30,237.1,0.7,60,2,940.349122001494,540.2968948545998,0.0,18.599999999999994,0.0,0.0,9.299999999999997,141.95947115350577,0.00103503314501431
A21N,3f9b32a6,2,1778288151,2026-05-09 08:55:51.000 PHT,16,52,2.0,0.009669021941242098,14.503675,121.010597,30,250.0,0.7,60,2,1086.540055768808,624.9163509123397,0.0,12.900000000000006,0.0,0.0,6.450000000000003,168.91490426263877,0.0011962147755262774
A21N,3f9b32a6,2,1778288153,2026-05-09 08:55:53.000 PHT,17,54,2.0,0.01004090740052064,14.504288,121.011703,38,263.0,0.7,60,2,1205.602422391009,693.0789350955199,8.0,13.0,0.0,0.0,6.5,137.19323353951407,0.0013271270190233068
A21N,3f9b32a6,2,1778288154,2026-05-09 08:55:54.000 PHT,18,55,1.0,0.010226850130159911,14.504837,121.01265,0,0.0,0.7,60,2,1307.547895117116,754.1250341435548,-38.0,-263.0,0.0,0.0,-263.0,118.82557701165506,0.001440512515305414
A21N,3f9b32a6,2,1778288157,2026-05-09 08:55:57.000 PHT,19,58,3.0,0.010784678319077723,14.505478,121.01384,30,279.7,1.0,60,2,1435.6523547244635,825.4010805735602,30.0,279.7,0.0,0.0,93.23333333333333,146.5981226364806,0.0015803990726206976
A21N,3f9b32a6,2,1778288159,2026-05-09 08:55:59.000 PHT,20,60,2.0,0.011156563778356266,14.506375,121.015465,23,296.3,1.3,60,2,1610.5842374804831,925.1430675427325,-7.0,16.600000000000023,0.0,0.0,8.300000000000011,201.36935944769584,0.0017725493262209598
A21N,3f9b32a6,2,1778288161,2026-05-09 08:56:01.000 PHT,21,62,2.0,0.011528449237634809,14.506897,121.016441,30,301.9,5.2,60,2,1715.650741843955,983.1868994249692,7.0,5.599999999999966,0.0,0.0,2.799999999999983,120.03349879523803,0.001887087443128575
A21N,3f9b32a6,2,1778288163,2026-05-09 08:56:03.000 PHT,22,64,2.0,0.01190033469691335,14.508005,121.018402,53,303.7,9.8,60,2,1926.7515954699072,1106.391048323527,23.0,1.8000000000000114,0.0,0.0,0.9000000000000057,244.42353638456763,0.0021203207643795503
A21N,3f9b32a6,2,1778288172,2026-05-09 08:56:12.000 PHT,23,73,9.0,0.01357381926366679,14.511246,121.024063,145,298.2,12.0,59,2,2536.1497779053275,1466.7743033604595,92.0,-5.5,-1.0,-0.1111111111111111,-0.6111111111111112,707.9849780620137,0.0027958927255404397
A21N,3f9b32a6,2,1778288178,2026-05-09 08:56:18.000 PHT,24,79,6.0,0.014689475641502418,14.513545,121.028137,213,296.3,11.4,59,2,2974.7044890435454,1722.411792817377,68.0,-1.8999999999999773,0.0,0.0,-0.3166666666666629,507.6227414236638,0.0032802754477447705
A21N,3f9b32a6,2,1778288186,2026-05-09 08:56:26.000 PHT,25,87,8.0,0.016177017478616586,14.51683,121.033676,312,298.2,11.4,58,2,3570.9537652045597,2087.6876313844787,99.0,1.8999999999999773,-1.0,-0.125,0.23749999999999716,699.2432135407926,0.00394750586044827
A21N,3f9b32a6,2,1778288193,2026-05-09 08:56:33.000 PHT,26,94,7.0,0.017478616586091483,14.519211,121.037796,389,298.2,13.0,58,2,4014.4486859088192,2352.443117420525,77.0,0.0,0.0,0.0,0.0,516.5109461043043,0.004440369866935971
A21N,3f9b32a6,2,1778288201,2026-05-09 08:56:41.000 PHT,27,102,8.0,0.01896615842320565,14.52253,121.043457,488,298.2,10.4,59,2,4623.815346955862,2721.499588715662,99.0,0.0,1.0,0.125,0.0,712.4125064587438,0.00512016665508438
