aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A21N,3f9c17f1,2,1778314439,2026-05-09 16:13:59.000 PHT,0,0,0.0,0.0,14.523731,121.003868,0,7.4,0.0,185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A21N,3f9c17f1,2,1778314456,2026-05-09 16:14:16.000 PHT,1,17,17.0,0.0032958511050794883,14.52356,121.004082,0,5.6,0.0,137,1,23.035335700481003,-19.014358720140613,0.0,-1.8000000000000007,-48.0,-2.823529411764706,-0.10588235294117651,29.869257245059345,2.8919247741279398e-05
A21N,3f9c17f1,2,1778314504,2026-05-09 16:15:04.000 PHT,2,65,48.0,0.01260178363706863,14.523285,121.004379,0,29.6,0.0,135,1,55.00497131592242,-49.593005784317825,0.0,24.0,-2.0,-0.041666666666666664,0.5,44.239248775226265,7.175144087960989e-05
A21N,3f9c17f1,2,1778314511,2026-05-09 16:15:11.000 PHT,3,72,7.0,0.013958898797983715,14.522413,121.005287,0,90.7,0.0,135,1,152.74404728372127,-146.5551157479774,0.0,61.1,0.0,0.0,8.72857142857143,137.67561805413837,0.00020504820396199152
A21N,3f9c17f1,2,1778314518,2026-05-09 16:15:18.000 PHT,4,79,7.0,0.015316013958898799,14.520714,121.007034,69,168.5,0.7,135,2,340.7959908431108,-335.4755570648076,69.0,77.8,0.0,0.0,11.114285714285714,266.5604184707095,0.00046313050967612684
A21N,3f9c17f1,2,1778314526,2026-05-09 16:15:26.000 PHT,5,87,8.0,0.016867002714230323,14.517269,121.010597,69,237.1,0.7,135,2,724.3316738455917,-718.5426084692424,0.0,68.6,0.0,0.0,8.575,542.0700659284767,0.0009879597145372645
A21N,3f9c17f1,2,1778314533,2026-05-09 16:15:33.000 PHT,6,94,7.0,0.018224117875145406,14.51429,121.01368,76,279.7,8.8,135,2,1056.2030368016603,-1049.7927524847369,7.0,42.599999999999994,0.0,0.0,6.0857142857142845,468.89789826788785,0.0014419440360796843
A21N,3f9c17f1,2,1778314541,2026-05-09 16:15:41.000 PHT,7,102,8.0,0.019775106630476928,14.509827,121.018288,191,279.7,15.0,134,2,1552.242294747353,-1546.0563955671055,115.0,0.0,-1.0,-0.125,0.0,701.6640770571395,0.0021212912695609586
A21N,3f9c17f1,2,1778314548,2026-05-09 16:15:48.000 PHT,8,109,7.0,0.021132221791392014,14.506668,121.021461,282,279.7,15.0,136,2,1893.8137039664507,-1897.321654024909,91.0,0.0,2.0,0.2857142857142857,0.0,489.95721114591083,0.0025956651000015748
A21N,3f9c17f1,2,1778314550,2026-05-09 16:15:50.000 PHT,9,111,2.0,0.021519968980224895,14.505661,121.022453,312,277.8,15.0,136,2,2000.6029536877616,-2009.2950998200354,30.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,154.73188144024476,0.002745475641861797
A21N,3f9c17f1,2,1778314552,2026-05-09 16:15:52.000 PHT,10,113,2.0,0.021907716169057775,14.504514,121.023514,343,279.7,15.0,137,2,2114.820956507117,-2136.835856847872,31.0,1.8999999999999773,1.0,0.5,0.9499999999999886,171.20828653104647,0.0029112385469427476
A21N,3f9c17f1,2,1778314554,2026-05-09 16:15:54.000 PHT,11,115,2.0,0.022295463357890656,14.503464,121.024536,373,279.7,15.0,137,2,2224.840843448812,-2253.5906910932017,30.0,0.0,0.0,0.0,0.0,160.42447938618795,0.0030665606302832144
A21N,3f9c17f1,2,1778314556,2026-05-09 16:15:56.000 PHT,12,117,2.0,0.022683210546723537,14.502419,121.025536,404,279.7,15.3,137,2,2332.4929939855333,-2369.789549937287,31.0,0.0,0.0,0.0,0.0,158.40167372808173,0.0032199242445034313
A21N,3f9c17f1,2,1778314558,2026-05-09 16:15:58.000 PHT,13,119,2.0,0.023070957735556417,14.501348,121.026451,434,281.5,15.0,138,2,2430.9957873714916,-2488.879480867205,30.0,1.8000000000000114,1.0,0.5,0.9000000000000057,154.54783746804068,0.0033695565960195216
A21N,3f9c17f1,2,1778314560,2026-05-09 16:16:00.000 PHT,14,121,2.0,0.023458704924389298,14.500231,121.027466,465,281.5,14.3,138,3,2540.264063004887,-2613.084385488285,31.0,0.0,0.0,0.0,0.0,165.4275694121929,0.0035297226431300582
A21N,3f9c17f1,2,1778314563,2026-05-09 16:16:03.000 PHT,15,124,3.0,0.02404032570763862,14.499115,121.028419,495,279.7,12.7,139,3,2642.8587262575056,-2737.178095028692,30.0,-1.8000000000000114,1.0,0.3333333333333333,-0.6000000000000038,161.01154196109508,0.0036856131171708385
A21N,3f9c17f1,2,1778314565,2026-05-09 16:16:05.000 PHT,16,126,2.0,0.0244280728964715,14.497833,121.029556,526,279.7,11.7,139,3,2765.262170290945,-2879.7301878879953,31.0,0.0,0.0,0.0,0.0,187.89224057263286,0.003867529333205398
A21N,3f9c17f1,2,1778314567,2026-05-09 16:16:07.000 PHT,17,128,2.0,0.02481582008530438,14.496552,121.030693,556,277.8,11.1,139,3,2887.666316261758,-3022.1710856673326,30.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,187.80835324767193,0.0040493643300012925
A21N,3f9c17f1,2,1778314569,2026-05-09 16:16:09.000 PHT,18,130,2.0,0.02520356727413726,14.495529,121.031555,572,275.9,10.4,140,3,2980.466058458707,-3135.9236527461567,16.0,-1.900000000000034,1.0,0.5,-0.950000000000017,146.80346405066405,0.004191498622505717
A21N,3f9c17f1,2,1778314571,2026-05-09 16:16:11.000 PHT,19,132,2.0,0.025591314462970142,14.494411,121.032524,594,275.9,10.1,140,3,3084.785315001676,-3260.2397524472026,22.0,0.0,0.0,0.0,0.0,162.28621416831626,0.004348623227045529
A21N,3f9c17f1,2,1778314573,2026-05-09 16:16:13.000 PHT,20,134,2.0,0.025979061651803026,14.493347,121.033394,617,275.9,9.4,140,3,3178.4474477838535,-3378.551317815591,23.0,0.0,0.0,0.0,0.0,150.89729674955638,0.004494721145463357
A21N,3f9c17f1,2,1778314576,2026-05-09 16:16:16.000 PHT,21,137,3.0,0.026560682435052347,14.491991,121.034592,640,275.9,8.5,140,3,3307.42120218885,-3529.331846612528,23.0,0.0,0.0,0.0,0.0,198.41564427898047,0.004686826062086234
A21N,3f9c17f1,2,1778314582,2026-05-09 16:16:22.000 PHT,22,143,6.0,0.02772392400155099,14.4885,121.037537,701,279.7,7.8,140,3,3624.4773550207406,-3917.513871707771,61.0,3.8000000000000114,0.0,0.0,0.6333333333333352,501.2063004253446,0.0051720911978267005
A21N,3f9c17f1,2,1778314591,2026-05-09 16:16:31.000 PHT,23,152,9.0,0.029468786351298952,14.483688,121.041588,770,283.4,8.1,140,3,4060.61276238476,-4452.584597791243,69.0,3.6999999999999886,0.0,0.0,0.4111111111111099,690.2975188780551,0.00584043339327674
A21N,3f9c17f1,2,1778314599,2026-05-09 16:16:39.000 PHT,24,160,8.0,0.031019775106630478,14.479065,121.045563,846,285.2,8.1,140,3,4488.574123172176,-4966.6394537109445,76.0,1.8000000000000114,0.0,0.0,0.22500000000000142,668.8797596926837,0.006488039034119374
A21N,3f9c17f1,2,1778314608,2026-05-09 16:16:48.000 PHT,25,169,9.0,0.03276463745637844,14.474213,121.049637,914,290.8,6.2,140,3,4927.204669374575,-5506.157983004015,68.0,5.600000000000023,0.0,0.0,0.6222222222222248,695.3219634096952,0.007161245868652357
A21N,3f9c17f1,2,1778314617,2026-05-09 16:16:57.000 PHT,26,178,9.0,0.03450949980612641,14.469274,121.053818,953,313.0,2.6,140,3,5377.364944597932,-6055.350484277458,39.0,22.19999999999999,0.0,0.0,2.4666666666666655,710.1073690993196,0.007848767850247268
