aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A321,3f9c11f3,2,1778316423,2026-05-09 16:47:03.000 PHT,0,0,0.0,0.0,14.498916,120.999573,0,13.0,0.0,205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A321,3f9c11f3,2,1778316654,2026-05-09 16:50:54.000 PHT,1,231,231.0,0.04246323529411765,14.498672,120.999687,0,3.7,0.0,165,1,12.272537821061029,-27.131599577100868,0.0,-9.3,-40.0,-0.17316017316017315,-0.040259740259740266,29.77816112827045,2.8386475632801427e-05
A321,3f9c11f3,2,1778316664,2026-05-09 16:51:04.000 PHT,2,241,10.0,0.044301470588235296,14.498439,120.999802,0,13.0,0.0,154,1,24.652742448274598,-53.04005327139416,0.0,9.3,-11.0,-1.1,0.93,28.71441185973069,5.57589164311232e-05
A321,3f9c11f3,2,1778316670,2026-05-09 16:51:10.000 PHT,3,247,6.0,0.04540441176470588,14.498218,120.999939,0,16.7,0.0,151,1,39.401346005607195,-77.614166002914,0.0,3.6999999999999993,-3.0,-0.5,0.6166666666666666,28.66022381372685,8.30797016674762e-05
A321,3f9c11f3,2,1778316677,2026-05-09 16:51:17.000 PHT,4,254,7.0,0.046691176470588236,14.497996,121.000114,0,18.5,0.0,137,1,58.24081657933025,-102.29947381475337,0.0,1.8000000000000007,-14.0,-2.0,0.25714285714285723,31.053026384007524,0.00011268146159406596
A321,3f9c11f3,2,1778316683,2026-05-09 16:51:23.000 PHT,5,260,6.0,0.04779411764705882,14.497971,121.000366,0,18.5,0.0,101,1,85.3696305972959,-105.07935082061981,0.0,0.0,-36.0,-6.0,0.0,27.270921211987293,0.0001386778734320419
A321,3f9c11f3,2,1778316687,2026-05-09 16:51:27.000 PHT,6,264,4.0,0.04852941176470588,14.498066,121.000603,0,18.5,0.0,70,1,110.88360739501418,-94.51581819839807,0.0,0.0,-31.0,-7.75,0.0,27.614397398910842,0.00016500170906118326
A321,3f9c11f3,2,1778316693,2026-05-09 16:51:33.000 PHT,7,270,6.0,0.04963235294117647,14.498218,121.000816,0,20.4,0.0,61,1,133.8138608894896,-77.614166002914,0.0,1.8999999999999986,-9.0,-1.5,0.31666666666666643,28.48624463823739,0.0001921566460571304
A321,3f9c11f3,2,1778316698,2026-05-09 16:51:38.000 PHT,8,275,5.0,0.050551470588235295,14.498348,121.00106,0,20.4,0.0,61,1,160.0813779313063,-63.15880557269143,0.0,0.0,0.0,0.0,0.0,29.98239704628563,0.00022073781262081594
A321,3f9c11f3,2,1778316703,2026-05-09 16:51:43.000 PHT,9,280,5.0,0.051470588235294115,14.498463,121.001266,0,20.4,0.0,61,1,182.25803799913515,-50.37137134584725,0.0,0.0,0.0,0.0,0.0,25.599332593265856,0.00024514075771015653
A321,3f9c11f3,2,1778316708,2026-05-09 16:51:48.000 PHT,10,285,5.0,0.05238970588235294,14.498611,121.001534,0,24.1,0.0,59,1,211.1092103663589,-33.91449947093401,0.0,3.700000000000003,-2.0,-0.4,0.7400000000000005,33.21481586805418,0.000276803275661656
A321,3f9c11f3,2,1778316716,2026-05-09 16:51:56.000 PHT,11,293,8.0,0.05386029411764706,14.499138,121.00248,0,74.1,0.0,61,1,312.94938535615137,24.685307811839376,0.0,49.99999999999999,2.0,0.25,6.249999999999999,117.49648535154175,0.0003888085503998906
A321,3f9c11f3,2,1778316723,2026-05-09 16:52:03.000 PHT,12,300,7.0,0.05514705882352941,14.500278,121.004524,0,137.0,0.0,59,1,532.9922327920905,151.4476992781467,0.0,62.900000000000006,-2.0,-0.2857142857142857,8.985714285714286,253.9446089257187,0.0006308850312913715
A321,3f9c11f3,2,1778316728,2026-05-09 16:52:08.000 PHT,13,305,5.0,0.05606617647058824,14.501358,121.006447,69,181.5,0.3,60,2,740.0080141663975,271.5383859302331,69.0,44.5,1.0,0.2,8.9,239.32735145803414,0.0008590273937818714
A321,3f9c11f3,2,1778316737,2026-05-09 16:52:17.000 PHT,14,314,9.0,0.05772058823529412,14.503693,121.010712,69,250.0,0.7,60,2,1199.1425413356967,531.1788982758247,0.0,68.5,0.0,0.0,7.611111111111111,527.464659336536,0.0013618409367311612
A321,3f9c11f3,2,1778316745,2026-05-09 16:52:25.000 PHT,15,322,8.0,0.05919117647058823,14.506531,121.015823,76,296.3,8.1,60,2,1749.3438792655352,846.7505359786428,7.0,46.30000000000001,0.0,0.0,5.787500000000001,634.2782467655104,0.0019664761228552585
A321,3f9c11f3,2,1778316752,2026-05-09 16:52:32.000 PHT,16,329,7.0,0.06047794117647059,14.508983,121.020378,152,294.5,13.0,61,2,2239.686028058778,1119.4008727110102,76.0,-1.8000000000000114,1.0,0.14285714285714285,-0.2571428571428588,561.0479988041878,0.002501303484366419
A321,3f9c11f3,2,1778316760,2026-05-09 16:52:40.000 PHT,17,337,8.0,0.06194852941176471,14.512115,121.025909,274,292.6,16.3,59,2,2835.0855161472678,1467.6638640023084,122.0,-1.8999999999999773,-2.0,-0.25,-0.23749999999999716,689.7756168453093,0.0031588423651366967
A321,3f9c11f3,2,1778316764,2026-05-09 16:52:44.000 PHT,18,341,4.0,0.06268382352941176,14.513638,121.028473,335,287.1,15.9,57,2,3111.0908897990785,1637.0139711981076,61.0,-5.5,-2.0,-0.5,-1.375,323.8198030776157,0.0034675284156247036
A321,3f9c11f3,2,1778316767,2026-05-09 16:52:47.000 PHT,19,344,3.0,0.06323529411764706,14.514476,121.029778,366,285.2,15.3,57,2,3251.5682533430927,1730.1954484337323,31.0,-1.900000000000034,0.0,0.0,-0.6333333333333447,168.57348215352715,0.0036282235983418343
A321,3f9c11f3,2,1778316769,2026-05-09 16:52:49.000 PHT,20,346,2.0,0.06360294117647058,14.515457,121.031265,404,283.4,14.6,56,2,3411.636246419984,1839.2778221430262,38.0,-1.8000000000000114,-1.0,-0.5,-0.9000000000000057,193.70397892717978,0.0038128748014200826
A321,3f9c11f3,2,1778316771,2026-05-09 16:52:51.000 PHT,21,348,2.0,0.06397058823529411,14.516373,121.032639,434,281.5,13.7,55,2,3559.5396564058956,1941.132515636855,30.0,-1.8999999999999773,-1.0,-0.5,-0.9499999999999886,179.58354594937956,0.003984065491442392
A321,3f9c11f3,2,1778316773,2026-05-09 16:52:53.000 PHT,22,350,2.0,0.06433823529411764,14.517105,121.033775,457,279.7,12.4,55,3,3681.823446809587,2022.527314367804,23.0,-1.8000000000000114,0.0,0.0,-0.9000000000000057,146.8968967845475,0.004124097146289942
A321,3f9c11f3,2,1778316775,2026-05-09 16:52:55.000 PHT,23,352,2.0,0.06470588235294118,14.517883,121.034958,488,275.9,11.7,55,3,3809.1659486929184,2109.0370867895613,31.0,-3.8000000000000114,0.0,0.0,-1.9000000000000057,153.94923941300925,0.00427085155179072
A321,3f9c11f3,2,1778316777,2026-05-09 16:52:57.000 PHT,24,354,2.0,0.06507352941176471,14.518707,121.036186,511,274.1,10.7,55,3,3941.3517977134375,2200.6618329017733,23.0,-1.7999999999999545,0.0,0.0,-0.8999999999999773,160.83708921977544,0.00442417190271237
A321,3f9c11f3,2,1778316779,2026-05-09 16:52:59.000 PHT,25,356,2.0,0.06544117647058824,14.51969,121.037682,533,274.1,9.4,55,3,4102.385552169414,2309.9665967717065,22.0,0.0,0.0,0.0,0.0,194.62759428438417,0.004609703555886863
A321,3f9c11f3,2,1778316782,2026-05-09 16:53:02.000 PHT,26,359,3.0,0.06599264705882353,14.520434,121.038834,556,274.1,7.5,55,3,4226.38979075539,2392.6957364650752,23.0,0.0,0.0,0.0,0.0,149.06853392889983,0.004751805356188188
A321,3f9c11f3,2,1778316784,2026-05-09 16:53:04.000 PHT,27,361,2.0,0.06636029411764706,14.521318,121.04023,572,275.9,6.5,56,3,4376.658431054539,2490.9921873918615,16.0,1.7999999999999545,1.0,0.5,0.8999999999999773,179.56390712163636,0.004922977325205437
A321,3f9c11f3,2,1778316786,2026-05-09 16:53:06.000 PHT,28,363,2.0,0.06672794117647059,14.522063,121.041344,587,277.8,6.5,56,3,4496.5711123115825,2573.83252216555,15.0,1.900000000000034,0.0,0.0,0.950000000000017,145.74595232786308,0.005061911825106661
A321,3f9c11f3,2,1778316788,2026-05-09 16:53:08.000 PHT,29,365,2.0,0.06709558823529412,14.522902,121.042641,602,281.5,6.5,57,3,4636.181984849762,2667.125194481494,15.0,3.6999999999999886,1.0,0.5,1.8499999999999943,167.91384308907837,0.005221978197060468
A321,3f9c11f3,2,1778316790,2026-05-09 16:53:10.000 PHT,30,367,2.0,0.06746323529411764,14.523743,121.043953,617,283.4,6.5,56,3,4777.40702261551,2760.6402569580773,15.0,1.8999999999999773,-1.0,-0.5,0.9499999999999886,169.380942091264,0.005383443102990134
A321,3f9c11f3,2,1778316792,2026-05-09 16:53:12.000 PHT,31,369,2.0,0.06783088235294117,14.524521,121.045181,632,285.2,6.2,57,3,4909.589828612141,2847.150029379835,15.0,1.8000000000000114,1.0,0.5,0.9000000000000057,157.9762443422849,0.005534036310920842
A321,3f9c11f3,2,1778316794,2026-05-09 16:53:14.000 PHT,32,371,2.0,0.0681985294117647,14.525276,121.046448,640,287.1,5.5,57,3,5045.970679318581,2931.102314956011,8.0,1.900000000000034,0.0,0.0,0.950000000000017,160.14947357320403,0.0056867011819855574
A321,3f9c11f3,2,1778316797,2026-05-09 16:53:17.000 PHT,33,374,3.0,0.06875,14.526352,121.048264,663,290.8,4.6,58,3,5241.445571796623,3050.748221287173,23.0,3.6999999999999886,1.0,0.3333333333333333,1.2333333333333296,229.18511837564682,0.005905175309724581
A321,3f9c11f3,2,1778316799,2026-05-09 16:53:19.000 PHT,34,376,2.0,0.06911764705882353,14.52713,121.049591,671,294.5,4.2,58,3,5384.283827865859,3137.2579937089304,8.0,3.6999999999999886,0.0,0.0,1.8499999999999943,166.9934409354776,0.00606436429461634
A321,3f9c11f3,2,1778316801,2026-05-09 16:53:21.000 PHT,35,378,2.0,0.06948529411764706,14.527929,121.051025,678,298.2,5.2,59,3,5538.63951941684,3226.1028628156296,7.0,3.6999999999999886,1.0,0.5,1.8499999999999943,178.09843253870523,0.006234139278159581
A321,3f9c11f3,2,1778316803,2026-05-09 16:53:23.000 PHT,36,380,2.0,0.06985294117647059,14.528732,121.052429,693,301.9,5.9,59,3,5689.7652059801785,3315.3925122432533,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,175.53249239240844,0.006401468241039412
A321,3f9c11f3,2,1778316805,2026-05-09 16:53:25.000 PHT,37,382,2.0,0.07022058823529412,14.529512,121.053818,709,305.6,5.9,60,3,5839.275952255442,3402.124674825296,16.0,3.7000000000000455,1.0,0.5,1.8500000000000227,172.84651036306582,0.006566236751542831
A321,3f9c11f3,2,1778316807,2026-05-09 16:53:27.000 PHT,38,384,2.0,0.07058823529411765,14.530426,121.055557,724,311.1,5.5,60,3,6026.460501008097,3503.7569781588395,15.0,5.5,0.0,0.0,2.75,212.99494741460688,0.006769277357665232
A321,3f9c11f3,2,1778316810,2026-05-09 16:53:30.000 PHT,39,387,3.0,0.07113970588235294,14.531235,121.057045,732,314.8,4.9,61,3,6186.6266230601905,3593.7137980676735,8.0,3.6999999999999886,1.0,0.3333333333333333,1.2333333333333296,183.69891068698897,0.00694439108042086
A321,3f9c11f3,2,1778316812,2026-05-09 16:53:32.000 PHT,40,389,2.0,0.07150735294117647,14.532072,121.05864,747,320.4,5.2,61,3,6358.309849982545,3686.7840802229784,15.0,5.599999999999966,0.0,0.0,2.799999999999983,195.28675774707852,0.00713055109098422
A321,3f9c11f3,2,1778316814,2026-05-09 16:53:34.000 PHT,41,391,2.0,0.071875,14.532806,121.060005,754,322.2,5.5,61,3,6505.2354719040495,3768.4012691145663,7.0,1.8000000000000114,0.0,0.0,0.9000000000000057,168.07250240013988,0.007290768707289482
A321,3f9c11f3,2,1778316816,2026-05-09 16:53:36.000 PHT,42,393,2.0,0.07224264705882352,14.533722,121.061806,770,327.8,5.9,61,3,6699.091230358343,3870.2559626083953,16.0,5.600000000000023,0.0,0.0,2.8000000000000114,218.98377715146657,0.007499518254560468
A321,3f9c11f3,2,1778316818,2026-05-09 16:53:38.000 PHT,43,395,2.0,0.07261029411764706,14.534493,121.063263,785,331.5,5.5,61,3,6855.918518535628,3955.9873694682697,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,178.73013678321828,0.007669895419583846
A321,3f9c11f3,2,1778316820,2026-05-09 16:53:40.000 PHT,44,397,2.0,0.07297794117647059,14.535331,121.064903,792,335.2,5.2,61,3,7032.443220263129,4049.1688467042477,7.0,3.6999999999999886,0.0,0.0,1.8499999999999943,199.607935217584,0.00786017465693368
A321,3f9c11f3,2,1778316829,2026-05-09 16:53:49.000 PHT,45,406,9.0,0.07463235294117647,14.538849,121.071518,838,355.6,4.9,61,3,7744.452858293327,4440.353138965997,46.0,20.400000000000034,0.0,0.0,2.2666666666666706,812.3909093603264,0.008634598391613959
A321,3f9c11f3,2,1778316836,2026-05-09 16:53:56.000 PHT,46,413,7.0,0.07591911764705882,14.542053,121.077621,869,372.3,4.2,61,3,8401.343801664041,4796.622176033936,31.0,16.69999999999999,0.0,0.0,2.385714285714284,747.2811136013577,0.00934695524369503
A321,3f9c11f3,2,1778316842,2026-05-09 16:54:02.000 PHT,47,419,6.0,0.07702205882352942,14.544735,121.08297,892,388.9,2.9,63,3,8977.073360338867,5094.847381220345,23.0,16.599999999999966,2.0,0.3333333333333333,2.766666666666661,648.3800954787041,0.009965033227148022
A321,3f9c11f3,2,1778316844,2026-05-09 16:54:04.000 PHT,48,421,2.0,0.07738970588235294,14.545666,121.085381,899,396.3,2.6,67,3,9236.58033042341,5198.370000917906,7.0,7.400000000000034,4.0,2.0,3.700000000000017,279.38619109333035,0.01023136227518594
A321,3f9c11f3,2,1778316846,2026-05-09 16:54:06.000 PHT,49,423,2.0,0.07775735294117647,14.546219,121.087234,907,403.7,4.6,70,3,9436.029929449056,5259.860880286865,8.0,7.399999999999977,3.0,1.5,3.6999999999999886,208.7042444823981,0.010430312704829409
A321,3f9c11f3,2,1778316848,2026-05-09 16:54:08.000 PHT,50,425,2.0,0.078125,14.546768,121.089371,914,409.3,5.2,74,3,9666.049486353137,5320.906979335254,7.0,5.600000000000023,4.0,2.0,2.8000000000000114,237.9699252123591,0.01065716108053274
A321,3f9c11f3,2,1778316850,2026-05-09 16:54:10.000 PHT,51,427,2.0,0.07849264705882353,14.547249,121.09198,930,413.0,5.2,78,3,9946.87703129831,5374.391812927573,16.0,3.6999999999999886,4.0,2.0,1.8499999999999943,285.85584543431696,0.010929657422934873
A321,3f9c11f3,2,1778316852,2026-05-09 16:54:12.000 PHT,52,429,2.0,0.07886029411764706,14.547455,121.0942,937,418.6,5.2,81,3,10185.837593628306,5397.29799945536,7.0,5.600000000000023,3.0,1.5,2.8000000000000114,240.03451683474938,0.011158473901353754
A321,3f9c11f3,2,1778316855,2026-05-09 16:54:15.000 PHT,53,432,3.0,0.07941176470588235,14.547527,121.096466,953,427.8,6.2,87,3,10429.752621559648,5405.304045232355,16.0,9.199999999999989,6.0,2.0,3.066666666666663,244.02126894591387,0.011391090810604146
A321,3f9c11f3,2,1778316857,2026-05-09 16:54:17.000 PHT,54,434,2.0,0.07977941176470588,14.547435,121.098824,968,433.4,6.2,91,3,10683.574589844993,5395.074097850737,15.0,5.599999999999966,4.0,2.0,2.799999999999983,253.99797642241634,0.011633218164856749
A321,3f9c11f3,2,1778316859,2026-05-09 16:54:19.000 PHT,55,436,2.0,0.08014705882352942,14.547155,121.101425,975,435.2,5.9,93,3,10963.55833080732,5363.93947538567,7.0,1.8000000000000114,2.0,1.0,0.9000000000000057,281.67226477653054,0.011901726446683598
A321,3f9c11f3,2,1778316861,2026-05-09 16:54:21.000 PHT,56,438,2.0,0.08051470588235295,14.546768,121.103668,991,442.6,6.2,98,3,11205.009257242316,5320.906979335254,16.0,7.400000000000034,5.0,2.5,3.700000000000017,245.22029004449593,0.012135486340655293
A321,3f9c11f3,2,1778316864,2026-05-09 16:54:24.000 PHT,57,441,3.0,0.08106617647058824,14.546225,121.106102,1006,448.2,6.8,101,3,11467.024317774216,5260.528050768428,15.0,5.599999999999966,3.0,1.0,1.8666666666666554,268.8409153681118,0.01239176294753925
A321,3f9c11f3,2,1778316866,2026-05-09 16:54:26.000 PHT,58,443,2.0,0.08143382352941177,14.545441,121.108879,1021,455.6,8.8,106,3,11765.967777996108,5173.351107865108,15.0,7.400000000000034,5.0,2.5,3.700000000000017,311.3450436977439,0.012688557247840387
A321,3f9c11f3,2,1778316868,2026-05-09 16:54:28.000 PHT,59,445,2.0,0.0818014705882353,14.544342,121.11158,1044,459.3,8.8,111,3,12056.740039672033,5051.147714688718,23.0,3.6999999999999886,5.0,2.5,1.8499999999999943,315.35279912224274,0.01298917200069431
A321,3f9c11f3,2,1778316870,2026-05-09 16:54:30.000 PHT,60,447,2.0,0.08216911764705882,14.543015,121.114418,1059,464.9,8.1,115,3,12362.267207155779,4903.591843218573,15.0,5.599999999999966,4.0,2.0,2.799999999999983,339.231942307251,0.013312549902462415
A321,3f9c11f3,2,1778316873,2026-05-09 16:54:33.000 PHT,61,450,3.0,0.08272058823529412,14.541709,121.116554,1074,470.4,8.5,118,3,12592.22995322425,4758.371068433722,15.0,5.5,3.0,1.0,1.8333333333333333,271.9275826506631,0.013571768920908502
A321,3f9c11f3,2,1778316875,2026-05-09 16:54:35.000 PHT,62,452,2.0,0.08308823529411764,14.540634,121.118156,1090,476.0,9.8,122,3,12764.70565759922,4638.836357182527,16.0,5.600000000000023,4.0,2.0,2.8000000000000114,209.80969263425604,0.013771773135468067
A321,3f9c11f3,2,1778316877,2026-05-09 16:54:37.000 PHT,63,454,2.0,0.08345588235294117,14.538543,121.12085,1120,481.5,10.4,126,3,13054.759313396702,4406.327444414389,30.0,5.5,4.0,2.0,2.75,371.6727875546429,0.014126075756165452
A321,3f9c11f3,2,1778316879,2026-05-09 16:54:39.000 PHT,64,456,2.0,0.0838235294117647,14.536914,121.122772,1143,487.1,11.1,129,3,13261.700185447979,4225.190658713915,23.0,5.600000000000023,3.0,1.5,2.8000000000000114,274.96818101460957,0.014388193270290821
A321,3f9c11f3,2,1778316881,2026-05-09 16:54:41.000 PHT,65,458,2.0,0.08419117647058824,14.535285,121.124702,1158,488.9,11.4,130,3,13469.50373755951,4044.0538730134394,15.0,1.7999999999999545,1.0,0.5,0.8999999999999773,275.6177581255779,0.014650930003472487
A321,3f9c11f3,2,1778316883,2026-05-09 16:54:43.000 PHT,66,460,2.0,0.08455882352941177,14.533493,121.126732,1181,492.6,10.1,132,3,13688.078391385556,3844.7922892350266,23.0,3.7000000000000455,2.0,1.0,1.8500000000000227,295.7166995808943,0.014932826351964476
A321,3f9c11f3,2,1778316886,2026-05-09 16:54:46.000 PHT,67,463,3.0,0.08511029411764706,14.531653,121.128746,1204,496.3,8.5,133,3,13904.933986427945,3640.193341605166,23.0,3.6999999999999886,1.0,0.3333333333333333,1.2333333333333296,298.0856474699454,0.015216980935316511
A321,3f9c11f3,2,1778316888,2026-05-09 16:54:48.000 PHT,68,465,2.0,0.08547794117647059,14.529792,121.130676,1219,500.0,8.1,133,3,14112.749763208425,3433.2592972907173,15.0,3.6999999999999886,0.0,0.0,1.8499999999999943,293.22075642572725,0.01549649798881947
