aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress
A321,3f9fc7b2,2,1778400677,2026-05-10 16:11:17.000 PHT,0,0,0.0,0.0,14.523635,121.004036,0,0.0,0.0,137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A321,3f9fc7b2,2,1778401061,2026-05-10 16:17:41.000 PHT,1,384,384.0,0.06650502251472117,14.523309,121.004372,0,31.5,0.0,135,1,36.16765826074002,-36.24959615622963,0.0,31.5,-2.0,-0.005208333333333333,0.08203125,51.206764451104874,4.7517485398478775e-05
A321,3f9fc7b2,2,1778401068,2026-05-10 16:17:48.000 PHT,2,391,7.0,0.06771735365431243,14.522157,121.005577,0,101.9,0.0,135,1,165.87650751396492,-164.34632858495675,0.0,70.4,0.0,0.0,10.057142857142859,182.29964014132727,0.0002166830357201521
A321,3f9fc7b2,2,1778401075,2026-05-10 16:17:55.000 PHT,3,398,7.0,0.06892968479390371,14.520341,121.007469,69,166.7,0.7,134,2,369.536916263663,-366.27659428927024,69.0,64.79999999999998,-1.0,-0.14285714285714285,9.257142857142854,286.79852522906987,0.0004828186699660984
A321,3f9fc7b2,2,1778401082,2026-05-10 16:18:02.000 PHT,4,405,7.0,0.07014201593349498,14.517874,121.009972,69,216.7,0.7,134,2,638.9698126664103,-640.5948572253698,0.0,50.0,0.0,0.0,7.142857142857143,384.5056118096998,0.0008396219163857488
A321,3f9fc7b2,2,1778401091,2026-05-10 16:18:11.000 PHT,5,414,9.0,0.07170072739868376,14.513489,121.014496,91,274.1,9.4,135,2,1125.958638466156,-1128.1852840495342,22.0,57.400000000000034,1.0,0.1111111111111111,6.377777777777782,689.1317345015004,0.0014791039747194862
A321,3f9fc7b2,2,1778401100,2026-05-10 16:18:20.000 PHT,6,423,9.0,0.07325943886387253,14.509415,121.018669,206,275.9,16.9,134,2,1575.1725084287962,-1581.194040920847,115.0,1.7999999999999545,-1.0,-0.1111111111111111,0.19999999999999496,637.9733320393702,0.0020711134253213886
A321,3f9fc7b2,2,1778401106,2026-05-10 16:18:26.000 PHT,7,429,6.0,0.07429857984066505,14.506329,121.021729,305,268.5,17.6,136,2,1904.5801622965794,-1924.3420585216904,99.0,-7.399999999999977,2.0,0.3333333333333333,-1.2333333333333296,475.66763488691123,0.0025125107707219155
A321,3f9fc7b2,2,1778401114,2026-05-10 16:18:34.000 PHT,8,437,8.0,0.07568410114305507,14.502045,121.025627,450,261.1,16.3,138,2,2324.2066504564336,-2400.7017822417156,145.0,-7.399999999999977,2.0,0.25,-0.9249999999999972,634.8253847222059,0.0031015990732629717
A321,3f9fc7b2,2,1778401116,2026-05-10 16:18:36.000 PHT,9,439,2.0,0.07603048146865259,14.501129,121.026436,480,255.6,14.3,139,2,2411.2980730697673,-2502.5564757358984,30.0,-5.500000000000028,1.0,0.5,-2.750000000000014,134.01192601442537,0.003225955880529967
A321,3f9fc7b2,2,1778401118,2026-05-10 16:18:38.000 PHT,10,441,2.0,0.07637686179425009,14.500184,121.027321,511,251.9,11.1,139,2,2506.5712269276332,-2607.635826556518,31.0,-3.6999999999999886,0.0,0.0,-1.8499999999999943,141.8399997358472,0.0033575767745390775
A321,3f9fc7b2,2,1778401127,2026-05-10 16:18:47.000 PHT,11,450,9.0,0.07793557325943887,14.496048,121.03093,572,253.7,3.9,139,3,2895.097973804662,-3067.5386784023376,61.0,1.799999999999983,0.0,0.0,0.1999999999999981,602.0477169196291,0.003916248932496496
A321,3f9fc7b2,2,1778401133,2026-05-10 16:18:53.000 PHT,12,456,6.0,0.07897471423623138,14.492935,121.033585,594,263.0,3.9,139,3,3180.9270262753726,-3413.6889631696863,22.0,9.300000000000011,0.0,0.0,1.5500000000000018,448.9062323970691,0.004332812946486909
A321,3f9fc7b2,2,1778401142,2026-05-10 16:19:02.000 PHT,13,465,9.0,0.08053342570142016,14.488495,121.037514,648,274.1,5.5,139,3,3603.9169729468927,-3907.39511940612,54.0,11.100000000000023,0.0,0.0,1.2333333333333358,650.1261983671117,0.004936099689346352
A321,3f9fc7b2,2,1778401148,2026-05-10 16:19:08.000 PHT,14,471,6.0,0.08157256667821268,14.485107,121.040405,686,277.8,6.2,139,3,3915.163957548313,-4284.124051237646,38.0,3.6999999999999886,0.0,0.0,0.6166666666666648,488.6691857699663,0.005389561866627304
A321,3f9fc7b2,2,1778401157,2026-05-10 16:19:17.000 PHT,15,480,9.0,0.08313127814340146,14.480307,121.044518,747,281.5,7.2,140,3,4357.980276732028,-4817.8604363583445,61.0,3.6999999999999886,1.0,0.1111111111111111,0.4111111111111099,693.5108723574572,0.0060331075603295104
A321,3f9fc7b2,2,1778401165,2026-05-10 16:19:25.000 PHT,16,488,8.0,0.08451679944579148,14.475815,121.048309,808,285.2,7.2,140,3,4766.1384547085,-5317.348736767504,61.0,3.6999999999999886,0.0,0.0,0.4624999999999986,645.0411967739826,0.006631675659245271
A321,3f9fc7b2,2,1778401171,2026-05-10 16:19:31.000 PHT,17,494,6.0,0.08555594042258399,14.472336,121.051247,853,288.9,6.8,140,3,5082.464011351421,-5704.196420899974,45.0,3.6999999999999886,0.0,0.0,0.6166666666666648,499.7108065487253,0.007095383944823717
A321,3f9fc7b2,2,1778401180,2026-05-10 16:19:40.000 PHT,18,503,9.0,0.08711465188777277,14.467319,121.055504,914,292.6,7.2,140,3,5540.810804533455,-6262.062138431621,61.0,3.7000000000000455,0.0,0.0,0.41111111111111615,722.0053883618366,0.007765371218318914
A321,3f9fc7b2,2,1778401188,2026-05-10 16:19:48.000 PHT,19,511,8.0,0.0885001731901628,14.46243,121.059601,975,296.3,6.8,141,3,5981.941167385684,-6805.694885693331,61.0,3.6999999999999886,1.0,0.125,0.4624999999999986,700.0914450302079,0.008415023376064356
A321,3f9fc7b2,2,1778401195,2026-05-10 16:19:55.000 PHT,20,518,7.0,0.08971250432975407,14.458659,121.062737,1013,301.9,4.2,140,3,6319.606141495894,-7225.011533253996,38.0,5.599999999999966,-1.0,-0.14285714285714285,0.7999999999999952,538.3689863084326,0.008914604646627385
A321,3f9fc7b2,2,1778401202,2026-05-10 16:20:02.000 PHT,21,525,7.0,0.09092483546934534,14.454254,121.066399,1036,313.0,3.6,140,3,6713.9148063731855,-7714.8258616827825,23.0,11.100000000000023,0.0,0.0,1.585714285714289,628.8031447898738,0.009498104591827022
A321,3f9fc7b2,2,1778401210,2026-05-10 16:20:10.000 PHT,22,533,8.0,0.09231035677173537,14.448853,121.070992,1074,327.8,4.2,140,3,7208.478656656191,-8315.390490023889,38.0,14.800000000000011,0.0,0.0,1.8500000000000014,777.9889578425248,0.010220042002650137
A321,3f9fc7b2,2,1778401217,2026-05-10 16:20:17.000 PHT,23,540,7.0,0.09352268791132663,14.444733,121.074593,1097,340.8,4.2,138,3,7596.232641598086,-8773.514220586363,23.0,13.0,-2.0,-0.2857142857142857,1.8571428571428572,600.1909706828109,0.010776991186833633
A321,3f9fc7b2,2,1778401220,2026-05-10 16:20:20.000 PHT,24,543,3.0,0.0940422583997229,14.443176,121.076012,1113,342.6,4.6,137,3,7749.030707179406,-8946.644960509844,16.0,1.8000000000000114,-1.0,-0.3333333333333333,0.6000000000000038,230.91480411765602,0.010991269338374148
A321,3f9fc7b2,2,1778401222,2026-05-10 16:20:22.000 PHT,25,545,2.0,0.0943886387253204,14.44162,121.077621,1120,344.5,3.9,136,3,7922.285547222082,-9119.664505353005,7.0,1.8999999999999773,-1.0,-0.5,0.9499999999999886,244.8559902964129,0.01121848425945649
A321,3f9fc7b2,2,1778401224,2026-05-10 16:20:24.000 PHT,26,547,2.0,0.09473501905091791,14.440338,121.078995,1128,348.2,4.9,134,3,8070.236030770938,-9262.216598212663,8.0,3.6999999999999886,-2.0,-1.0,1.8499999999999943,205.45498587282663,0.011409136888965598
A321,3f9fc7b2,2,1778401226,2026-05-10 16:20:26.000 PHT,27,549,2.0,0.09508139937651541,14.439155,121.080322,1143,353.7,5.2,132,3,8213.125406875906,-9393.760378128818,15.0,5.5,-2.0,-1.0,2.75,194.2231828256946,0.011589366929916115
A321,3f9fc7b2,2,1778401228,2026-05-10 16:20:28.000 PHT,28,551,2.0,0.09542777970211291,14.43799,121.081718,1151,355.6,4.9,131,3,8363.443922450082,-9523.302646600992,8.0,1.900000000000034,-1.0,-0.5,0.950000000000017,198.44133393658097,0.011773511218055815
A321,3f9fc7b2,2,1778401230,2026-05-10 16:20:30.000 PHT,29,553,2.0,0.09577416002771043,14.436493,121.083542,1166,359.3,4.9,129,3,8559.849332772084,-9689.761681710606,15.0,3.6999999999999886,-2.0,-1.0,1.8499999999999943,257.463549208708,0.012012425364874192
A321,3f9fc7b2,2,1778401232,2026-05-10 16:20:32.000 PHT,30,555,2.0,0.09612054035330793,14.43543,121.0849,1173,363.0,4.9,129,3,8706.0764547732,-9807.962051998675,7.0,3.6999999999999886,0.0,0.0,1.8499999999999943,188.0321418197797,0.012186910408972176
A321,3f9fc7b2,2,1778401235,2026-05-10 16:20:35.000 PHT,31,558,3.0,0.0966401108417042,14.434158,121.086479,1181,366.7,4.6,129,3,8876.10207956796,-9949.402194055843,8.0,3.6999999999999886,0.0,0.0,1.2333333333333296,221.17191061016098,0.012392147610455723
A321,3f9fc7b2,2,1778401237,2026-05-10 16:20:37.000 PHT,32,560,2.0,0.0969864911673017,14.432962,121.088036,1189,368.5,4.6,128,3,9043.75852523615,-10082.391510015093,8.0,1.8000000000000114,-1.0,-0.5,0.9000000000000057,214.00499227009232,0.012590734246506622
A321,3f9fc7b2,2,1778401239,2026-05-10 16:20:39.000 PHT,33,562,2.0,0.09733287149289921,14.431752,121.089622,1196,374.1,4.6,128,3,9214.538422514619,-10216.937557097757,7.0,5.600000000000023,0.0,0.0,2.8000000000000114,217.42099199482226,0.012792490770731106
A321,3f9fc7b2,2,1778401241,2026-05-10 16:20:41.000 PHT,34,564,2.0,0.09767925181849671,14.430495,121.091209,1212,376.0,4.9,128,3,9385.427908137375,-10356.709772951193,16.0,1.8999999999999773,0.0,0.0,0.9499999999999886,220.77735376273637,0.012997361841891104
A321,3f9fc7b2,2,1778401243,2026-05-10 16:20:43.000 PHT,35,566,2.0,0.09802563214409421,14.429099,121.093094,1219,383.4,4.6,128,3,9588.405442498199,-10511.938104957022,7.0,7.399999999999977,0.0,0.0,3.6999999999999886,255.54058866028427,0.013234491571147445
A321,3f9fc7b2,2,1778401245,2026-05-10 16:20:45.000 PHT,36,568,2.0,0.09837201246969172,14.427889,121.094681,1227,387.1,4.6,128,3,9759.295972328966,-10646.484152039684,8.0,3.7000000000000455,0.0,0.0,1.8500000000000227,217.50792213841964,0.013436328762484436
A321,3f9fc7b2,2,1778401247,2026-05-10 16:20:47.000 PHT,37,570,2.0,0.09871839279528923,14.426492,121.096512,1242,390.8,4.2,127,3,9956.461964195218,-10801.823679126186,15.0,3.6999999999999886,-1.0,-0.5,1.8499999999999943,251.01678376164912,0.013669260612114507
A321,3f9fc7b2,2,1778401249,2026-05-10 16:20:49.000 PHT,38,572,2.0,0.09906477312088674,14.425328,121.098053,1250,394.5,4.2,127,3,10122.400829282182,-10931.254752517685,8.0,3.6999999999999886,0.0,0.0,1.8499999999999943,210.4553991656627,0.013864553391575985
A321,3f9fc7b2,2,1778401252,2026-05-10 16:20:52.000 PHT,39,575,3.0,0.09958434360928299,14.423767,121.100067,1257,398.2,3.9,127,3,10339.275792717208,-11104.830272762445,7.0,3.6999999999999886,0.0,0.0,1.2333333333333296,277.7923060533281,0.0141223316751327
A321,3f9fc7b2,2,1778401254,2026-05-10 16:20:54.000 PHT,40,577,2.0,0.0999307239348805,14.422531,121.101677,1265,403.7,4.2,127,3,10512.647357354133,-11242.267391931293,8.0,5.5,0.0,0.0,2.75,221.24687089668106,0.014327638436260531
