aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A21N,3f9c17f1,2,1778314439,2026-05-09 16:13:59.000 PHT,0,0,0.0,0.0,14.523731,121.003868,0.0,7.4,0.0,185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f9c17f1,2,1778314456,2026-05-09 16:14:16.000 PHT,1,17,17.0,0.0032958511050794,14.52356,121.004082,0.0,5.6,0.0,137,1,23.035335700481003,-19.014358720140613,0.0,-1.8000000000000007,-48.0,-2.823529411764706,-0.1058823529411765,29.869257245059345,2.89192477412794e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f9c17f1,2,1778314504,2026-05-09 16:15:04.000 PHT,2,65,48.0,0.0126017836370686,14.523285,121.004379,0.0,29.6,0.0,135,1,55.00497131592242,-49.593005784317825,0.0,24.0,-2.0,-0.0416666666666666,0.5,44.239248775226265,7.175144087960989e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f9c17f1,2,1778314511,2026-05-09 16:15:11.000 PHT,3,72,7.0,0.0139588987979837,14.522413,121.005287,0.0,90.7,0.0,135,1,152.74404728372127,-146.5551157479774,0.0,61.1,0.0,0.0,8.72857142857143,137.67561805413837,0.0002050482039619,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f9c17f1,2,1778314518,2026-05-09 16:15:18.000 PHT,4,79,7.0,0.0153160139588987,14.520714,121.007034,69.0,168.5,0.7,135,2,340.7959908431108,-335.4755570648076,69.0,77.8,0.0,0.0,11.114285714285714,266.5604184707095,0.0004631305096761,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A21N,3f9c17f1,2,1778314526,2026-05-09 16:15:26.000 PHT,5,87,8.0,0.0168670027142303,14.517269,121.010597,69.0,237.1,0.7,135,2,724.3316738455917,-718.5426084692424,0.0,68.6,0.0,0.0,8.575,542.0700659284767,0.0009879597145372,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A21N,3f9c17f1,2,1778314533,2026-05-09 16:15:33.000 PHT,6,94,7.0,0.0182241178751454,14.51429,121.01368,76.0,279.7,8.8,135,2,1056.2030368016603,-1049.7927524847369,7.0,42.599999999999994,0.0,0.0,6.0857142857142845,468.89789826788785,0.0014419440360796,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
A21N,3f9c17f1,2,1778314541,2026-05-09 16:15:41.000 PHT,7,102,8.0,0.0197751066304769,14.509827,121.018288,191.0,279.7,15.0,134,2,1552.242294747353,-1546.0563955671057,115.0,0.0,-1.0,-0.125,0.0,701.6640770571395,0.0021212912695609,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,4
A21N,3f9c17f1,2,1778314548,2026-05-09 16:15:48.000 PHT,8,109,7.0,0.021132221791392,14.506668,121.021461,282.0,279.7,15.0,136,2,1893.8137039664507,-1897.321654024909,91.0,0.0,2.0,0.2857142857142857,0.0,489.9572111459108,0.0025956651000015,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,5
A21N,3f9c17f1,2,1778314550,2026-05-09 16:15:50.000 PHT,9,111,2.0,0.0215199689802248,14.505661,121.022453,312.0,277.8,15.0,136,2,2000.6029536877616,-2009.2950998200351,30.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,154.73188144024476,0.0027454756418617,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,5
A21N,3f9c17f1,2,1778314552,2026-05-09 16:15:52.000 PHT,10,113,2.0,0.0219077161690577,14.504514,121.023514,343.0,279.7,15.0,137,2,2114.820956507117,-2136.835856847872,31.0,1.8999999999999773,1.0,0.5,0.9499999999999886,171.20828653104647,0.0029112385469427,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,5
A21N,3f9c17f1,2,1778314554,2026-05-09 16:15:54.000 PHT,11,115,2.0,0.0222954633578906,14.503464,121.024536,373.0,279.7,15.0,137,2,2224.840843448812,-2253.5906910932017,30.0,0.0,0.0,0.0,0.0,160.42447938618795,0.0030665606302832,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,6
