aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_altitude,attack_std_altitude,altitude_offset,bin_id
A321,3f9bbf59,2,1778305992,2026-05-09 13:53:12.000 PHT,0,0,0.0,0.0,14.498119,121.000656,0.0,13.0,0.0,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9bbf59,2,1778306001,2026-05-09 13:53:21.000 PHT,1,9,9.0,0.001735441573467,14.498257,121.000885,0.0,11.1,0.0,61,1,24.652796908944637,15.344921072425205,0.0,-1.9000000000000004,-14.0,-1.5555555555555556,-0.2111111111111111,29.038371134625063,2.7587929284234967e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9bbf59,2,1778306011,2026-05-09 13:53:31.000 PHT,2,19,10.0,0.0036637099884303,14.498392,121.001144,0.0,11.1,0.0,59,1,52.53520186485458,30.356256903891797,0.0,0.0,-2.0,-0.2,0.0,31.666522451584076,5.76727359705939e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9bbf59,2,1778306017,2026-05-09 13:53:37.000 PHT,3,25,6.0,0.0048206710374084,14.498543,121.001396,0.0,27.8,0.0,59,1,79.66400847032575,47.146714019056326,0.0,16.700000000000003,0.0,0.0,2.7833333333333337,31.90441446644737,8.79835521687435e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9bbf59,2,1778306018,2026-05-09 13:53:38.000 PHT,4,26,1.0,0.0050134978789047,14.498694,121.001671,0.0,44.4,0.0,61,1,109.26883924924792,63.93717113422086,0.0,16.599999999999998,2.0,2.0,16.599999999999998,34.03476730729837,0.0001203183119018,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9bbf59,2,1778306021,2026-05-09 13:53:41.000 PHT,5,29,3.0,0.0055919784033937,14.49888,121.002022,0.0,63.0,0.0,61,1,147.05534164221268,84.61945605773987,0.0,18.6,0.0,0.0,6.2,43.0764022800132,0.0001612430846589,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9bbf59,2,1778306023,2026-05-09 13:53:43.000 PHT,6,31,2.0,0.0059776320863864,14.499229,121.002647,0.0,88.9,0.0,61,1,214.3389126038927,123.42653905919688,0.0,25.90000000000001,0.0,0.0,12.950000000000005,77.67283082507716,0.0002350362238875,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9bbf59,2,1778306029,2026-05-09 13:53:49.000 PHT,7,37,6.0,0.0071345931353644,14.500168,121.004356,0.0,137.0,0.0,59,1,398.31858168649023,227.8387193986068,0.0,48.099999999999994,-2.0,-0.3333333333333333,8.016666666666666,211.5429497265887,0.0004360127838529,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9bbf59,2,1778306034,2026-05-09 13:53:54.000 PHT,8,42,5.0,0.0080987273428461,14.500929,121.005684,61.0,170.4,0.3,60,2,541.2817268184594,312.4581754563467,61.0,33.400000000000006,1.0,0.2,6.6800000000000015,166.12922612684284,0.0005938439969462,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A321,3f9bbf59,2,1778306036,2026-05-09 13:53:56.000 PHT,9,44,2.0,0.0084843810258387,14.501633,121.006973,61.0,185.2,0.3,60,2,680.0459896113067,390.73951194082423,0.0,14.799999999999985,0.0,0.0,7.399999999999992,159.32194670209992,0.0007452079484112,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A321,3f9bbf59,2,1778306038,2026-05-09 13:53:58.000 PHT,10,46,2.0,0.0088700347088314,14.502139,121.007896,61.0,198.2,0.3,60,2,779.4091091108713,447.00422253865565,0.0,13.0,0.0,0.0,6.5,114.18732370275426,0.0008536917127678,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A321,3f9bbf59,2,1778306040,2026-05-09 13:54:00.000 PHT,11,48,2.0,0.0092556883918241,14.502698,121.008911,61.0,218.5,0.7,60,2,888.6759776897043,509.16227238953223,0.0,20.30000000000001,0.0,0.0,10.150000000000006,125.70946644476749,0.000973122098672,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,1
A321,3f9bbf59,2,1778306047,2026-05-09 13:54:07.000 PHT,12,55,7.0,0.0106054762822984,14.504793,121.012718,69.0,261.1,1.0,60,2,1298.5050221447848,742.1159654785938,8.0,42.60000000000002,0.0,0.0,6.085714285714289,471.4098438688998,0.0014209854232453,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,2
A321,3f9bbf59,2,1778306049,2026-05-09 13:54:09.000 PHT,13,57,2.0,0.0109911299652911,14.505524,121.013977,69.0,272.2,1.0,60,2,1434.037212731395,823.3995691292232,0.0,11.099999999999966,0.0,0.0,5.549999999999983,158.03805287325306,0.0015711296102822,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,3
A321,3f9bbf59,2,1778306051,2026-05-09 13:54:11.000 PHT,14,59,2.0,0.0113767836482838,14.506469,121.015709,53.0,222.2,1.3,60,2,1620.4876599374454,928.478919949843,-16.0,-50.0,0.0,0.0,-25.0,214.0220025649697,0.0017744613965129,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,3
A321,3f9bbf59,2,1778306053,2026-05-09 13:54:13.000 PHT,15,61,2.0,0.0117624373312765,14.50726,121.017105,61.0,288.9,4.2,60,2,1770.7668853474331,1016.4342284146932,8.0,66.69999999999999,0.0,0.0,33.349999999999994,174.12639095694345,0.0019398903228796,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,3
A321,3f9bbf59,2,1778306056,2026-05-09 13:54:16.000 PHT,16,64,3.0,0.0123409178557655,14.508041,121.018433,84.0,300.0,9.4,59,2,1913.7252978459724,1103.2775860770555,23.0,11.100000000000025,-1.0,-0.3333333333333333,3.700000000000008,167.26902129169545,0.0020988043993423,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,4
A321,3f9bbf59,2,1778306058,2026-05-09 13:54:18.000 PHT,17,66,2.0,0.0127265715387581,14.508703,121.019562,99.0,298.2,11.4,59,2,2035.2610908820664,1176.8887291916492,15.0,-1.8000000000000114,0.0,0.0,-0.9000000000000057,142.09005144694166,0.0022337971740106,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,4
A321,3f9bbf59,2,1778306064,2026-05-09 13:54:24.000 PHT,18,72,6.0,0.0138835325877362,14.511108,121.023827,175.0,292.6,11.4,60,2,2494.38160878671,1444.3128971532424,76.0,-5.599999999999966,1.0,0.1666666666666666,-0.9333333333333276,531.326083072936,0.0027385839727855,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,5
A321,3f9bbf59,2,1778306071,2026-05-09 13:54:31.000 PHT,19,79,7.0,0.0152333204782105,14.513591,121.028137,244.0,292.6,10.4,57,2,2958.340888090428,1720.4102813733937,69.0,0.0,-3.0,-0.4285714285714285,0.0,539.8965872043772,0.0032515131863265,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,6
A321,3f9bbf59,2,1778306079,2026-05-09 13:54:39.000 PHT,20,87,8.0,0.0167759352101812,14.517315,121.033875,335.0,298.2,9.8,55,2,3576.0088649920112,2134.50076016293,91.0,5.599999999999966,-2.0,-0.25,0.6999999999999957,743.6321116591713,0.0039580015087888,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,7
A321,3f9bbf59,2,1778306082,2026-05-09 13:54:42.000 PHT,21,90,3.0,0.0173544157346702,14.518341,121.035332,358.0,300.0,10.4,55,2,3732.845543415185,2248.5869124823594,23.0,1.8000000000000114,0.0,0.0,0.6000000000000038,193.94292802294115,0.0041422571531109,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,8
A321,3f9bbf59,2,1778306086,2026-05-09 13:54:46.000 PHT,22,94,4.0,0.0181257231006556,14.519943,121.037704,404.0,298.2,11.1,54,3,3988.1751464865215,2426.7214310166823,46.0,-1.8000000000000114,-1.0,-0.25,-0.4500000000000028,311.32949143728956,0.0044380360022085,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,8
A321,3f9bbf59,2,1778306088,2026-05-09 13:54:48.000 PHT,23,96,2.0,0.0185113767836482,14.52104,121.039268,427.0,296.3,10.1,54,3,4156.527673620645,2548.702434032786,23.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,207.9001448059667,0.0046355517122495,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,9
A321,3f9bbf59,2,1778306090,2026-05-09 13:54:50.000 PHT,24,98,2.0,0.0188970304666409,14.521866,121.040497,450.0,294.5,9.1,54,3,4288.819800076486,2640.549570305637,23.0,-1.8000000000000114,0.0,0.0,-0.9000000000000057,161.0507434362194,0.0047885581085275,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,9
A321,3f9bbf59,2,1778306092,2026-05-09 13:54:52.000 PHT,25,100,2.0,0.0192826841496336,14.522902,121.041969,472.0,294.5,8.1,54,3,4447.267835126632,2755.747673427554,22.0,0.0,0.0,0.0,0.0,195.9001494562347,0.004974673212743,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,9
A321,3f9bbf59,2,1778306094,2026-05-09 13:54:54.000 PHT,26,102,2.0,0.0196683378326263,14.523788,121.043198,488.0,294.5,7.5,54,3,4579.55824166258,2854.2665145146266,16.0,0.0,0.0,0.0,0.0,164.94577340921725,0.0051313800855718,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,10
