aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_direction_x,attack_direction_y,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_center_bin,attack_envelope_type,attack_envelope_params,attack_envelope,attack_var_x,attack_var_y,attack_cov_xy,attack_mean_delta_x,attack_mean_delta_y,attack_delta_x,attack_delta_y,x_wrt0_offset,y_wrt0_offset,bin_id
A20N,3f9c05dd,2,1778312393,2026-05-09 15:39:53.000 PHT,0,0,0.0,0.0,14.524123,121.003525,0,14.8,0.0,135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A20N,3f9c05dd,2,1778312401,2026-05-09 15:40:01.000 PHT,1,8,8.0,0.0013925152306353,14.523903,121.003754,0,13.0,0.0,135,1,24.649921079049268,-24.4629176512003,0.0,-1.8000000000000007,0.0,0.0,-0.2250000000000001,34.72827305254059,3.3537208273817024e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A20N,3f9c05dd,2,1778312409,2026-05-09 15:40:09.000 PHT,2,16,8.0,0.0027850304612706,14.523705,121.00396,0,14.8,0.0,135,1,46.82410685098525,-46.479543537492766,0.0,1.8000000000000007,0.0,0.0,0.2250000000000001,31.24782120122614,6.37133326708766e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A20N,3f9c05dd,2,1778312830,2026-05-09 15:47:10.000 PHT,3,437,421.0,0.0760661444734551,14.523468,121.004211,0,22.2,0.0,135,1,73.84219427276915,-72.83277755271054,0.0,7.399999999999999,0.0,0.0,0.0175771971496437,37.74215170002027,0.0001001610535336,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A20N,3f9c05dd,2,1778312837,2026-05-09 15:47:17.000 PHT,4,444,7.0,0.077284595300261,14.522622,121.005081,0,92.6,0.0,135,1,167.49077848242243,-166.90381543053778,0.0,70.39999999999999,0.0,0.0,10.057142857142855,132.73815205954898,0.0002283467264799,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A20N,3f9c05dd,2,1778312844,2026-05-09 15:47:24.000 PHT,5,451,7.0,0.078503046127067,14.520853,121.006889,69,168.5,0.3,134,2,362.108760928096,-363.6079123633697,69.0,75.9,-1.0,-0.1428571428571428,10.842857142857143,276.7104211132205,0.0004955668963504,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A20N,3f9c05dd,2,1778312851,2026-05-09 15:47:31.000 PHT,6,458,7.0,0.0797214969538729,14.518526,121.009346,69,218.5,0.7,134,2,626.5892344289813,-622.3588640671123,0.0,50.0,0.0,0.0,7.142857142857143,370.0027058294201,0.0008528797344666,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A20N,3f9c05dd,2,1778312853,2026-05-09 15:47:33.000 PHT,7,460,2.0,0.0800696257615317,14.517471,121.010376,61,231.5,0.7,135,2,737.4631646831399,-739.6696737133323,-8.0,13.0,1.0,0.5,6.5,161.415098845621,0.001008758829875,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A20N,3f9c05dd,2,1778312856,2026-05-09 15:47:36.000 PHT,8,463,3.0,0.08059181897302,14.516617,121.011269,53,253.7,1.3,135,2,833.5900993499478,-834.6302722326548,-8.0,22.19999999999999,0.0,0.0,7.399999999999996,135.12182277382797,0.0011392464215225,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A20N,3f9c05dd,2,1778312858,2026-05-09 15:47:38.000 PHT,9,465,2.0,0.0809399477806788,14.515779,121.012138,61,263.0,5.5,134,2,927.133926142803,-927.8117494682796,8.0,9.300000000000011,-1.0,-0.5,4.650000000000006,132.03498287192298,0.0012667530416561,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A20N,3f9c05dd,2,1778312860,2026-05-09 15:47:40.000 PHT,10,467,2.0,0.0812880765883376,14.514568,121.013443,84,266.7,10.1,134,2,1067.6116854132615,-1062.4689916312616,23.0,3.6999999999999886,0.0,0.0,1.8499999999999943,194.593434987158,0.0014546725661314,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A20N,3f9c05dd,2,1778312869,2026-05-09 15:47:49.000 PHT,11,476,9.0,0.0828546562228024,14.510332,121.017677,198,263.0,15.0,135,2,1523.3903210852936,-1533.491351500547,114.0,-3.6999999999999886,1.0,0.1111111111111111,-0.4111111111111099,655.435642013357,0.0020876289358025,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
