aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_direction_x,attack_direction_y,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_center_bin,attack_envelope_type,attack_envelope_params,attack_envelope,attack_var_x,attack_var_y,attack_cov_xy,attack_mean_delta_x,attack_mean_delta_y,attack_delta_x,attack_delta_y,x_wrt0_offset,y_wrt0_offset,bin_id
A320,3f9b8843,2,1778297775,2026-05-09 11:36:15.000 PHT,0,0,0.0,0.0,14.501038,121.005882,0,0.0,0.3,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A320,3f9b8843,2,1778297777,2026-05-09 11:36:17.000 PHT,1,2,2.0,0.0004079135223332,14.501674,121.006981,38,200.0,0.3,60,3,118.31020258073444,70.72007102840766,38.0,200.0,0.0,0.0,100.0,137.83552691798283,0.000131948158323,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A320,3f9b8843,2,1778297779,2026-05-09 11:36:19.000 PHT,2,4,2.0,0.0008158270446665,14.502228,121.007965,38,214.8,0.3,60,3,224.2400762677221,132.32214547804023,0.0,14.800000000000011,0.0,0.0,7.400000000000006,122.5395970332462,0.0002492537217849,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A320,3f9b8843,2,1778297781,2026-05-09 11:36:21.000 PHT,3,6,2.0,0.0012237405669997,14.502823,121.009056,38,227.8,0.3,60,3,341.6884523330064,198.4832182168835,0.0,13.0,0.0,0.0,6.5,134.8013546734411,0.0003782973064566,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A320,3f9b8843,2,1778297783,2026-05-09 11:36:23.000 PHT,4,8,2.0,0.001631654089333,14.503396,121.010117,38,238.9,0.3,60,3,455.9069703970272,262.19799919081896,0.0,11.099999999999994,0.0,0.0,5.549999999999997,130.7877632107189,0.00050349873219,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A320,3f9b8843,2,1778297786,2026-05-09 11:36:26.000 PHT,5,11,3.0,0.0022435243728329,14.504013,121.01123,38,259.3,0.7,60,3,575.7230417888269,330.8053636949237,0.0,20.40000000000001,0.0,0.0,6.800000000000002,138.06831914976564,0.0006356697394907,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A320,3f9b8843,2,1778297788,2026-05-09 11:36:28.000 PHT,6,13,2.0,0.0026514378951662,14.504839,121.012672,38,270.4,0.7,60,3,730.9559022005852,422.6524999677749,0.0,11.099999999999966,0.0,0.0,5.549999999999983,180.36947355581887,0.000808335092071,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A320,3f9b8843,2,1778297790,2026-05-09 11:36:30.000 PHT,7,15,2.0,0.0030593514174994,14.50563,121.014069,30,281.5,1.0,60,3,881.3439301653291,510.6078084326252,-8.0,11.100000000000025,0.0,0.0,5.550000000000011,174.22026191714184,0.0009751138842775,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A320,3f9b8843,2,1778297792,2026-05-09 11:36:32.000 PHT,8,17,2.0,0.0034672649398327,14.506469,121.01561,38,292.6,2.0,60,3,1047.2331151952994,603.9004807482157,8.0,11.100000000000025,0.0,0.0,5.550000000000011,190.32269345570276,0.0011573073248953,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
A320,3f9b8843,2,1778297800,2026-05-09 11:36:40.000 PHT,9,25,8.0,0.0050989190291658,14.50914,121.020325,99,296.3,11.4,60,3,1554.800234180235,900.9025400521712,61.0,3.6999999999999886,0.0,0.0,0.4624999999999986,588.0771168983091,0.0017202659050358,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
