aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_direction_x,attack_direction_y,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_center_bin,attack_envelope_type,attack_envelope_params,attack_envelope,attack_var_x,attack_var_y,attack_cov_xy,attack_mean_delta_x,attack_mean_delta_y,attack_delta_x,attack_delta_y,x_wrt0_offset,y_wrt0_offset,bin_id
A333,3f932ba1,2,1778131281,2026-05-07 13:21:21.000 PHT,0,0,0.0,0.0,14.498194,121.000771,0,0.0,0.0,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f932ba1,2,1778131285,2026-05-07 13:21:25.000 PHT,1,4,4.0,0.000801282051282,14.498337,121.001015,0,24.1,0.0,61,1,26.267599746927665,15.900896473315562,0.0,24.1,-3.0,-0.75,6.025,30.705460509808315,3.026237500958616e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f932ba1,2,1778131289,2026-05-07 13:21:29.000 PHT,2,8,4.0,0.0016025641025641,14.498577,121.00145,0,50.0,0.0,59,1,73.09709249659454,42.58771572913828,0.0,25.9,-2.0,-0.5,6.475,53.89979248788257,8.338438347730284e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f932ba1,2,1778131292,2026-05-07 13:21:32.000 PHT,3,11,3.0,0.0022035256410256,14.498795,121.001831,0,64.8,0.0,61,1,114.11322522437716,66.82824322040683,0.0,14.799999999999995,2.0,0.6666666666666666,4.933333333333333,47.64374417271737,0.0001303406195694,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f932ba1,2,1778131296,2026-05-07 13:21:36.000 PHT,4,15,4.0,0.0030048076923076,14.499288,121.002747,0,96.3,0.0,61,1,212.7240397970271,121.64741777549894,0.0,31.5,0.0,0.0,7.875,112.82390398552332,0.0002415364536577,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f932ba1,2,1778131298,2026-05-07 13:21:38.000 PHT,5,17,2.0,0.0034054487179487,14.499742,121.003548,0,118.5,0.0,61,1,298.95448040850215,172.12998420131206,0.0,22.200000000000003,0.0,0.0,11.1,99.92086504760908,0.0003400154420574,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f932ba1,2,1778131307,2026-05-07 13:21:47.000 PHT,6,26,9.0,0.0052083333333333,14.501404,121.006592,53,170.4,0.0,61,2,626.6501632627886,356.9362075495024,53.0,51.900000000000006,0.0,0.0,5.7666666666666675,376.2150785056992,0.0007108016670796,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A333,3f932ba1,2,1778131309,2026-05-07 13:21:49.000 PHT,7,28,2.0,0.0056089743589743,14.502,121.007607,53,192.6,0.3,60,2,735.9173258910694,423.2084753690189,0.0,22.19999999999999,-1.0,-0.5,11.099999999999994,127.79412158353044,0.0008367516957446,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A333,3f932ba1,2,1778131311,2026-05-07 13:21:51.000 PHT,8,30,2.0,0.0060096153846153,14.502604,121.00872,53,205.6,0.3,60,2,855.7341792350321,490.370303829677,0.0,13.0,0.0,0.0,6.5,137.35640972057004,0.0009721260269521,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A333,3f932ba1,2,1778131314,2026-05-07 13:21:54.000 PHT,9,33,3.0,0.0066105769230769,14.503163,121.009781,53,218.5,0.3,60,2,969.9528528731398,552.5283536805537,0.0,12.900000000000006,0.0,0.0,4.300000000000002,130.0365928306932,0.0011002861675875,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
