aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_direction_x,attack_direction_y,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_center_bin,attack_envelope_type,attack_envelope_params,attack_envelope,attack_var_x,attack_var_y,attack_cov_xy,attack_mean_delta_x,attack_mean_delta_y,attack_delta_x,attack_delta_y,x_wrt0_offset,y_wrt0_offset,bin_id
A333,3f976e97,2,1778216066,2026-05-08 12:54:26.000 PHT,0,0,0.0,0.0,14.498962,120.99955,0,9.3,0.0,216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216078,2026-05-08 12:54:38.000 PHT,1,12,12.0,0.0021097046413502,14.49876,120.999641,0,5.6,0.0,177,1,9.79649652734602,-22.461406207216953,0.0,-3.700000000000001,-39.0,-3.25,-0.3083333333333334,24.504818159206696,2.2984810915366258e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216351,2026-05-08 12:59:11.000 PHT,2,285,273.0,0.0501054852320675,14.498555,120.999771,0,11.1,0.0,160,1,23.79150257003563,-45.25639765503885,0.0,5.5,-17.0,-0.0622710622710622,0.0201465201465201,26.748306132402956,4.807394868269246e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216357,2026-05-08 12:59:17.000 PHT,3,291,6.0,0.0511603375527426,14.498337,120.999878,0,18.5,0.0,154,1,35.3104827264082,-69.49692514595374,0.0,7.4,-6.0,-1.0,1.2333333333333334,26.838219966503445,7.324742302668895e-05,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216362,2026-05-08 12:59:22.000 PHT,4,296,5.0,0.0520393811533052,14.498147,121.000092,0,22.2,0.0,135,1,58.34844464272089,-90.62399039039724,0.0,3.6999999999999993,-19.0,-3.8,0.7399999999999999,31.258620805000284,0.0001025671055483,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216367,2026-05-08 12:59:27.000 PHT,5,301,5.0,0.0529184247538677,14.498074,121.000374,0,22.2,0.0,112,1,88.70687510640884,-98.7412312473575,0.0,0.0,-23.0,-4.6,0.0,31.424937640966245,0.0001320427884532,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216371,2026-05-08 12:59:31.000 PHT,6,305,4.0,0.0536216596343178,14.498119,121.00061,0,24.1,0.0,90,1,114.11320153340807,-93.73745263686864,0.0,1.900000000000002,-22.0,-5.5,0.4750000000000005,25.89444472325539,0.0001563310289068,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216377,2026-05-08 12:59:37.000 PHT,7,311,6.0,0.0546765119549929,14.498348,121.00103,0,33.3,0.0,61,1,159.32778395716687,-68.27377926349983,0.0,9.199999999999996,-29.0,-4.833333333333333,1.5333333333333323,51.89190915880668,0.0002050041393255,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216381,2026-05-08 12:59:41.000 PHT,8,315,4.0,0.055379746835443,14.498567,121.001404,0,40.7,0.0,59,1,199.59024693738,-43.9220566922654,0.0,7.400000000000006,-2.0,-0.5,1.8500000000000016,47.05404499376469,0.0002491394730365,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216384,2026-05-08 12:59:44.000 PHT,9,318,3.0,0.0559071729957805,14.49873,121.001694,0,46.3,0.0,59,1,230.8097799538521,-25.797258613973753,0.0,5.599999999999994,0.0,0.0,1.8666666666666647,36.0994995646145,0.0002829997598683,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216386,2026-05-08 12:59:46.000 PHT,10,320,2.0,0.0562587904360056,14.498909,121.002007,0,63.0,0.0,59,1,264.50531728849285,-5.893339252337833,0.0,16.700000000000003,0.0,0.0,8.350000000000001,39.13518511898002,0.0003197074319781,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216388,2026-05-08 12:59:48.000 PHT,11,322,2.0,0.0566104078762306,14.499126,121.002411,0,75.9,0.0,61,1,307.9972902637006,18.23599315825752,0.0,12.900000000000006,2.0,1.0,6.450000000000003,49.73719046467155,0.000366359478562,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216390,2026-05-08 12:59:50.000 PHT,12,324,2.0,0.0569620253164556,14.499355,121.002823,0,90.7,0.0,61,1,352.3504404307188,43.69966653162633,0.0,14.799999999999995,0.0,0.0,7.399999999999999,51.14306653500583,0.0004143301962511,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216391,2026-05-08 12:59:51.000 PHT,13,325,1.0,0.0571378340365682,14.499504,121.00309,0,98.2,0.0,61,1,381.09384042586544,60.26773348650545,0.0,7.5,0.0,0.0,7.5,33.17663683061446,0.0004454489223484,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216393,2026-05-08 12:59:53.000 PHT,14,327,2.0,0.0574894514767932,14.499638,121.003334,0,105.6,0.0,61,1,407.3612022843148,75.1678742376525,0.0,7.399999999999992,0.0,0.0,3.699999999999996,30.19921952331473,0.0004737749170987,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A333,3f976e97,2,1778216394,2026-05-08 12:59:54.000 PHT,15,328,1.0,0.0576652601969057,14.49987,121.003746,0,113.0,0.0,61,1,451.7142467908713,100.96513285197992,0.0,7.400000000000006,0.0,0.0,7.400000000000006,51.309882343326734,0.0005219021031928,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A333,3f976e97,2,1778216395,2026-05-08 12:59:55.000 PHT,16,329,1.0,0.0578410689170182,14.500134,121.004227,0,127.8,0.0,61,1,503.4952987445848,130.3206340337032,0.0,14.799999999999995,0.0,0.0,14.799999999999995,59.52343801749009,0.0005777333670274,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
A333,3f976e97,2,1778216396,2026-05-08 12:59:56.000 PHT,17,330,1.0,0.0580168776371308,14.500328,121.004578,0,133.3,0.0,61,1,541.2814311976052,151.8924795990712,0.0,5.500000000000014,0.0,0.0,5.500000000000014,43.510291114266046,0.0006185447620615,0,authentic,0,0.0,0.0,0,0,0,-1,0,-1,0,1.0,-1,none,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
