aircraft_type,flight_id,route,timestamp,ph_time,sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,is_attacked,attack_type,label,attack_k,attack_alpha,attack_direction,attack_start_bin,attack_duration,attack_end_bin,attack_effective_duration,attack_duration_scale,attack_envelope_type,attack_envelope_params,attack_envelope,attack_delta_speed,attack_std_speed,speed_offset,bin_id
A321,3f9c11f3,2,1778316423,2026-05-09 16:47:03.000 PHT,0,0,0.0,0.0,14.498916,120.999573,0,13.0,0.0,205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9c11f3,2,1778316654,2026-05-09 16:50:54.000 PHT,1,231,231.0,0.0424632352941176,14.498672,120.999687,0,3.7,0.0,165,1,12.272537821061029,-27.131599577100868,0.0,-9.3,-40.0,-0.1731601731601731,-0.0402597402597402,29.77816112827045,2.8386475632801427e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9c11f3,2,1778316664,2026-05-09 16:51:04.000 PHT,2,241,10.0,0.0443014705882352,14.498439,120.999802,0,13.0,0.0,154,1,24.6527424482746,-53.04005327139416,0.0,9.3,-11.0,-1.1,0.93,28.71441185973069,5.57589164311232e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9c11f3,2,1778316670,2026-05-09 16:51:10.000 PHT,3,247,6.0,0.0454044117647058,14.498218,120.999939,0,16.7,0.0,151,1,39.401346005607195,-77.614166002914,0.0,3.6999999999999993,-3.0,-0.5,0.6166666666666666,28.66022381372685,8.30797016674762e-05,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9c11f3,2,1778316677,2026-05-09 16:51:17.000 PHT,4,254,7.0,0.0466911764705882,14.497996,121.000114,0,18.5,0.0,137,1,58.24081657933025,-102.29947381475336,0.0,1.8000000000000007,-14.0,-2.0,0.2571428571428572,31.053026384007524,0.000112681461594,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9c11f3,2,1778316683,2026-05-09 16:51:23.000 PHT,5,260,6.0,0.0477941176470588,14.497971,121.000366,0,18.5,0.0,101,1,85.3696305972959,-105.0793508206198,0.0,0.0,-36.0,-6.0,0.0,27.270921211987293,0.000138677873432,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9c11f3,2,1778316687,2026-05-09 16:51:27.000 PHT,6,264,4.0,0.0485294117647058,14.498066,121.000603,0,18.5,0.0,70,1,110.88360739501418,-94.51581819839808,0.0,0.0,-31.0,-7.75,0.0,27.61439739891084,0.0001650017090611,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9c11f3,2,1778316693,2026-05-09 16:51:33.000 PHT,7,270,6.0,0.0496323529411764,14.498218,121.000816,0,20.4,0.0,61,1,133.8138608894896,-77.614166002914,0.0,1.8999999999999984,-9.0,-1.5,0.3166666666666664,28.48624463823739,0.0001921566460571,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9c11f3,2,1778316698,2026-05-09 16:51:38.000 PHT,8,275,5.0,0.0505514705882352,14.498348,121.00106,0,20.4,0.0,61,1,160.0813779313063,-63.15880557269143,0.0,0.0,0.0,0.0,0.0,29.98239704628563,0.0002207378126208,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
A321,3f9c11f3,2,1778316703,2026-05-09 16:51:43.000 PHT,9,280,5.0,0.0514705882352941,14.498463,121.001266,0,20.4,0.0,61,1,182.25803799913515,-50.37137134584725,0.0,0.0,0.0,0.0,0.0,25.599332593265856,0.0002451407577101,0,authentic,0,0.0,0.0,0,-1,0,-1,0,0.0,none,,0.0,0.0,0.0,0.0,0
