sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.523731,121.003868,0,7.4,0.0,185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,17,17.0,0.0032958511050794,14.52356,121.004082,0,5.6,0.0,137,23.035335700481003,-19.014358720140613,0.0,-1.8000000000000007,-48.0,-2.823529411764706,-0.1058823529411765,29.869257245059345,2.89192477412794e-05,0
2,65,48.0,0.0126017836370686,14.523285,121.004379,0,29.6,0.0,135,55.00497131592242,-49.593005784317825,0.0,24.0,-2.0,-0.0416666666666666,0.5,44.239248775226265,7.175144087960989e-05,0
3,72,7.0,0.0139588987979837,14.522413,121.005287,0,90.7,0.0,135,152.74404728372127,-146.5551157479774,0.0,61.1,0.0,0.0,8.72857142857143,137.67561805413837,0.0002050482039619,0
4,79,7.0,0.0153160139588987,14.520714,121.007034,69,168.5,0.7,135,340.7959908431108,-335.4755570648076,69.0,77.8,0.0,0.0,11.114285714285714,266.5604184707095,0.0004631305096761,0
5,87,8.0,0.0168670027142303,14.517269,121.010597,69,237.1,0.7,135,724.3316738455917,-718.5426084692424,0.0,68.6,0.0,0.0,8.575,542.0700659284767,0.0009879597145372,0
6,94,7.0,0.0182241178751454,14.51429,121.01368,76,279.7,8.8,135,1056.2030368016603,-1049.7927524847369,7.0,42.599999999999994,0.0,0.0,6.0857142857142845,468.89789826788785,0.0014419440360796,0
7,102,8.0,0.0197751066304769,14.509827,121.018288,191,279.7,15.0,134,1552.242294747353,-1546.0563955671057,115.0,0.0,-1.0,-0.125,0.0,701.6640770571395,0.0021212912695609,0
8,109,7.0,0.021132221791392,14.506668,121.021461,282,279.7,15.0,136,1893.8137039664507,-1897.321654024909,91.0,0.0,2.0,0.2857142857142857,0.0,489.9572111459108,0.0025956651000015,0
9,111,2.0,0.0215199689802248,14.505661,121.022453,312,277.8,15.0,136,2000.6029536877616,-2009.2950998200351,30.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,154.73188144024476,0.0027454756418617,0
10,113,2.0,0.0219077161690577,14.504514,121.023514,343,279.7,15.0,137,2114.820956507117,-2136.835856847872,31.0,1.8999999999999773,1.0,0.5,0.9499999999999886,171.20828653104647,0.0029112385469427,0
11,115,2.0,0.0222954633578906,14.503464,121.024536,373,279.7,15.0,137,2224.840843448812,-2253.5906910932017,30.0,0.0,0.0,0.0,0.0,160.42447938618795,0.0030665606302832,0
12,117,2.0,0.0226832105467235,14.502419,121.025536,404,279.7,15.3,137,2332.4929939855333,-2369.789549937287,31.0,0.0,0.0,0.0,0.0,158.40167372808173,0.0032199242445034,0
13,119,2.0,0.0230709577355564,14.501348,121.026451,434,281.5,15.0,138,2430.9957873714916,-2488.879480867205,30.0,1.8000000000000114,1.0,0.5,0.9000000000000057,154.54783746804068,0.0033695565960195,0
14,121,2.0,0.0234587049243892,14.500231,121.027466,465,281.5,14.3,138,2540.264063004887,-2613.084385488285,31.0,0.0,0.0,0.0,0.0,165.4275694121929,0.00352972264313,0
15,124,3.0,0.0240403257076386,14.499115,121.028419,495,279.7,12.7,139,2642.8587262575056,-2737.178095028692,30.0,-1.8000000000000114,1.0,0.3333333333333333,-0.6000000000000038,161.01154196109508,0.0036856131171708,0
16,126,2.0,0.0244280728964715,14.497833,121.029556,526,279.7,11.7,139,2765.262170290945,-2879.7301878879953,31.0,0.0,0.0,0.0,0.0,187.8922405726329,0.0038675293332053,0
17,128,2.0,0.0248158200853043,14.496552,121.030693,556,277.8,11.1,139,2887.666316261758,-3022.1710856673326,30.0,-1.8999999999999773,0.0,0.0,-0.9499999999999886,187.80835324767193,0.0040493643300012,0
18,130,2.0,0.0252035672741372,14.495529,121.031555,572,275.9,10.4,140,2980.466058458707,-3135.9236527461567,16.0,-1.900000000000034,1.0,0.5,-0.950000000000017,146.80346405066405,0.0041914986225057,0
19,132,2.0,0.0255913144629701,14.494411,121.032524,594,275.9,10.1,140,3084.785315001676,-3260.2397524472026,22.0,0.0,0.0,0.0,0.0,162.28621416831626,0.0043486232270455,0
20,134,2.0,0.025979061651803,14.493347,121.033394,617,275.9,9.4,140,3178.4474477838535,-3378.551317815591,23.0,0.0,0.0,0.0,0.0,150.89729674955638,0.0044947211454633,0
21,137,3.0,0.0265606824350523,14.491991,121.034592,640,275.9,8.5,140,3307.42120218885,-3529.331846612528,23.0,0.0,0.0,0.0,0.0,198.4156442789805,0.0046868260620862,0
22,143,6.0,0.0277239240015509,14.4885,121.037537,701,279.7,7.8,140,3624.477355020741,-3917.513871707771,61.0,3.8000000000000114,0.0,0.0,0.6333333333333352,501.2063004253446,0.0051720911978267,0
23,152,9.0,0.0294687863512989,14.483688,121.041588,770,283.4,8.1,140,4060.61276238476,-4452.584597791243,69.0,3.6999999999999886,0.0,0.0,0.4111111111111099,690.2975188780551,0.0058404333932767,0
24,160,8.0,0.0310197751066304,14.479065,121.045563,846,285.2,8.1,140,4488.574123172176,-4966.6394537109445,76.0,1.8000000000000114,0.0,0.0,0.2250000000000014,668.8797596926837,0.0064880390341193,0
25,169,9.0,0.0327646374563784,14.474213,121.049637,914,290.8,6.2,140,4927.204669374575,-5506.157983004015,68.0,5.600000000000023,0.0,0.0,0.6222222222222248,695.3219634096952,0.0071612458686523,0
26,178,9.0,0.0345094998061264,14.469274,121.053818,953,313.0,2.6,140,5377.364944597932,-6055.350484277458,39.0,22.19999999999999,0.0,0.0,2.4666666666666655,710.1073690993196,0.0078487678502472,0
27,184,6.0,0.035672741372625,14.465177,121.057289,968,338.9,-0.3,139,5751.088448543241,-6510.916727994352,15.0,25.899999999999977,-1.0,-0.1666666666666666,4.316666666666663,589.2427252375885,0.0084192693599127,0
28,192,8.0,0.0372237301279565,14.459032,121.062637,968,370.4,0.0,139,6326.920162598741,-7194.210496029534,0.0,31.5,0.0,0.0,3.9375,893.5704841746809,0.0092844193030174,0
29,201,9.0,0.0389685924777045,14.45298,121.06794,968,407.4,0.0,139,6897.921719533572,-7867.163121602778,0.0,37.0,0.0,0.0,4.111111111111111,882.5556156189054,0.0101389047120164,0
30,209,8.0,0.040519581233036,14.445997,121.074158,968,437.1,-0.3,138,7567.463970522226,-8643.638366873583,0.0,29.700000000000045,-1.0,-0.125,3.7125000000000057,1025.2794794338065,0.0111315745673975,0
31,216,7.0,0.0418766963939511,14.440338,121.079277,968,463.0,0.3,138,8118.6821751034,-9272.891325915203,0.0,25.899999999999977,0.0,0.0,3.6999999999999966,836.5409046570894,0.0119415087907031,0
32,224,8.0,0.0434276851492826,14.432739,121.086288,968,481.5,0.0,138,8873.652273331267,-10117.862740609797,0.0,18.5,0.0,0.0,2.3125,1133.1197965069823,0.0130385890376903,0
33,231,7.0,0.0447848003101977,14.427144,121.091408,960,488.9,0.0,137,9425.009857797386,-10739.999214516269,-8.0,7.399999999999977,-1.0,-0.1428571428571428,1.0571428571428538,831.2941970666571,0.0138434434280631,0
34,240,9.0,0.0465296626599457,14.418594,121.099358,975,492.6,3.9,137,10281.14604254406,-11690.717150513045,15.0,3.7000000000000455,0.0,0.0,0.4111111111111161,1279.3909676722074,0.0150821426045613,0
35,246,6.0,0.0476929042264443,14.412852,121.104752,998,496.3,5.2,137,10862.043660865886,-12329.199301213755,23.0,3.6999999999999886,0.0,0.0,0.6166666666666648,863.1955150480193,0.0159178836725104,0
36,255,9.0,0.0494377665761923,14.405078,121.111977,1044,498.2,5.2,137,11640.153354973532,-13193.629854949411,46.0,1.8999999999999773,0.0,0.0,0.2111111111111085,1163.0565846184916,0.017043948550246,0
37,263,8.0,0.0509887553315238,14.396622,121.11982,1082,500.0,5.2,137,12484.850936118157,-14133.895453404284,38.0,1.8000000000000114,0.0,0.0,0.2250000000000014,1263.96966067938,0.0182677169035984,0
38,270,7.0,0.0523458704924389,14.390396,121.125641,1128,500.0,9.1,137,13111.79670814312,-14826.196022938277,46.0,0.0,0.0,0.0,0.0,933.9946656539536,0.0191720053130315,0
39,277,7.0,0.053702985653354,14.38385,121.131653,1204,500.0,13.7,138,13759.3359436153,-15554.079018146933,76.0,0.0,1.0,0.1428571428571428,0.0,974.2286830168192,0.0201152480729593,0
40,286,9.0,0.0554478480031019,14.375931,121.138901,1318,503.7,13.7,138,14540.02818265899,-16434.632858516186,114.0,3.6999999999999886,0.0,0.0,0.4111111111111099,1176.798711051371,0.0212546180006177,0
41,294,8.0,0.0569988367584335,14.367874,121.146332,1417,509.3,10.7,137,15340.458257159164,-17330.53161995787,99.0,5.600000000000023,-1.0,-0.125,0.7000000000000028,1201.3849415479106,0.0224177921790788,0
42,301,7.0,0.0583559519193485,14.361237,121.152588,1486,511.2,7.8,137,16014.340380752676,-18068.533367467822,69.0,1.8999999999999773,0.0,0.0,0.2714285714285682,999.3860342895778,0.0233853921457494,0
43,309,8.0,0.0599069406746801,14.353265,121.160072,1547,509.3,8.1,137,16820.527426124336,-18954.98054708942,61.0,-1.8999999999999773,0.0,0.0,-0.2374999999999971,1198.2223024697446,0.0245455042747505,0
44,322,13.0,0.0624272974020938,14.341553,121.171005,1699,505.6,12.0,137,17998.300037221004,-20257.297326784603,152.0,-3.6999999999999886,0.0,0.0,-0.2846153846153837,1755.9024872563496,0.0262455592383501,0
45,335,13.0,0.0649476541295075,14.329058,121.182526,1859,514.9,12.4,138,19239.48919741319,-21646.679854302787,160.0,9.299999999999956,1.0,0.0769230769230769,0.7153846153846118,1863.0449463392988,0.0280493489313542,0
46,348,13.0,0.0674680108569212,14.316675,121.194092,2027,522.3,14.0,137,20485.588721003776,-23023.60853283455,168.0,7.399999999999977,-1.0,-0.0769230769230769,0.5692307692307674,1857.0717510109105,0.0298473554100623,0
47,361,13.0,0.069988367584335,14.304338,121.205994,2210,522.3,15.3,136,21767.940470618345,-24395.42223767569,183.0,0.0,-1.0,-0.0769230769230769,0.0,1877.8620867235709,0.031665490975482,0
48,374,13.0,0.0725087243117487,14.291677,121.218086,2377,529.7,10.7,137,23070.842259706336,-25803.26314851242,167.0,7.400000000000091,1.0,0.0769230769230769,0.5692307692307762,1918.233961621124,0.0335227143642904,0
49,387,13.0,0.0750290810391624,14.278968,121.23008,2553,533.4,15.6,137,24363.265616736095,-27216.44142320024,176.0,3.699999999999932,0.0,0.0,0.2846153846153794,1915.0617876195577,0.0353768664719792,0
50,400,13.0,0.0775494377665761,14.265608,121.242561,2751,533.4,12.7,137,25708.251630740036,-28702.007695120203,198.0,0.0,0.0,0.0,0.0,2003.9728132017049,0.037317101737165,0
51,413,13.0,0.0800697944939899,14.252992,121.254517,2911,537.1,14.3,137,26996.72635320367,-30104.84482734644,160.0,3.7000000000000455,0.0,0.0,0.2846153846153881,1904.7721014654437,0.0391612914282919,0
52,426,13.0,0.0825901512214036,14.240616,121.266235,3094,533.4,13.7,137,28259.62325287202,-31480.995140316856,183.0,-3.7000000000000455,0.0,0.0,-0.2846153846153881,1867.814731182082,0.040969699200293,0
53,439,13.0,0.0851105079488173,14.228413,121.279716,3246,537.1,12.4,128,29712.476716699937,-32837.90870440667,152.0,3.7000000000000455,-9.0,-0.6923076923076923,0.2846153846153881,1988.0681115258903,0.0428945356223056,0
