sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.501038,121.005882,0,0.0,0.3,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2,2.0,0.0004079135223332,14.501674,121.006981,38,200.0,0.3,60,118.31020258073444,70.72007102840766,38.0,200.0,0.0,0.0,100.0,137.83552691798283,0.000131948158323,0
2,4,2.0,0.0008158270446665,14.502228,121.007965,38,214.8,0.3,60,224.2400762677221,132.32214547804023,0.0,14.800000000000011,0.0,0.0,7.400000000000006,122.5395970332462,0.0002492537217849,0
3,6,2.0,0.0012237405669997,14.502823,121.009056,38,227.8,0.3,60,341.6884523330064,198.4832182168835,0.0,13.0,0.0,0.0,6.5,134.8013546734411,0.0003782973064566,0
4,8,2.0,0.001631654089333,14.503396,121.010117,38,238.9,0.3,60,455.9069703970272,262.19799919081896,0.0,11.099999999999994,0.0,0.0,5.549999999999997,130.7877632107189,0.00050349873219,0
5,11,3.0,0.0022435243728329,14.504013,121.01123,38,259.3,0.7,60,575.7230417888269,330.8053636949237,0.0,20.40000000000001,0.0,0.0,6.800000000000002,138.06831914976564,0.0006356697394907,0
6,13,2.0,0.0026514378951662,14.504839,121.012672,38,270.4,0.7,60,730.9559022005852,422.6524999677749,0.0,11.099999999999966,0.0,0.0,5.549999999999983,180.36947355581887,0.000808335092071,0
7,15,2.0,0.0030593514174994,14.50563,121.014069,30,281.5,1.0,60,881.3439301653291,510.6078084326252,-8.0,11.100000000000025,0.0,0.0,5.550000000000011,174.22026191714184,0.0009751138842775,0
8,17,2.0,0.0034672649398327,14.506469,121.01561,38,292.6,2.0,60,1047.2331151952994,603.9004807482157,8.0,11.100000000000025,0.0,0.0,5.550000000000011,190.32269345570276,0.0011573073248953,0
9,25,8.0,0.0050989190291658,14.50914,121.020325,99,296.3,11.4,60,1554.800234180235,900.9025400521712,61.0,3.6999999999999886,0.0,0.0,0.4624999999999986,588.0771168983091,0.0017202659050358,0
10,31,6.0,0.0063226595961656,14.511612,121.024727,168,294.5,11.7,59,2028.6676508674343,1175.776778389515,69.0,-1.8000000000000114,-1.0,-0.1666666666666666,-0.3000000000000019,547.8194800844534,0.0022446863727258,0
11,38,7.0,0.007750356924332,14.514084,121.028893,244,292.6,11.4,57,2477.124475940895,1450.6510167268584,76.0,-1.8999999999999773,-2.0,-0.2857142857142857,-0.2714285714285682,525.9942215030616,0.0027482138040621,0
12,40,2.0,0.0081582704466653,14.514908,121.03022,274,290.8,12.0,57,2619.970593083592,1542.2757628390705,30.0,-1.8000000000000114,0.0,0.0,-0.9000000000000057,169.70628014998312,0.0029106714201959,0
13,42,2.0,0.0085661839689985,14.515915,121.031876,305,292.6,12.0,57,2798.2316019722,1654.2492086341967,31.0,1.8000000000000114,0.0,0.0,0.9000000000000057,210.51169276616443,0.0031121915274356,0
14,44,2.0,0.0089740974913318,14.516739,121.033112,328,290.8,12.4,57,2931.280477617427,1745.8739547467624,23.0,-1.8000000000000114,0.0,0.0,-0.9000000000000057,161.54656657651535,0.0032668379558261,0
15,46,2.0,0.0093820110136651,14.517502,121.034401,351,290.8,11.1,57,3070.034663749947,1830.7158009651416,23.0,0.0,0.0,0.0,0.0,162.63732335727067,0.003422528551505,0
16,53,7.0,0.0108097083418315,14.520126,121.038651,419,292.6,9.1,57,3527.5209406506856,2122.491691497615,68.0,1.8000000000000114,0.0,0.0,0.2571428571428588,542.6121453749117,0.0039419641053629,0
17,61,8.0,0.0124413624311645,14.523367,121.043892,495,296.3,10.1,57,4091.674735805779,2482.8749465345477,76.0,3.6999999999999886,0.0,0.0,0.4624999999999986,669.4380297964622,0.0045828084298861,0
18,70,9.0,0.0142769732816642,14.52681,121.0494,572,305.6,4.6,57,4684.559754028164,2865.719607778697,77.0,9.300000000000011,0.0,0.0,1.0333333333333343,705.7513274460423,0.0052584150022465,0
19,76,6.0,0.015500713848664,14.529648,121.054039,602,320.4,1.6,57,5183.8985621921,3181.291245481515,30.0,14.799999999999956,0.0,0.0,2.4666666666666592,590.6992878065245,0.0058238837525142,0
20,85,9.0,0.0173363246991637,14.533376,121.060081,617,346.3,3.6,58,5834.245312457196,3595.826504591976,15.0,25.90000000000003,1.0,0.1111111111111111,2.8777777777777818,771.2278885144838,0.0065621701857166,0
21,91,6.0,0.0185600652661635,14.53624,121.064888,648,359.3,4.2,58,6351.653183496521,3914.289214380981,31.0,13.0,0.0,0.0,2.1666666666666665,607.5601395435908,0.0071437796101937,0
