sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.498962,120.99955,0,9.3,0.0,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,12,12.0,0.0021097046413502,14.49876,120.999641,0,5.6,0.0,177,9.79649652734602,-22.461406207216953,0.0,-3.700000000000001,-39.0,-3.25,-0.3083333333333334,24.504818159206696,2.2984810915366258e-05,0
2,285,273.0,0.0501054852320675,14.498555,120.999771,0,11.1,0.0,160,23.79150257003563,-45.25639765503885,0.0,5.5,-17.0,-0.0622710622710622,0.0201465201465201,26.748306132402956,4.807394868269246e-05,0
3,291,6.0,0.0511603375527426,14.498337,120.999878,0,18.5,0.0,154,35.3104827264082,-69.49692514595374,0.0,7.4,-6.0,-1.0,1.2333333333333334,26.838219966503445,7.324742302668895e-05,0
4,296,5.0,0.0520393811533052,14.498147,121.000092,0,22.2,0.0,135,58.34844464272089,-90.62399039039724,0.0,3.6999999999999993,-19.0,-3.8,0.7399999999999999,31.258620805000284,0.0001025671055483,0
5,301,5.0,0.0529184247538677,14.498074,121.000374,0,22.2,0.0,112,88.70687510640884,-98.7412312473575,0.0,0.0,-23.0,-4.6,0.0,31.424937640966245,0.0001320427884532,0
6,305,4.0,0.0536216596343178,14.498119,121.00061,0,24.1,0.0,90,114.11320153340807,-93.73745263686864,0.0,1.900000000000002,-22.0,-5.5,0.4750000000000005,25.89444472325539,0.0001563310289068,0
7,311,6.0,0.0546765119549929,14.498348,121.00103,0,33.3,0.0,61,159.32778395716687,-68.27377926349983,0.0,9.199999999999996,-29.0,-4.833333333333333,1.5333333333333323,51.89190915880668,0.0002050041393255,0
8,315,4.0,0.055379746835443,14.498567,121.001404,0,40.7,0.0,59,199.59024693738,-43.9220566922654,0.0,7.400000000000006,-2.0,-0.5,1.8500000000000016,47.05404499376469,0.0002491394730365,0
9,318,3.0,0.0559071729957805,14.49873,121.001694,0,46.3,0.0,59,230.8097799538521,-25.797258613973753,0.0,5.599999999999994,0.0,0.0,1.8666666666666647,36.0994995646145,0.0002829997598683,0
