aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A21N,3f9b32a6,2,1778288099,2026-05-09 08:54:59.000 PHT,14.498055,121.000504,0,11.1,0.0,75,0,0
A21N,3f9b32a6,2,1778288119,2026-05-09 08:55:19.000 PHT,14.498188,121.00071,0,7.4,0.0,61,1,0
A21N,3f9b32a6,2,1778288124,2026-05-09 08:55:24.000 PHT,14.498322,121.000969,0,37.0,0.0,61,1,0
A21N,3f9b32a6,2,1778288126,2026-05-09 08:55:26.000 PHT,14.498497,121.001259,0,57.4,0.0,61,1,0
A21N,3f9b32a6,2,1778288129,2026-05-09 08:55:29.000 PHT,14.498741,121.001709,0,85.2,0.0,61,1,0
A21N,3f9b32a6,2,1778288130,2026-05-09 08:55:30.000 PHT,14.498904,121.002007,0,92.6,0.0,61,1,0
A21N,3f9b32a6,2,1778288131,2026-05-09 08:55:31.000 PHT,14.499043,121.002251,0,101.9,0.0,61,1,0
A21N,3f9b32a6,2,1778288132,2026-05-09 08:55:32.000 PHT,14.499184,121.002518,0,111.1,0.0,61,1,0
A21N,3f9b32a6,2,1778288133,2026-05-09 08:55:33.000 PHT,14.499358,121.002815,0,118.5,0.0,59,1,0
A21N,3f9b32a6,2,1778288137,2026-05-09 08:55:37.000 PHT,14.499963,121.003914,0,151.9,0.0,59,1,0
A21N,3f9b32a6,2,1778288139,2026-05-09 08:55:39.000 PHT,14.500385,121.004662,0,166.7,0.0,59,1,0
A21N,3f9b32a6,2,1778288141,2026-05-09 08:55:41.000 PHT,14.500649,121.005104,0,175.9,0.7,60,1,0
A21N,3f9b32a6,2,1778288143,2026-05-09 08:55:43.000 PHT,14.501221,121.006165,30,198.2,0.7,60,2,0
A21N,3f9b32a6,2,1778288145,2026-05-09 08:55:45.000 PHT,14.501724,121.007065,30,203.7,0.7,60,2,0
A21N,3f9b32a6,2,1778288147,2026-05-09 08:55:47.000 PHT,14.502279,121.008095,30,218.5,0.3,60,2,0
A21N,3f9b32a6,2,1778288149,2026-05-09 08:55:49.000 PHT,14.502914,121.009239,30,237.1,0.7,60,2,0
A21N,3f9b32a6,2,1778288151,2026-05-09 08:55:51.000 PHT,14.503675,121.010597,30,250.0,0.7,60,2,0
A21N,3f9b32a6,2,1778288153,2026-05-09 08:55:53.000 PHT,14.504288,121.011703,38,263.0,0.7,60,2,0
A21N,3f9b32a6,2,1778288154,2026-05-09 08:55:54.000 PHT,14.504837,121.01265,0,0.0,0.7,60,2,0
A21N,3f9b32a6,2,1778288157,2026-05-09 08:55:57.000 PHT,14.505478,121.01384,30,279.7,1.0,60,2,0
A21N,3f9b32a6,2,1778288159,2026-05-09 08:55:59.000 PHT,14.506375,121.015465,23,296.3,1.3,60,2,0
A21N,3f9b32a6,2,1778288161,2026-05-09 08:56:01.000 PHT,14.506897,121.016441,30,301.9,5.2,60,2,0
A21N,3f9b32a6,2,1778288163,2026-05-09 08:56:03.000 PHT,14.508005,121.018402,53,303.7,9.8,60,2,0
A21N,3f9b32a6,2,1778288172,2026-05-09 08:56:12.000 PHT,14.511246,121.024063,145,298.2,12.0,59,2,0
A21N,3f9b32a6,2,1778288178,2026-05-09 08:56:18.000 PHT,14.513545,121.028137,213,296.3,11.4,59,2,0
A21N,3f9b32a6,2,1778288186,2026-05-09 08:56:26.000 PHT,14.51683,121.033676,312,298.2,11.4,58,2,0
A21N,3f9b32a6,2,1778288193,2026-05-09 08:56:33.000 PHT,14.519211,121.037796,389,298.2,13.0,58,2,0
A21N,3f9b32a6,2,1778288201,2026-05-09 08:56:41.000 PHT,14.52253,121.043457,488,298.2,10.4,59,2,0
A21N,3f9b32a6,2,1778288208,2026-05-09 08:56:48.000 PHT,14.525162,121.047928,564,298.2,11.7,59,2,0
A21N,3f9b32a6,2,1778288217,2026-05-09 08:56:57.000 PHT,14.528275,121.053421,663,296.3,11.4,59,2,0
A21N,3f9b32a6,2,1778288223,2026-05-09 08:57:03.000 PHT,14.530909,121.05806,747,296.3,11.7,59,2,0
A21N,3f9b32a6,2,1778288230,2026-05-09 08:57:10.000 PHT,14.533493,121.062561,831,296.3,11.4,59,3,0
A21N,3f9b32a6,2,1778288239,2026-05-09 08:57:19.000 PHT,14.536423,121.068153,922,296.3,10.4,64,3,0
A21N,3f9b32a6,2,1778288241,2026-05-09 08:57:21.000 PHT,14.537109,121.069855,945,296.3,10.7,68,3,0
A21N,3f9b32a6,2,1778288243,2026-05-09 08:57:23.000 PHT,14.53775,121.071655,975,296.3,10.1,70,3,1
A21N,3f9b32a6,2,1778288245,2026-05-09 08:57:25.000 PHT,14.538116,121.072937,991,301.9,7.5,74,3,1
A21N,3f9b32a6,2,1778288247,2026-05-09 08:57:27.000 PHT,14.538528,121.074829,1006,303.7,7.2,77,3,1
A21N,3f9b32a6,2,1778288249,2026-05-09 08:57:29.000 PHT,14.538757,121.076439,1021,309.3,6.5,81,3,1
A21N,3f9b32a6,2,1778288251,2026-05-09 08:57:31.000 PHT,14.538895,121.078049,1036,313.0,6.2,84,3,1
A21N,3f9b32a6,2,1778288254,2026-05-09 08:57:34.000 PHT,14.538895,121.08004,1052,320.4,6.5,90,3,1
A21N,3f9b32a6,2,1778288256,2026-05-09 08:57:36.000 PHT,14.538776,121.082008,1067,324.1,6.8,94,3,1
A21N,3f9b32a6,2,1778288259,2026-05-09 08:57:39.000 PHT,14.538437,121.08416,1082,333.4,6.8,100,3,1
A21N,3f9b32a6,2,1778288261,2026-05-09 08:57:41.000 PHT,14.538032,121.085861,1097,338.9,6.2,104,3,1
A21N,3f9b32a6,2,1778288263,2026-05-09 08:57:43.000 PHT,14.537384,121.088043,1113,342.6,5.9,108,3,1
A21N,3f9b32a6,2,1778288265,2026-05-09 08:57:45.000 PHT,14.536697,121.089607,1120,350.0,5.9,113,3,1
A21N,3f9b32a6,2,1778288267,2026-05-09 08:57:47.000 PHT,14.53589,121.091263,1135,355.6,4.9,117,3,1
A21N,3f9b32a6,2,1778288270,2026-05-09 08:57:50.000 PHT,14.534958,121.092728,1143,361.1,5.5,122,3,1
A21N,3f9b32a6,2,1778288272,2026-05-09 08:57:52.000 PHT,14.533539,121.094719,1158,372.3,6.2,127,3,1
A21N,3f9b32a6,2,1778288274,2026-05-09 08:57:54.000 PHT,14.532257,121.096329,1173,376.0,6.8,130,3,1
A21N,3f9b32a6,2,1778288276,2026-05-09 08:57:56.000 PHT,14.531296,121.097511,1181,381.5,7.2,131,3,1
A21N,3f9b32a6,2,1778288278,2026-05-09 08:57:58.000 PHT,14.529922,121.099075,1196,387.1,6.5,132,3,1
A21N,3f9b32a6,2,1778288280,2026-05-09 08:58:00.000 PHT,14.528301,121.100853,1212,390.8,7.2,133,3,1
A21N,3f9b32a6,2,1778288282,2026-05-09 08:58:02.000 PHT,14.526626,121.102631,1234,396.3,7.8,134,3,1
A21N,3f9b32a6,2,1778288285,2026-05-09 08:58:05.000 PHT,14.524933,121.104424,1250,401.9,7.2,134,3,1
A21N,3f9b32a6,2,1778288287,2026-05-09 08:58:07.000 PHT,14.523553,121.105812,1265,405.6,7.2,135,3,1
A21N,3f9b32a6,2,1778288289,2026-05-09 08:58:09.000 PHT,14.521738,121.107643,1280,411.1,8.5,135,3,1
A21N,3f9b32a6,2,1778288291,2026-05-09 08:58:11.000 PHT,14.520355,121.109016,1295,414.8,8.8,135,3,1
A21N,3f9b32a6,2,1778288293,2026-05-09 08:58:13.000 PHT,14.518936,121.110489,1318,420.4,9.1,135,3,0
A21N,3f9b32a6,2,1778288295,2026-05-09 08:58:15.000 PHT,14.516922,121.112427,1341,424.1,9.4,135,3,0
A21N,3f9b32a6,2,1778288298,2026-05-09 08:58:18.000 PHT,14.515411,121.113991,1356,429.7,9.8,135,3,0
A21N,3f9b32a6,2,1778288300,2026-05-09 08:58:20.000 PHT,14.513591,121.115837,1379,433.4,9.4,135,3,0
A21N,3f9b32a6,2,1778288302,2026-05-09 08:58:22.000 PHT,14.511868,121.117615,1402,438.9,9.1,135,3,0
A21N,3f9b32a6,2,1778288304,2026-05-09 08:58:24.000 PHT,14.510286,121.119209,1417,442.6,8.5,134,3,0
A21N,3f9b32a6,2,1778288306,2026-05-09 08:58:26.000 PHT,14.508682,121.120903,1433,448.2,7.8,134,3,0
A21N,3f9b32a6,2,1778288315,2026-05-09 08:58:35.000 PHT,14.501906,121.128029,1494,472.3,7.8,133,3,0
A21N,3f9b32a6,2,1778288323,2026-05-09 08:58:43.000 PHT,14.494537,121.136009,1570,487.1,10.4,133,3,0
A21N,3f9b32a6,2,1778288336,2026-05-09 08:58:56.000 PHT,14.484055,121.147331,1730,496.3,15.9,133,3,0
A21N,3f9b32a6,2,1778288349,2026-05-09 08:59:09.000 PHT,14.473114,121.159164,1943,492.6,15.9,133,3,0
A21N,3f9b32a6,2,1778288362,2026-05-09 08:59:22.000 PHT,14.461029,121.172188,2134,501.9,12.7,133,3,0
A21N,3f9b32a6,2,1778288375,2026-05-09 08:59:35.000 PHT,14.44986,121.18441,2301,513.0,13.3,133,3,0
A21N,3f9b32a6,2,1778288388,2026-05-09 08:59:48.000 PHT,14.438456,121.196739,2499,511.2,15.3,133,3,0
A21N,3f9b32a6,2,1778288401,2026-05-09 09:00:01.000 PHT,14.426771,121.209366,2652,516.7,8.8,133,3,0
A21N,3f9b32a6,2,1778288414,2026-05-09 09:00:14.000 PHT,14.415319,121.221794,2736,518.6,3.9,133,3,0
A21N,3f9b32a6,2,1778288427,2026-05-09 09:00:27.000 PHT,14.403309,121.234856,2758,524.1,0.7,133,3,0
A21N,3f9b32a6,2,1778288440,2026-05-09 09:00:40.000 PHT,14.391392,121.247673,2766,531.5,0.0,133,3,0
A21N,3f9b32a6,2,1778288453,2026-05-09 09:00:53.000 PHT,14.379381,121.260635,2758,538.9,0.3,133,3,0
A21N,3f9b32a6,2,1778288466,2026-05-09 09:01:06.000 PHT,14.367599,121.273338,2758,533.4,0.0,133,3,0
A21N,3f9b32a6,2,1778288479,2026-05-09 09:01:19.000 PHT,14.355698,121.286171,2758,531.5,0.3,133,3,0
A21N,3f9b32a6,2,1778288492,2026-05-09 09:01:32.000 PHT,14.344116,121.298767,2758,533.4,0.0,133,3,0
A21N,3f9b32a6,2,1778288505,2026-05-09 09:01:45.000 PHT,14.331526,121.312386,2758,533.4,0.3,133,3,0
A21N,3f9b32a6,2,1778288518,2026-05-09 09:01:58.000 PHT,14.320073,121.324768,2758,535.2,0.0,133,3,0
A21N,3f9b32a6,2,1778288533,2026-05-09 09:02:13.000 PHT,14.306442,121.339401,2758,535.2,0.0,133,3,0
A21N,3f9b32a6,2,1778288548,2026-05-09 09:02:28.000 PHT,14.292095,121.35498,2758,535.2,0.3,133,3,0
A21N,3f9b32a6,2,1778288561,2026-05-09 09:02:41.000 PHT,14.279527,121.368378,2789,527.8,5.9,133,3,0
