aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A21N,3f9c17f1,2,1778314439,2026-05-09 16:13:59.000 PHT,14.523731,121.003868,0,7.4,0.0,185,0,0
A21N,3f9c17f1,2,1778314456,2026-05-09 16:14:16.000 PHT,14.52356,121.004082,0,5.6,0.0,137,1,0
A21N,3f9c17f1,2,1778314504,2026-05-09 16:15:04.000 PHT,14.523285,121.004379,0,29.6,0.0,135,1,0
A21N,3f9c17f1,2,1778314511,2026-05-09 16:15:11.000 PHT,14.522413,121.005287,0,90.7,0.0,135,1,0
A21N,3f9c17f1,2,1778314518,2026-05-09 16:15:18.000 PHT,14.520714,121.007034,69,168.5,0.7,135,2,0
A21N,3f9c17f1,2,1778314526,2026-05-09 16:15:26.000 PHT,14.517269,121.010597,69,237.1,0.7,135,2,0
A21N,3f9c17f1,2,1778314533,2026-05-09 16:15:33.000 PHT,14.51429,121.01368,76,279.7,8.8,135,2,0
A21N,3f9c17f1,2,1778314541,2026-05-09 16:15:41.000 PHT,14.509827,121.018288,191,279.7,15.0,134,2,0
A21N,3f9c17f1,2,1778314548,2026-05-09 16:15:48.000 PHT,14.506668,121.021461,282,279.7,15.0,136,2,0
A21N,3f9c17f1,2,1778314550,2026-05-09 16:15:50.000 PHT,14.505661,121.022453,312,277.8,15.0,136,2,0
A21N,3f9c17f1,2,1778314552,2026-05-09 16:15:52.000 PHT,14.504514,121.023514,343,279.7,15.0,137,2,0
A21N,3f9c17f1,2,1778314554,2026-05-09 16:15:54.000 PHT,14.503464,121.024536,373,279.7,15.0,137,2,0
A21N,3f9c17f1,2,1778314556,2026-05-09 16:15:56.000 PHT,14.502419,121.025536,404,279.7,15.3,137,2,0
A21N,3f9c17f1,2,1778314558,2026-05-09 16:15:58.000 PHT,14.501348,121.026451,434,281.5,15.0,138,2,0
A21N,3f9c17f1,2,1778314560,2026-05-09 16:16:00.000 PHT,14.500231,121.027466,465,281.5,14.3,138,3,0
A21N,3f9c17f1,2,1778314563,2026-05-09 16:16:03.000 PHT,14.499115,121.028419,495,279.7,12.7,139,3,0
A21N,3f9c17f1,2,1778314565,2026-05-09 16:16:05.000 PHT,14.497833,121.029556,526,279.7,11.7,139,3,0
A21N,3f9c17f1,2,1778314567,2026-05-09 16:16:07.000 PHT,14.496552,121.030693,556,277.8,11.1,139,3,0
A21N,3f9c17f1,2,1778314569,2026-05-09 16:16:09.000 PHT,14.495529,121.031555,572,275.9,10.4,140,3,0
A21N,3f9c17f1,2,1778314571,2026-05-09 16:16:11.000 PHT,14.494411,121.032524,594,275.9,10.1,140,3,0
A21N,3f9c17f1,2,1778314573,2026-05-09 16:16:13.000 PHT,14.493347,121.033394,617,275.9,9.4,140,3,0
A21N,3f9c17f1,2,1778314576,2026-05-09 16:16:16.000 PHT,14.491991,121.034592,640,275.9,8.5,140,3,0
A21N,3f9c17f1,2,1778314582,2026-05-09 16:16:22.000 PHT,14.4885,121.037537,701,279.7,7.8,140,3,0
A21N,3f9c17f1,2,1778314591,2026-05-09 16:16:31.000 PHT,14.483688,121.041588,770,283.4,8.1,140,3,0
A21N,3f9c17f1,2,1778314599,2026-05-09 16:16:39.000 PHT,14.479065,121.045563,846,285.2,8.1,140,3,0
A21N,3f9c17f1,2,1778314608,2026-05-09 16:16:48.000 PHT,14.474213,121.049637,914,290.8,6.2,140,3,0
A21N,3f9c17f1,2,1778314617,2026-05-09 16:16:57.000 PHT,14.469274,121.053818,953,313.0,2.6,140,3,0
A21N,3f9c17f1,2,1778314623,2026-05-09 16:17:03.000 PHT,14.465177,121.057289,968,338.9,-0.3,139,3,0
A21N,3f9c17f1,2,1778314631,2026-05-09 16:17:11.000 PHT,14.459032,121.062637,968,370.4,0.0,139,3,0
A21N,3f9c17f1,2,1778314640,2026-05-09 16:17:20.000 PHT,14.45298,121.06794,968,407.4,0.0,139,3,0
A21N,3f9c17f1,2,1778314648,2026-05-09 16:17:28.000 PHT,14.445997,121.074158,968,437.1,-0.3,138,3,0
A21N,3f9c17f1,2,1778314655,2026-05-09 16:17:35.000 PHT,14.440338,121.079277,968,463.0,0.3,138,3,0
A21N,3f9c17f1,2,1778314663,2026-05-09 16:17:43.000 PHT,14.432739,121.086288,968,481.5,0.0,138,3,0
A21N,3f9c17f1,2,1778314670,2026-05-09 16:17:50.000 PHT,14.427144,121.091408,960,488.9,0.0,137,3,0
A21N,3f9c17f1,2,1778314679,2026-05-09 16:17:59.000 PHT,14.418594,121.099358,975,492.6,3.9,137,3,0
A21N,3f9c17f1,2,1778314685,2026-05-09 16:18:05.000 PHT,14.412852,121.104752,998,496.3,5.2,137,3,0
A21N,3f9c17f1,2,1778314694,2026-05-09 16:18:14.000 PHT,14.405078,121.111977,1044,498.2,5.2,137,3,0
A21N,3f9c17f1,2,1778314702,2026-05-09 16:18:22.000 PHT,14.396622,121.11982,1082,500.0,5.2,137,3,0
A21N,3f9c17f1,2,1778314709,2026-05-09 16:18:29.000 PHT,14.390396,121.125641,1128,500.0,9.1,137,3,0
