aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A321,3f9bbf59,2,1778305992,2026-05-09 13:53:12.000 PHT,14.498119,121.000656,0,13.0,0.0,75,0,0
A321,3f9bbf59,2,1778306001,2026-05-09 13:53:21.000 PHT,14.498257,121.000885,0,11.1,0.0,61,1,0
A321,3f9bbf59,2,1778306011,2026-05-09 13:53:31.000 PHT,14.498392,121.001144,0,11.1,0.0,59,1,0
A321,3f9bbf59,2,1778306017,2026-05-09 13:53:37.000 PHT,14.498543,121.001396,0,27.8,0.0,59,1,0
A321,3f9bbf59,2,1778306018,2026-05-09 13:53:38.000 PHT,14.498694,121.001671,0,44.4,0.0,61,1,0
A321,3f9bbf59,2,1778306021,2026-05-09 13:53:41.000 PHT,14.49888,121.002022,0,63.0,0.0,61,1,0
A321,3f9bbf59,2,1778306023,2026-05-09 13:53:43.000 PHT,14.499229,121.002647,0,88.9,0.0,61,1,0
A321,3f9bbf59,2,1778306029,2026-05-09 13:53:49.000 PHT,14.500168,121.004356,0,137.0,0.0,59,1,0
A321,3f9bbf59,2,1778306034,2026-05-09 13:53:54.000 PHT,14.500929,121.005684,61,170.4,0.3,60,2,0
A321,3f9bbf59,2,1778306036,2026-05-09 13:53:56.000 PHT,14.501633,121.006973,61,185.2,0.3,60,2,0
A321,3f9bbf59,2,1778306038,2026-05-09 13:53:58.000 PHT,14.502139,121.007896,61,198.2,0.3,60,2,0
A321,3f9bbf59,2,1778306040,2026-05-09 13:54:00.000 PHT,14.502698,121.008911,61,218.5,0.7,60,2,0
A321,3f9bbf59,2,1778306047,2026-05-09 13:54:07.000 PHT,14.504793,121.012718,69,261.1,1.0,60,2,0
A321,3f9bbf59,2,1778306049,2026-05-09 13:54:09.000 PHT,14.505524,121.013977,69,272.2,1.0,60,2,0
A321,3f9bbf59,2,1778306051,2026-05-09 13:54:11.000 PHT,14.506469,121.015709,53,222.2,1.3,60,2,0
A321,3f9bbf59,2,1778306053,2026-05-09 13:54:13.000 PHT,14.50726,121.017105,61,288.9,4.2,60,2,0
A321,3f9bbf59,2,1778306056,2026-05-09 13:54:16.000 PHT,14.508041,121.018433,84,300.0,9.4,59,2,0
A321,3f9bbf59,2,1778306058,2026-05-09 13:54:18.000 PHT,14.508703,121.019562,99,298.2,11.4,59,2,0
A321,3f9bbf59,2,1778306064,2026-05-09 13:54:24.000 PHT,14.511108,121.023827,175,292.6,11.4,60,2,0
A321,3f9bbf59,2,1778306071,2026-05-09 13:54:31.000 PHT,14.513591,121.028137,244,292.6,10.4,57,2,0
A321,3f9bbf59,2,1778306079,2026-05-09 13:54:39.000 PHT,14.517315,121.033875,335,298.2,9.8,55,2,0
A321,3f9bbf59,2,1778306082,2026-05-09 13:54:42.000 PHT,14.518341,121.035332,358,300.0,10.4,55,2,0
A321,3f9bbf59,2,1778306086,2026-05-09 13:54:46.000 PHT,14.519943,121.037704,404,298.2,11.1,54,3,0
A321,3f9bbf59,2,1778306088,2026-05-09 13:54:48.000 PHT,14.52104,121.039268,427,296.3,10.1,54,3,0
A321,3f9bbf59,2,1778306090,2026-05-09 13:54:50.000 PHT,14.521866,121.040497,450,294.5,9.1,54,3,0
A321,3f9bbf59,2,1778306092,2026-05-09 13:54:52.000 PHT,14.522902,121.041969,472,294.5,8.1,54,3,0
A321,3f9bbf59,2,1778306094,2026-05-09 13:54:54.000 PHT,14.523788,121.043198,488,294.5,7.5,54,3,0
A321,3f9bbf59,2,1778306097,2026-05-09 13:54:57.000 PHT,14.524671,121.044472,503,294.5,6.5,54,3,0
A321,3f9bbf59,2,1778306099,2026-05-09 13:54:59.000 PHT,14.525648,121.045868,518,296.3,6.2,54,3,0
A321,3f9bbf59,2,1778306105,2026-05-09 13:55:05.000 PHT,14.528503,121.049965,564,300.0,6.5,54,3,0
A321,3f9bbf59,2,1778306114,2026-05-09 13:55:14.000 PHT,14.532119,121.055214,625,301.9,7.2,54,3,0
A321,3f9bbf59,2,1778306122,2026-05-09 13:55:22.000 PHT,14.535936,121.060806,693,301.9,7.8,55,3,0
A321,3f9bbf59,2,1778306131,2026-05-09 13:55:31.000 PHT,14.539307,121.06588,754,300.0,8.5,55,3,0
A321,3f9bbf59,2,1778306137,2026-05-09 13:55:37.000 PHT,14.542128,121.070107,815,298.2,8.8,55,3,1
A321,3f9bbf59,2,1778306144,2026-05-09 13:55:44.000 PHT,14.544735,121.074249,869,296.3,6.8,57,3,1
A321,3f9bbf59,2,1778306146,2026-05-09 13:55:46.000 PHT,14.545578,121.07592,884,294.5,5.5,61,3,1
A321,3f9bbf59,2,1778306148,2026-05-09 13:55:48.000 PHT,14.546127,121.077339,892,296.3,4.6,68,3,1
A321,3f9bbf59,2,1778306150,2026-05-09 13:55:50.000 PHT,14.54655,121.07888,899,296.3,4.6,73,3,1
A321,3f9bbf59,2,1778306152,2026-05-09 13:55:52.000 PHT,14.54686,121.080841,914,298.2,4.9,79,3,1
A321,3f9bbf59,2,1778306154,2026-05-09 13:55:54.000 PHT,14.546923,121.082344,922,298.2,5.2,85,3,1
A321,3f9bbf59,2,1778306157,2026-05-09 13:55:57.000 PHT,14.546814,121.084251,937,300.0,6.5,93,3,1
A321,3f9bbf59,2,1778306159,2026-05-09 13:55:59.000 PHT,14.546585,121.08577,953,300.0,7.5,98,3,1
A321,3f9bbf59,2,1778306161,2026-05-09 13:56:01.000 PHT,14.546225,121.087402,968,301.9,8.1,101,3,1
A321,3f9bbf59,2,1778306163,2026-05-09 13:56:03.000 PHT,14.545805,121.089233,991,300.0,8.1,103,3,1
A321,3f9bbf59,2,1778306165,2026-05-09 13:56:05.000 PHT,14.545395,121.090691,1006,300.0,6.2,105,3,1
A321,3f9bbf59,2,1778306167,2026-05-09 13:56:07.000 PHT,14.544891,121.092491,1013,301.9,4.9,105,3,1
A321,3f9bbf59,2,1778306170,2026-05-09 13:56:10.000 PHT,14.544342,121.094246,1029,305.6,4.6,106,3,1
A321,3f9bbf59,2,1778306172,2026-05-09 13:56:12.000 PHT,14.54399,121.095406,1036,307.4,4.2,107,3,1
A321,3f9bbf59,2,1778306174,2026-05-09 13:56:14.000 PHT,14.543335,121.097366,1044,311.1,3.9,108,3,1
A321,3f9bbf59,2,1778306176,2026-05-09 13:56:16.000 PHT,14.542826,121.098923,1052,314.8,3.9,108,3,1
A321,3f9bbf59,2,1778306178,2026-05-09 13:56:18.000 PHT,14.542268,121.100655,1067,318.5,4.2,108,3,1
A321,3f9bbf59,2,1778306181,2026-05-09 13:56:21.000 PHT,14.541687,121.102341,1067,320.4,3.6,109,3,1
A321,3f9bbf59,2,1778306183,2026-05-09 13:56:23.000 PHT,14.540964,121.10437,1082,324.1,3.3,109,3,1
A321,3f9bbf59,2,1778306185,2026-05-09 13:56:25.000 PHT,14.540405,121.106056,1090,329.7,4.6,109,3,1
A321,3f9bbf59,2,1778306187,2026-05-09 13:56:27.000 PHT,14.53994,121.107353,1097,333.4,5.5,110,3,1
