aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A321,3f9fc7b2,2,1778400677,2026-05-10 16:11:17.000 PHT,14.523635,121.004036,0,0.0,0.0,137,0,0
A321,3f9fc7b2,2,1778401061,2026-05-10 16:17:41.000 PHT,14.523309,121.004372,0,31.5,0.0,135,1,0
A321,3f9fc7b2,2,1778401068,2026-05-10 16:17:48.000 PHT,14.522157,121.005577,0,101.9,0.0,135,1,0
A321,3f9fc7b2,2,1778401075,2026-05-10 16:17:55.000 PHT,14.520341,121.007469,69,166.7,0.7,134,2,0
A321,3f9fc7b2,2,1778401082,2026-05-10 16:18:02.000 PHT,14.517874,121.009972,69,216.7,0.7,134,2,0
A321,3f9fc7b2,2,1778401091,2026-05-10 16:18:11.000 PHT,14.513489,121.014496,91,274.1,9.4,135,2,0
A321,3f9fc7b2,2,1778401100,2026-05-10 16:18:20.000 PHT,14.509415,121.018669,206,275.9,16.9,134,2,0
A321,3f9fc7b2,2,1778401106,2026-05-10 16:18:26.000 PHT,14.506329,121.021729,305,268.5,17.6,136,2,0
A321,3f9fc7b2,2,1778401114,2026-05-10 16:18:34.000 PHT,14.502045,121.025627,450,261.1,16.3,138,2,0
A321,3f9fc7b2,2,1778401116,2026-05-10 16:18:36.000 PHT,14.501129,121.026436,480,255.6,14.3,139,2,0
A321,3f9fc7b2,2,1778401118,2026-05-10 16:18:38.000 PHT,14.500184,121.027321,511,251.9,11.1,139,2,0
A321,3f9fc7b2,2,1778401127,2026-05-10 16:18:47.000 PHT,14.496048,121.03093,572,253.7,3.9,139,3,0
A321,3f9fc7b2,2,1778401133,2026-05-10 16:18:53.000 PHT,14.492935,121.033585,594,263.0,3.9,139,3,0
A321,3f9fc7b2,2,1778401142,2026-05-10 16:19:02.000 PHT,14.488495,121.037514,648,274.1,5.5,139,3,0
A321,3f9fc7b2,2,1778401148,2026-05-10 16:19:08.000 PHT,14.485107,121.040405,686,277.8,6.2,139,3,0
A321,3f9fc7b2,2,1778401157,2026-05-10 16:19:17.000 PHT,14.480307,121.044518,747,281.5,7.2,140,3,0
A321,3f9fc7b2,2,1778401165,2026-05-10 16:19:25.000 PHT,14.475815,121.048309,808,285.2,7.2,140,3,0
A321,3f9fc7b2,2,1778401171,2026-05-10 16:19:31.000 PHT,14.472336,121.051247,853,288.9,6.8,140,3,0
A321,3f9fc7b2,2,1778401180,2026-05-10 16:19:40.000 PHT,14.467319,121.055504,914,292.6,7.2,140,3,0
A321,3f9fc7b2,2,1778401188,2026-05-10 16:19:48.000 PHT,14.46243,121.059601,975,296.3,6.8,141,3,0
A321,3f9fc7b2,2,1778401195,2026-05-10 16:19:55.000 PHT,14.458659,121.062737,1013,301.9,4.2,140,3,0
A321,3f9fc7b2,2,1778401202,2026-05-10 16:20:02.000 PHT,14.454254,121.066399,1036,313.0,3.6,140,3,0
A321,3f9fc7b2,2,1778401210,2026-05-10 16:20:10.000 PHT,14.448853,121.070992,1074,327.8,4.2,140,3,1
A321,3f9fc7b2,2,1778401217,2026-05-10 16:20:17.000 PHT,14.444733,121.074593,1097,340.8,4.2,138,3,1
A321,3f9fc7b2,2,1778401220,2026-05-10 16:20:20.000 PHT,14.443176,121.076012,1113,342.6,4.6,137,3,1
A321,3f9fc7b2,2,1778401222,2026-05-10 16:20:22.000 PHT,14.44162,121.077621,1120,344.5,3.9,136,3,1
A321,3f9fc7b2,2,1778401224,2026-05-10 16:20:24.000 PHT,14.440338,121.078995,1128,348.2,4.9,134,3,1
A321,3f9fc7b2,2,1778401226,2026-05-10 16:20:26.000 PHT,14.439155,121.080322,1143,353.7,5.2,132,3,1
A321,3f9fc7b2,2,1778401228,2026-05-10 16:20:28.000 PHT,14.43799,121.081718,1151,355.6,4.9,131,3,1
A321,3f9fc7b2,2,1778401230,2026-05-10 16:20:30.000 PHT,14.436493,121.083542,1166,359.3,4.9,129,3,1
A321,3f9fc7b2,2,1778401232,2026-05-10 16:20:32.000 PHT,14.43543,121.0849,1173,363.0,4.9,129,3,1
A321,3f9fc7b2,2,1778401235,2026-05-10 16:20:35.000 PHT,14.434158,121.086479,1181,366.7,4.6,129,3,1
A321,3f9fc7b2,2,1778401237,2026-05-10 16:20:37.000 PHT,14.432962,121.088036,1189,368.5,4.6,128,3,1
A321,3f9fc7b2,2,1778401239,2026-05-10 16:20:39.000 PHT,14.431752,121.089622,1196,374.1,4.6,128,3,1
A321,3f9fc7b2,2,1778401241,2026-05-10 16:20:41.000 PHT,14.430495,121.091209,1212,376.0,4.9,128,3,1
A321,3f9fc7b2,2,1778401243,2026-05-10 16:20:43.000 PHT,14.429099,121.093094,1219,383.4,4.6,128,3,1
A321,3f9fc7b2,2,1778401245,2026-05-10 16:20:45.000 PHT,14.427889,121.094681,1227,387.1,4.6,128,3,1
