aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A333,3f976e97,2,1778216066,2026-05-08 12:54:26.000 PHT,14.498962,120.99955,0,9.3,0.0,216,0,0
A333,3f976e97,2,1778216078,2026-05-08 12:54:38.000 PHT,14.49876,120.999641,0,5.6,0.0,177,1,0
A333,3f976e97,2,1778216351,2026-05-08 12:59:11.000 PHT,14.498555,120.999771,0,11.1,0.0,160,1,0
A333,3f976e97,2,1778216357,2026-05-08 12:59:17.000 PHT,14.498337,120.999878,0,18.5,0.0,154,1,0
A333,3f976e97,2,1778216362,2026-05-08 12:59:22.000 PHT,14.498147,121.000092,0,22.2,0.0,135,1,0
A333,3f976e97,2,1778216367,2026-05-08 12:59:27.000 PHT,14.498074,121.000374,0,22.2,0.0,112,1,0
A333,3f976e97,2,1778216371,2026-05-08 12:59:31.000 PHT,14.498119,121.00061,0,24.1,0.0,90,1,0
A333,3f976e97,2,1778216377,2026-05-08 12:59:37.000 PHT,14.498348,121.00103,0,33.3,0.0,61,1,0
A333,3f976e97,2,1778216381,2026-05-08 12:59:41.000 PHT,14.498567,121.001404,0,40.7,0.0,59,1,0
A333,3f976e97,2,1778216384,2026-05-08 12:59:44.000 PHT,14.49873,121.001694,0,46.3,0.0,59,1,0
A333,3f976e97,2,1778216386,2026-05-08 12:59:46.000 PHT,14.498909,121.002007,0,63.0,0.0,59,1,0
A333,3f976e97,2,1778216388,2026-05-08 12:59:48.000 PHT,14.499126,121.002411,0,75.9,0.0,61,1,0
A333,3f976e97,2,1778216390,2026-05-08 12:59:50.000 PHT,14.499355,121.002823,0,90.7,0.0,61,1,0
A333,3f976e97,2,1778216391,2026-05-08 12:59:51.000 PHT,14.499504,121.00309,0,98.2,0.0,61,1,0
A333,3f976e97,2,1778216393,2026-05-08 12:59:53.000 PHT,14.499638,121.003334,0,105.6,0.0,61,1,0
A333,3f976e97,2,1778216394,2026-05-08 12:59:54.000 PHT,14.49987,121.003746,0,113.0,0.0,61,1,0
A333,3f976e97,2,1778216395,2026-05-08 12:59:55.000 PHT,14.500134,121.004227,0,127.8,0.0,61,1,0
A333,3f976e97,2,1778216396,2026-05-08 12:59:56.000 PHT,14.500328,121.004578,0,133.3,0.0,61,1,0
A333,3f976e97,2,1778216405,2026-05-08 13:00:05.000 PHT,14.502274,121.008057,53,190.8,0.3,59,2,0
A333,3f976e97,2,1778216411,2026-05-08 13:00:11.000 PHT,14.504059,121.01133,53,233.4,0.3,60,2,0
A333,3f976e97,2,1778216418,2026-05-08 13:00:18.000 PHT,14.506003,121.014839,53,268.5,0.3,59,2,0
A333,3f976e97,2,1778216427,2026-05-08 13:00:27.000 PHT,14.509598,121.021225,76,309.3,8.8,59,2,0
