sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.498194,121.000771,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,4,4.0,0.000801282051282,14.498337,121.001015,0.0,24.1,0.0,61,26.267599746927665,15.900896473315562,0.0,24.1,-3.0,-0.75,6.025,30.705460509808315,3.026237500958616e-05,0
2,8,4.0,0.0016025641025641,14.498577,121.00145,0.0,50.0,0.0,59,73.09709249659454,42.58771572913828,0.0,25.9,-2.0,-0.5,6.475,53.89979248788257,8.338438347730284e-05,0
3,11,3.0,0.0022035256410256,14.498795,121.001831,0.0,64.8,0.0,61,114.11322522437716,66.82824322040683,0.0,14.799999999999995,2.0,0.6666666666666666,4.933333333333333,47.64374417271737,0.0001303406195694,0
4,15,4.0,0.0030048076923076,14.499288,121.002747,0.0,96.3,0.0,61,212.7240397970271,121.64741777549894,0.0,31.5,0.0,0.0,7.875,112.82390398552332,0.0002415364536577,0
5,17,2.0,0.0034054487179487,14.499742,121.003548,0.0,118.5,0.0,61,298.95448040850215,172.12998420131206,0.0,22.200000000000003,0.0,0.0,11.1,99.92086504760908,0.0003400154420574,0
6,26,9.0,0.0052083333333333,14.501404,121.006592,53.0,170.4,0.0,61,626.6501632627886,356.9362075495024,53.0,51.900000000000006,0.0,0.0,5.7666666666666675,376.2150785056992,0.0007108016670796,0
7,28,2.0,0.0056089743589743,14.502,121.007607,53.0,192.6,0.3,60,735.9173258910694,423.2084753690189,0.0,22.19999999999999,-1.0,-0.5,11.099999999999994,127.79412158353044,0.0008367516957446,0
8,30,2.0,0.0060096153846153,14.502604,121.00872,53.0,205.6,0.3,60,855.7341792350321,490.370303829677,0.0,13.0,0.0,0.0,6.5,137.35640972057004,0.0009721260269521,0
9,33,3.0,0.0066105769230769,14.503163,121.009781,53.0,218.5,0.3,60,969.9528528731398,552.5283536805537,0.0,12.900000000000006,0.0,0.0,4.300000000000002,130.0365928306932,0.0011002861675875,0
10,35,2.0,0.0070112179487179,14.503967,121.011139,53.0,229.6,0.3,60,1116.143499422198,641.9291981881432,0.0,11.099999999999994,0.0,0.0,5.549999999999997,171.3600050653388,0.0012691734159411,0
11,43,8.0,0.008613782051282,14.506422,121.015564,61.0,279.7,0.0,60,1592.4980029463786,914.9131201614694,8.0,50.099999999999994,0.0,0.0,6.262499999999999,549.0298830636169,0.0018102806957825,0
12,50,7.0,0.0100160256410256,14.509169,121.020477,46.0,303.7,2.0,60,2121.379777608064,1220.3660055629905,-15.0,24.0,0.0,0.0,3.4285714285714284,610.7515446705174,0.002412218982186,0
13,58,8.0,0.0116185897435897,14.512482,121.026199,122.0,318.5,10.1,59,2737.3409889572317,1588.755306376563,76.0,14.800000000000011,-1.0,-0.125,1.8500000000000016,717.7183505896917,0.0031195805236248,0
14,67,9.0,0.0134214743589743,14.515869,121.031975,221.0,311.1,11.7,58,3359.10551405538,1965.37304312777,99.0,-7.399999999999977,-1.0,-0.1111111111111111,-0.8222222222222197,726.9340575063001,0.0038360247876172,0
15,73,6.0,0.0146233974358974,14.518619,121.036377,305.0,307.4,12.4,57,3832.956294507582,2271.1595137698955,84.0,-3.7000000000000455,-1.0,-0.1666666666666666,-0.6166666666666742,563.9519179993547,0.0043918387746577,0
16,81,8.0,0.0162259615384615,14.522049,121.041779,381.0,309.3,8.5,56,4414.442907557655,2652.558638970952,76.0,1.900000000000034,-1.0,-0.125,0.2375000000000042,695.4101633982511,0.0050772140401911,0
17,90,9.0,0.0180288461538461,14.525881,121.047508,434.0,314.8,3.6,55,5031.116671273538,3078.6581864258033,53.0,5.5,-1.0,-0.1111111111111111,0.6111111111111112,749.568860469216,0.0058159664827341,0
18,98,8.0,0.0196314102564102,14.529652,121.053291,465.0,331.5,2.3,56,5653.593441640587,3497.9748339864677,31.0,16.69999999999999,1.0,0.125,2.0874999999999986,750.5388985529657,0.006555674965531,0
19,105,7.0,0.0210336538461538,14.532957,121.05835,488.0,344.5,2.6,56,6198.130733285404,3865.474574158192,23.0,13.0,0.0,0.0,1.8571428571428572,656.948033628306,0.0072031431169733,0
