sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.498055,121.000504,0.0,11.1,0.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,20,20.0,0.0037188545927854,14.498188,121.00071,0.0,7.4,0.0,61,22.17675845862177,14.788945671181182,0.0,-3.6999999999999993,-14.0,-0.7,-0.1849999999999999,26.65560972472591,2.543526076918404e-05,0
2,25,5.0,0.0046485682409817,14.498322,121.000969,0.0,37.0,0.0,61,50.05917265001729,29.68908642232824,0.0,29.6,0.0,0.0,5.92,31.613970374514903,5.560187818027062e-05,0
3,27,2.0,0.0050204537002603,14.498497,121.001259,0.0,57.4,0.0,61,81.27883962641602,49.14822546303967,0.0,20.4,0.0,0.0,10.2,36.78757613858813,9.07052429809354e-05,0
4,30,3.0,0.0055782818891781,14.498741,121.001709,0.0,85.2,0.0,61,129.7231097025292,76.27982504014055,0.0,27.800000000000004,0.0,0.0,9.266666666666667,55.52450497963116,0.0001436877212592,0
5,31,1.0,0.0057642246188174,14.498904,121.002007,0.0,92.6,0.0,61,161.80395200305816,94.40462311807852,0.0,7.399999999999992,0.0,0.0,7.399999999999992,36.84682650015016,0.0001788476238174,0
6,32,1.0,0.0059501673484566,14.499043,121.002251,0.0,101.9,0.0,61,188.07146738760983,109.8607392704696,0.0,9.300000000000011,0.0,0.0,9.300000000000011,30.477432854887844,0.0002079297367476,0
7,33,1.0,0.0061361100780959,14.499184,121.002518,0.0,111.1,0.0,61,216.81500560711743,125.53924558349976,0.0,9.199999999999989,0.0,0.0,9.199999999999989,32.74150738049843,0.000239172270188,0
8,34,1.0,0.0063220528077352,14.499358,121.002815,0.0,118.5,0.0,59,248.7881237415471,144.88718954424533,0.0,7.400000000000006,-2.0,-2.0,7.400000000000006,37.37142562928257,0.0002748327546419,0
9,38,4.0,0.0070658237262923,14.499963,121.003914,0.0,151.9,0.0,59,367.0992400227631,212.16021308522295,0.0,33.400000000000006,0.0,0.0,8.350000000000001,136.0998823798584,0.0004047017028572,0
10,40,2.0,0.0074377091855708,14.500385,121.004662,0.0,166.7,0.0,59,447.6238083212566,259.0845369439939,0.0,14.799999999999985,0.0,0.0,7.399999999999992,93.19924211129744,0.0004936340908637,0
11,42,2.0,0.0078095946448493,14.500649,121.005104,0.0,175.9,0.7,60,495.206419319731,288.4400381257172,0.0,9.200000000000015,1.0,0.5,4.6000000000000085,55.90931842511342,0.000546983765032,0
12,44,2.0,0.0081814801041279,14.501221,121.006165,30.0,198.2,0.7,60,609.4260697752431,352.0436240189794,30.0,22.299999999999983,0.0,0.0,11.149999999999991,130.73460889538632,0.000671733073082,0
13,46,2.0,0.0085533655634064,14.501724,121.007065,30.0,203.7,0.7,60,706.3133553840007,407.9747493765596,0.0,5.5,0.0,0.0,2.75,111.87241303270582,0.0007784837356161,0
14,48,2.0,0.008925251022685,14.502279,121.008095,30.0,218.5,0.3,60,817.1952392864256,469.688018906158,0.0,14.800000000000011,0.0,0.0,7.400000000000006,126.89882733545984,0.0008995728721211,0
15,50,2.0,0.0092971364819635,14.502914,121.009239,30.0,237.1,0.7,60,940.349122001494,540.2968948545998,0.0,18.59999999999999,0.0,0.0,9.299999999999995,141.95947115350577,0.0010350331450143,0
16,52,2.0,0.009669021941242,14.503675,121.010597,30.0,250.0,0.7,60,1086.540055768808,624.9163509123397,0.0,12.900000000000006,0.0,0.0,6.450000000000003,168.91490426263877,0.0011962147755262,0
17,54,2.0,0.0100409074005206,14.504288,121.011703,38.0,263.0,0.7,60,1205.602422391009,693.0789350955199,8.0,13.0,0.0,0.0,6.5,137.19323353951407,0.0013271270190233,0
18,55,1.0,0.0102268501301599,14.504837,121.01265,0.0,0.0,0.7,60,1307.547895117116,754.1250341435548,-38.0,-263.0,0.0,0.0,-263.0,118.82557701165506,0.0014405125153054,0
19,58,3.0,0.0107846783190777,14.505478,121.01384,30.0,279.7,1.0,60,1435.6523547244635,825.4010805735602,30.0,279.7,0.0,0.0,93.23333333333332,146.5981226364806,0.0015803990726206,0
20,60,2.0,0.0111565637783562,14.506375,121.015465,23.0,296.3,1.3,60,1610.5842374804831,925.1430675427324,-7.0,16.600000000000023,0.0,0.0,8.300000000000011,201.36935944769584,0.0017725493262209,0
21,62,2.0,0.0115284492376348,14.506897,121.016441,30.0,301.9,5.2,60,1715.650741843955,983.1868994249692,7.0,5.599999999999966,0.0,0.0,2.799999999999983,120.03349879523805,0.0018870874431285,0
22,64,2.0,0.0119003346969133,14.508005,121.018402,53.0,303.7,9.8,60,1926.7515954699072,1106.391048323527,23.0,1.8000000000000114,0.0,0.0,0.9000000000000057,244.42353638456763,0.0021203207643795,0
23,73,9.0,0.0135738192636667,14.511246,121.024063,145.0,298.2,12.0,59,2536.1497779053275,1466.7743033604595,92.0,-5.5,-1.0,-0.1111111111111111,-0.6111111111111112,707.9849780620137,0.0027958927255404,0
24,79,6.0,0.0146894756415024,14.513545,121.028137,213.0,296.3,11.4,59,2974.7044890435454,1722.411792817377,68.0,-1.8999999999999773,0.0,0.0,-0.3166666666666629,507.6227414236638,0.0032802754477447,0
25,87,8.0,0.0161770174786165,14.51683,121.033676,312.0,298.2,11.4,58,3570.9537652045597,2087.6876313844787,99.0,1.8999999999999773,-1.0,-0.125,0.2374999999999971,699.2432135407926,0.0039475058604482,0
26,94,7.0,0.0174786165860914,14.519211,121.037796,389.0,298.2,13.0,58,4014.4486859088192,2352.443117420525,77.0,0.0,0.0,0.0,0.0,516.5109461043043,0.0044403698669359,0
