sequence_index,t_elapsed_sec,dt,t_norm,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,x_wrt0,y_wrt0,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep,route_progress,label
0,0,0.0,0.0,14.523635,121.004036,0,0.0,0.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,384,384.0,0.0665050225147211,14.523309,121.004372,0,31.5,0.0,135,36.16765826074002,-36.24959615622963,0.0,31.5,-2.0,-0.0052083333333333,0.08203125,51.206764451104874,4.7517485398478775e-05,0
2,391,7.0,0.0677173536543124,14.522157,121.005577,0,101.9,0.0,135,165.87650751396492,-164.34632858495675,0.0,70.4,0.0,0.0,10.05714285714286,182.29964014132727,0.0002166830357201,0
3,398,7.0,0.0689296847939037,14.520341,121.007469,69,166.7,0.7,134,369.536916263663,-366.27659428927024,69.0,64.79999999999998,-1.0,-0.1428571428571428,9.257142857142854,286.79852522906987,0.000482818669966,0
4,405,7.0,0.0701420159334949,14.517874,121.009972,69,216.7,0.7,134,638.9698126664103,-640.5948572253698,0.0,50.0,0.0,0.0,7.142857142857143,384.5056118096998,0.0008396219163857,0
5,414,9.0,0.0717007273986837,14.513489,121.014496,91,274.1,9.4,135,1125.958638466156,-1128.1852840495342,22.0,57.400000000000034,1.0,0.1111111111111111,6.377777777777782,689.1317345015004,0.0014791039747194,0
6,423,9.0,0.0732594388638725,14.509415,121.018669,206,275.9,16.9,134,1575.1725084287962,-1581.194040920847,115.0,1.7999999999999543,-1.0,-0.1111111111111111,0.1999999999999949,637.9733320393702,0.0020711134253213,0
7,429,6.0,0.074298579840665,14.506329,121.021729,305,268.5,17.6,136,1904.5801622965791,-1924.3420585216904,99.0,-7.399999999999977,2.0,0.3333333333333333,-1.2333333333333296,475.6676348869112,0.0025125107707219,0
8,437,8.0,0.075684101143055,14.502045,121.025627,450,261.1,16.3,138,2324.2066504564336,-2400.7017822417156,145.0,-7.399999999999977,2.0,0.25,-0.9249999999999972,634.8253847222059,0.0031015990732629,0
9,439,2.0,0.0760304814686525,14.501129,121.026436,480,255.6,14.3,139,2411.2980730697673,-2502.5564757358984,30.0,-5.500000000000028,1.0,0.5,-2.750000000000014,134.01192601442537,0.0032259558805299,0
