aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A20N,3f9c3e07,5,1778317411,2026-05-09 17:03:31.000 PHT,14.523693,121.003975,0,11.1,0.0,135,0,0
A20N,3f9c3e07,5,1778317426,2026-05-09 17:03:46.000 PHT,14.523491,121.004173,0,1.9,0.0,135,1,0
A20N,3f9c3e07,5,1778317674,2026-05-09 17:07:54.000 PHT,14.523239,121.004433,0,35.2,0.0,135,1,0
A20N,3f9c3e07,5,1778317682,2026-05-09 17:08:02.000 PHT,14.52211,121.005608,0,107.4,0.0,135,1,0
A20N,3f9c3e07,5,1778317688,2026-05-09 17:08:08.000 PHT,14.520388,121.007416,69,164.8,0.3,135,2,0
A20N,3f9c3e07,5,1778317697,2026-05-09 17:08:17.000 PHT,14.516968,121.010948,53,237.1,1.0,135,2,0
A20N,3f9c3e07,5,1778317703,2026-05-09 17:08:23.000 PHT,14.51387,121.014114,99,270.4,12.0,135,2,0
A20N,3f9c3e07,5,1778317711,2026-05-09 17:08:31.000 PHT,14.50982,121.018257,213,266.7,15.3,135,2,0
A20N,3f9c3e07,5,1778317713,2026-05-09 17:08:33.000 PHT,14.50882,121.019234,244,266.7,15.9,136,2,0
A20N,3f9c3e07,5,1778317716,2026-05-09 17:08:36.000 PHT,14.507819,121.020233,274,264.8,16.6,136,2,0
A20N,3f9c3e07,5,1778317718,2026-05-09 17:08:38.000 PHT,14.50676,121.021179,312,264.8,16.6,137,2,0
A20N,3f9c3e07,5,1778317720,2026-05-09 17:08:40.000 PHT,14.505798,121.022026,343,261.1,16.3,139,2,0
A20N,3f9c3e07,5,1778317722,2026-05-09 17:08:42.000 PHT,14.504653,121.02298,381,261.1,15.9,139,2,0
A20N,3f9c3e07,5,1778317724,2026-05-09 17:08:44.000 PHT,14.503349,121.024139,419,261.1,15.6,139,3,0
A20N,3f9c3e07,5,1778317727,2026-05-09 17:08:47.000 PHT,14.502419,121.02491,450,259.3,15.3,140,3,0
A20N,3f9c3e07,5,1778317729,2026-05-09 17:08:49.000 PHT,14.501302,121.025826,480,259.3,14.0,141,3,0
A20N,3f9c3e07,5,1778317731,2026-05-09 17:08:51.000 PHT,14.500045,121.026886,518,255.6,13.0,141,3,0
A20N,3f9c3e07,5,1778317733,2026-05-09 17:08:53.000 PHT,14.499021,121.027657,541,251.9,12.0,141,3,0
A20N,3f9c3e07,5,1778317735,2026-05-09 17:08:55.000 PHT,14.498182,121.028328,564,251.9,10.7,141,3,0
A20N,3f9c3e07,5,1778317737,2026-05-09 17:08:57.000 PHT,14.496964,121.02932,587,251.9,8.8,142,3,0
A20N,3f9c3e07,5,1778317739,2026-05-09 17:08:59.000 PHT,14.495995,121.030067,610,253.7,7.8,142,3,0
A20N,3f9c3e07,5,1778317741,2026-05-09 17:09:01.000 PHT,14.494784,121.031029,625,255.6,7.2,142,3,0
A20N,3f9c3e07,5,1778317744,2026-05-09 17:09:04.000 PHT,14.493759,121.03183,640,257.4,6.8,142,3,1
A20N,3f9c3e07,5,1778317746,2026-05-09 17:09:06.000 PHT,14.492706,121.032639,655,261.1,6.8,143,3,1
A20N,3f9c3e07,5,1778317752,2026-05-09 17:09:12.000 PHT,14.488953,121.035522,709,266.7,8.5,142,3,1
A20N,3f9c3e07,5,1778317755,2026-05-09 17:09:15.000 PHT,14.488083,121.036186,724,268.5,9.1,143,3,1
A20N,3f9c3e07,5,1778317757,2026-05-09 17:09:17.000 PHT,14.486917,121.037148,747,268.5,9.8,142,3,1
A20N,3f9c3e07,5,1778317759,2026-05-09 17:09:19.000 PHT,14.485474,121.038269,777,268.5,10.1,142,3,1
A20N,3f9c3e07,5,1778317761,2026-05-09 17:09:21.000 PHT,14.484329,121.039124,792,268.5,10.1,142,3,1
A20N,3f9c3e07,5,1778317763,2026-05-09 17:09:23.000 PHT,14.483231,121.040024,815,270.4,9.8,142,3,1
A20N,3f9c3e07,5,1778317765,2026-05-09 17:09:25.000 PHT,14.482215,121.04081,838,270.4,9.4,142,3,1
A20N,3f9c3e07,5,1778317774,2026-05-09 17:09:34.000 PHT,14.477646,121.044426,914,272.2,8.5,142,3,0
A20N,3f9c3e07,5,1778317780,2026-05-09 17:09:40.000 PHT,14.473975,121.047318,968,275.9,8.8,142,3,0
A20N,3f9c3e07,5,1778317787,2026-05-09 17:09:47.000 PHT,14.470298,121.050301,1021,283.4,6.2,141,3,0
A20N,3f9c3e07,5,1778317796,2026-05-09 17:09:56.000 PHT,14.465149,121.054558,1074,301.9,5.2,140,3,0
A20N,3f9c3e07,5,1778317805,2026-05-09 17:10:05.000 PHT,14.459497,121.059265,1128,324.1,6.2,140,3,0
A20N,3f9c3e07,5,1778317811,2026-05-09 17:10:11.000 PHT,14.455773,121.062447,1166,338.9,7.2,140,3,0
A20N,3f9c3e07,5,1778317820,2026-05-09 17:10:20.000 PHT,14.449535,121.067841,1234,357.4,6.5,140,3,0
