aircraft_type,flight_id,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3fa1e1dd,1778445476,2026-05-11 04:37:56.000 PHT,14.523479,121.004196,0,1.9,0.0,135,1,0
A320,3fa1e1dd,1778445513,2026-05-11 04:38:33.000 PHT,14.523205,121.004486,0,50.0,0.0,135,1,0
A320,3fa1e1dd,1778445521,2026-05-11 04:38:41.000 PHT,14.522026,121.005699,0,114.8,0.0,135,1,0
A320,3fa1e1dd,1778445528,2026-05-11 04:38:48.000 PHT,14.519922,121.007896,53,175.9,0.3,134,2,0
A320,3fa1e1dd,1778445535,2026-05-11 04:38:55.000 PHT,14.517408,121.010498,53,235.2,0.3,134,2,0
A320,3fa1e1dd,1778445542,2026-05-11 04:39:02.000 PHT,14.514175,121.013786,46,270.4,2.3,134,2,0
A320,3fa1e1dd,1778445550,2026-05-11 04:39:10.000 PHT,14.50996,121.018112,145,275.9,15.3,135,2,0
A320,3fa1e1dd,1778445557,2026-05-11 04:39:17.000 PHT,14.506851,121.021271,236,272.2,14.6,136,2,0
A320,3fa1e1dd,1778445566,2026-05-11 04:39:26.000 PHT,14.502411,121.025391,366,264.8,14.6,138,2,0
A320,3fa1e1dd,1778445568,2026-05-11 04:39:28.000 PHT,14.501627,121.026062,389,261.1,13.0,139,2,0
A320,3fa1e1dd,1778445570,2026-05-11 04:39:30.000 PHT,14.50058,121.027,411,257.4,11.1,139,3,0
A320,3fa1e1dd,1778445572,2026-05-11 04:39:32.000 PHT,14.499346,121.028038,442,259.3,9.1,140,3,0
A320,3fa1e1dd,1778445574,2026-05-11 04:39:34.000 PHT,14.498276,121.028954,457,257.4,7.2,140,3,0
A320,3fa1e1dd,1778445576,2026-05-11 04:39:36.000 PHT,14.497559,121.029556,472,261.1,5.9,140,3,0
A320,3fa1e1dd,1778445578,2026-05-11 04:39:38.000 PHT,14.496321,121.030594,480,263.0,5.2,140,3,0
A320,3fa1e1dd,1778445580,2026-05-11 04:39:40.000 PHT,14.49511,121.031609,495,266.7,5.2,140,3,0
A320,3fa1e1dd,1778445582,2026-05-11 04:39:42.000 PHT,14.493805,121.032684,511,270.4,4.6,141,3,1
A320,3fa1e1dd,1778445585,2026-05-11 04:39:45.000 PHT,14.492706,121.03363,518,272.2,3.6,141,3,1
A320,3fa1e1dd,1778445587,2026-05-11 04:39:47.000 PHT,14.491572,121.034546,526,277.8,3.6,140,3,1
A320,3fa1e1dd,1778445589,2026-05-11 04:39:49.000 PHT,14.490509,121.035431,533,281.5,3.3,140,3,1
A320,3fa1e1dd,1778445591,2026-05-11 04:39:51.000 PHT,14.489198,121.036522,549,285.2,3.3,141,3,1
A320,3fa1e1dd,1778445593,2026-05-11 04:39:53.000 PHT,14.488081,121.037437,549,290.8,1.6,141,3,1
A320,3fa1e1dd,1778445595,2026-05-11 04:39:55.000 PHT,14.486963,121.038399,556,298.2,1.3,140,3,1
A320,3fa1e1dd,1778445598,2026-05-11 04:39:58.000 PHT,14.48566,121.039459,556,307.4,1.6,140,3,1
A320,3fa1e1dd,1778445600,2026-05-11 04:40:00.000 PHT,14.484123,121.040764,564,313.0,2.6,140,3,1
A320,3fa1e1dd,1778445606,2026-05-11 04:40:06.000 PHT,14.48012,121.044136,587,329.7,3.9,140,3,1
A320,3fa1e1dd,1778445614,2026-05-11 04:40:14.000 PHT,14.474762,121.048645,632,344.5,8.8,140,3,0
A320,3fa1e1dd,1778445621,2026-05-11 04:40:21.000 PHT,14.470367,121.052383,701,344.5,10.7,140,3,0
