aircraft_type,flight_id,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3fa5cd50,1778531817,2026-05-12 04:36:57.000 PHT,14.532579,120.994919,389,0.0,17.9,282,3,0
A320,3fa5cd50,1778531823,2026-05-12 04:37:03.000 PHT,14.535431,120.991722,488,74.1,17.6,316,3,0
A320,3fa5cd50,1778531825,2026-05-12 04:37:05.000 PHT,14.536267,120.990974,526,296.3,17.6,314,3,0
A320,3fa5cd50,1778531827,2026-05-12 04:37:07.000 PHT,14.537564,120.989532,556,296.3,17.6,313,3,0
A320,3fa5cd50,1778531830,2026-05-12 04:37:10.000 PHT,14.538727,120.988304,587,288.9,14.3,313,3,0
A320,3fa5cd50,1778531832,2026-05-12 04:37:12.000 PHT,14.540116,120.9869,617,285.2,12.4,314,3,1
A320,3fa5cd50,1778531834,2026-05-12 04:37:14.000 PHT,14.540962,120.986038,648,285.2,12.4,314,3,1
A320,3fa5cd50,1778531837,2026-05-12 04:37:17.000 PHT,14.542314,120.984642,671,285.2,12.4,314,3,1
A320,3fa5cd50,1778531839,2026-05-12 04:37:19.000 PHT,14.543555,120.983482,678,285.2,12.4,316,3,1
A320,3fa5cd50,1778531841,2026-05-12 04:37:21.000 PHT,14.544509,120.982529,693,292.6,6.2,316,3,1
A320,3fa5cd50,1778531843,2026-05-12 04:37:23.000 PHT,14.545486,120.981445,709,292.6,6.2,314,3,1
A320,3fa5cd50,1778531845,2026-05-12 04:37:25.000 PHT,14.546572,120.980278,716,300.0,5.5,313,3,1
A320,3fa5cd50,1778531848,2026-05-12 04:37:28.000 PHT,14.547898,120.978851,732,300.0,5.5,313,3,1
A320,3fa5cd50,1778531851,2026-05-12 04:37:31.000 PHT,14.54939,120.977455,747,307.4,5.5,315,3,1
A320,3fa5cd50,1778531853,2026-05-12 04:37:33.000 PHT,14.550865,120.975922,762,314.8,5.5,315,3,1
A320,3fa5cd50,1778531855,2026-05-12 04:37:35.000 PHT,14.552141,120.974594,770,314.8,5.5,315,3,1
A320,3fa5cd50,1778531857,2026-05-12 04:37:37.000 PHT,14.553229,120.973511,770,329.7,2.6,315,3,1
A320,3fa5cd50,1778531859,2026-05-12 04:37:39.000 PHT,14.55459,120.972084,777,329.7,2.6,314,3,1
A320,3fa5cd50,1778531861,2026-05-12 04:37:41.000 PHT,14.556451,120.970238,785,340.8,2.6,315,3,1
A320,3fa5cd50,1778531863,2026-05-12 04:37:43.000 PHT,14.55736,120.969292,800,340.8,2.6,315,3,1
A320,3fa5cd50,1778531866,2026-05-12 04:37:46.000 PHT,14.558617,120.967934,808,351.9,2.6,314,3,1
A320,3fa5cd50,1778531868,2026-05-12 04:37:48.000 PHT,14.560108,120.966377,815,351.9,2.6,314,3,1
A320,3fa5cd50,1778531871,2026-05-12 04:37:51.000 PHT,14.561691,120.964836,823,359.3,2.6,315,3,1
A320,3fa5cd50,1778531873,2026-05-12 04:37:53.000 PHT,14.56325,120.963249,838,370.4,2.6,315,3,1
A320,3fa5cd50,1778531875,2026-05-12 04:37:55.000 PHT,14.564906,120.961594,846,370.4,2.6,315,3,1
A320,3fa5cd50,1778531878,2026-05-12 04:37:58.000 PHT,14.56641,120.960007,861,381.5,2.6,314,3,1
A320,3fa5cd50,1778531881,2026-05-12 04:38:01.000 PHT,14.56845,120.957924,876,392.6,2.6,315,3,1
A320,3fa5cd50,1778531883,2026-05-12 04:38:03.000 PHT,14.570211,120.956223,884,392.6,2.6,316,3,1
A320,3fa5cd50,1778531886,2026-05-12 04:38:06.000 PHT,14.571794,120.954704,884,407.4,1.6,316,3,1
A320,3fa5cd50,1778531888,2026-05-12 04:38:08.000 PHT,14.573945,120.952568,892,407.4,3.3,316,3,1
A320,3fa5cd50,1778531890,2026-05-12 04:38:10.000 PHT,14.575916,120.950554,899,422.3,3.3,315,3,1
A320,3fa5cd50,1778531893,2026-05-12 04:38:13.000 PHT,14.577662,120.948807,914,437.1,6.5,315,3,1
A320,3fa5cd50,1778531895,2026-05-12 04:38:15.000 PHT,14.579469,120.947006,930,437.1,6.5,315,3,1
A320,3fa5cd50,1778531897,2026-05-12 04:38:17.000 PHT,14.581338,120.945198,945,448.2,6.8,316,3,1
A320,3fa5cd50,1778531901,2026-05-12 04:38:21.000 PHT,14.583959,120.942703,960,459.3,7.2,316,3,1
A320,3fa5cd50,1778531903,2026-05-12 04:38:23.000 PHT,14.585783,120.940804,983,459.3,7.2,315,3,1
A320,3fa5cd50,1778531906,2026-05-12 04:38:26.000 PHT,14.587605,120.938957,998,470.4,7.8,315,3,1
A320,3fa5cd50,1778531908,2026-05-12 04:38:28.000 PHT,14.589967,120.936592,1013,470.4,7.8,315,3,1
A320,3fa5cd50,1778531916,2026-05-12 04:38:36.000 PHT,14.596502,120.930107,1082,485.2,10.1,316,3,1
A320,3fa5cd50,1778531923,2026-05-12 04:38:43.000 PHT,14.603013,120.923523,1181,496.3,12.7,315,3,0
A320,3fa5cd50,1778531930,2026-05-12 04:38:50.000 PHT,14.60977,120.916824,1280,500.0,14.0,316,3,0
A320,3fa5cd50,1778531936,2026-05-12 04:38:56.000 PHT,14.615177,120.910904,1372,507.4,11.7,312,3,0
A320,3fa5cd50,1778531939,2026-05-12 04:38:59.000 PHT,14.616969,120.908371,1402,507.4,11.7,309,3,0
A320,3fa5cd50,1778531941,2026-05-12 04:39:01.000 PHT,14.618894,120.905403,1417,511.2,10.1,305,3,1
A320,3fa5cd50,1778531944,2026-05-12 04:39:04.000 PHT,14.62037,120.902779,1455,511.2,10.1,303,3,1
A320,3fa5cd50,1778531946,2026-05-12 04:39:06.000 PHT,14.621653,120.899933,1471,511.2,10.1,299,3,1
A320,3fa5cd50,1778531949,2026-05-12 04:39:09.000 PHT,14.622796,120.896568,1494,511.2,7.2,293,3,1
