aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9e55bf,3,1778356968,2026-05-10 04:02:48.000 PHT,14.510078,121.017883,0,13.0,0.0,81,0,0
A320,3f9e55bf,3,1778356986,2026-05-10 04:03:06.000 PHT,14.510286,121.017899,0,5.6,0.0,337,1,0
A320,3f9e55bf,3,1778357115,2026-05-10 04:05:15.000 PHT,14.510605,121.017532,0,35.2,0.0,317,1,0
A320,3f9e55bf,3,1778357122,2026-05-10 04:05:22.000 PHT,14.511726,121.01638,0,103.7,0.0,315,1,0
A320,3f9e55bf,3,1778357129,2026-05-10 04:05:29.000 PHT,14.513752,121.014282,0,166.7,0.0,315,1,0
A320,3f9e55bf,3,1778357142,2026-05-10 04:05:42.000 PHT,14.5196,121.008247,0,277.8,0.0,315,1,0
A320,3f9e55bf,3,1778357149,2026-05-10 04:05:49.000 PHT,14.522716,121.005058,76,303.7,6.5,315,2,0
A320,3f9e55bf,3,1778357156,2026-05-10 04:05:56.000 PHT,14.526352,121.001335,160,303.7,15.3,315,2,0
A320,3f9e55bf,3,1778357164,2026-05-10 04:06:04.000 PHT,14.531327,120.996384,305,290.8,15.9,315,2,0
A320,3f9e55bf,3,1778357171,2026-05-10 04:06:11.000 PHT,14.533997,120.993713,373,290.8,13.7,316,2,0
A320,3f9e55bf,3,1778357179,2026-05-10 04:06:19.000 PHT,14.538962,120.98877,442,298.2,6.8,316,2,0
A320,3f9e55bf,3,1778357186,2026-05-10 04:06:26.000 PHT,14.542648,120.985092,472,316.7,3.6,315,3,0
A320,3f9e55bf,3,1778357195,2026-05-10 04:06:35.000 PHT,14.547482,120.980141,511,338.9,6.2,315,3,0
A320,3f9e55bf,3,1778357201,2026-05-10 04:06:41.000 PHT,14.551758,120.975761,549,351.9,6.2,314,3,0
A320,3f9e55bf,3,1778357210,2026-05-10 04:06:50.000 PHT,14.557723,120.969589,602,374.1,6.2,314,3,0
A320,3f9e55bf,3,1778357217,2026-05-10 04:06:57.000 PHT,14.562517,120.96463,648,390.8,5.5,314,3,0
A320,3f9e55bf,3,1778357224,2026-05-10 04:07:04.000 PHT,14.567359,120.959618,655,414.8,1.3,315,3,1
A320,3f9e55bf,3,1778357228,2026-05-10 04:07:08.000 PHT,14.570618,120.956207,671,429.7,4.2,314,3,1
A320,3f9e55bf,3,1778357232,2026-05-10 04:07:12.000 PHT,14.574016,120.952728,701,442.6,7.5,315,3,1
A320,3f9e55bf,3,1778357234,2026-05-10 04:07:14.000 PHT,14.575692,120.950989,716,446.3,8.1,315,3,1
A320,3f9e55bf,3,1778357237,2026-05-10 04:07:17.000 PHT,14.577759,120.948868,747,453.7,9.4,314,3,1
A320,3f9e55bf,3,1778357239,2026-05-10 04:07:19.000 PHT,14.579788,120.946754,770,459.3,11.1,315,3,1
A320,3f9e55bf,3,1778357241,2026-05-10 04:07:21.000 PHT,14.581092,120.94545,792,459.3,11.4,315,3,1
A320,3f9e55bf,3,1778357243,2026-05-10 04:07:23.000 PHT,14.582908,120.943573,823,464.9,12.4,314,3,1
A320,3f9e55bf,3,1778357246,2026-05-10 04:07:26.000 PHT,14.584583,120.941833,846,464.9,13.0,315,3,1
A320,3f9e55bf,3,1778357248,2026-05-10 04:07:28.000 PHT,14.586818,120.939575,876,468.6,13.7,315,3,1
A320,3f9e55bf,3,1778357250,2026-05-10 04:07:30.000 PHT,14.58868,120.937645,907,470.4,14.0,315,3,1
A320,3f9e55bf,3,1778357253,2026-05-10 04:07:33.000 PHT,14.590942,120.935272,945,472.3,14.6,314,3,1
