aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A333,3f932ba1,2,1778131281,2026-05-07 13:21:21.000 PHT,14.498194,121.000771,0,0.0,0.0,64,0,0
A333,3f932ba1,2,1778131285,2026-05-07 13:21:25.000 PHT,14.498337,121.001015,0,24.1,0.0,61,1,0
A333,3f932ba1,2,1778131289,2026-05-07 13:21:29.000 PHT,14.498577,121.00145,0,50.0,0.0,59,1,0
A333,3f932ba1,2,1778131292,2026-05-07 13:21:32.000 PHT,14.498795,121.001831,0,64.8,0.0,61,1,0
A333,3f932ba1,2,1778131296,2026-05-07 13:21:36.000 PHT,14.499288,121.002747,0,96.3,0.0,61,1,0
A333,3f932ba1,2,1778131298,2026-05-07 13:21:38.000 PHT,14.499742,121.003548,0,118.5,0.0,61,1,0
A333,3f932ba1,2,1778131307,2026-05-07 13:21:47.000 PHT,14.501404,121.006592,53,170.4,0.0,61,2,0
A333,3f932ba1,2,1778131309,2026-05-07 13:21:49.000 PHT,14.502,121.007607,53,192.6,0.3,60,2,0
A333,3f932ba1,2,1778131311,2026-05-07 13:21:51.000 PHT,14.502604,121.00872,53,205.6,0.3,60,2,0
A333,3f932ba1,2,1778131314,2026-05-07 13:21:54.000 PHT,14.503163,121.009781,53,218.5,0.3,60,2,0
A333,3f932ba1,2,1778131316,2026-05-07 13:21:56.000 PHT,14.503967,121.011139,53,229.6,0.3,60,2,0
A333,3f932ba1,2,1778131324,2026-05-07 13:22:04.000 PHT,14.506422,121.015564,61,279.7,0.0,60,2,0
A333,3f932ba1,2,1778131331,2026-05-07 13:22:11.000 PHT,14.509169,121.020477,46,303.7,2.0,60,2,0
A333,3f932ba1,2,1778131339,2026-05-07 13:22:19.000 PHT,14.512482,121.026199,122,318.5,10.1,59,2,0
A333,3f932ba1,2,1778131348,2026-05-07 13:22:28.000 PHT,14.515869,121.031975,221,311.1,11.7,58,2,0
A333,3f932ba1,2,1778131354,2026-05-07 13:22:34.000 PHT,14.518619,121.036377,305,307.4,12.4,57,2,0
A333,3f932ba1,2,1778131362,2026-05-07 13:22:42.000 PHT,14.522049,121.041779,381,309.3,8.5,56,2,0
A333,3f932ba1,2,1778131371,2026-05-07 13:22:51.000 PHT,14.525881,121.047508,434,314.8,3.6,55,2,0
A333,3f932ba1,2,1778131379,2026-05-07 13:22:59.000 PHT,14.529652,121.053291,465,331.5,2.3,56,2,0
