aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9f3f89,3,1778382962,2026-05-10 11:16:02.000 PHT,14.510124,121.017853,0,16.7,0.0,59,0,0
A320,3f9f3f89,3,1778382974,2026-05-10 11:16:14.000 PHT,14.510342,121.017876,0,9.3,0.0,348,1,0
A320,3f9f3f89,3,1778382989,2026-05-10 11:16:29.000 PHT,14.510553,121.017593,0,35.2,0.0,315,1,0
A320,3f9f3f89,3,1778382992,2026-05-10 11:16:32.000 PHT,14.510811,121.017326,0,68.5,0.0,315,1,0
A320,3f9f3f89,3,1778382994,2026-05-10 11:16:34.000 PHT,14.51117,121.016968,0,88.9,0.0,315,1,0
A320,3f9f3f89,3,1778382997,2026-05-10 11:16:37.000 PHT,14.511647,121.016479,0,111.1,0.0,315,1,0
A320,3f9f3f89,3,1778382999,2026-05-10 11:16:39.000 PHT,14.512264,121.015823,0,140.8,0.0,315,1,0
A320,3f9f3f89,3,1778383000,2026-05-10 11:16:40.000 PHT,14.512579,121.015503,0,151.9,0.0,315,1,0
A320,3f9f3f89,3,1778383002,2026-05-10 11:16:42.000 PHT,14.512985,121.015076,0,170.4,0.0,315,1,0
A320,3f9f3f89,3,1778383003,2026-05-10 11:16:43.000 PHT,14.513306,121.014748,0,181.5,0.0,315,1,0
A320,3f9f3f89,3,1778383005,2026-05-10 11:16:45.000 PHT,14.513964,121.014069,46,192.6,0.3,315,2,0
A320,3f9f3f89,3,1778383007,2026-05-10 11:16:47.000 PHT,14.514755,121.013245,46,222.2,0.0,314,2,0
A320,3f9f3f89,3,1778383016,2026-05-10 11:16:56.000 PHT,14.518479,121.009392,23,287.1,1.6,315,2,0
A320,3f9f3f89,3,1778383022,2026-05-10 11:17:02.000 PHT,14.522461,121.005409,99,301.9,15.9,315,2,0
