aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A20N,3f9c05dd,2,1778312393,2026-05-09 15:39:53.000 PHT,14.524123,121.003525,0,14.8,0.0,135,0,0
A20N,3f9c05dd,2,1778312401,2026-05-09 15:40:01.000 PHT,14.523903,121.003754,0,13.0,0.0,135,1,0
A20N,3f9c05dd,2,1778312409,2026-05-09 15:40:09.000 PHT,14.523705,121.00396,0,14.8,0.0,135,1,0
A20N,3f9c05dd,2,1778312830,2026-05-09 15:47:10.000 PHT,14.523468,121.004211,0,22.2,0.0,135,1,0
A20N,3f9c05dd,2,1778312837,2026-05-09 15:47:17.000 PHT,14.522622,121.005081,0,92.6,0.0,135,1,0
A20N,3f9c05dd,2,1778312844,2026-05-09 15:47:24.000 PHT,14.520853,121.006889,69,168.5,0.3,134,2,0
A20N,3f9c05dd,2,1778312851,2026-05-09 15:47:31.000 PHT,14.518526,121.009346,69,218.5,0.7,134,2,0
A20N,3f9c05dd,2,1778312853,2026-05-09 15:47:33.000 PHT,14.517471,121.010376,61,231.5,0.7,135,2,0
A20N,3f9c05dd,2,1778312856,2026-05-09 15:47:36.000 PHT,14.516617,121.011269,53,253.7,1.3,135,2,0
A20N,3f9c05dd,2,1778312858,2026-05-09 15:47:38.000 PHT,14.515779,121.012138,61,263.0,5.5,134,2,0
A20N,3f9c05dd,2,1778312860,2026-05-09 15:47:40.000 PHT,14.514568,121.013443,84,266.7,10.1,134,2,0
A20N,3f9c05dd,2,1778312869,2026-05-09 15:47:49.000 PHT,14.510332,121.017677,198,263.0,15.0,135,2,0
A20N,3f9c05dd,2,1778312875,2026-05-09 15:47:55.000 PHT,14.5074,121.020668,297,259.3,16.3,135,2,0
A20N,3f9c05dd,2,1778312877,2026-05-09 15:47:57.000 PHT,14.506439,121.021652,328,259.3,15.9,137,2,0
A20N,3f9c05dd,2,1778312879,2026-05-09 15:47:59.000 PHT,14.505398,121.022598,358,259.3,15.9,137,2,0
A20N,3f9c05dd,2,1778312882,2026-05-09 15:48:02.000 PHT,14.504242,121.023636,396,255.6,15.9,138,2,0
A20N,3f9c05dd,2,1778312884,2026-05-09 15:48:04.000 PHT,14.503281,121.02449,427,255.6,15.6,139,2,0
A20N,3f9c05dd,2,1778312886,2026-05-09 15:48:06.000 PHT,14.502139,121.02549,465,253.7,15.0,139,3,0
A20N,3f9c05dd,2,1778312888,2026-05-09 15:48:08.000 PHT,14.501083,121.026382,495,253.7,14.0,140,3,0
A20N,3f9c05dd,2,1778312890,2026-05-09 15:48:10.000 PHT,14.499939,121.027382,526,251.9,13.0,140,3,0
A20N,3f9c05dd,2,1778312892,2026-05-09 15:48:12.000 PHT,14.498932,121.028229,556,250.0,12.0,140,3,0
A20N,3f9c05dd,2,1778312894,2026-05-09 15:48:14.000 PHT,14.49795,121.029053,579,250.0,11.1,141,3,0
A20N,3f9c05dd,2,1778312897,2026-05-09 15:48:17.000 PHT,14.496918,121.029892,602,250.0,10.1,141,3,0
A20N,3f9c05dd,2,1778312899,2026-05-09 15:48:19.000 PHT,14.495948,121.030693,617,251.9,9.4,141,3,0
A20N,3f9c05dd,2,1778312901,2026-05-09 15:48:21.000 PHT,14.494766,121.031693,640,253.7,8.8,141,3,0
A20N,3f9c05dd,2,1778312903,2026-05-09 15:48:23.000 PHT,14.493759,121.032494,663,255.6,8.5,141,3,0
A20N,3f9c05dd,2,1778312911,2026-05-09 15:48:31.000 PHT,14.48943,121.036041,739,263.0,8.5,141,3,0
A20N,3f9c05dd,2,1778312918,2026-05-09 15:48:38.000 PHT,14.48616,121.038795,792,266.7,9.4,140,3,0
A20N,3f9c05dd,2,1778312926,2026-05-09 15:48:46.000 PHT,14.48204,121.042252,876,268.5,10.4,141,3,0
A20N,3f9c05dd,2,1778312934,2026-05-09 15:48:54.000 PHT,14.47742,121.046059,968,270.4,9.8,141,3,0
