aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A20N,3f9f5760,4,1778386447,2026-05-10 12:14:07.000 PHT,14.510135,121.018105,0,16.7,0.0,236,0,0
A20N,3f9f5760,4,1778386453,2026-05-10 12:14:13.000 PHT,14.510193,121.017883,0,13.0,0.0,284,1,0
A20N,3f9f5760,4,1778386467,2026-05-10 12:14:27.000 PHT,14.510414,121.017715,0,27.8,0.0,317,1,0
A20N,3f9f5760,4,1778386470,2026-05-10 12:14:30.000 PHT,14.510696,121.017426,0,63.0,0.0,315,1,0
A20N,3f9f5760,4,1778386472,2026-05-10 12:14:32.000 PHT,14.510984,121.017128,0,87.0,0.0,315,1,0
A20N,3f9f5760,4,1778386474,2026-05-10 12:14:34.000 PHT,14.511349,121.016747,0,113.0,0.0,315,1,0
A20N,3f9f5760,4,1778386475,2026-05-10 12:14:35.000 PHT,14.511681,121.016403,0,125.9,0.0,315,1,0
A20N,3f9f5760,4,1778386477,2026-05-10 12:14:37.000 PHT,14.512043,121.016045,0,148.2,0.0,315,1,0
A20N,3f9f5760,4,1778386478,2026-05-10 12:14:38.000 PHT,14.512482,121.015587,0,159.3,0.0,315,1,0
A20N,3f9f5760,4,1778386479,2026-05-10 12:14:39.000 PHT,14.512791,121.015259,0,174.1,0.0,315,1,0
A20N,3f9f5760,4,1778386482,2026-05-10 12:14:42.000 PHT,14.513638,121.014404,53,207.4,0.0,314,2,0
A20N,3f9f5760,4,1778386484,2026-05-10 12:14:44.000 PHT,14.514313,121.013695,53,218.5,0.3,315,2,0
A20N,3f9f5760,4,1778386486,2026-05-10 12:14:46.000 PHT,14.515407,121.012573,46,250.0,0.0,314,2,0
A20N,3f9f5760,4,1778386488,2026-05-10 12:14:48.000 PHT,14.516292,121.011658,46,270.4,0.7,314,2,0
A20N,3f9f5760,4,1778386496,2026-05-10 12:14:56.000 PHT,14.520447,121.007301,99,300.0,15.0,314,2,0
A20N,3f9f5760,4,1778386503,2026-05-10 12:15:03.000 PHT,14.523973,121.003609,198,309.3,16.3,314,2,0
A20N,3f9f5760,4,1778386511,2026-05-10 12:15:11.000 PHT,14.528907,120.99855,351,314.8,19.8,315,2,0
A20N,3f9f5760,4,1778386518,2026-05-10 12:15:18.000 PHT,14.532398,120.994987,472,313.0,19.8,314,2,0
A20N,3f9f5760,4,1778386526,2026-05-10 12:15:26.000 PHT,14.537247,120.989922,632,303.7,15.3,314,2,0
