aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9b6726,3,1778296774,2026-05-09 11:19:34.000 PHT,14.497972,121.000313,0,11.1,0.0,109,0,0
A320,3f9b6726,3,1778296783,2026-05-09 11:19:43.000 PHT,14.498085,121.000542,0,9.3,0.0,64,1,0
A320,3f9b6726,3,1778296861,2026-05-09 11:21:01.000 PHT,14.498234,121.000793,0,25.9,0.0,61,1,0
A320,3f9b6726,3,1778296868,2026-05-09 11:21:08.000 PHT,14.498857,121.001938,0,90.7,0.0,59,1,0
A320,3f9b6726,3,1778296873,2026-05-09 11:21:13.000 PHT,14.49955,121.003181,0,133.3,0.0,59,1,0
A320,3f9b6726,3,1778296874,2026-05-09 11:21:14.000 PHT,14.499836,121.0037,0,148.2,0.0,59,1,0
A320,3f9b6726,3,1778296877,2026-05-09 11:21:17.000 PHT,14.500219,121.004372,0,166.7,0.0,59,1,0
A320,3f9b6726,3,1778296878,2026-05-09 11:21:18.000 PHT,14.500763,121.005356,0,181.5,0.0,59,1,0
A320,3f9b6726,3,1778296881,2026-05-09 11:21:21.000 PHT,14.501452,121.006584,0,203.7,0.0,59,1,0
A320,3f9b6726,3,1778296884,2026-05-09 11:21:24.000 PHT,14.502163,121.007874,0,213.0,0.0,59,1,0
A320,3f9b6726,3,1778296886,2026-05-09 11:21:26.000 PHT,14.502768,121.00898,0,231.5,0.0,61,1,0
A320,3f9b6726,3,1778296888,2026-05-09 11:21:28.000 PHT,14.50351,121.010307,0,250.0,0.0,59,1,0
A320,3f9b6726,3,1778296890,2026-05-09 11:21:30.000 PHT,14.504162,121.011482,0,259.3,0.0,59,1,0
A320,3f9b6726,3,1778296893,2026-05-09 11:21:33.000 PHT,14.504986,121.012947,0,268.5,0.0,59,1,0
A320,3f9b6726,3,1778296896,2026-05-09 11:21:36.000 PHT,14.506302,121.015312,0,296.3,0.0,59,1,0
A320,3f9b6726,3,1778296899,2026-05-09 11:21:39.000 PHT,14.506795,121.016235,30,307.4,1.0,59,2,0
A320,3f9b6726,3,1778296901,2026-05-09 11:21:41.000 PHT,14.50795,121.018196,53,313.0,6.2,59,2,0
A320,3f9b6726,3,1778296905,2026-05-09 11:21:45.000 PHT,14.509689,121.021271,99,309.3,12.0,60,2,0
A320,3f9b6726,3,1778296907,2026-05-09 11:21:47.000 PHT,14.510422,121.022644,122,309.3,13.7,60,2,0
A320,3f9b6726,3,1778296909,2026-05-09 11:21:49.000 PHT,14.5112,121.024063,145,303.7,13.3,60,2,0
A320,3f9b6726,3,1778296912,2026-05-09 11:21:52.000 PHT,14.512055,121.025581,175,303.7,14.0,60,2,0
A320,3f9b6726,3,1778296914,2026-05-09 11:21:54.000 PHT,14.512893,121.027077,198,305.6,14.6,60,2,0
A320,3f9b6726,3,1778296922,2026-05-09 11:22:02.000 PHT,14.515919,121.032669,305,301.9,12.7,60,2,0
A320,3f9b6726,3,1778296931,2026-05-09 11:22:11.000 PHT,14.519577,121.039032,381,314.8,6.8,59,3,0
A320,3f9b6726,3,1778296940,2026-05-09 11:22:20.000 PHT,14.523088,121.045242,427,331.5,5.5,59,3,0
A320,3f9b6726,3,1778296949,2026-05-09 11:22:29.000 PHT,14.526993,121.052238,472,350.0,5.2,60,3,0
A320,3f9b6726,3,1778296955,2026-05-09 11:22:35.000 PHT,14.529831,121.057358,503,370.4,4.9,60,3,0
A320,3f9b6726,3,1778296964,2026-05-09 11:22:44.000 PHT,14.534028,121.064857,541,390.8,3.3,59,3,0
