aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9ba395,3,1778300377,2026-05-09 12:19:37.000 PHT,14.498171,121.000687,0,14.8,0.0,67,0,0
A320,3f9ba395,3,1778300385,2026-05-09 12:19:45.000 PHT,14.498291,121.000923,0,13.0,0.0,61,1,0
A320,3f9ba395,3,1778300392,2026-05-09 12:19:52.000 PHT,14.49844,121.00119,0,24.1,0.0,61,1,0
A320,3f9ba395,3,1778300395,2026-05-09 12:19:55.000 PHT,14.498659,121.001572,0,59.3,0.0,61,1,0
A320,3f9ba395,3,1778300398,2026-05-09 12:19:58.000 PHT,14.498943,121.002106,0,87.0,0.0,61,1,0
A320,3f9ba395,3,1778300402,2026-05-09 12:20:02.000 PHT,14.499475,121.003044,0,120.4,0.0,61,1,0
A320,3f9ba395,3,1778300404,2026-05-09 12:20:04.000 PHT,14.499619,121.003311,0,129.6,0.0,61,1,0
A320,3f9ba395,3,1778300406,2026-05-09 12:20:06.000 PHT,14.500056,121.004105,0,144.5,0.0,61,1,0
A320,3f9ba395,3,1778300410,2026-05-09 12:20:10.000 PHT,14.500929,121.005638,46,174.1,0.0,61,2,0
A320,3f9ba395,3,1778300412,2026-05-09 12:20:12.000 PHT,14.501404,121.006493,46,185.2,0.3,60,2,0
A320,3f9ba395,3,1778300414,2026-05-09 12:20:14.000 PHT,14.501906,121.007469,46,207.4,0.3,60,2,0
A320,3f9ba395,3,1778300416,2026-05-09 12:20:16.000 PHT,14.502465,121.00843,38,218.5,0.7,60,2,0
A320,3f9ba395,3,1778300418,2026-05-09 12:20:18.000 PHT,14.503163,121.009727,38,233.4,0.3,60,2,0
A320,3f9ba395,3,1778300425,2026-05-09 12:20:25.000 PHT,14.505341,121.013649,46,274.1,0.3,60,2,0
A320,3f9ba395,3,1778300432,2026-05-09 12:20:32.000 PHT,14.507726,121.017776,69,296.3,11.1,58,2,0
A320,3f9ba395,3,1778300441,2026-05-09 12:20:41.000 PHT,14.511264,121.023514,160,292.6,12.0,56,2,0
A320,3f9ba395,3,1778300447,2026-05-09 12:20:47.000 PHT,14.513901,121.027618,236,290.8,11.4,56,2,0
A320,3f9ba395,3,1778300451,2026-05-09 12:20:51.000 PHT,14.515594,121.030174,282,294.5,10.1,55,2,0
A320,3f9ba395,3,1778300453,2026-05-09 12:20:53.000 PHT,14.516464,121.031448,297,296.3,9.8,55,2,0
A320,3f9ba395,3,1778300456,2026-05-09 12:20:56.000 PHT,14.517334,121.032776,320,296.3,9.4,55,3,0
A320,3f9ba395,3,1778300458,2026-05-09 12:20:58.000 PHT,14.518339,121.034302,343,296.3,9.4,56,3,0
A320,3f9ba395,3,1778300460,2026-05-09 12:21:00.000 PHT,14.519224,121.035706,366,298.2,8.1,56,3,0
A320,3f9ba395,3,1778300464,2026-05-09 12:21:04.000 PHT,14.521179,121.038696,404,300.0,7.8,56,3,0
A320,3f9ba395,3,1778300467,2026-05-09 12:21:07.000 PHT,14.522017,121.03994,419,300.0,8.1,56,3,0
A320,3f9ba395,3,1778300469,2026-05-09 12:21:09.000 PHT,14.522855,121.041245,434,300.0,9.1,56,3,0
A320,3f9ba395,3,1778300471,2026-05-09 12:21:11.000 PHT,14.523693,121.042496,457,298.2,9.4,55,3,0
A320,3f9ba395,3,1778300473,2026-05-09 12:21:13.000 PHT,14.524764,121.04409,480,298.2,10.1,55,3,0
A320,3f9ba395,3,1778300475,2026-05-09 12:21:15.000 PHT,14.525601,121.045341,495,298.2,10.1,55,3,0
A320,3f9ba395,3,1778300477,2026-05-09 12:21:17.000 PHT,14.526443,121.046608,518,296.3,9.1,55,3,1
A320,3f9ba395,3,1778300479,2026-05-09 12:21:19.000 PHT,14.527313,121.047981,533,298.2,6.5,56,3,1
A320,3f9ba395,3,1778300481,2026-05-09 12:21:21.000 PHT,14.528229,121.049355,549,301.9,4.2,56,3,1
A320,3f9ba395,3,1778300484,2026-05-09 12:21:24.000 PHT,14.529325,121.051071,564,309.3,3.6,56,3,1
A320,3f9ba395,3,1778300491,2026-05-09 12:21:31.000 PHT,14.532445,121.055893,579,329.7,1.3,56,3,1
A320,3f9ba395,3,1778300497,2026-05-09 12:21:37.000 PHT,14.535518,121.060707,594,348.2,3.6,56,3,0
A320,3f9ba395,3,1778300504,2026-05-09 12:21:44.000 PHT,14.538757,121.065781,625,366.7,3.3,57,3,0
A320,3f9ba395,3,1778300511,2026-05-09 12:21:51.000 PHT,14.54236,121.071457,640,385.2,3.3,57,3,0
A320,3f9ba395,3,1778300520,2026-05-09 12:22:00.000 PHT,14.547226,121.079185,663,414.8,0.3,57,3,0
A320,3f9ba395,3,1778300526,2026-05-09 12:22:06.000 PHT,14.550973,121.085236,678,435.2,5.2,57,3,0
A320,3f9ba395,3,1778300533,2026-05-09 12:22:13.000 PHT,14.555022,121.091789,724,453.7,6.8,57,3,0
A320,3f9ba395,3,1778300541,2026-05-09 12:22:21.000 PHT,14.559952,121.099876,777,474.1,8.1,57,3,0
A320,3f9ba395,3,1778300548,2026-05-09 12:22:28.000 PHT,14.564566,121.107452,831,488.9,10.4,57,3,0
A320,3f9ba395,3,1778300556,2026-05-09 12:22:36.000 PHT,14.57016,121.116737,937,494.5,14.0,58,3,0
A320,3f9ba395,3,1778300565,2026-05-09 12:22:45.000 PHT,14.575552,121.126099,1052,498.2,12.7,60,3,0
A320,3f9ba395,3,1778300567,2026-05-09 12:22:47.000 PHT,14.576856,121.128746,1082,498.2,13.3,63,3,0
A320,3f9ba395,3,1778300569,2026-05-09 12:22:49.000 PHT,14.57785,121.13118,1105,498.2,13.3,66,3,0
A320,3f9ba395,3,1778300572,2026-05-09 12:22:52.000 PHT,14.578857,121.134163,1143,494.5,16.6,72,3,0
A320,3f9ba395,3,1778300574,2026-05-09 12:22:54.000 PHT,14.579416,121.136269,1173,492.6,18.2,76,3,0
A320,3f9ba395,3,1778300576,2026-05-09 12:22:56.000 PHT,14.579975,121.139252,1219,488.9,20.2,79,3,0
A320,3f9ba395,3,1778300578,2026-05-09 12:22:58.000 PHT,14.580208,121.141418,1257,485.2,21.5,84,3,0
A320,3f9ba395,3,1778300580,2026-05-09 12:23:00.000 PHT,14.580347,121.144455,1311,481.5,21.1,88,3,0
A320,3f9ba395,3,1778300582,2026-05-09 12:23:02.000 PHT,14.580276,121.147095,1356,477.8,20.8,91,3,0
A320,3f9ba395,3,1778300585,2026-05-09 12:23:05.000 PHT,14.580021,121.149567,1394,474.1,19.8,97,3,0
A320,3f9ba395,3,1778300587,2026-05-09 12:23:07.000 PHT,14.579509,121.152359,1440,470.4,20.2,101,3,0
A320,3f9ba395,3,1778300589,2026-05-09 12:23:09.000 PHT,14.578995,121.154625,1478,466.7,19.5,105,3,0
