aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A339,3f9b67df,5,1778294054,2026-05-09 10:34:14.000 PHT,14.498031,121.000511,0,16.7,0.0,95,0,0
A339,3f9b67df,5,1778294062,2026-05-09 10:34:22.000 PHT,14.498206,121.000771,0,13.0,0.0,64,1,0
A339,3f9b67df,5,1778294082,2026-05-09 10:34:42.000 PHT,14.498368,121.00106,0,25.9,0.0,61,1,0
A339,3f9b67df,5,1778294086,2026-05-09 10:34:46.000 PHT,14.498567,121.001396,0,59.3,0.0,61,1,0
A339,3f9b67df,5,1778294087,2026-05-09 10:34:47.000 PHT,14.49868,121.001617,0,66.7,0.0,61,1,0
A339,3f9b67df,5,1778294094,2026-05-09 10:34:54.000 PHT,14.499619,121.003311,0,124.1,0.0,61,1,0
A339,3f9b67df,5,1778294102,2026-05-09 10:35:02.000 PHT,14.501069,121.005974,0,181.5,0.3,60,1,0
A339,3f9b67df,5,1778294111,2026-05-09 10:35:11.000 PHT,14.503464,121.010239,30,237.1,0.3,60,2,0
A339,3f9b67df,5,1778294120,2026-05-09 10:35:20.000 PHT,14.506485,121.015686,23,281.5,1.3,60,2,0
A339,3f9b67df,5,1778294128,2026-05-09 10:35:28.000 PHT,14.50946,121.020844,76,296.3,12.0,59,2,0
A339,3f9b67df,5,1778294135,2026-05-09 10:35:35.000 PHT,14.512009,121.025291,160,288.9,12.0,59,2,0
A339,3f9b67df,5,1778294143,2026-05-09 10:35:43.000 PHT,14.515137,121.030647,267,283.4,10.7,58,2,0
A339,3f9b67df,5,1778294150,2026-05-09 10:35:50.000 PHT,14.517517,121.034531,335,283.4,9.4,57,2,0
A339,3f9b67df,5,1778294158,2026-05-09 10:35:58.000 PHT,14.52095,121.04007,427,283.4,11.1,57,2,0
A339,3f9b67df,5,1778294167,2026-05-09 10:36:07.000 PHT,14.5242,121.045326,526,279.7,11.1,57,3,0
A339,3f9b67df,5,1778294175,2026-05-09 10:36:15.000 PHT,14.527184,121.050255,610,275.9,9.8,58,3,0
A339,3f9b67df,5,1778294182,2026-05-09 10:36:22.000 PHT,14.529556,121.054276,671,277.8,9.4,59,3,0
A339,3f9b67df,5,1778294190,2026-05-09 10:36:30.000 PHT,14.532678,121.059654,762,277.8,10.1,59,3,0
A339,3f9b67df,5,1778294199,2026-05-09 10:36:39.000 PHT,14.535416,121.064362,838,275.9,9.4,58,3,0
A339,3f9b67df,5,1778294205,2026-05-09 10:36:45.000 PHT,14.537888,121.068672,907,275.9,8.8,59,3,0
A339,3f9b67df,5,1778294213,2026-05-09 10:36:53.000 PHT,14.540817,121.073738,975,281.5,7.5,59,3,0
A339,3f9b67df,5,1778294220,2026-05-09 10:37:00.000 PHT,14.543198,121.077812,1013,292.6,4.6,59,3,0
A339,3f9b67df,5,1778294228,2026-05-09 10:37:08.000 PHT,14.546448,121.083633,1052,311.1,3.9,60,3,0
A339,3f9b67df,5,1778294237,2026-05-09 10:37:17.000 PHT,14.549652,121.089462,1090,335.2,4.2,62,3,1
A339,3f9b67df,5,1778294241,2026-05-09 10:37:21.000 PHT,14.551483,121.093346,1113,346.3,4.2,66,3,1
A339,3f9b67df,5,1778294243,2026-05-09 10:37:23.000 PHT,14.552078,121.095047,1120,351.9,3.9,70,3,1
A339,3f9b67df,5,1778294245,2026-05-09 10:37:25.000 PHT,14.552536,121.096802,1128,357.4,3.9,75,3,1
A339,3f9b67df,5,1778294248,2026-05-09 10:37:28.000 PHT,14.552902,121.098839,1135,366.7,2.9,83,3,1
A339,3f9b67df,5,1778294250,2026-05-09 10:37:30.000 PHT,14.553085,121.100922,1143,374.1,2.9,88,3,1
A339,3f9b67df,5,1778294252,2026-05-09 10:37:32.000 PHT,14.553085,121.102814,1143,381.5,3.6,93,3,1
A339,3f9b67df,5,1778294254,2026-05-09 10:37:34.000 PHT,14.552881,121.104797,1151,387.1,4.9,97,3,1
A339,3f9b67df,5,1778294256,2026-05-09 10:37:36.000 PHT,14.55249,121.106934,1166,392.6,5.2,102,3,1
A339,3f9b67df,5,1778294258,2026-05-09 10:37:38.000 PHT,14.551895,121.109116,1173,396.3,5.2,107,3,1
A339,3f9b67df,5,1778294260,2026-05-09 10:37:40.000 PHT,14.551163,121.111153,1189,401.9,4.9,111,3,1
A339,3f9b67df,5,1778294263,2026-05-09 10:37:43.000 PHT,14.550018,121.113609,1204,407.4,5.2,116,3,1
A339,3f9b67df,5,1778294265,2026-05-09 10:37:45.000 PHT,14.549018,121.115402,1212,414.8,5.2,119,3,1
A339,3f9b67df,5,1778294267,2026-05-09 10:37:47.000 PHT,14.547482,121.11776,1227,424.1,4.9,124,3,1
