aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A20N,3f9b3fed,4,1778288694,2026-05-09 09:04:54.000 PHT,14.51024,121.018066,0,13.0,0.0,241,0,0
A20N,3f9b3fed,4,1778288704,2026-05-09 09:05:04.000 PHT,14.51025,121.01786,0,7.4,0.0,275,1,0
A20N,3f9b3fed,4,1778288729,2026-05-09 09:05:29.000 PHT,14.510468,121.01767,0,16.7,0.0,315,1,0
A20N,3f9b3fed,4,1778288732,2026-05-09 09:05:32.000 PHT,14.510682,121.017441,0,50.0,0.0,315,1,0
A20N,3f9b3fed,4,1778288734,2026-05-09 09:05:34.000 PHT,14.511019,121.01709,0,81.5,0.0,315,1,0
A20N,3f9b3fed,4,1778288737,2026-05-09 09:05:37.000 PHT,14.511369,121.016739,0,103.7,0.0,315,1,0
A20N,3f9b3fed,4,1778288738,2026-05-09 09:05:38.000 PHT,14.511749,121.016335,0,125.9,0.0,315,1,0
A20N,3f9b3fed,4,1778288739,2026-05-09 09:05:39.000 PHT,14.51199,121.016083,0,133.3,0.0,315,1,0
A20N,3f9b3fed,4,1778288748,2026-05-09 09:05:48.000 PHT,14.514633,121.013359,30,203.7,0.3,315,2,0
A20N,3f9b3fed,4,1778288754,2026-05-09 09:05:54.000 PHT,14.517502,121.010406,23,263.0,0.7,314,2,0
A20N,3f9b3fed,4,1778288763,2026-05-09 09:06:03.000 PHT,14.52182,121.005928,76,294.5,12.7,314,2,0
A20N,3f9b3fed,4,1778288769,2026-05-09 09:06:09.000 PHT,14.525116,121.002373,160,290.8,13.7,313,2,0
A20N,3f9b3fed,4,1778288776,2026-05-09 09:06:16.000 PHT,14.528535,120.998741,251,288.9,15.6,313,2,0
A20N,3f9b3fed,4,1778288784,2026-05-09 09:06:24.000 PHT,14.532852,120.994232,373,285.2,14.6,314,2,0
A20N,3f9b3fed,4,1778288791,2026-05-09 09:06:31.000 PHT,14.535965,120.991013,465,283.4,14.0,314,2,0
A20N,3f9b3fed,4,1778288795,2026-05-09 09:06:35.000 PHT,14.538162,120.988739,526,281.5,13.7,314,2,0
A20N,3f9b3fed,4,1778288797,2026-05-09 09:06:37.000 PHT,14.539307,120.987556,556,281.5,11.4,315,3,0
A20N,3f9b3fed,4,1778288799,2026-05-09 09:06:39.000 PHT,14.540312,120.986549,579,287.1,9.4,315,3,0
A20N,3f9b3fed,4,1778288801,2026-05-09 09:06:41.000 PHT,14.541336,120.985497,594,292.6,9.1,316,3,1
A20N,3f9b3fed,4,1778288804,2026-05-09 09:06:44.000 PHT,14.542546,120.984337,617,298.2,9.4,315,3,1
A20N,3f9b3fed,4,1778288806,2026-05-09 09:06:46.000 PHT,14.543803,120.983032,640,303.7,10.1,315,3,1
A20N,3f9b3fed,4,1778288808,2026-05-09 09:06:48.000 PHT,14.544891,120.981918,663,307.4,9.8,315,3,1
A20N,3f9b3fed,4,1778288810,2026-05-09 09:06:50.000 PHT,14.546219,120.980591,686,313.0,10.7,315,3,1
A20N,3f9b3fed,4,1778288812,2026-05-09 09:06:52.000 PHT,14.547318,120.979507,709,318.5,11.4,315,3,1
A20N,3f9b3fed,4,1778288814,2026-05-09 09:06:54.000 PHT,14.548599,120.978226,739,320.4,11.7,315,3,1
A20N,3f9b3fed,4,1778288816,2026-05-09 09:06:56.000 PHT,14.549483,120.977303,754,324.1,10.4,315,3,1
A20N,3f9b3fed,4,1778288818,2026-05-09 09:06:58.000 PHT,14.550934,120.975807,777,329.7,11.1,315,3,1
A20N,3f9b3fed,4,1778288825,2026-05-09 09:07:05.000 PHT,14.554836,120.971855,853,344.5,8.5,315,3,1
A20N,3f9b3fed,4,1778288834,2026-05-09 09:07:14.000 PHT,14.560376,120.966171,930,368.5,9.8,313,3,1
A20N,3f9b3fed,4,1778288836,2026-05-09 09:07:16.000 PHT,14.5616,120.964684,945,374.1,9.8,309,3,1
A20N,3f9b3fed,4,1778288838,2026-05-09 09:07:18.000 PHT,14.563029,120.962799,968,379.7,9.4,306,3,1
A20N,3f9b3fed,4,1778288840,2026-05-09 09:07:20.000 PHT,14.564054,120.961113,991,388.9,8.5,299,3,1
