aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9b8843,2,1778297775,2026-05-09 11:36:15.000 PHT,14.501038,121.005882,0,0.0,0.3,60,0,0
A320,3f9b8843,2,1778297777,2026-05-09 11:36:17.000 PHT,14.501674,121.006981,38,200.0,0.3,60,3,0
A320,3f9b8843,2,1778297779,2026-05-09 11:36:19.000 PHT,14.502228,121.007965,38,214.8,0.3,60,3,0
A320,3f9b8843,2,1778297781,2026-05-09 11:36:21.000 PHT,14.502823,121.009056,38,227.8,0.3,60,3,0
A320,3f9b8843,2,1778297783,2026-05-09 11:36:23.000 PHT,14.503396,121.010117,38,238.9,0.3,60,3,0
A320,3f9b8843,2,1778297786,2026-05-09 11:36:26.000 PHT,14.504013,121.01123,38,259.3,0.7,60,3,0
A320,3f9b8843,2,1778297788,2026-05-09 11:36:28.000 PHT,14.504839,121.012672,38,270.4,0.7,60,3,0
A320,3f9b8843,2,1778297790,2026-05-09 11:36:30.000 PHT,14.50563,121.014069,30,281.5,1.0,60,3,0
A320,3f9b8843,2,1778297792,2026-05-09 11:36:32.000 PHT,14.506469,121.01561,38,292.6,2.0,60,3,0
A320,3f9b8843,2,1778297800,2026-05-09 11:36:40.000 PHT,14.50914,121.020325,99,296.3,11.4,60,3,0
A320,3f9b8843,2,1778297806,2026-05-09 11:36:46.000 PHT,14.511612,121.024727,168,294.5,11.7,59,3,0
A320,3f9b8843,2,1778297813,2026-05-09 11:36:53.000 PHT,14.514084,121.028893,244,292.6,11.4,57,3,0
A320,3f9b8843,2,1778297815,2026-05-09 11:36:55.000 PHT,14.514908,121.03022,274,290.8,12.0,57,3,0
A320,3f9b8843,2,1778297817,2026-05-09 11:36:57.000 PHT,14.515915,121.031876,305,292.6,12.0,57,3,0
A320,3f9b8843,2,1778297819,2026-05-09 11:36:59.000 PHT,14.516739,121.033112,328,290.8,12.4,57,3,0
A320,3f9b8843,2,1778297821,2026-05-09 11:37:01.000 PHT,14.517502,121.034401,351,290.8,11.1,57,3,0
A320,3f9b8843,2,1778297828,2026-05-09 11:37:08.000 PHT,14.520126,121.038651,419,292.6,9.1,57,3,0
A320,3f9b8843,2,1778297836,2026-05-09 11:37:16.000 PHT,14.523367,121.043892,495,296.3,10.1,57,3,0
A320,3f9b8843,2,1778297845,2026-05-09 11:37:25.000 PHT,14.52681,121.0494,572,305.6,4.6,57,3,0
A320,3f9b8843,2,1778297851,2026-05-09 11:37:31.000 PHT,14.529648,121.054039,602,320.4,1.6,57,3,0
A320,3f9b8843,2,1778297860,2026-05-09 11:37:40.000 PHT,14.533376,121.060081,617,346.3,3.6,58,3,0
A320,3f9b8843,2,1778297866,2026-05-09 11:37:46.000 PHT,14.53624,121.064888,648,359.3,4.2,58,3,0
A320,3f9b8843,2,1778297875,2026-05-09 11:37:55.000 PHT,14.540591,121.072128,678,381.5,3.6,58,3,0
A320,3f9b8843,2,1778297881,2026-05-09 11:38:01.000 PHT,14.543943,121.077866,693,401.9,0.0,58,3,0
A320,3f9b8843,2,1778297888,2026-05-09 11:38:08.000 PHT,14.547455,121.083969,709,426.0,4.2,59,3,1
A320,3f9b8843,2,1778297892,2026-05-09 11:38:12.000 PHT,14.549855,121.088562,732,437.1,4.9,63,3,1
A320,3f9b8843,2,1778297894,2026-05-09 11:38:14.000 PHT,14.550705,121.090599,739,444.5,5.5,68,3,1
A320,3f9b8843,2,1778297896,2026-05-09 11:38:16.000 PHT,14.551438,121.092705,747,448.2,6.2,72,3,1
A320,3f9b8843,2,1778297899,2026-05-09 11:38:19.000 PHT,14.552032,121.09491,762,451.9,6.2,76,3,1
A320,3f9b8843,2,1778297901,2026-05-09 11:38:21.000 PHT,14.552582,121.097656,777,455.6,6.8,79,3,1
A320,3f9b8843,2,1778297903,2026-05-09 11:38:23.000 PHT,14.55302,121.100655,792,459.3,7.2,81,3,1
A320,3f9b8843,2,1778297905,2026-05-09 11:38:25.000 PHT,14.5533,121.10302,808,466.7,7.5,82,3,1
A320,3f9b8843,2,1778297907,2026-05-09 11:38:27.000 PHT,14.553589,121.105515,823,472.3,8.5,84,3,1
A320,3f9b8843,2,1778297910,2026-05-09 11:38:30.000 PHT,14.553765,121.107979,846,474.1,10.1,85,3,1
A320,3f9b8843,2,1778297912,2026-05-09 11:38:32.000 PHT,14.553999,121.111061,861,477.8,11.1,86,3,1
A320,3f9b8843,2,1778297914,2026-05-09 11:38:34.000 PHT,14.554092,121.113472,884,479.7,12.7,87,3,1
A320,3f9b8843,2,1778297916,2026-05-09 11:38:36.000 PHT,14.554138,121.115837,907,483.4,13.0,90,3,1
A320,3f9b8843,2,1778297918,2026-05-09 11:38:38.000 PHT,14.553999,121.11853,937,483.4,15.3,93,3,1
A320,3f9b8843,2,1778297920,2026-05-09 11:38:40.000 PHT,14.553772,121.120903,968,481.5,17.6,96,3,1
A320,3f9b8843,2,1778297922,2026-05-09 11:38:42.000 PHT,14.553254,121.123932,1013,483.4,17.6,100,3,0
A320,3f9b8843,2,1778297924,2026-05-09 11:38:44.000 PHT,14.552673,121.126305,1044,483.4,17.2,103,3,0
A320,3f9b8843,2,1778297926,2026-05-09 11:38:46.000 PHT,14.552043,121.128654,1074,483.4,17.9,106,3,0
A320,3f9b8843,2,1778297928,2026-05-09 11:38:48.000 PHT,14.551159,121.131348,1120,483.4,17.2,107,3,0
A320,3f9b8843,2,1778297930,2026-05-09 11:38:50.000 PHT,14.550293,121.133881,1151,485.2,16.3,109,3,0
A320,3f9b8843,2,1778297932,2026-05-09 11:38:52.000 PHT,14.549437,121.136169,1181,487.1,14.3,112,3,1
A320,3f9b8843,2,1778297934,2026-05-09 11:38:54.000 PHT,14.54837,121.138519,1212,488.9,13.3,113,3,1
A320,3f9b8843,2,1778297937,2026-05-09 11:38:57.000 PHT,14.547089,121.140984,1242,490.8,13.7,119,3,1
A320,3f9b8843,2,1778297939,2026-05-09 11:38:59.000 PHT,14.545666,121.143303,1273,494.5,12.7,123,3,1
A320,3f9b8843,2,1778297941,2026-05-09 11:39:01.000 PHT,14.544176,121.14537,1295,498.2,13.3,127,3,1
A320,3f9b8843,2,1778297943,2026-05-09 11:39:03.000 PHT,14.542454,121.147446,1326,500.0,14.6,131,3,1
A320,3f9b8843,2,1778297945,2026-05-09 11:39:05.000 PHT,14.540588,121.149414,1356,501.9,15.9,134,3,0
A320,3f9b8843,2,1778297947,2026-05-09 11:39:07.000 PHT,14.538357,121.151634,1402,501.9,18.9,135,3,0
A320,3f9b8843,2,1778297950,2026-05-09 11:39:10.000 PHT,14.536448,121.153465,1440,500.0,20.8,137,3,0
A320,3f9b8843,2,1778297952,2026-05-09 11:39:12.000 PHT,14.534271,121.155472,1494,498.2,21.8,138,3,0
A320,3f9b8843,2,1778297954,2026-05-09 11:39:14.000 PHT,14.532028,121.157509,1547,494.5,22.1,138,3,0
A320,3f9b8843,2,1778297956,2026-05-09 11:39:16.000 PHT,14.530243,121.159164,1585,492.6,18.5,138,3,0
A320,3f9b8843,2,1778297958,2026-05-09 11:39:18.000 PHT,14.528441,121.160789,1623,492.6,17.2,138,3,0
A320,3f9b8843,2,1778297961,2026-05-09 11:39:21.000 PHT,14.526489,121.162628,1654,490.8,15.3,138,3,0
A320,3f9b8843,2,1778297963,2026-05-09 11:39:23.000 PHT,14.524158,121.164795,1699,490.8,14.3,137,3,0
A320,3f9b8843,2,1778297965,2026-05-09 11:39:25.000 PHT,14.522389,121.166382,1722,492.6,14.0,137,3,0
A320,3f9b8843,2,1778297967,2026-05-09 11:39:27.000 PHT,14.520264,121.168449,1753,494.5,11.1,137,3,0
A320,3f9b8843,2,1778297969,2026-05-09 11:39:29.000 PHT,14.518433,121.170204,1775,500.0,9.1,136,3,0
A320,3f9b8843,2,1778297982,2026-05-09 11:39:42.000 PHT,14.506375,121.182045,1882,518.6,10.7,136,3,0
A320,3f9b8843,2,1778297995,2026-05-09 11:39:55.000 PHT,14.493759,121.194397,2065,520.4,14.6,136,3,0
A320,3f9b8843,2,1778298009,2026-05-09 11:40:09.000 PHT,14.481491,121.206619,2187,538.9,5.2,135,3,0
A320,3f9b8843,2,1778298021,2026-05-09 11:40:21.000 PHT,14.468765,121.219261,2248,566.7,5.2,135,3,0
A320,3f9b8843,2,1778298034,2026-05-09 11:40:34.000 PHT,14.455353,121.232758,2316,594.5,5.5,135,3,0
A320,3f9b8843,2,1778298049,2026-05-09 11:40:49.000 PHT,14.439285,121.248718,2393,624.1,6.2,136,3,0
A320,3f9b8843,2,1778298062,2026-05-09 11:41:02.000 PHT,14.42463,121.263138,2484,640.8,8.8,136,3,0
A320,3f9b8843,2,1778298077,2026-05-09 11:41:17.000 PHT,14.406372,121.281151,2667,646.3,14.0,136,3,0
