aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A320,3f9bf416,5,1778309860,2026-05-09 14:57:40.000 PHT,14.498039,121.000504,0,20.4,0.0,47,0,0
A320,3f9bf416,5,1778309866,2026-05-09 14:57:46.000 PHT,14.498131,121.00071,0,9.3,0.0,61,1,0
A320,3f9bf416,5,1778309878,2026-05-09 14:57:58.000 PHT,14.498257,121.000923,0,14.8,0.0,61,1,0
A320,3f9bf416,5,1778309882,2026-05-09 14:58:02.000 PHT,14.498463,121.001274,0,46.3,0.0,61,1,0
A320,3f9bf416,5,1778309884,2026-05-09 14:58:04.000 PHT,14.498611,121.001572,0,64.8,0.0,61,1,0
A320,3f9bf416,5,1778309886,2026-05-09 14:58:06.000 PHT,14.498834,121.001976,0,90.7,0.0,61,1,0
A320,3f9bf416,5,1778309888,2026-05-09 14:58:08.000 PHT,14.499069,121.002403,0,100.0,0.0,61,1,0
A320,3f9bf416,5,1778309889,2026-05-09 14:58:09.000 PHT,14.499275,121.002777,0,116.7,0.0,61,1,0
A320,3f9bf416,5,1778309891,2026-05-09 14:58:11.000 PHT,14.499404,121.003021,0,125.9,0.0,59,1,0
A320,3f9bf416,5,1778309892,2026-05-09 14:58:12.000 PHT,14.499733,121.003593,0,140.8,0.0,61,1,0
A320,3f9bf416,5,1778309894,2026-05-09 14:58:14.000 PHT,14.500019,121.004089,0,148.2,0.0,59,1,0
A320,3f9bf416,5,1778309896,2026-05-09 14:58:16.000 PHT,14.500557,121.005066,0,170.4,0.0,59,1,0
A320,3f9bf416,5,1778309898,2026-05-09 14:58:18.000 PHT,14.501011,121.005898,0,185.2,0.0,59,1,0
A320,3f9bf416,5,1778309901,2026-05-09 14:58:21.000 PHT,14.501499,121.006783,0,194.5,0.0,61,1,0
A320,3f9bf416,5,1778309903,2026-05-09 14:58:23.000 PHT,14.502255,121.008141,0,222.2,0.0,59,1,0
A320,3f9bf416,5,1778309906,2026-05-09 14:58:26.000 PHT,14.503143,121.00972,0,240.8,0.0,59,1,0
A320,3f9bf416,5,1778309909,2026-05-09 14:58:29.000 PHT,14.503955,121.011215,0,250.0,0.0,61,1,0
A320,3f9bf416,5,1778309911,2026-05-09 14:58:31.000 PHT,14.504653,121.012474,0,268.5,0.0,59,1,0
A320,3f9bf416,5,1778309914,2026-05-09 14:58:34.000 PHT,14.505695,121.014343,0,277.8,0.0,59,1,0
A320,3f9bf416,5,1778309917,2026-05-09 14:58:37.000 PHT,14.506542,121.015846,0,300.0,1.3,60,1,0
A320,3f9bf416,5,1778309919,2026-05-09 14:58:39.000 PHT,14.507632,121.017731,84,305.6,2.9,58,2,0
A320,3f9bf416,5,1778309921,2026-05-09 14:58:41.000 PHT,14.508424,121.019173,107,307.4,6.8,58,2,0
A320,3f9bf416,5,1778309923,2026-05-09 14:58:43.000 PHT,14.509122,121.020424,122,313.0,14.3,59,2,0
A320,3f9bf416,5,1778309925,2026-05-09 14:58:45.000 PHT,14.510101,121.022079,152,307.4,12.7,60,2,0
A320,3f9bf416,5,1778309928,2026-05-09 14:58:48.000 PHT,14.510925,121.023544,183,296.3,15.0,58,2,0
A320,3f9bf416,5,1778309930,2026-05-09 14:58:50.000 PHT,14.511658,121.024872,206,296.3,16.3,59,2,0
A320,3f9bf416,5,1778309932,2026-05-09 14:58:52.000 PHT,14.512573,121.026573,236,298.2,14.6,59,2,0
A320,3f9bf416,5,1778309934,2026-05-09 14:58:54.000 PHT,14.513452,121.028137,267,298.2,14.0,61,2,0
A320,3f9bf416,5,1778309936,2026-05-09 14:58:56.000 PHT,14.514196,121.029488,297,298.2,13.3,60,2,0
A320,3f9bf416,5,1778309938,2026-05-09 14:58:58.000 PHT,14.514988,121.030838,328,296.3,14.6,58,2,0
A320,3f9bf416,5,1778309941,2026-05-09 14:59:01.000 PHT,14.515872,121.032234,351,294.5,14.6,57,3,0
A320,3f9bf416,5,1778309943,2026-05-09 14:59:03.000 PHT,14.516617,121.033386,373,292.6,15.6,57,3,0
A320,3f9bf416,5,1778309945,2026-05-09 14:59:05.000 PHT,14.517688,121.035072,396,296.3,10.7,56,3,0
A320,3f9bf416,5,1778309947,2026-05-09 14:59:07.000 PHT,14.518572,121.036476,404,303.7,4.9,56,3,0
A320,3f9bf416,5,1778309949,2026-05-09 14:59:09.000 PHT,14.519457,121.037872,419,307.4,5.9,56,3,0
A320,3f9bf416,5,1778309952,2026-05-09 14:59:12.000 PHT,14.520538,121.039505,427,314.8,5.5,56,3,0
A320,3f9bf416,5,1778309954,2026-05-09 14:59:14.000 PHT,14.521591,121.041115,442,316.7,6.5,55,3,0
