aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A321,3f9c11f3,2,1778316423,2026-05-09 16:47:03.000 PHT,14.498916,120.999573,0,13.0,0.0,205,0,0
A321,3f9c11f3,2,1778316654,2026-05-09 16:50:54.000 PHT,14.498672,120.999687,0,3.7,0.0,165,1,0
A321,3f9c11f3,2,1778316664,2026-05-09 16:51:04.000 PHT,14.498439,120.999802,0,13.0,0.0,154,1,0
A321,3f9c11f3,2,1778316670,2026-05-09 16:51:10.000 PHT,14.498218,120.999939,0,16.7,0.0,151,1,0
A321,3f9c11f3,2,1778316677,2026-05-09 16:51:17.000 PHT,14.497996,121.000114,0,18.5,0.0,137,1,0
A321,3f9c11f3,2,1778316683,2026-05-09 16:51:23.000 PHT,14.497971,121.000366,0,18.5,0.0,101,1,0
A321,3f9c11f3,2,1778316687,2026-05-09 16:51:27.000 PHT,14.498066,121.000603,0,18.5,0.0,70,1,0
A321,3f9c11f3,2,1778316693,2026-05-09 16:51:33.000 PHT,14.498218,121.000816,0,20.4,0.0,61,1,0
A321,3f9c11f3,2,1778316698,2026-05-09 16:51:38.000 PHT,14.498348,121.00106,0,20.4,0.0,61,1,0
A321,3f9c11f3,2,1778316703,2026-05-09 16:51:43.000 PHT,14.498463,121.001266,0,20.4,0.0,61,1,0
A321,3f9c11f3,2,1778316708,2026-05-09 16:51:48.000 PHT,14.498611,121.001534,0,24.1,0.0,59,1,0
A321,3f9c11f3,2,1778316716,2026-05-09 16:51:56.000 PHT,14.499138,121.00248,0,74.1,0.0,61,1,0
A321,3f9c11f3,2,1778316723,2026-05-09 16:52:03.000 PHT,14.500278,121.004524,0,137.0,0.0,59,1,0
A321,3f9c11f3,2,1778316728,2026-05-09 16:52:08.000 PHT,14.501358,121.006447,69,181.5,0.3,60,2,0
A321,3f9c11f3,2,1778316737,2026-05-09 16:52:17.000 PHT,14.503693,121.010712,69,250.0,0.7,60,2,0
A321,3f9c11f3,2,1778316745,2026-05-09 16:52:25.000 PHT,14.506531,121.015823,76,296.3,8.1,60,2,0
A321,3f9c11f3,2,1778316752,2026-05-09 16:52:32.000 PHT,14.508983,121.020378,152,294.5,13.0,61,2,0
A321,3f9c11f3,2,1778316760,2026-05-09 16:52:40.000 PHT,14.512115,121.025909,274,292.6,16.3,59,2,0
A321,3f9c11f3,2,1778316764,2026-05-09 16:52:44.000 PHT,14.513638,121.028473,335,287.1,15.9,57,2,0
A321,3f9c11f3,2,1778316767,2026-05-09 16:52:47.000 PHT,14.514476,121.029778,366,285.2,15.3,57,2,0
A321,3f9c11f3,2,1778316769,2026-05-09 16:52:49.000 PHT,14.515457,121.031265,404,283.4,14.6,56,2,0
A321,3f9c11f3,2,1778316771,2026-05-09 16:52:51.000 PHT,14.516373,121.032639,434,281.5,13.7,55,2,0
A321,3f9c11f3,2,1778316773,2026-05-09 16:52:53.000 PHT,14.517105,121.033775,457,279.7,12.4,55,3,0
A321,3f9c11f3,2,1778316775,2026-05-09 16:52:55.000 PHT,14.517883,121.034958,488,275.9,11.7,55,3,0
A321,3f9c11f3,2,1778316777,2026-05-09 16:52:57.000 PHT,14.518707,121.036186,511,274.1,10.7,55,3,0
A321,3f9c11f3,2,1778316779,2026-05-09 16:52:59.000 PHT,14.51969,121.037682,533,274.1,9.4,55,3,0
A321,3f9c11f3,2,1778316782,2026-05-09 16:53:02.000 PHT,14.520434,121.038834,556,274.1,7.5,55,3,0
A321,3f9c11f3,2,1778316784,2026-05-09 16:53:04.000 PHT,14.521318,121.04023,572,275.9,6.5,56,3,1
A321,3f9c11f3,2,1778316786,2026-05-09 16:53:06.000 PHT,14.522063,121.041344,587,277.8,6.5,56,3,1
A321,3f9c11f3,2,1778316788,2026-05-09 16:53:08.000 PHT,14.522902,121.042641,602,281.5,6.5,57,3,1
A321,3f9c11f3,2,1778316790,2026-05-09 16:53:10.000 PHT,14.523743,121.043953,617,283.4,6.5,56,3,1
A321,3f9c11f3,2,1778316792,2026-05-09 16:53:12.000 PHT,14.524521,121.045181,632,285.2,6.2,57,3,1
A321,3f9c11f3,2,1778316794,2026-05-09 16:53:14.000 PHT,14.525276,121.046448,640,287.1,5.5,57,3,1
A321,3f9c11f3,2,1778316797,2026-05-09 16:53:17.000 PHT,14.526352,121.048264,663,290.8,4.6,58,3,1
A321,3f9c11f3,2,1778316799,2026-05-09 16:53:19.000 PHT,14.52713,121.049591,671,294.5,4.2,58,3,1
A321,3f9c11f3,2,1778316801,2026-05-09 16:53:21.000 PHT,14.527929,121.051025,678,298.2,5.2,59,3,1
A321,3f9c11f3,2,1778316803,2026-05-09 16:53:23.000 PHT,14.528732,121.052429,693,301.9,5.9,59,3,1
A321,3f9c11f3,2,1778316805,2026-05-09 16:53:25.000 PHT,14.529512,121.053818,709,305.6,5.9,60,3,1
A321,3f9c11f3,2,1778316807,2026-05-09 16:53:27.000 PHT,14.530426,121.055557,724,311.1,5.5,60,3,1
A321,3f9c11f3,2,1778316810,2026-05-09 16:53:30.000 PHT,14.531235,121.057045,732,314.8,4.9,61,3,1
A321,3f9c11f3,2,1778316812,2026-05-09 16:53:32.000 PHT,14.532072,121.05864,747,320.4,5.2,61,3,1
A321,3f9c11f3,2,1778316814,2026-05-09 16:53:34.000 PHT,14.532806,121.060005,754,322.2,5.5,61,3,1
A321,3f9c11f3,2,1778316816,2026-05-09 16:53:36.000 PHT,14.533722,121.061806,770,327.8,5.9,61,3,1
A321,3f9c11f3,2,1778316818,2026-05-09 16:53:38.000 PHT,14.534493,121.063263,785,331.5,5.5,61,3,1
A321,3f9c11f3,2,1778316820,2026-05-09 16:53:40.000 PHT,14.535331,121.064903,792,335.2,5.2,61,3,1
A321,3f9c11f3,2,1778316829,2026-05-09 16:53:49.000 PHT,14.538849,121.071518,838,355.6,4.9,61,3,0
A321,3f9c11f3,2,1778316836,2026-05-09 16:53:56.000 PHT,14.542053,121.077621,869,372.3,4.2,61,3,1
A321,3f9c11f3,2,1778316842,2026-05-09 16:54:02.000 PHT,14.544735,121.08297,892,388.9,2.9,63,3,1
A321,3f9c11f3,2,1778316844,2026-05-09 16:54:04.000 PHT,14.545666,121.085381,899,396.3,2.6,67,3,1
A321,3f9c11f3,2,1778316846,2026-05-09 16:54:06.000 PHT,14.546219,121.087234,907,403.7,4.6,70,3,1
A321,3f9c11f3,2,1778316848,2026-05-09 16:54:08.000 PHT,14.546768,121.089371,914,409.3,5.2,74,3,1
A321,3f9c11f3,2,1778316850,2026-05-09 16:54:10.000 PHT,14.547249,121.09198,930,413.0,5.2,78,3,1
A321,3f9c11f3,2,1778316852,2026-05-09 16:54:12.000 PHT,14.547455,121.0942,937,418.6,5.2,81,3,1
A321,3f9c11f3,2,1778316855,2026-05-09 16:54:15.000 PHT,14.547527,121.096466,953,427.8,6.2,87,3,1
A321,3f9c11f3,2,1778316857,2026-05-09 16:54:17.000 PHT,14.547435,121.098824,968,433.4,6.2,91,3,1
A321,3f9c11f3,2,1778316859,2026-05-09 16:54:19.000 PHT,14.547155,121.101425,975,435.2,5.9,93,3,1
A321,3f9c11f3,2,1778316861,2026-05-09 16:54:21.000 PHT,14.546768,121.103668,991,442.6,6.2,98,3,1
A321,3f9c11f3,2,1778316864,2026-05-09 16:54:24.000 PHT,14.546225,121.106102,1006,448.2,6.8,101,3,1
A321,3f9c11f3,2,1778316866,2026-05-09 16:54:26.000 PHT,14.545441,121.108879,1021,455.6,8.8,106,3,1
A321,3f9c11f3,2,1778316868,2026-05-09 16:54:28.000 PHT,14.544342,121.11158,1044,459.3,8.8,111,3,1
A321,3f9c11f3,2,1778316870,2026-05-09 16:54:30.000 PHT,14.543015,121.114418,1059,464.9,8.1,115,3,1
A321,3f9c11f3,2,1778316873,2026-05-09 16:54:33.000 PHT,14.541709,121.116554,1074,470.4,8.5,118,3,1
A321,3f9c11f3,2,1778316875,2026-05-09 16:54:35.000 PHT,14.540634,121.118156,1090,476.0,9.8,122,3,1
A321,3f9c11f3,2,1778316877,2026-05-09 16:54:37.000 PHT,14.538543,121.12085,1120,481.5,10.4,126,3,1
A321,3f9c11f3,2,1778316879,2026-05-09 16:54:39.000 PHT,14.536914,121.122772,1143,487.1,11.1,129,3,1
A321,3f9c11f3,2,1778316881,2026-05-09 16:54:41.000 PHT,14.535285,121.124702,1158,488.9,11.4,130,3,1
A321,3f9c11f3,2,1778316883,2026-05-09 16:54:43.000 PHT,14.533493,121.126732,1181,492.6,10.1,132,3,1
A321,3f9c11f3,2,1778316886,2026-05-09 16:54:46.000 PHT,14.531653,121.128746,1204,496.3,8.5,133,3,1
A321,3f9c11f3,2,1778316888,2026-05-09 16:54:48.000 PHT,14.529792,121.130676,1219,500.0,8.1,133,3,1
A321,3f9c11f3,2,1778316890,2026-05-09 16:54:50.000 PHT,14.527929,121.132652,1234,503.7,8.5,134,3,1
A321,3f9c11f3,2,1778316892,2026-05-09 16:54:52.000 PHT,14.525648,121.134964,1257,509.3,8.8,135,3,1
A321,3f9c11f3,2,1778316894,2026-05-09 16:54:54.000 PHT,14.523788,121.136864,1280,511.2,9.1,135,3,1
A321,3f9c11f3,2,1778316896,2026-05-09 16:54:56.000 PHT,14.521971,121.138672,1295,513.0,9.1,135,3,1
A321,3f9c11f3,2,1778316898,2026-05-09 16:54:58.000 PHT,14.519714,121.140984,1318,518.6,9.4,135,3,1
A321,3f9c11f3,2,1778316901,2026-05-09 16:55:01.000 PHT,14.518021,121.142685,1334,520.4,10.4,135,3,1
A321,3f9c11f3,2,1778316903,2026-05-09 16:55:03.000 PHT,14.515686,121.144989,1356,522.3,11.4,135,3,1
A321,3f9c11f3,2,1778316905,2026-05-09 16:55:05.000 PHT,14.513763,121.14695,1379,524.1,11.7,135,3,1
A321,3f9c11f3,2,1778316907,2026-05-09 16:55:07.000 PHT,14.511729,121.148987,1410,527.8,12.7,135,3,1
A321,3f9c11f3,2,1778316909,2026-05-09 16:55:09.000 PHT,14.509964,121.150742,1433,527.8,13.3,135,3,1
A321,3f9c11f3,2,1778316911,2026-05-09 16:55:11.000 PHT,14.507584,121.153152,1463,529.7,14.0,135,3,1
A321,3f9c11f3,2,1778316920,2026-05-09 16:55:20.000 PHT,14.499951,121.160889,1577,529.7,15.3,135,3,0
A321,3f9c11f3,2,1778316933,2026-05-09 16:55:33.000 PHT,14.487941,121.17318,1814,518.6,17.9,134,3,0
A321,3f9c11f3,2,1778316946,2026-05-09 16:55:46.000 PHT,14.475605,121.185852,2027,514.9,13.7,135,3,0
A321,3f9c11f3,2,1778316959,2026-05-09 16:55:59.000 PHT,14.463874,121.197945,2202,516.7,13.0,134,3,0
A321,3f9c11f3,2,1778316972,2026-05-09 16:56:12.000 PHT,14.45192,121.210266,2377,516.7,12.4,134,3,0
A321,3f9c11f3,2,1778316985,2026-05-09 16:56:25.000 PHT,14.439926,121.222717,2515,527.8,9.4,134,3,0
A321,3f9c11f3,2,1778316998,2026-05-09 16:56:38.000 PHT,14.42733,121.235771,2652,538.9,12.7,134,3,0
A321,3f9c11f3,2,1778317011,2026-05-09 16:56:51.000 PHT,14.414947,121.248444,2850,531.5,17.6,135,3,0
A321,3f9c11f3,2,1778317025,2026-05-09 16:57:05.000 PHT,14.401474,121.26226,3063,524.1,10.7,134,3,0
A321,3f9c11f3,2,1778317038,2026-05-09 16:57:18.000 PHT,14.389855,121.274269,3170,535.2,6.2,134,3,0
A321,3f9c11f3,2,1778317051,2026-05-09 16:57:31.000 PHT,14.377333,121.287277,3246,557.5,4.9,134,3,0
A321,3f9c11f3,2,1778317066,2026-05-09 16:57:46.000 PHT,14.362343,121.30275,3322,585.2,4.6,134,3,0
A321,3f9c11f3,2,1778317078,2026-05-09 16:57:58.000 PHT,14.348831,121.316765,3437,598.2,13.3,134,3,0
A321,3f9c11f3,2,1778317091,2026-05-09 16:58:11.000 PHT,14.335007,121.331116,3635,590.8,14.6,134,3,0
A321,3f9c11f3,2,1778317104,2026-05-09 16:58:24.000 PHT,14.321915,121.344559,3787,592.6,11.1,134,3,0
A321,3f9c11f3,2,1778317136,2026-05-09 16:58:56.000 PHT,14.287766,121.379745,4138,600.0,10.4,134,3,0
A321,3f9c11f3,2,1778317159,2026-05-09 16:59:19.000 PHT,14.261372,121.402924,4359,611.2,9.4,146,3,1
A321,3f9c11f3,2,1778317162,2026-05-09 16:59:22.000 PHT,14.258194,121.404984,4382,614.9,8.1,147,3,1
A321,3f9c11f3,2,1778317164,2026-05-09 16:59:24.000 PHT,14.254761,121.407166,4404,616.7,6.8,148,3,1
A321,3f9c11f3,2,1778317166,2026-05-09 16:59:26.000 PHT,14.25206,121.408775,4412,618.6,5.9,149,3,1
A321,3f9c11f3,2,1778317168,2026-05-09 16:59:28.000 PHT,14.249542,121.410339,4427,620.4,5.2,149,3,1
A321,3f9c11f3,2,1778317170,2026-05-09 16:59:30.000 PHT,14.246246,121.412277,4442,624.1,4.9,149,3,1
A321,3f9c11f3,2,1778317172,2026-05-09 16:59:32.000 PHT,14.243588,121.413864,4450,626.0,4.9,149,3,1
A321,3f9c11f3,2,1778317175,2026-05-09 16:59:35.000 PHT,14.240562,121.415596,4458,627.8,4.6,150,3,1
A321,3f9c11f3,2,1778317177,2026-05-09 16:59:37.000 PHT,14.237676,121.417336,4473,633.4,4.6,150,3,1
A321,3f9c11f3,2,1778317179,2026-05-09 16:59:39.000 PHT,14.23439,121.419197,4481,635.2,4.6,150,3,1
A321,3f9c11f3,2,1778317181,2026-05-09 16:59:41.000 PHT,14.231811,121.420708,4488,638.9,4.6,150,3,1
A321,3f9c11f3,2,1778317183,2026-05-09 16:59:43.000 PHT,14.22821,121.422791,4503,642.6,4.9,150,3,1
A321,3f9c11f3,2,1778317215,2026-05-09 17:00:15.000 PHT,14.181702,121.449265,4724,666.7,6.5,150,3,0
A321,3f9c11f3,2,1778317246,2026-05-09 17:00:46.000 PHT,14.136564,121.47496,4862,701.9,3.6,151,3,0
A321,3f9c11f3,2,1778317278,2026-05-09 17:01:18.000 PHT,14.085403,121.504311,4983,737.1,4.6,150,3,0
A321,3f9c11f3,2,1778317310,2026-05-09 17:01:50.000 PHT,14.033032,121.534714,5182,755.6,6.5,150,3,0
A321,3f9c11f3,2,1778317343,2026-05-09 17:02:23.000 PHT,13.980242,121.565697,5464,753.8,15.9,150,3,0
A321,3f9c11f3,2,1778317374,2026-05-09 17:02:54.000 PHT,13.929886,121.59507,6035,701.9,15.6,150,3,0
A321,3f9c11f3,2,1778317405,2026-05-09 17:03:25.000 PHT,13.883599,121.622704,6370,690.8,7.5,149,3,0
A321,3f9c11f3,2,1778317437,2026-05-09 17:03:57.000 PHT,13.835358,121.65303,6561,707.5,3.6,144,3,0
A321,3f9c11f3,2,1778317450,2026-05-09 17:04:10.000 PHT,13.817681,121.66761,6599,720.4,3.3,139,3,0
A321,3f9c11f3,2,1778317452,2026-05-09 17:04:12.000 PHT,13.81485,121.670082,6607,722.3,2.6,139,3,0
A321,3f9c11f3,2,1778317454,2026-05-09 17:04:14.000 PHT,13.811279,121.673256,6614,724.1,2.6,139,3,0
A321,3f9c11f3,2,1778317457,2026-05-09 17:04:17.000 PHT,13.80867,121.675575,6622,726.0,2.3,138,3,0
A321,3f9c11f3,2,1778317459,2026-05-09 17:04:19.000 PHT,13.805511,121.678413,6622,729.7,2.0,138,3,0
A321,3f9c11f3,2,1778317489,2026-05-09 17:04:49.000 PHT,13.762848,121.716721,6713,757.5,4.6,138,3,0
A321,3f9c11f3,2,1778317520,2026-05-09 17:05:20.000 PHT,13.719038,121.755836,7041,740.8,12.0,139,3,0
A321,3f9c11f3,2,1778317552,2026-05-09 17:05:52.000 PHT,13.672997,121.79583,7338,733.4,4.2,139,3,0
A321,3f9c11f3,2,1778317585,2026-05-09 17:06:25.000 PHT,13.62733,121.835152,7475,750.1,3.3,139,3,0
A321,3f9c11f3,2,1778317611,2026-05-09 17:06:51.000 PHT,13.591919,121.871292,7544,772.3,2.6,129,3,1
A321,3f9c11f3,2,1778317613,2026-05-09 17:06:53.000 PHT,13.589081,121.875076,7551,772.3,2.9,127,3,1
A321,3f9c11f3,2,1778317615,2026-05-09 17:06:55.000 PHT,13.586829,121.878181,7559,774.1,2.9,126,3,1
A321,3f9c11f3,2,1778317617,2026-05-09 17:06:57.000 PHT,13.584595,121.881409,7567,774.1,3.3,125,3,1
A321,3f9c11f3,2,1778317619,2026-05-09 17:06:59.000 PHT,13.582454,121.884491,7567,774.1,2.9,125,3,1
A321,3f9c11f3,2,1778317622,2026-05-09 17:07:02.000 PHT,13.580154,121.887817,7574,776.0,2.9,125,3,1
