aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A21N,3f9bbfbc,3,1778304978,2026-05-09 13:36:18.000 PHT,14.52388,121.003784,0,14.8,0.0,135,0,0
A21N,3f9bbfbc,3,1778304987,2026-05-09 13:36:27.000 PHT,14.52367,121.004005,0,11.1,0.0,135,1,0
A21N,3f9bbfbc,3,1778305185,2026-05-09 13:39:45.000 PHT,14.523367,121.004311,0,33.3,0.0,135,1,0
A21N,3f9bbfbc,3,1778305192,2026-05-09 13:39:52.000 PHT,14.522145,121.005585,0,109.3,0.0,135,1,0
A21N,3f9bbfbc,3,1778305200,2026-05-09 13:40:00.000 PHT,14.519806,121.008011,61,190.8,0.7,135,2,0
A21N,3f9bbfbc,3,1778305207,2026-05-09 13:40:07.000 PHT,14.517105,121.010803,61,253.7,1.0,135,2,0
A21N,3f9bbfbc,3,1778305215,2026-05-09 13:40:15.000 PHT,14.512521,121.015564,107,292.6,12.7,135,2,0
A21N,3f9bbfbc,3,1778305222,2026-05-09 13:40:22.000 PHT,14.509323,121.018852,191,294.5,16.6,135,2,0
A21N,3f9bbfbc,3,1778305231,2026-05-09 13:40:31.000 PHT,14.504654,121.023453,328,298.2,16.9,136,2,0
A21N,3f9bbfbc,3,1778305233,2026-05-09 13:40:33.000 PHT,14.503281,121.024773,373,300.0,16.6,136,2,0
A21N,3f9bbfbc,3,1778305235,2026-05-09 13:40:35.000 PHT,14.502139,121.025871,404,300.0,16.6,136,2,0
A21N,3f9bbfbc,3,1778305237,2026-05-09 13:40:37.000 PHT,14.500809,121.027145,450,301.9,16.3,137,2,0
A21N,3f9bbfbc,3,1778305239,2026-05-09 13:40:39.000 PHT,14.499719,121.028183,480,300.0,15.9,137,3,0
A21N,3f9bbfbc,3,1778305241,2026-05-09 13:40:41.000 PHT,14.498703,121.029129,511,296.3,14.3,137,3,0
A21N,3f9bbfbc,3,1778305244,2026-05-09 13:40:44.000 PHT,14.49733,121.030411,541,294.5,13.3,137,3,0
A21N,3f9bbfbc,3,1778305250,2026-05-09 13:40:50.000 PHT,14.493713,121.033775,602,294.5,3.9,137,3,0
