aircraft_type,flight_id,route,timestamp,ph_time,latitude,longitude,altitude_meters,speed_kmh,verticalSpeed_ms,heading,phase,is_level
A321,3f4dcb98,1,1776646230,2026-04-20 08:50:30.000 PHT,14.498005,121.000435,0,14.8,0.0,92,0,0
A321,3f4dcb98,1,1776646250,2026-04-20 08:50:50.000 PHT,14.498171,121.000671,0,9.3,0.0,61,1,0
A321,3f4dcb98,1,1776646254,2026-04-20 08:50:54.000 PHT,14.498291,121.000893,0,33.3,0.0,61,1,0
A321,3f4dcb98,1,1776646256,2026-04-20 08:50:56.000 PHT,14.49852,121.001297,0,59.3,0.0,59,1,0
A321,3f4dcb98,1,1776646258,2026-04-20 08:50:58.000 PHT,14.498726,121.001663,0,77.8,0.0,59,1,0
A321,3f4dcb98,1,1776646259,2026-04-20 08:50:59.000 PHT,14.498893,121.001961,0,85.2,0.0,61,1,0
A321,3f4dcb98,1,1776646261,2026-04-20 08:51:01.000 PHT,14.49909,121.002335,0,101.9,0.0,61,1,0
A321,3f4dcb98,1,1776646262,2026-04-20 08:51:02.000 PHT,14.499242,121.002602,0,111.1,0.0,61,1,0
A321,3f4dcb98,1,1776646263,2026-04-20 08:51:03.000 PHT,14.499458,121.002991,0,118.5,0.0,61,1,0
A321,3f4dcb98,1,1776646265,2026-04-20 08:51:05.000 PHT,14.499619,121.003273,0,125.9,0.0,61,1,0
A321,3f4dcb98,1,1776646266,2026-04-20 08:51:06.000 PHT,14.499916,121.003807,0,140.8,0.0,61,1,0
A321,3f4dcb98,1,1776646272,2026-04-20 08:51:12.000 PHT,14.501129,121.00602,0,179.6,0.7,59,1,0
A321,3f4dcb98,1,1776646275,2026-04-20 08:51:15.000 PHT,14.501814,121.007271,23,200.0,0.3,59,2,0
A321,3f4dcb98,1,1776646277,2026-04-20 08:51:17.000 PHT,14.502502,121.008438,23,220.4,0.7,59,2,0
A321,3f4dcb98,1,1776646281,2026-04-20 08:51:21.000 PHT,14.503816,121.010841,30,244.5,0.7,60,2,0
A321,3f4dcb98,1,1776646284,2026-04-20 08:51:24.000 PHT,14.504471,121.011986,30,250.0,0.7,59,2,0
A321,3f4dcb98,1,1776646286,2026-04-20 08:51:26.000 PHT,14.505295,121.013504,30,266.7,1.0,59,2,0
A321,3f4dcb98,1,1776646290,2026-04-20 08:51:30.000 PHT,14.50676,121.016106,23,294.5,1.6,60,2,0
A321,3f4dcb98,1,1776646292,2026-04-20 08:51:32.000 PHT,14.507538,121.017532,23,301.9,3.6,59,2,0
A321,3f4dcb98,1,1776646294,2026-04-20 08:51:34.000 PHT,14.508545,121.019279,38,305.6,5.9,59,2,0
A321,3f4dcb98,1,1776646296,2026-04-20 08:51:36.000 PHT,14.509232,121.020515,61,307.4,11.1,59,2,0
A321,3f4dcb98,1,1776646298,2026-04-20 08:51:38.000 PHT,14.51024,121.022255,84,305.6,11.7,59,2,0
A321,3f4dcb98,1,1776646305,2026-04-20 08:51:45.000 PHT,14.512474,121.026207,152,298.2,12.0,60,2,0
A321,3f4dcb98,1,1776646307,2026-04-20 08:51:47.000 PHT,14.513306,121.027809,175,298.2,11.1,60,2,0
